time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-11-13 13:00:00,959418.08,3103306.0000,0.703406,2.072727,2.900000,0.793197
2024-11-13 14:00:00,1240315.69,4133800.0000,1.332649,3.008547,3.733624,1.036457
2024-11-13 15:00:00,1262032.92,4481651.0000,2.501299,3.103896,3.430464,0.396946
2024-11-13 16:00:00,1573003.85,5710025.0000,2.542459,3.455621,3.975385,0.572995
2024-11-13 17:00:00,1620693.14,5868013.0000,3.078061,4.210884,4.333333,1.080625
2024-11-13 18:00:00,2198964.04,7011945.0000,2.464422,3.326316,4.144543,0.856299
2024-11-13 19:00:00,2625174.40,8458802.0000,2.269430,3.897143,4.648734,1.712614
2024-11-13 20:00:00,1996855.06,6959138.0000,2.678975,4.333333,5.029197,0.951891
2024-11-13 21:00:00,2340424.57,7824723.0000,2.079114,3.945455,4.707904,0.923076
2024-11-13 22:00:00,2209866.35,7450662.0000,2.073410,3.830303,4.411184,1.867703
2024-11-13 23:00:00,2126851.16,7216302.0000,2.110803,4.123377,4.595238,0.386653
2024-11-14 00:00:00,2167160.05,7583316.0000,1.952804,4.546053,5.134276,0.839145
2024-11-14 01:00:00,2202856.33,7962141.0000,1.885756,4.310559,5.111498,1.088425
2024-11-14 02:00:00,2331654.86,8273590.0000,1.807322,4.880795,5.442105,0.759626
2024-11-14 03:00:00,2597165.34,8494964.0000,1.967802,4.101604,4.751592,0.839219
2024-11-14 04:00:00,2394871.59,8611409.0000,2.178054,4.819767,5.482639,0.967616
2024-11-14 05:00:00,2924857.95,9650767.0000,1.937082,3.779279,4.705202,1.560229
2024-11-14 06:00:00,2603573.81,8783076.0000,2.179468,4.528205,4.937685,0.673251
2024-11-14 07:00:00,2779834.20,9628632.0000,1.980779,5.232044,5.709265,0.353567
2024-11-14 08:00:00,3033509.97,10157363.0000,1.865052,4.619512,5.198300,0.912447
2024-11-14 09:00:00,3673182.72,11849741.0000,1.748557,4.745000,4.870027,0.806869
2024-11-14 10:00:00,3519565.52,11849591.0000,2.037622,5.840909,6.168196,0.683048
2024-11-14 11:00:00,3590721.27,12520538.0000,2.161859,5.521053,5.810198,0.583159
2024-11-14 12:00:00,3763828.30,12868229.0000,2.420269,5.287879,5.699725,0.938262
2024-11-14 13:00:00,4070567.69,13642227.0000,2.556526,4.742081,5.321519,1.394828
2024-11-14 14:00:00,3666010.17,12525660.0000,2.703340,5.556150,5.934844,0.530212
2024-11-14 15:00:00,3032612.87,10799663.0000,3.504872,5.607735,5.991018,0.648305
2024-11-14 16:00:00,2864076.83,10002195.0000,3.414683,4.560748,5.234332,0.524051
