time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-09-16 12:00:00,476652.07,301144851.0000,0.636675,0.803030,0.980645,0.782054
2024-09-16 13:00:00,2695006.62,1626928232.0000,1.092851,0.994681,1.213492,0.854949
2024-09-16 14:00:00,7890170.68,3932991389.0000,1.031009,0.707721,0.911400,1.347177
2024-09-16 15:00:00,7551867.20,3901906657.0000,1.206401,0.731202,0.795864,1.393235
2024-09-16 16:00:00,9061171.43,4673212150.0000,1.206627,0.845858,0.889045,0.927755
2024-09-16 17:00:00,10062985.91,5069590930.0000,1.192654,0.715564,0.785755,0.812568
2024-09-16 18:00:00,10719980.09,5207615222.0000,1.119830,0.664134,0.743093,1.054356
2024-09-16 19:00:00,11232110.01,5625252295.0000,1.111240,0.783739,0.849562,1.467077
2024-09-16 20:00:00,9643759.31,5328338202.0000,1.124888,0.929477,0.875499,1.033521
2024-09-16 21:00:00,9306391.59,5236871282.0000,1.105132,0.957686,0.858693,0.938300
2024-09-16 22:00:00,9307798.21,5075854923.0000,1.062652,0.962285,0.950256,0.693124
2024-09-16 23:00:00,8861899.04,4929987507.0000,1.100732,0.979106,0.949495,1.591532
2024-09-17 00:00:00,9443000.45,4999444333.0000,1.078751,0.951890,1.010227,1.181525
2024-09-17 01:00:00,9526867.91,5181306307.0000,1.116932,0.908314,0.943904,0.961065
2024-09-17 02:00:00,9377285.45,5069022148.0000,1.219161,0.982749,1.034109,1.230832
2024-09-17 03:00:00,9585990.10,5141457318.0000,1.248022,0.967570,1.035423,1.103713
2024-09-17 04:00:00,9491511.45,5233519770.0000,1.280650,1.022099,1.101392,0.976198
2024-09-17 05:00:00,9748808.05,5471847719.0000,1.376767,1.067232,1.115058,0.915426
2024-09-17 06:00:00,10468753.44,5750577293.0000,1.351115,1.033116,1.086880,1.216895
2024-09-17 07:00:00,10671795.91,5763553633.0000,1.293980,1.011758,1.094541,1.158223
2024-09-17 08:00:00,11115352.36,5980497344.0000,1.270506,0.942022,1.029184,0.958508
2024-09-17 09:00:00,11342880.49,6081647361.0000,1.196021,0.915085,1.048478,1.140759
2024-09-17 10:00:00,12230592.87,6489066678.0000,1.152763,0.863186,1.025223,0.990834
2024-09-17 11:00:00,11264095.33,6082124909.0000,1.133011,0.934700,1.080731,1.101330
2024-09-17 12:00:00,10931306.88,5929616264.0000,1.139234,0.988054,1.136450,0.953985
2024-09-17 13:00:00,10953212.84,5966452139.0000,1.104850,1.020070,1.184487,1.002918
2024-09-17 14:00:00,10706354.28,5903045864.0000,1.136489,1.054659,1.178968,0.699007
2024-09-17 15:00:00,10157588.28,5758270000.0000,1.193448,1.184335,1.273341,1.050124
2024-09-17 16:00:00,10360308.92,5437454820.0000,1.174491,1.045294,1.174523,1.296060
2024-09-17 17:00:00,11515986.41,5496890889.0000,1.085811,0.930172,1.126316,0.975967
2024-09-17 18:00:00,11910679.32,5602389144.0000,1.030120,0.929507,1.161245,0.861000
2024-09-17 19:00:00,10574600.56,5172724436.0000,1.064461,0.899841,1.079251,0.727426
2024-09-17 20:00:00,10762618.34,5258008860.0000,1.110127,0.886376,1.062767,0.885829
2024-09-17 21:00:00,11916568.20,5571874597.0000,1.100116,0.826021,1.039381,1.278983
2024-09-17 22:00:00,11063989.50,5343141419.0000,1.109572,0.847273,1.034012,0.577717
2024-09-17 23:00:00,11382169.45,5404869843.0000,1.133946,0.828616,1.024834,1.125957
2024-09-18 00:00:00,11567549.18,5423390305.0000,1.165932,0.791936,0.998659,1.136497
2024-09-18 01:00:00,12823298.98,5451851105.0000,1.106034,0.784353,1.059983,1.207614
2024-09-18 02:00:00,10949824.94,4838846146.0000,1.089331,0.849785,1.144664,1.250586
2024-09-18 03:00:00,11489061.95,5022101653.0000,1.183903,1.064482,1.229746,0.722970
2024-09-18 04:00:00,10626595.98,4921771099.0000,1.174570,1.128248,1.258312,0.548122
2024-09-18 05:00:00,10091137.21,4744305222.0000,1.190726,1.114319,1.208827,1.776370
2024-09-18 06:00:00,9678074.64,4518221036.0000,1.172803,1.107771,1.233758,1.051484
2024-09-18 07:00:00,10183685.65,4768089544.0000,1.157790,1.152581,1.321133,1.042061
2024-09-18 08:00:00,10640065.66,4906874036.0000,1.121386,1.182838,1.359061,1.014310
2024-09-18 09:00:00,12043661.40,5292684079.0000,1.091455,1.059322,1.206981,0.858198
2024-09-18 10:00:00,10495847.97,4861417023.0000,1.101464,1.151864,1.275903,0.482816
2024-09-18 11:00:00,11410593.69,5141528269.0000,1.121151,1.176667,1.306027,0.890901
2024-09-18 12:00:00,10880328.40,4988916685.0000,1.070740,1.119483,1.283324,0.705275
2024-09-18 13:00:00,11630714.67,5207510654.0000,1.123051,1.096392,1.232735,0.965916
2024-09-18 14:00:00,10947963.58,4965513237.0000,1.072799,1.177717,1.313815,0.821407
2024-09-18 15:00:00,13553733.21,5845981709.0000,1.110020,1.025311,1.128834,1.085746
2024-09-18 16:00:00,10422792.11,4825791209.0000,1.063726,1.114409,1.210526,1.094050
2024-09-18 17:00:00,10797317.81,4863415690.0000,1.086777,1.087500,1.186531,0.803493
2024-09-18 18:00:00,9889885.66,4601958839.0000,1.066251,1.190087,1.310961,0.771729
2024-09-18 19:00:00,10554861.00,4767649568.0000,1.061833,1.097270,1.225271,0.912268
2024-09-18 20:00:00,9989476.47,4679108942.0000,1.024695,1.146501,1.309321,1.132735
2024-09-18 21:00:00,10082921.88,4633695718.0000,1.073439,1.116647,1.246029,0.876293
2024-09-18 22:00:00,10142436.64,4626348636.0000,1.070905,1.136823,1.263274,1.194278
2024-09-18 23:00:00,10479885.45,4600072625.0000,1.066332,1.109476,1.259981,1.071160
2024-09-19 00:00:00,10316317.89,4550065446.0000,1.084353,1.072219,1.211263,1.151075
2024-09-19 01:00:00,10347169.86,4651584158.0000,1.126233,1.116534,1.254908,1.939721
2024-09-19 02:00:00,10435655.26,4711144083.0000,1.102137,1.107423,1.257980,1.470730
2024-09-19 03:00:00,9854873.76,4575575153.0000,1.182578,1.305010,1.308688,0.460042
2024-09-19 04:00:00,10138404.87,4636458575.0000,1.139563,1.375809,1.415417,1.408950
2024-09-19 05:00:00,10389321.49,4823358598.0000,1.175063,1.399483,1.476423,0.940212
2024-09-19 06:00:00,10993357.41,5058906252.0000,1.222540,1.393474,1.439116,1.294096
2024-09-19 07:00:00,11344608.55,5150927405.0000,1.248263,1.420849,1.490753,0.578720
2024-09-19 08:00:00,11315947.22,5234744515.0000,1.264663,1.449342,1.545904,1.429919
2024-09-19 09:00:00,11383048.29,5280588730.0000,1.293574,1.472477,1.556588,0.552653
2024-09-19 10:00:00,11573997.67,5363049753.0000,1.267989,1.505559,1.653259,0.822685
2024-09-19 11:00:00,11935605.96,5560755665.0000,1.295908,1.556287,1.714734,0.532999
2024-09-19 12:00:00,11707896.43,5445431915.0000,1.345330,1.535974,1.624050,0.605796
2024-09-19 13:00:00,11873381.03,5483480824.0000,1.368431,1.512021,1.614266,1.120991
2024-09-19 14:00:00,12333830.80,5631603346.0000,1.390958,1.421656,1.462909,0.817561
2024-09-19 15:00:00,11851808.79,5458493591.0000,1.364823,1.475452,1.576305,0.740090
2024-09-19 16:00:00,13120428.67,5819404182.0000,1.343874,1.409826,1.483509,1.222309
2024-09-19 17:00:00,14477416.86,6065084293.0000,1.336045,1.278302,1.359135,1.116327
2024-09-19 18:00:00,12293240.63,5282326114.0000,1.352786,1.298572,1.402861,0.497851
2024-09-19 19:00:00,12108951.47,5114765452.0000,1.382942,1.240268,1.347529,1.077633
2024-09-19 20:00:00,12095165.21,5081361681.0000,1.350883,1.245851,1.334522,0.957723
2024-09-19 21:00:00,12459285.56,5126877141.0000,1.360345,1.164336,1.215278,0.805457
2024-09-19 22:00:00,11907314.51,5022763399.0000,1.366895,1.166174,1.222946,0.732596
2024-09-19 23:00:00,11208042.53,4836076496.0000,1.397194,1.144155,1.196685,0.934169
2024-09-20 00:00:00,11464569.86,4920036160.0000,1.401301,1.169533,1.213505,0.650742
2024-09-20 01:00:00,10796354.95,4725295410.0000,1.414795,1.126856,1.152862,0.825149
2024-09-20 02:00:00,10013818.65,4379540191.0000,1.455787,1.073411,1.069184,0.867109
2024-09-20 03:00:00,10063315.83,4394154045.0000,1.495190,1.089138,1.078947,1.245507
2024-09-20 04:00:00,9974491.92,4372667539.0000,1.483548,1.154321,1.174072,0.988430
2024-09-20 05:00:00,10164252.03,4411950704.0000,1.471808,1.097845,1.161938,0.941659
2024-09-20 06:00:00,10749741.24,4638647659.0000,1.454140,1.142602,1.197652,0.982384
2024-09-20 07:00:00,10932844.67,4712900273.0000,1.421906,1.184919,1.244220,0.609341
2024-09-20 08:00:00,10940862.75,4765391676.0000,1.436622,1.167765,1.232277,0.984489
2024-09-20 09:00:00,10880509.66,4799392015.0000,1.450580,1.211111,1.294177,0.842641
2024-09-20 10:00:00,10772833.91,4862879364.0000,1.415800,1.269401,1.324026,0.468528
2024-09-20 11:00:00,10738733.49,4897582612.0000,1.434063,1.292178,1.310225,0.793628
2024-09-20 12:00:00,10241443.47,4812369182.0000,1.464198,1.286573,1.277323,1.101705
2024-09-20 13:00:00,10197339.56,4836162858.0000,1.427204,1.306632,1.332628,0.646392
2024-09-20 14:00:00,9985611.23,4824642695.0000,1.503416,1.305062,1.271408,1.276082
2024-09-20 15:00:00,9267929.45,4495786721.0000,1.438706,1.338144,1.381599,0.726860
