time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2021-12-01 00:00:00,10325075.08,10985960.0000,0.972217,4.576735,6.618629,0.622111
2021-12-01 01:00:00,10504619.25,10965102.0000,0.985176,4.568780,6.592233,0.573628
2021-12-01 02:00:00,10585164.34,10945734.0000,0.981038,4.176744,6.181049,0.856839
2021-12-01 03:00:00,10784158.65,11087969.0000,0.979800,3.748031,5.720387,1.537427
2021-12-01 04:00:00,10748067.29,10970774.0000,0.979831,3.244275,4.995772,1.024270
2021-12-01 05:00:00,10745583.76,10900369.0000,0.977236,2.866802,4.415995,0.281934
2021-12-01 06:00:00,10569375.08,10898058.0000,0.981279,2.863606,4.303735,0.478200
2021-12-01 07:00:00,10665593.09,10937948.0000,0.980239,2.901428,4.314477,0.676048
2021-12-01 08:00:00,10716560.94,10954512.0000,0.975438,2.880354,4.311696,1.274978
2021-12-01 09:00:00,10240145.27,10639580.0000,0.976684,2.972008,4.427209,0.794880
2021-12-01 10:00:00,10392930.60,10659416.0000,0.972889,2.995042,4.488746,0.594949
2021-12-01 11:00:00,10333264.18,10699176.0000,0.972998,3.004289,4.512621,0.817104
2021-12-01 12:00:00,10383839.44,10767523.0000,0.978162,3.036744,4.561724,0.532272
2021-12-01 13:00:00,10508754.96,10934647.0000,0.976917,3.082062,4.642763,0.483740
2021-12-01 14:00:00,10773223.94,11128185.0000,0.971583,3.081884,4.667979,1.114156
2021-12-01 15:00:00,10978874.16,11188147.0000,0.968847,2.995760,4.420555,0.980327
2021-12-01 16:00:00,10640233.42,11002206.0000,0.964456,3.321616,4.855034,0.752269
2021-12-01 17:00:00,10631119.49,10950959.0000,0.951853,3.256955,4.857143,0.381981
2021-12-01 18:00:00,10521054.24,10931983.0000,0.949342,3.894912,5.661699,0.537199
2021-12-01 19:00:00,10481336.03,10948528.0000,0.947829,4.611058,6.651801,0.439599
2021-12-01 20:00:00,10336502.66,10823563.0000,0.949402,4.739430,6.722711,2.416154
2021-12-01 21:00:00,9982503.72,10645153.0000,0.954822,4.798193,6.735081,0.451006
2021-12-01 22:00:00,9968413.56,10629573.0000,0.963508,4.643555,6.535936,3.265867
2021-12-01 23:00:00,10070474.94,10701891.0000,0.960509,4.641951,6.561170,1.640992
2021-12-02 00:00:00,10084343.57,10628524.0000,0.957694,4.650049,6.615316,2.949491
2021-12-02 01:00:00,10016473.40,10635457.0000,0.973016,4.683902,6.526129,2.171173
2021-12-02 02:00:00,10113736.51,10661082.0000,0.972889,4.537879,6.382353,0.948768
2021-12-02 03:00:00,10123903.50,10727089.0000,0.972995,4.625962,6.482910,0.709321
2021-12-02 04:00:00,9839181.02,10601243.0000,0.975148,4.994813,6.753283,0.688269
2021-12-02 05:00:00,9804273.08,10562673.0000,0.976844,5.010395,6.740187,0.395471
2021-12-02 06:00:00,9962076.82,10681139.0000,0.977856,4.812813,6.608022,1.174865
2021-12-02 07:00:00,9855426.14,10564290.0000,0.974405,4.826653,6.622040,1.500797
2021-12-02 08:00:00,9870622.75,10445060.0000,0.969777,4.604854,6.405669,1.307762
2021-12-02 09:00:00,9868378.20,10465986.0000,0.978052,4.514368,6.238961,0.865868
2021-12-02 10:00:00,9731477.31,10369182.0000,0.976893,4.526012,6.220678,1.971082
2021-12-02 11:00:00,9743938.74,10442545.0000,0.975211,4.578080,6.245431,0.673938
2021-12-02 12:00:00,9717109.70,10444013.0000,0.982312,4.854508,6.556673,1.077638
2021-12-02 13:00:00,9771089.68,10508808.0000,0.984461,4.808040,6.447321,0.613875
2021-12-02 14:00:00,9718080.06,10448398.0000,0.985723,4.798193,6.465950,0.799057
2021-12-02 15:00:00,9805494.11,10408215.0000,0.985793,4.713155,6.460303,0.404310
2021-12-02 16:00:00,9824123.34,10499307.0000,0.987947,4.616438,6.343915,0.719777
2021-12-02 17:00:00,9840729.91,10538370.0000,0.988217,4.674926,6.424866,0.853327
2021-12-02 18:00:00,9880887.42,10601687.0000,0.986560,4.862245,6.577516,1.300681
2021-12-02 19:00:00,9813120.49,10522048.0000,0.988178,4.875510,6.589674,0.244368
2021-12-02 20:00:00,9783793.64,10556210.0000,0.988361,4.855838,6.504014,1.827499
2021-12-02 21:00:00,9884618.04,10510666.0000,0.989702,4.806680,6.444840,1.458455
2021-12-02 22:00:00,9802899.65,10403386.0000,0.989558,4.681145,6.323427,3.430070
2021-12-02 23:00:00,9739359.39,10332375.0000,0.990721,4.675569,6.358839,0.740869
2021-12-03 00:00:00,9736440.53,10300530.0000,0.989302,4.695738,6.331584,0.659419
2021-12-03 01:00:00,9941724.76,10398206.0000,0.980777,3.144086,4.545695,2.382886
2021-12-03 02:00:00,9757326.03,10377926.0000,0.978615,3.246176,4.641901,2.306286
2021-12-03 03:00:00,9733648.28,10405307.0000,0.978834,3.168459,4.486257,3.200824
2021-12-03 04:00:00,9760806.97,10422280.0000,0.979141,3.377186,4.809790,0.662277
2021-12-03 05:00:00,9813635.69,10445368.0000,0.979368,3.431433,4.827368,1.103032
2021-12-03 06:00:00,9994830.69,10559264.0000,0.976949,3.367098,4.763194,1.931920
