time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2022-12-14 16:00:00,29323645.00,6283997.3000,1.011207,1.822526,1.959261,1.281621
2022-12-14 17:00:00,29291851.77,6291931.7000,1.010612,1.818337,1.941088,1.720984
2022-12-14 18:00:00,29245795.33,6285659.0000,1.010276,1.799208,1.925981,1.190503
2022-12-14 19:00:00,28948025.86,6189972.6000,1.023057,1.809830,2.000000,0.844031
2022-12-14 20:00:00,28081898.24,6154801.7000,1.032583,2.098262,2.231011,0.927306
2022-12-14 21:00:00,28139177.36,6179816.7000,1.029326,2.120401,2.241487,0.425347
2022-12-14 22:00:00,28261880.75,6183837.6000,1.026672,2.107333,2.252589,0.377466
2022-12-14 23:00:00,30230592.00,6465468.7000,1.029602,1.958156,2.168123,0.603520
2022-12-15 00:00:00,30567983.73,6509227.6000,1.028512,1.893192,2.109595,0.521738
2022-12-15 01:00:00,29846189.89,6437213.5000,1.015094,2.035220,2.232203,0.341549
2022-12-15 02:00:00,29007381.67,6407200.4000,1.026617,2.128137,2.269792,0.740958
2022-12-15 03:00:00,29693673.07,6395088.1000,1.029999,1.988889,2.107540,2.536656
2022-12-15 04:00:00,29916382.03,6395938.7000,1.021064,1.887779,2.001566,1.766681
2022-12-15 05:00:00,29588109.22,6343254.2000,1.016658,1.813654,1.852305,1.173840
2022-12-15 06:00:00,29646256.30,6377012.6000,1.021789,1.770314,1.782861,0.701926
2022-12-15 07:00:00,29828686.03,6423608.9000,1.022999,1.747998,1.734152,0.781767
2022-12-15 08:00:00,29761113.12,6414033.0000,1.028205,1.752132,1.712647,0.707006
2022-12-15 09:00:00,30832043.81,6538686.9000,1.016522,1.670213,1.633663,1.261074
2022-12-15 10:00:00,30708370.96,6542047.5000,0.989808,1.565385,1.539971,1.743524
2022-12-15 11:00:00,30912036.96,6564319.5000,0.984216,1.533427,1.493986,0.687333
2022-12-15 12:00:00,31924372.76,6701594.2000,0.988652,1.477422,1.472389,0.804602
2022-12-15 13:00:00,31759234.18,6739547.1000,0.993298,1.450922,1.390022,0.958228
2022-12-15 14:00:00,31982068.30,6780315.1000,0.999216,1.435601,1.372424,0.979523
2022-12-15 15:00:00,32656354.38,6869959.9000,1.007085,1.374694,1.320573,1.055564
