time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-08-15 03:00:00,833982.76,18186.2000,0.867041,0.888889,1.109208,1.129982
2024-08-15 04:00:00,1226687.55,27288.2000,0.999995,0.961310,1.015647,1.613604
2024-08-15 05:00:00,1816417.90,39617.5000,0.828499,0.909287,0.997953,0.710463
2024-08-15 06:00:00,3346660.00,70456.0000,0.868699,0.739675,1.007218,0.752190
2024-08-15 07:00:00,3991013.36,86332.0000,0.991028,0.734624,0.903122,0.605613
2024-08-15 08:00:00,3188629.55,69783.1000,0.984165,0.827247,1.069689,1.491805
2024-08-15 09:00:00,3451721.87,76064.3000,0.968481,0.788387,1.008669,1.278823
2024-08-15 10:00:00,3145254.29,72076.4000,0.964826,0.967456,1.057745,0.945347
2024-08-15 11:00:00,3292735.39,75048.1000,0.924733,0.938920,1.086640,1.124422
2024-08-15 12:00:00,3342377.91,75241.5000,0.903659,0.986686,1.162272,1.544069
2024-08-15 13:00:00,3303442.28,74896.1000,0.898058,0.983409,1.211705,0.579777
2024-08-15 14:00:00,3215315.28,72254.0000,0.891696,0.969970,1.184023,0.264080
2024-08-15 15:00:00,3074248.92,69536.8000,0.896310,1.049180,1.234568,0.932691
2024-08-15 16:00:00,3231901.21,70858.7000,0.903418,1.000000,1.296992,0.837961
2024-08-15 17:00:00,3183835.99,70337.7000,0.836860,1.039334,1.390937,0.794506
2024-08-15 18:00:00,2987436.13,67301.8000,0.861766,1.091918,1.336485,0.829752
2024-08-15 19:00:00,2986144.97,66296.9000,0.950570,1.025680,1.263158,0.463701
2024-08-15 20:00:00,2993981.64,66675.0000,0.897051,0.946328,1.232722,1.705180
2024-08-15 21:00:00,2982357.92,66912.8000,0.884682,0.985401,1.231152,1.224483
2024-08-15 22:00:00,2846927.64,65477.3000,0.920863,1.063566,1.313772,0.884002
2024-08-15 23:00:00,2541396.83,59017.6000,0.882414,1.093023,1.299475,1.107210
2024-08-16 00:00:00,2594455.76,61248.0000,0.877842,1.116554,1.381215,0.844169
2024-08-16 01:00:00,2921194.89,67570.2000,0.906647,1.046252,1.300699,0.751648
2024-08-16 02:00:00,2912497.64,67682.5000,0.913868,1.055292,1.323993,1.800968
