time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2023-11-17 14:00:00,626317.81,76846360.0000,0.659917,1.166667,2.029289,0.763233
2023-11-17 15:00:00,882774.03,108293775.0000,0.699463,1.523256,2.533582,1.198715
2023-11-17 16:00:00,698047.94,90130711.0000,0.820890,1.664671,1.996516,1.448919
2023-11-17 17:00:00,813229.49,102689048.0000,0.933496,1.674556,1.986799,1.834895
2023-11-17 18:00:00,815694.46,101052962.0000,0.899089,1.560440,2.045902,0.368524
2023-11-17 19:00:00,767092.02,93014674.0000,0.788007,1.251208,1.915916,5.588388
2023-11-17 20:00:00,780812.34,95816952.0000,0.871027,1.550265,2.060127,0.258032
2023-11-17 21:00:00,779206.97,96106200.0000,0.870222,1.556150,2.056962,12.119397
2023-11-17 22:00:00,792891.21,96623350.0000,0.862214,1.288462,2.006079,0.702121
2023-11-17 23:00:00,859408.59,104461966.0000,0.885938,1.300469,2.021084,0.884901
2023-11-18 00:00:00,849636.52,103880245.0000,0.883241,1.328502,2.036697,0.355551
2023-11-18 01:00:00,800158.90,100295173.0000,0.870046,1.564103,1.984663,0.358834
2023-11-18 02:00:00,773232.71,97851300.0000,0.877025,1.557214,2.043478,0.198816
2023-11-18 03:00:00,870665.70,109115276.0000,1.002476,1.641256,1.891599,1.435555
2023-11-18 04:00:00,855344.23,108504913.0000,1.001387,1.666667,1.953930,1.017986
2023-11-18 05:00:00,888283.68,113650705.0000,0.984849,1.679825,1.994475,0.419089
2023-11-18 06:00:00,941907.35,118434220.0000,0.912380,1.345725,1.795918,1.126842
2023-11-18 07:00:00,924522.84,121137689.0000,0.959928,1.768240,2.117978,0.467337
2023-11-18 08:00:00,987673.84,126550544.0000,1.038785,1.657480,2.178571,1.516557
2023-11-18 09:00:00,1099291.46,141133837.0000,1.005563,1.549020,1.992000,1.550212
2023-11-18 10:00:00,1139349.80,145696906.0000,0.970430,1.571429,1.992000,0.304880
2023-11-18 11:00:00,1209635.40,155690852.0000,0.991626,1.651822,2.101370,0.399906
2023-11-18 12:00:00,1248199.85,162204148.0000,0.997333,1.586873,2.050265,0.189522
2023-11-18 13:00:00,1311032.12,165158997.0000,0.959869,1.477778,1.956186,0.863673
2023-11-18 14:00:00,1452521.95,181207585.0000,0.876465,1.356902,1.918072,1.627633
2023-11-18 15:00:00,1556258.25,190649934.0000,0.878737,1.278846,1.776286,0.810166
2023-11-18 16:00:00,1740224.77,213944525.0000,0.895113,1.316667,1.773333,0.860517
2023-11-18 17:00:00,1753355.46,215135639.0000,0.910264,1.160494,1.636559,0.357919
2023-11-18 18:00:00,1822955.12,222855421.0000,0.915588,1.243750,1.615546,0.294111
2023-11-18 19:00:00,1786335.00,219370625.0000,0.891800,1.450172,1.812217,0.594483
2023-11-18 20:00:00,1806430.84,222487128.0000,0.890482,1.408784,1.791480,1.841890
2023-11-18 21:00:00,1919930.23,231723668.0000,0.897073,1.187692,1.582822,0.722394
2023-11-18 22:00:00,1919517.55,228795631.0000,0.904529,1.250774,1.681633,1.183753
2023-11-18 23:00:00,1886888.33,227931586.0000,0.911065,1.250774,1.594059,0.414169
2023-11-19 00:00:00,1930960.24,228573080.0000,0.902317,1.224242,1.596899,1.361932
2023-11-19 01:00:00,1944856.62,232909987.0000,0.905926,1.231231,1.581132,0.827279
2023-11-19 02:00:00,1896191.89,231496996.0000,0.890842,1.453020,1.692000,1.212788
2023-11-19 03:00:00,2013089.31,241443621.0000,1.013461,1.258621,1.554152,0.695956
2023-11-19 04:00:00,2118923.53,249843595.0000,0.999802,1.182306,1.399671,2.793827
2023-11-19 05:00:00,2344111.74,274553022.0000,0.975672,1.233990,1.588410,0.635052
2023-11-19 06:00:00,2142338.25,255313818.0000,0.963553,1.266129,1.712821,1.427470
2023-11-19 07:00:00,2146830.18,257351975.0000,0.960209,1.319328,1.847426,0.292968
2023-11-19 08:00:00,2191959.88,258441339.0000,0.956822,1.281081,1.775618,1.944971
2023-11-19 09:00:00,2170573.43,260354256.0000,0.958239,1.445402,1.895131,1.657816
2023-11-19 10:00:00,2273815.92,269771295.0000,0.960968,1.490463,1.989565,1.408389
2023-11-19 11:00:00,2320117.11,279188746.0000,0.944448,1.627119,2.348748,0.361404
2023-11-19 12:00:00,2274382.42,275179057.0000,0.951798,1.575000,2.133816,0.728951
2023-11-19 13:00:00,2294020.50,277979866.0000,0.943676,1.540166,2.143636,0.824884
2023-11-19 14:00:00,2274779.48,275266730.0000,0.950596,1.579545,2.172862,2.023390
2023-11-19 15:00:00,2305183.05,272507001.0000,0.972878,1.269231,1.769759,2.026370
2023-11-19 16:00:00,2443304.33,285902016.0000,0.985079,1.341085,1.736577,1.048924
