time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2023-08-10 13:00:00,4062064.26,6813819.0000,0.906377,1.619433,2.144610,1.046341
2023-08-10 14:00:00,8193978.75,13480001.0000,0.919514,1.228025,1.460050,0.907182
2023-08-10 15:00:00,9547502.32,15547529.0000,1.028014,1.030928,1.201510,1.122684
2023-08-10 16:00:00,9984533.47,16492457.0000,1.031018,1.023971,1.168297,1.068360
2023-08-10 17:00:00,10564644.11,17494029.0000,1.045474,0.953774,1.105589,0.853650
2023-08-10 18:00:00,10671690.87,17785732.0000,1.036713,0.981798,1.119314,0.990571
2023-08-10 19:00:00,9870578.62,16663259.0000,1.104708,1.034016,1.111472,1.122247
2023-08-10 20:00:00,10041843.32,16599969.0000,1.110747,0.978840,1.085925,1.044967
2023-08-10 21:00:00,11480327.69,18385032.0000,1.090345,0.832372,1.002796,1.386511
2023-08-10 22:00:00,11851777.16,19181120.0000,1.096112,0.806779,0.965505,1.052233
2023-08-10 23:00:00,12099818.14,19523522.0000,1.099504,0.816949,0.975923,1.270853
2023-08-11 00:00:00,12473641.36,20185706.0000,1.083365,0.832694,1.003635,0.941583
2023-08-11 01:00:00,12750377.86,20551544.0000,1.058358,0.808305,0.976659,1.124881
2023-08-11 02:00:00,12172070.47,20655134.0000,1.109753,0.983709,1.078901,0.742608
2023-08-11 03:00:00,13466621.85,24677231.0000,0.901645,1.126142,1.099780,1.133557
2023-08-11 04:00:00,12805601.59,23746262.0000,0.934911,1.123601,1.087784,0.468728
2023-08-11 05:00:00,12349280.69,23165036.0000,0.973424,1.224095,1.182514,0.825528
2023-08-11 06:00:00,11939826.14,22312369.0000,1.000709,1.369553,1.312839,0.818346
2023-08-11 07:00:00,11961210.29,22608506.0000,0.999806,1.509864,1.415828,1.367984
2023-08-11 08:00:00,12072360.76,22929542.0000,1.006547,1.635762,1.514094,1.265455
2023-08-11 09:00:00,12484794.27,23785091.0000,1.001165,1.850177,1.676689,1.462583
2023-08-11 10:00:00,12549661.37,23935093.0000,0.966883,2.060744,1.896166,0.841406
2023-08-11 11:00:00,12941482.06,24539790.0000,0.959839,2.115886,1.931918,1.013901
2023-08-11 12:00:00,13003589.15,25069653.0000,0.945518,2.195276,2.032218,0.601019
2023-08-11 13:00:00,13339255.07,25549234.0000,0.941570,2.317033,2.169909,1.337084
2023-08-11 14:00:00,13787880.47,26105561.0000,0.935340,2.355863,2.249339,1.086860
2023-08-11 15:00:00,14710729.41,27191076.0000,0.930903,2.683277,2.833499,2.231543
2023-08-11 16:00:00,14017684.16,25927369.0000,0.932211,2.594025,2.799380,1.197124
2023-08-11 17:00:00,13943061.18,25916776.0000,0.920661,2.543706,2.709579,0.758830
2023-08-11 18:00:00,13946794.83,25759001.0000,0.924665,2.566964,2.738883,1.950358
2023-08-11 19:00:00,13463159.54,25150681.0000,0.925614,2.656104,2.822115,1.194921
2023-08-11 20:00:00,13091385.59,24658854.0000,0.926320,2.740670,2.867904,2.122202
2023-08-11 21:00:00,13335636.34,24697112.0000,0.922970,2.601283,2.765813,1.163681
2023-08-11 22:00:00,13089522.84,24329018.0000,0.919553,2.605699,2.747527,0.828533
2023-08-11 23:00:00,12983873.51,23679762.0000,0.906893,2.499547,2.729067,1.557102
2023-08-12 00:00:00,12984746.96,23600049.0000,0.888467,2.439856,2.704691,1.014357
2023-08-12 01:00:00,12578579.17,23045924.0000,0.890675,2.393279,2.695724,0.701785
2023-08-12 02:00:00,12228114.02,22737289.0000,0.906897,2.444651,2.674379,1.361455
2023-08-12 03:00:00,11998115.54,22305476.0000,0.901625,2.532951,2.872866,0.973548
2023-08-12 04:00:00,11745623.82,22074091.0000,0.897025,2.554902,2.878679,0.985712
2023-08-12 05:00:00,11643334.04,21939578.0000,0.892528,2.665310,3.105563,0.965050
2023-08-12 06:00:00,11486901.45,21712685.0000,0.890598,2.728408,3.152216,1.443217
2023-08-12 07:00:00,11344799.38,21559862.0000,0.890515,2.818084,3.252667,1.822005
2023-08-12 08:00:00,11220759.85,21489954.0000,0.901835,3.074332,3.542545,2.030525
2023-08-12 09:00:00,11242728.82,21293047.0000,0.896039,3.072664,3.590776,1.063080
2023-08-12 10:00:00,11731803.85,21753762.0000,0.899766,2.811181,3.326265,1.342242
2023-08-12 11:00:00,11291436.91,21356983.0000,0.893892,3.113689,3.680000,0.684237
2023-08-12 12:00:00,11235917.93,21107367.0000,0.893828,3.168433,3.745127,0.906067
2023-08-12 13:00:00,11118473.34,20950581.0000,0.893241,3.143698,3.690706,0.840314
2023-08-12 14:00:00,10985552.72,20798093.0000,0.894451,3.160142,3.714929,0.613575
2023-08-12 15:00:00,10960228.93,20659688.0000,0.898095,3.138298,3.683934,0.525450
2023-08-12 16:00:00,10582362.42,20110913.0000,0.884143,3.347826,4.013622,1.378545
2023-08-12 17:00:00,10545012.81,20154841.0000,0.886675,3.390921,4.065907,2.098787
2023-08-12 18:00:00,10509388.98,20154821.0000,0.881278,3.469520,4.195101,1.549582
2023-08-12 19:00:00,10587843.10,20048936.0000,0.883910,3.302414,4.071309,2.761250
2023-08-12 20:00:00,10501117.09,20018622.0000,0.884589,3.516129,4.190435,0.377429
2023-08-12 21:00:00,10437805.37,19976661.0000,0.885329,3.527027,4.269912,0.603059
2023-08-12 22:00:00,10431520.53,19941733.0000,0.885553,3.564979,4.336927,0.106354
2023-08-12 23:00:00,10483754.15,19806097.0000,0.892220,3.261480,4.064048,1.083096
