time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-03-16 13:00:00,10562319.83,453966080.0000,0.795923,1.571606,2.100723,1.004779
2024-03-16 14:00:00,18875136.54,708145226.0000,0.888115,1.375566,1.812608,0.975642
2024-03-16 15:00:00,24164956.28,1060610792.0000,0.957392,2.146431,2.306742,1.009912
2024-03-16 16:00:00,25589694.63,1089590376.0000,0.997556,2.098955,2.362082,1.115176
2024-03-16 17:00:00,26921719.80,1175162690.0000,1.022339,2.249666,2.368125,0.868039
2024-03-16 18:00:00,27412375.42,1503672759.0000,1.007748,2.659286,2.095830,0.870730
2024-03-16 19:00:00,28903006.08,1669854240.0000,1.009397,2.648766,1.971808,1.027856
2024-03-16 20:00:00,29630436.61,1515906377.0000,1.051223,2.584765,2.198812,0.803877
2024-03-16 21:00:00,33309615.86,1549087040.0000,1.098197,2.302234,2.075642,1.081427
2024-03-16 22:00:00,29177459.01,1543581623.0000,1.050901,2.673668,2.288654,0.809254
2024-03-16 23:00:00,29794915.70,1546433394.0000,1.037716,2.820896,2.370766,0.816364
2024-03-17 00:00:00,34406382.16,1648999864.0000,1.076164,2.639114,2.115074,1.332495
2024-03-17 01:00:00,32637489.32,1587907684.0000,1.102582,2.485142,2.249181,0.804833
2024-03-17 02:00:00,37803077.40,1667177984.0000,1.158743,2.213666,2.277404,1.236072
2024-03-17 03:00:00,41598814.89,1783831801.0000,1.125344,1.923660,1.981774,0.885720
2024-03-17 04:00:00,40800828.56,1833897585.0000,1.144034,2.240104,2.304072,1.049124
2024-03-17 05:00:00,40773082.75,1933564886.0000,1.156559,2.407051,2.435637,1.056498
2024-03-17 06:00:00,39796714.59,2016837145.0000,1.152050,2.589829,2.533379,1.075776
2024-03-17 07:00:00,39620786.15,2147435494.0000,1.172720,2.860560,2.702791,0.979755
2024-03-17 08:00:00,40420020.70,1983541847.0000,1.162950,2.392063,2.390474,1.014820
2024-03-17 09:00:00,38913388.25,2019054995.0000,1.152468,2.800587,2.755619,0.718471
2024-03-17 10:00:00,41577451.43,2399575889.0000,1.098872,3.400999,3.228690,0.705819
2024-03-17 11:00:00,42050779.29,2344274712.0000,1.066929,3.552851,3.600635,1.021196
2024-03-17 12:00:00,43515555.29,2570896236.0000,1.043675,3.698393,3.724719,0.672843
2024-03-17 13:00:00,51076453.18,3360606924.0000,1.169914,3.345436,2.824274,0.968546
2024-03-17 14:00:00,52763999.61,3248006752.0000,1.165802,3.264467,2.958759,1.063644
2024-03-17 15:00:00,49648827.03,3152846966.0000,1.172117,3.438278,3.310636,1.136793
2024-03-17 16:00:00,50891787.12,2960327371.0000,1.226335,3.265041,3.326927,0.884314
2024-03-17 17:00:00,47865055.52,2860501373.0000,1.196998,3.303383,3.459611,1.082249
2024-03-17 18:00:00,52761618.40,2890414068.0000,1.184906,3.212578,3.509351,0.897974
2024-03-17 19:00:00,52137564.45,2883802574.0000,1.187319,3.231371,3.540080,1.061031
2024-03-17 20:00:00,52366714.21,2920505848.0000,1.165979,3.335813,3.672061,0.999650
