time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2021-12-01 00:00:00,32711252.64,34518530.0000,0.981190,3.491353,4.769372,0.741151
2021-12-01 01:00:00,33766563.84,35202843.0000,0.992427,3.450522,4.734934,1.625013
2021-12-01 02:00:00,33818721.06,35471436.0000,0.992389,3.460965,4.744007,0.713742
2021-12-01 03:00:00,33469913.16,35414150.0000,0.987760,3.538306,4.855119,1.045255
2021-12-01 04:00:00,34586615.80,35803555.0000,0.986162,3.287645,4.565778,0.578516
2021-12-01 05:00:00,35633976.31,36177945.0000,0.982215,3.115028,4.315567,1.123575
2021-12-01 06:00:00,35578125.48,35170005.0000,0.977028,2.682600,3.748850,1.169407
2021-12-01 07:00:00,34336819.62,34902994.0000,0.979726,3.079293,4.184895,0.644658
2021-12-01 08:00:00,34847256.58,35624329.0000,0.977405,3.226704,4.417443,1.288809
2021-12-01 09:00:00,34872379.89,35656315.0000,0.973117,3.285580,4.494204,1.569427
2021-12-01 10:00:00,36109326.42,36692741.0000,0.973399,3.281104,4.588737,1.130969
2021-12-01 11:00:00,34960412.81,36485507.0000,0.968324,3.514871,4.918413,0.455341
2021-12-01 12:00:00,35180065.39,36486274.0000,0.965636,3.531250,4.971034,1.134769
2021-12-01 13:00:00,35047031.52,36198672.0000,0.965150,3.496347,4.960427,2.111047
2021-12-01 14:00:00,35137892.45,36310729.0000,0.967140,3.511776,5.009870,1.475335
2021-12-01 15:00:00,35475726.34,36340384.0000,0.966859,3.511503,4.983058,1.576907
2021-12-01 16:00:00,35239354.54,36389255.0000,0.967420,3.560336,5.052299,0.585303
2021-12-01 17:00:00,35491751.07,36946418.0000,0.968086,3.623944,5.163942,0.399838
2021-12-01 18:00:00,35423924.93,37108658.0000,0.963468,3.718671,5.327483,1.049967
2021-12-01 19:00:00,35071388.78,36877967.0000,0.963196,3.767513,5.392075,1.555245
2021-12-01 20:00:00,34883781.37,36754590.0000,0.963652,3.744724,5.312960,0.876666
