time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-11-15 12:00:00,726756.60,25271599.0000,0.870715,2.168539,2.173709,1.049340
2024-11-15 13:00:00,1237666.62,42768637.0000,1.195681,2.469799,2.691843,1.010471
2024-11-15 14:00:00,2354253.38,85261749.0000,1.089322,3.340136,3.455882,1.091197
2024-11-15 15:00:00,2652942.45,99978875.0000,1.239463,3.851852,3.521411,1.132248
2024-11-15 16:00:00,3316479.08,126837621.0000,1.218336,4.046875,3.491803,0.758589
2024-11-15 17:00:00,3785127.00,144498017.0000,1.354727,4.292079,4.366446,0.830869
2024-11-15 18:00:00,4074727.43,155369290.0000,1.484401,4.562814,4.450317,1.014002
2024-11-15 19:00:00,4072470.44,159994847.0000,1.503477,4.297778,4.159615,1.117287
2024-11-15 20:00:00,3986189.62,158056686.0000,1.496929,5.004785,4.391635,1.402244
2024-11-15 21:00:00,4663833.37,163197375.0000,1.586546,3.969957,4.616842,1.422537
2024-11-15 22:00:00,4248911.56,156747073.0000,1.586309,4.618812,4.787810,0.923917
2024-11-15 23:00:00,4385076.23,160690780.0000,1.563253,4.192825,4.620690,0.719128
2024-11-16 00:00:00,4111756.70,156257380.0000,1.636611,5.109948,5.267943,0.666605
2024-11-16 01:00:00,4232830.15,160626219.0000,1.626331,4.523148,4.888889,0.607742
2024-11-16 02:00:00,4305905.03,158791280.0000,1.585181,4.130802,4.559426,0.798419
2024-11-16 03:00:00,4441607.65,167280849.0000,1.797731,5.080952,5.161220,0.595479
2024-11-16 04:00:00,4592631.38,169758068.0000,1.796597,5.161702,5.053608,0.670886
2024-11-16 05:00:00,4879837.24,175574955.0000,1.781880,4.024306,4.093103,0.725044
2024-11-16 06:00:00,5046160.44,179147816.0000,1.793569,4.235075,4.093310,0.687428
2024-11-16 07:00:00,4618211.41,170225515.0000,1.776751,4.469697,4.441989,0.953012
2024-11-16 08:00:00,4911361.69,181767642.0000,1.733185,4.810078,4.772388,0.726945
2024-11-16 09:00:00,4996104.41,184586275.0000,1.726092,4.732601,4.562607,0.769823
2024-11-16 10:00:00,5189364.94,194766737.0000,1.699319,5.479839,4.896127,0.869234
2024-11-16 11:00:00,5341881.31,201544377.0000,1.664959,5.741803,4.975986,0.889762
2024-11-16 12:00:00,5324723.13,203816217.0000,1.732334,6.324786,5.224168,0.808548
2024-11-16 13:00:00,5624397.48,213798513.0000,1.693673,4.652038,4.483261,1.111094
2024-11-16 14:00:00,5441427.38,216236164.0000,1.812305,5.280277,4.678248,0.724872
2024-11-16 15:00:00,6298112.58,251152761.0000,1.925415,5.156923,4.816667,0.894790
2024-11-16 16:00:00,5975781.99,263756558.0000,2.041156,6.251880,4.416667,0.905942
2024-11-16 17:00:00,6259910.55,287059027.0000,1.947821,5.452308,4.144472,1.010340
2024-11-16 18:00:00,6914422.30,309757218.0000,1.919333,5.515942,4.271445,0.906354
2024-11-16 19:00:00,8478151.03,369756685.0000,1.810592,4.780856,4.211124,0.942856
2024-11-16 20:00:00,8477898.72,370022605.0000,1.883988,5.000000,4.381123,0.779186
2024-11-16 21:00:00,8431743.61,369904819.0000,1.937029,5.029491,4.296600,1.052537
2024-11-16 22:00:00,8527894.69,374770147.0000,2.048504,4.657635,4.169283,1.040645
2024-11-16 23:00:00,8474663.71,374198145.0000,2.140604,5.086842,4.369213,0.870260
2024-11-17 00:00:00,8582000.48,378211647.0000,2.211541,5.095855,4.413991,0.730239
2024-11-17 01:00:00,8620905.79,383658138.0000,2.239655,4.839024,4.295806,0.907615
2024-11-17 02:00:00,8500472.61,390985777.0000,2.301046,5.017544,4.161361,0.607216
2024-11-17 03:00:00,8528305.89,386400088.0000,2.538068,4.637890,3.747908,0.926753
2024-11-17 04:00:00,8639222.19,385606400.0000,2.710568,4.610723,3.822529,1.056911
2024-11-17 05:00:00,8812919.95,392618192.0000,2.695906,4.434004,3.794845,1.221383
2024-11-17 06:00:00,8639806.14,393530744.0000,2.744690,4.667442,3.813456,0.931674
2024-11-17 07:00:00,8748224.46,396961627.0000,2.653352,4.662100,3.895792,0.916258
2024-11-17 08:00:00,9014698.18,405947347.0000,2.580742,4.749436,3.947211,0.742028
2024-11-17 09:00:00,9279042.82,412820044.0000,2.441985,4.811791,4.042786,0.633530
2024-11-17 10:00:00,9824176.06,428055431.0000,2.392827,4.672606,4.082000,0.815238
2024-11-17 11:00:00,10336304.44,436725636.0000,2.356167,3.835031,3.527751,0.585301
2024-11-17 12:00:00,10560923.91,441147615.0000,2.348399,3.486486,3.294229,1.124533
2024-11-17 13:00:00,10124340.24,429473164.0000,2.369867,3.527559,3.295302,0.895166
2024-11-17 14:00:00,9979260.72,433589830.0000,2.406528,3.612121,3.313230,0.685193
2024-11-17 15:00:00,15816055.42,566304209.0000,1.862670,1.712755,1.665782,0.695000
2024-11-17 16:00:00,15259737.43,566055992.0000,1.829546,2.275109,2.095366,0.495855
2024-11-17 17:00:00,14963849.33,562529579.0000,1.896047,2.426731,2.317437,1.009837
2024-11-17 18:00:00,15617613.73,597614676.0000,1.919944,2.667808,2.501961,0.767163
2024-11-17 19:00:00,16711613.23,611737611.0000,1.902997,2.393939,2.264535,0.963163
2024-11-17 20:00:00,14684485.78,557402757.0000,2.195445,2.554783,2.347756,0.973870
2024-11-17 21:00:00,13811929.75,548869798.0000,2.241209,2.775432,2.439485,1.483058
