time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-08-26 13:00:00,16812789.88,13771718908.0000,1.071754,1.364850,1.469853,0.860150
2024-08-26 14:00:00,23211846.31,19442035606.0000,1.205133,1.814497,1.709692,0.921009
2024-08-26 15:00:00,27913185.47,22380681099.0000,1.247777,1.829630,1.597046,1.067267
2024-08-26 16:00:00,33569107.28,24625948006.0000,1.148334,1.237777,1.435539,0.905884
2024-08-26 17:00:00,32318888.94,24380574035.0000,1.118721,1.419635,1.470038,0.954566
2024-08-26 18:00:00,31784360.13,24683047395.0000,1.156069,1.356076,1.457767,1.112569
2024-08-26 19:00:00,29875475.78,23846963426.0000,1.163317,1.448529,1.516584,0.947198
2024-08-26 20:00:00,30498975.85,24244018959.0000,1.171934,1.424493,1.535949,0.912754
2024-08-26 21:00:00,28903476.20,24187616594.0000,1.223751,1.553887,1.541478,0.905974
2024-08-26 22:00:00,29739219.01,24707119904.0000,1.263166,1.611537,1.654275,0.793491
2024-08-26 23:00:00,31275614.33,25610558739.0000,1.295453,1.611209,1.663791,1.464435
2024-08-27 00:00:00,31373665.94,25567326169.0000,1.307752,1.709259,1.785978,1.384682
2024-08-27 01:00:00,33215229.61,26971359816.0000,1.286027,1.825641,1.853402,1.064129
2024-08-27 02:00:00,34513124.95,27939289518.0000,1.194014,1.721934,1.993110,0.754567
2024-08-27 03:00:00,35193783.96,28634017002.0000,1.182444,1.759730,2.080528,0.945354
2024-08-27 04:00:00,37281495.55,29598589638.0000,1.161222,1.658218,1.876836,1.105668
2024-08-27 05:00:00,40910518.02,31608219130.0000,1.172117,1.417891,1.696106,0.977193
2024-08-27 06:00:00,42683105.27,33021635231.0000,1.163783,1.459405,1.763769,0.807352
2024-08-27 07:00:00,40613317.64,32621138669.0000,1.178701,1.575259,1.925085,1.173212
2024-08-27 08:00:00,41982811.65,33551087777.0000,1.136300,1.645877,2.089990,0.808116
2024-08-27 09:00:00,44054733.42,34321232019.0000,1.146512,1.397290,1.727901,0.900768
2024-08-27 10:00:00,45028719.31,35438383868.0000,1.178411,1.415165,1.719379,0.988775
2024-08-27 11:00:00,41652902.13,34119349712.0000,1.203942,1.691429,2.025322,1.318691
2024-08-27 12:00:00,43108679.48,35357298852.0000,1.172796,1.737011,2.142351,0.763755
2024-08-27 13:00:00,45495035.97,36504080857.0000,1.163839,1.609596,1.982040,1.030988
2024-08-27 14:00:00,45340593.69,37130942336.0000,1.142837,1.631006,2.047887,0.906537
2024-08-27 15:00:00,47096618.96,37437693927.0000,1.240564,1.360179,1.633653,0.820982
2024-08-27 16:00:00,46527217.81,37564967790.0000,1.260864,1.506659,1.782853,1.335546
2024-08-27 17:00:00,44077776.56,36303701845.0000,1.241778,1.743846,2.129984,1.119253
2024-08-27 18:00:00,44665020.63,36251132725.0000,1.274772,1.723871,2.101106,1.558510
2024-08-27 19:00:00,44942904.48,36587134665.0000,1.314679,1.703416,2.083834,1.182922
2024-08-27 20:00:00,44513808.56,36707878251.0000,1.267680,1.811216,2.292571,0.887037
2024-08-27 21:00:00,43641401.48,36107260503.0000,1.219788,1.898336,2.370592,0.845792
2024-08-27 22:00:00,41292511.92,34623940903.0000,1.283424,1.938291,2.288506,1.196600
2024-08-27 23:00:00,42071028.71,34548449352.0000,1.282630,1.812144,2.120832,0.822336
2024-08-28 00:00:00,43727181.38,35578901383.0000,1.252278,1.815053,2.138376,1.090571
2024-08-28 01:00:00,43390679.17,35627748949.0000,1.250639,1.900118,2.227659,1.112681
2024-08-28 02:00:00,45570623.06,36409893783.0000,1.343615,1.708585,1.952794,1.262190
2024-08-28 03:00:00,46516268.42,36981657489.0000,1.341364,1.615434,1.881381,1.389324
2024-08-28 04:00:00,46799040.31,37451216639.0000,1.323890,1.666449,1.965748,0.717649
2024-08-28 05:00:00,44907691.70,36454895157.0000,1.336431,1.762315,2.174112,0.930575
2024-08-28 06:00:00,44971762.33,36609435156.0000,1.320439,1.781034,2.228604,1.127087
2024-08-28 07:00:00,45531214.85,36832486509.0000,1.330371,1.778457,2.212142,1.284239
2024-08-28 08:00:00,45769068.99,36759056621.0000,1.378267,1.614103,1.927511,1.068561
2024-08-28 09:00:00,54364744.34,39415592554.0000,1.401690,1.117917,1.448637,1.211061
2024-08-28 10:00:00,63038126.67,40965769867.0000,1.353322,0.857669,1.141309,1.006861
2024-08-28 11:00:00,70878824.05,44454020589.0000,1.440974,0.768097,1.031184,0.898471
2024-08-28 12:00:00,72963882.65,47470077516.0000,1.464955,0.762456,0.942583,0.867950
2024-08-28 13:00:00,76161483.14,48774564932.0000,1.503025,0.756502,0.945362,1.317714
2024-08-28 14:00:00,76330420.80,49768807981.0000,1.518234,0.776844,0.981607,0.851906
