time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-02-07 08:00:00,1780402.91,348557.6000,1.083898,0.659259,0.698925,1.006412
2024-02-07 09:00:00,2667043.36,529105.9000,1.038440,0.684211,0.579259,1.316348
2024-02-07 10:00:00,3709291.95,714902.0000,0.969626,0.632686,0.573643,0.988969
2024-02-07 11:00:00,5836692.25,1040934.8000,0.859458,0.539515,0.577111,1.206307
2024-02-07 12:00:00,8972328.13,1531296.3000,0.772094,0.515110,0.623892,1.037113
2024-02-07 13:00:00,9796262.87,1725420.4000,0.776018,0.518424,0.522924,0.866026
2024-02-07 14:00:00,9739814.53,1733988.7000,0.788649,0.558553,0.529525,0.983124
2024-02-07 15:00:00,11107883.38,1839662.7000,0.845253,0.424775,0.517632,0.946283
2024-02-07 16:00:00,13418569.66,2169123.4000,0.892397,0.392172,0.495698,1.467539
2024-02-07 17:00:00,14194545.85,2326280.4000,0.902501,0.418934,0.487789,1.299229
2024-02-07 18:00:00,14243165.65,2360391.4000,0.877127,0.450000,0.518534,1.236969
2024-02-07 19:00:00,14537474.22,2388674.7000,0.906842,0.466743,0.541805,1.135441
2024-02-07 20:00:00,13536208.96,2300535.8000,0.948413,0.479837,0.505792,0.826247
2024-02-07 21:00:00,12995599.13,2208193.8000,0.952094,0.494292,0.528027,0.906796
2024-02-07 22:00:00,12054157.73,2094632.6000,0.951987,0.582097,0.552523,1.061496
2024-02-07 23:00:00,12005066.43,2146607.7000,0.906943,0.683226,0.630857,0.913080
2024-02-08 00:00:00,12146379.09,2120094.4000,0.887557,0.652649,0.659872,0.721016
2024-02-08 01:00:00,13214867.86,2225169.0000,0.870157,0.634249,0.694799,1.407895
2024-02-08 02:00:00,14367084.35,2361025.9000,0.858746,0.569360,0.662048,1.313249
2024-02-08 03:00:00,14068179.29,2389772.2000,0.893939,0.605783,0.663880,0.900188
2024-02-08 04:00:00,14152630.68,2399157.6000,0.883718,0.602104,0.664879,1.646405
2024-02-08 05:00:00,14895353.76,2478480.5000,0.998155,0.607204,0.635823,1.189370
2024-02-08 06:00:00,15235074.09,2532005.0000,1.020178,0.586574,0.602830,0.782092
2024-02-08 07:00:00,16559605.46,2703647.1000,1.010064,0.540947,0.572145,1.065596
2024-02-08 08:00:00,21751510.53,3387039.8000,0.992894,0.472363,0.531423,1.000782
2024-02-08 09:00:00,23790340.31,3701577.0000,0.985464,0.476626,0.530029,0.694230
2024-02-08 10:00:00,25162746.63,3800889.1000,0.978666,0.454175,0.536027,1.380643
2024-02-08 11:00:00,27823882.17,4055959.5000,0.961675,0.464921,0.546848,0.890239
2024-02-08 12:00:00,27548383.73,4050834.3000,0.970037,0.463685,0.522847,0.792436
2024-02-08 13:00:00,31138746.07,4361679.6000,0.939952,0.456534,0.552435,1.432682
2024-02-08 14:00:00,30039636.56,4317900.9000,0.971532,0.459605,0.518107,0.858552
2024-02-08 15:00:00,31922124.40,4515042.5000,0.982756,0.430636,0.520047,0.715216
2024-02-08 16:00:00,33010469.25,4533527.4000,0.986842,0.406382,0.512180,0.990962
2024-02-08 17:00:00,35569310.19,4607423.6000,0.973372,0.426920,0.556895,0.907878
2024-02-08 18:00:00,35218203.55,4576169.9000,0.974324,0.466825,0.594118,0.923699
2024-02-08 19:00:00,37359523.99,4786477.2000,0.971261,0.460317,0.621596,0.949575
2024-02-08 20:00:00,36343174.72,4695158.5000,0.967485,0.476604,0.635034,0.576682
2024-02-08 21:00:00,36401875.29,4787830.5000,0.989370,0.477750,0.573255,0.874759
2024-02-08 22:00:00,36417717.08,4762955.8000,0.992829,0.472472,0.573443,0.823896
2024-02-08 23:00:00,34744305.78,4681259.2000,1.009193,0.481399,0.532395,1.109193
2024-02-09 00:00:00,33470271.67,4602226.2000,1.021924,0.499620,0.520380,0.733702
2024-02-09 01:00:00,33192703.39,4394845.8000,0.970356,0.504156,0.565143,1.768094
2024-02-09 02:00:00,33819423.07,4441286.4000,0.957841,0.549721,0.620328,0.884146
2024-02-09 03:00:00,34011683.71,4416809.6000,0.944931,0.563254,0.664011,1.074135
2024-02-09 04:00:00,34285129.32,4503718.6000,0.958587,0.563118,0.652443,0.810101
2024-02-09 05:00:00,35957389.73,4588587.2000,0.954146,0.531949,0.628103,1.022511
2024-02-09 06:00:00,35285032.88,4539642.2000,0.955280,0.541258,0.634303,1.232877
2024-02-09 07:00:00,37077193.61,4673040.0000,0.951559,0.529042,0.640635,1.227595
2024-02-09 08:00:00,38695607.88,4890605.5000,0.935473,0.539221,0.646937,0.833504
2024-02-09 09:00:00,36587949.10,4739543.3000,0.932488,0.571403,0.685083,0.870225
2024-02-09 10:00:00,37341365.78,4748484.8000,0.920531,0.561354,0.690039,1.025052
2024-02-09 11:00:00,35864751.50,4645693.2000,0.935523,0.583502,0.700677,1.008814
2024-02-09 12:00:00,33500635.82,4419409.7000,0.928103,0.631403,0.737606,1.058412
2024-02-09 13:00:00,33009841.64,4394589.2000,0.929458,0.635540,0.739030,1.142238
2024-02-09 14:00:00,34172599.08,4470512.7000,0.932689,0.614862,0.714144,1.085945
2024-02-09 15:00:00,33721968.69,4381595.7000,0.925261,0.601610,0.707158,0.899135
2024-02-09 16:00:00,32590158.51,4548644.0000,0.947352,0.700916,0.768331,0.760838
2024-02-09 17:00:00,31856488.31,4517288.8000,0.938793,0.771306,0.795352,0.978940
2024-02-09 18:00:00,31213515.83,4401483.1000,0.933730,0.782291,0.823257,0.808053
2024-02-09 19:00:00,30332058.67,4297540.4000,0.921175,0.813397,0.878381,0.678581
2024-02-09 20:00:00,30021781.26,4283537.2000,0.950300,0.807460,0.854039,0.761255
2024-02-09 21:00:00,30079314.09,4290146.7000,0.949992,0.832266,0.883393,0.738413
2024-02-09 22:00:00,30137582.95,4276220.6000,0.961721,0.829560,0.879455,0.753473
2024-02-09 23:00:00,28423762.95,3917660.8000,0.916832,0.774698,0.881713,0.870231
2024-02-10 00:00:00,28586314.07,3909608.4000,0.906639,0.772162,0.873351,1.121859
2024-02-10 01:00:00,28394072.86,3953166.2000,0.899631,0.805484,0.895480,0.734980
2024-02-10 02:00:00,28583670.57,3958158.4000,0.900391,0.798651,0.893114,1.130501
2024-02-10 03:00:00,30245956.37,4077923.2000,0.931303,0.841104,0.911497,0.984985
2024-02-10 04:00:00,32442004.57,4215985.0000,0.904462,0.786203,0.872400,0.947351
2024-02-10 05:00:00,31132272.75,4150969.7000,0.907208,0.782176,0.844906,0.685912
2024-02-10 06:00:00,32164253.75,4219710.1000,0.904421,0.756522,0.831789,0.606325
2024-02-10 07:00:00,32000840.47,4261809.3000,0.904762,0.780195,0.849619,0.432057
2024-02-10 08:00:00,32471166.21,4270188.2000,0.911372,0.751035,0.809208,0.615514
2024-02-10 09:00:00,31094038.89,4188390.2000,0.917970,0.750984,0.798736,0.581480
2024-02-10 10:00:00,30912108.18,4128818.8000,0.929357,0.737214,0.784225,0.840556
2024-02-10 11:00:00,30257028.60,4117723.0000,0.974500,0.745064,0.754694,1.327746
2024-02-10 12:00:00,30725918.35,4158901.3000,0.982870,0.743558,0.758555,1.680117
2024-02-10 13:00:00,30526840.73,4161854.7000,0.975721,0.749752,0.771190,1.743294
2024-02-10 14:00:00,31281148.42,4255359.6000,0.987981,0.763065,0.782360,1.675791
2024-02-10 15:00:00,31813901.75,4290198.4000,0.971500,0.786582,0.818505,0.849991
2024-02-10 16:00:00,32345723.59,4284201.8000,0.957597,0.778336,0.821783,1.192376
2024-02-10 17:00:00,31971684.96,4239759.1000,0.952878,0.782423,0.827598,0.694760
2024-02-10 18:00:00,31795999.06,4250233.8000,0.935396,0.787978,0.834484,0.792425
2024-02-10 19:00:00,31395010.12,4202812.6000,0.938200,0.796188,0.853933,1.155532
