time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2023-11-28 13:00:00,490348.47,169504.0000,0.801235,2.443038,2.349462,0.468493
2023-11-28 14:00:00,869162.03,296840.0000,0.811259,2.314516,2.358885,0.730543
2023-11-28 15:00:00,1105569.17,382386.0000,0.812613,2.322581,2.495522,1.139856
2023-11-28 16:00:00,1233142.74,428126.0000,0.784561,2.086705,2.397759,0.475919
2023-11-28 17:00:00,1134022.34,382083.0000,0.729535,2.047619,2.245665,0.664710
2023-11-28 18:00:00,1212778.03,407438.0000,0.756151,1.971429,2.442073,1.214261
2023-11-28 19:00:00,1236550.38,407622.0000,0.702599,1.739583,2.320809,0.611069
2023-11-28 20:00:00,1170447.49,391371.0000,0.814457,2.080925,2.379412,1.748312
2023-11-28 21:00:00,1291738.11,426448.0000,0.756376,1.802030,2.165333,0.527739
2023-11-28 22:00:00,1459488.77,475094.0000,0.745292,1.652778,2.095361,0.673644
2023-11-28 23:00:00,1486314.14,492157.0000,0.763969,1.638498,1.969849,2.239689
2023-11-29 00:00:00,1533162.43,515522.0000,0.787531,2.335366,2.370588,1.256633
2023-11-29 01:00:00,1509638.17,507103.0000,0.818357,2.132597,2.220290,1.112375
2023-11-29 02:00:00,1513816.72,513705.0000,0.801488,2.097826,2.254335,2.068347
2023-11-29 03:00:00,1555962.60,532611.0000,0.937132,2.247525,2.256831,1.447368
2023-11-29 04:00:00,1637960.73,557562.0000,0.936753,2.227907,2.347709,0.315162
2023-11-29 05:00:00,1655720.35,558968.0000,0.945987,2.142222,2.255696,0.314359
2023-11-29 06:00:00,1720726.27,575021.0000,0.946297,1.740310,1.979167,0.643432
2023-11-29 07:00:00,1744342.59,592709.0000,0.957767,2.073593,2.167901,3.621282
2023-11-29 08:00:00,1909213.83,670082.0000,1.020514,2.226087,2.515957,0.495873
2023-11-29 09:00:00,2030437.28,703060.0000,1.034888,2.175732,2.713137,0.554422
2023-11-29 10:00:00,2011218.96,701117.0000,1.044475,2.200837,2.766129,0.304167
2023-11-29 11:00:00,2022971.35,699506.0000,1.017623,1.961538,2.567839,0.975412
2023-11-29 12:00:00,2086843.67,734177.0000,1.046555,2.253061,2.854881,1.143887
2023-11-29 13:00:00,2179314.99,762494.0000,1.007098,2.222222,2.868895,1.046495
2023-11-29 14:00:00,1987712.59,709162.0000,1.059264,2.346154,3.048571,0.405984
2023-11-29 15:00:00,1945493.27,709775.0000,1.040261,2.447826,3.060345,0.517527
2023-11-29 16:00:00,2020206.90,731429.0000,1.050129,2.364017,3.082857,1.129434
2023-11-29 17:00:00,2095567.13,770996.0000,1.070887,2.363265,2.905263,0.374380
2023-11-29 18:00:00,2125999.93,771234.0000,1.081106,2.360324,2.994695,3.092735
2023-11-29 19:00:00,2104918.21,759494.0000,1.076753,2.335968,2.989529,1.839941
2023-11-29 20:00:00,2069507.02,749927.0000,1.088158,2.389558,2.979112,0.937848
2023-11-29 21:00:00,2131983.91,773375.0000,1.090771,2.215094,2.847500,0.708553
2023-11-29 22:00:00,2105023.68,769380.0000,1.088560,2.495935,3.065104,1.968034
2023-11-29 23:00:00,2145148.61,779204.0000,1.082322,2.386973,3.002488,0.546798
2023-11-30 00:00:00,2201111.01,803688.0000,1.064431,2.426923,3.062657,6.465906
2023-11-30 01:00:00,2229108.82,817122.0000,1.063989,2.431298,3.050000,0.299424
2023-11-30 02:00:00,2173271.62,811346.0000,1.064606,2.548263,3.175258,0.463298
2023-11-30 03:00:00,2199027.30,808011.0000,1.063735,2.645038,3.266150,1.627434
2023-11-30 04:00:00,2209938.64,803227.0000,1.067294,2.848000,3.631868,1.278789
