time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-08-15 13:00:00,144445.19,3681879.0000,0.638077,0.738462,1.094828,0.970045
2024-08-15 14:00:00,205230.28,5183892.0000,0.593665,0.950000,1.286765,0.510768
2024-08-15 15:00:00,346757.29,8760922.0000,0.895922,0.616883,1.192825,0.804479
2024-08-15 16:00:00,390531.63,9868788.0000,0.880311,0.731250,1.302128,2.212514
2024-08-15 17:00:00,359882.19,9159312.0000,1.029152,1.278689,1.606635,2.384645
2024-08-15 18:00:00,352651.48,9268899.0000,0.926872,0.764706,1.195918,0.313643
2024-08-15 19:00:00,267642.48,7217974.0000,1.124862,1.069930,1.262009,6.195685
2024-08-15 20:00:00,280832.60,7515983.0000,1.112930,0.979592,1.351111,0.572233
2024-08-15 21:00:00,329173.10,8793952.0000,1.036755,0.828571,1.231373,1.220756
2024-08-15 22:00:00,307634.88,8199224.0000,1.096529,0.920245,1.309917,1.695598
2024-08-15 23:00:00,281524.59,7489348.0000,1.216186,0.879518,1.296296,0.089472
2024-08-16 00:00:00,323206.64,8653599.0000,1.188189,1.342657,1.641593,0.833033
2024-08-16 01:00:00,334801.84,8980247.0000,1.077651,0.891192,1.243816,1.192551
2024-08-16 02:00:00,337309.21,9145228.0000,1.018448,1.274390,1.526515,3.228331
2024-08-16 03:00:00,370725.55,9883379.0000,1.042877,1.109290,1.306397,23.008761
2024-08-16 04:00:00,383750.54,10272941.0000,1.092144,1.145251,1.341297,0.665589
2024-08-16 05:00:00,418744.70,11094876.0000,1.104502,0.920561,1.148368,1.188261
2024-08-16 06:00:00,467945.52,12389344.0000,1.250126,1.043478,1.296407,2.454210
2024-08-16 07:00:00,489358.87,12793696.0000,1.292941,1.018692,1.308605,1.468580
2024-08-16 08:00:00,610406.32,15516175.0000,1.265498,0.923729,1.329412,2.371032
2024-08-16 09:00:00,580301.65,15072136.0000,1.267659,0.959350,1.326590,0.539259
2024-08-16 10:00:00,605345.36,15795060.0000,1.258802,0.935484,1.290859,3.468672
2024-08-16 11:00:00,590469.97,15680801.0000,1.395147,1.151786,1.454811,0.929176
2024-08-16 12:00:00,675124.06,17641078.0000,1.293038,1.149573,1.443213,1.605428
2024-08-16 13:00:00,721123.35,19150774.0000,1.037549,1.015748,1.335165,0.599884
2024-08-16 14:00:00,812417.06,20843023.0000,1.047492,0.885185,1.209845,1.095169
2024-08-16 15:00:00,1001158.33,25749957.0000,1.098368,0.921053,1.248718,0.865242
2024-08-16 16:00:00,850783.65,22489655.0000,1.006545,0.861004,1.229111,0.336772
