time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2023-05-03 13:00:00,468114.42,4004058.0000,1.010029,0.970370,1.027950,1.212120
2023-05-03 14:00:00,644441.60,5425506.0000,1.002419,0.918367,0.974239,1.237557
2023-05-03 15:00:00,912288.72,7768126.0000,1.017457,1.250996,1.099265,1.897369
2023-05-03 16:00:00,904560.10,7773823.0000,0.956073,1.194030,1.162162,0.602636
2023-05-03 17:00:00,1011827.54,8470375.0000,1.020746,0.945619,0.932813,1.955739
2023-05-03 18:00:00,1281253.42,10624894.0000,0.931496,0.956743,0.998708,0.994990
2023-05-03 19:00:00,1207770.94,10210809.0000,0.951579,1.137821,1.021429,0.698877
2023-05-03 20:00:00,1183668.37,10165479.0000,0.958857,0.994083,0.954856,1.081807
2023-05-03 21:00:00,1172557.37,9849735.0000,0.959507,0.980057,0.941411,0.430087
2023-05-03 22:00:00,1188008.22,9963802.0000,0.934407,0.976119,0.969188,2.845521
2023-05-03 23:00:00,1191626.39,10153061.0000,0.929347,0.961194,1.017045,0.510626
2023-05-04 00:00:00,1150675.07,9566352.0000,0.927469,0.900538,0.977364,1.391996
2023-05-04 01:00:00,1254538.41,10813122.0000,0.940519,1.162080,1.107193,0.451912
2023-05-04 02:00:00,1411359.46,12122360.0000,0.982391,1.054545,1.056300,0.995327
2023-05-04 03:00:00,2041385.70,18464053.0000,0.946308,1.642105,1.534694,0.981551
2023-05-04 04:00:00,2422589.69,22035554.0000,0.919698,2.058355,1.920213,1.983176
2023-05-04 05:00:00,2814600.52,25871352.0000,0.910700,2.474114,2.314363,0.973386
2023-05-04 06:00:00,3042738.30,27599054.0000,0.881149,2.651475,2.676550,1.747130
2023-05-04 07:00:00,3405570.62,30747297.0000,0.853914,2.786667,3.066852,0.940381
2023-05-04 08:00:00,3654149.06,33342425.0000,0.860407,3.134078,3.340395,1.471215
2023-05-04 09:00:00,3965717.01,36081494.0000,0.848224,3.430556,3.618257,1.171075
2023-05-04 10:00:00,4534583.44,40198262.0000,0.823052,2.616883,3.216992,0.748619
2023-05-04 11:00:00,4489599.84,39049598.0000,0.824964,2.159136,2.643319,1.225758
2023-05-04 12:00:00,4350316.83,38070507.0000,0.827118,2.110891,2.490928,1.321075
2023-05-04 13:00:00,4366893.18,38055714.0000,0.830425,1.950664,2.221538,0.895780
2023-05-04 14:00:00,4018224.45,35537494.0000,0.833599,2.014523,2.327907,1.067009
2023-05-04 15:00:00,3988887.42,35425612.0000,0.838578,1.969072,2.233065,0.810247
2023-05-04 16:00:00,4199259.96,38289318.0000,0.869009,2.795918,2.831388,0.917106
2023-05-04 17:00:00,4013220.71,36036908.0000,0.859281,2.552885,2.716645,1.000686
2023-05-04 18:00:00,3981555.60,36328062.0000,0.859180,2.692308,2.764031,0.563933
2023-05-04 19:00:00,3973829.09,35917674.0000,0.847938,2.663415,2.694545,1.633816
2023-05-04 20:00:00,3998456.46,36352909.0000,0.830575,2.860051,3.016774,0.536583
2023-05-04 21:00:00,4079713.60,36494585.0000,0.830126,2.378855,2.672832,0.728925
2023-05-04 22:00:00,4103258.64,36300054.0000,0.862534,2.311258,2.583529,1.051030
2023-05-04 23:00:00,4074619.54,36035377.0000,0.869342,2.277027,2.508855,1.099521
2023-05-05 00:00:00,4074753.01,36101703.0000,0.873236,2.327273,2.523981,0.845486
2023-05-05 01:00:00,3975167.84,36152666.0000,0.879032,2.593516,2.619845,0.649618
2023-05-05 02:00:00,3980375.19,36326463.0000,0.877835,2.734908,2.768707,0.782458
2023-05-05 03:00:00,3974564.60,36500731.0000,0.921239,2.880519,3.022923,0.462662
2023-05-05 04:00:00,4447232.08,39093109.0000,0.875671,1.851211,2.138164,1.434505
2023-05-05 05:00:00,8224648.49,66335867.0000,0.912212,0.691419,0.727082,1.019354
2023-05-05 06:00:00,10173143.09,82790288.0000,0.908738,0.526438,0.503922,0.867064
2023-05-05 07:00:00,13471711.68,107782316.0000,0.940017,0.443548,0.451450,0.750670
