time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-12-20 20:00:00,784686.12,4000847.0000,0.756506,1.072848,1.456522,0.736614
2024-12-20 21:00:00,633411.96,3337348.0000,0.911477,1.297710,1.323308,0.756622
2024-12-20 22:00:00,650477.74,3446331.0000,1.009635,1.566929,1.392982,1.079977
2024-12-20 23:00:00,760050.58,3940536.0000,1.451847,1.220238,1.392405,0.430981
2024-12-21 00:00:00,725190.38,3812778.0000,0.954840,1.363095,1.444444,0.449818
2024-12-21 01:00:00,861567.79,4439698.0000,1.665548,1.397661,1.748344,2.353503
2024-12-21 02:00:00,856719.58,4569737.0000,1.577254,1.380117,1.347826,0.881418
2024-12-21 03:00:00,860700.36,4695583.0000,1.552058,1.980263,1.452450,0.651624
2024-12-21 04:00:00,845354.27,4756695.0000,1.745915,1.986667,1.404011,1.672723
2024-12-21 05:00:00,887668.95,4914391.0000,2.347741,1.494565,1.476471,0.340665
2024-12-21 06:00:00,972687.43,5184072.0000,2.012442,1.435407,1.818713,1.702575
2024-12-21 07:00:00,940850.05,5067550.0000,2.074348,1.397129,1.613699,0.136420
2024-12-21 08:00:00,952878.38,5118324.0000,2.098479,1.317972,1.526882,2.148973
2024-12-21 09:00:00,940068.76,5120338.0000,1.827040,1.448276,1.505495,0.278855
2024-12-21 10:00:00,976472.88,5352296.0000,1.579221,1.263889,1.453552,1.492563
2024-12-21 11:00:00,996292.40,5472330.0000,1.693971,1.287037,1.445040,9.681987
2024-12-21 12:00:00,953867.48,5277208.0000,1.592295,1.327189,1.447090,2.372599
2024-12-21 13:00:00,995822.04,5610265.0000,1.638694,1.708333,1.660870,0.461276
2024-12-21 14:00:00,1027784.21,5824460.0000,1.545646,1.656250,1.621701,0.770412
2024-12-21 15:00:00,1058625.08,5995133.0000,1.677166,1.681818,1.738235,0.420354
2024-12-21 16:00:00,1060214.14,6023944.0000,1.462741,1.434043,1.677596,1.366549
2024-12-21 17:00:00,1085325.79,6302003.0000,1.615843,1.521930,1.649077,0.885035
2024-12-21 18:00:00,1117404.78,6478460.0000,1.654015,1.533040,1.671088,1.033760
2024-12-21 19:00:00,1191292.37,6909247.0000,1.716516,1.446281,1.648990,2.371397
2024-12-21 20:00:00,1204346.93,7060193.0000,1.814261,1.574380,1.676399,0.828280
2024-12-21 21:00:00,1209113.99,7080780.0000,1.847622,1.636364,1.679426,2.111727
2024-12-21 22:00:00,1207765.15,7160946.0000,1.927107,1.735043,1.752475,0.449151
2024-12-21 23:00:00,1192573.95,7099077.0000,1.809046,1.610656,1.685230,1.869663
2024-12-22 00:00:00,1215239.73,7241520.0000,1.729104,1.621951,1.653207,0.745171
2024-12-22 01:00:00,1252492.15,7397793.0000,1.662864,1.579151,1.587852,0.756361
2024-12-22 02:00:00,1190963.83,7085999.0000,1.579219,1.622490,1.631222,0.705380
2024-12-22 03:00:00,1196932.99,7188355.0000,1.305172,1.639535,1.671202,0.801719
2024-12-22 04:00:00,1215072.93,7298612.0000,1.263230,1.632184,1.694570,1.139114
2024-12-22 05:00:00,1198152.23,7336674.0000,1.220172,1.683794,1.642697,0.947185
2024-12-22 06:00:00,1148140.68,7068526.0000,1.235340,1.804255,1.730583,0.834977
2024-12-22 07:00:00,1164761.70,7115668.0000,1.294533,1.782427,1.751807,1.411339
2024-12-22 08:00:00,1163393.28,7181440.0000,1.276566,1.719512,1.784038,1.739656
2024-12-22 09:00:00,1198055.89,7307625.0000,1.280691,1.763780,1.871460,1.150956
2024-12-22 10:00:00,1245990.90,7588606.0000,1.254532,1.882591,2.134752,0.355712
2024-12-22 11:00:00,1291306.46,7908056.0000,1.195002,1.840000,2.123853,1.242903
2024-12-22 12:00:00,1372587.83,8219581.0000,1.144965,1.726236,1.971175,0.893682
2024-12-22 13:00:00,1371467.42,8146573.0000,1.143977,1.786822,2.053738,0.915573
2024-12-22 14:00:00,1350230.81,8118759.0000,1.151467,1.840637,2.106280,0.689899
2024-12-22 15:00:00,1299935.45,8123141.0000,1.121545,1.841270,2.074074,0.568631
2024-12-22 16:00:00,1324527.58,8152444.0000,1.149454,1.916000,2.128395,1.543681
2024-12-22 17:00:00,1393159.65,8496597.0000,1.225336,1.818533,2.023923,2.880739
2024-12-22 18:00:00,1368157.27,8376083.0000,1.196958,1.851562,2.045346,0.767238
2024-12-22 19:00:00,1357919.33,8375497.0000,1.212367,1.850394,2.050119,0.817127
2024-12-22 20:00:00,1291801.01,8162008.0000,1.158538,1.784615,1.953052,0.666396
2024-12-22 21:00:00,1306341.85,8171057.0000,1.161130,1.798479,1.990361,1.901359
2024-12-22 22:00:00,1298442.72,8136592.0000,1.153306,1.709559,1.899533,0.656524
2024-12-22 23:00:00,1312522.16,8224661.0000,1.141460,1.747212,2.000000,1.682678
2024-12-23 00:00:00,1310652.71,8268059.0000,1.117977,1.795455,1.997590,2.306067
2024-12-23 01:00:00,1313069.10,8333243.0000,1.097901,1.748148,1.927400,0.504365
2024-12-23 02:00:00,1298749.42,8247742.0000,1.097326,1.827068,1.948357,0.603195
2024-12-23 03:00:00,1319308.32,8358517.0000,1.083252,1.849265,2.052632,0.322982
2024-12-23 04:00:00,1375032.36,8466189.0000,1.141650,1.973077,2.140049,0.957466
2024-12-23 05:00:00,1357569.89,8275149.0000,1.112572,1.536913,1.783186,0.606102
2024-12-23 06:00:00,1321434.68,8149860.0000,1.099301,1.577320,1.702174,1.360956
2024-12-23 07:00:00,1251786.54,7829538.0000,1.073940,1.649123,1.729490,0.758239
2024-12-23 08:00:00,1254869.55,7882338.0000,1.085591,1.726277,1.799539,0.465416
2024-12-23 09:00:00,1242865.99,7703874.0000,1.049105,1.637631,1.772009,1.183436
2024-12-23 10:00:00,1311342.50,8051418.0000,1.086464,1.521452,1.766004,0.987749
2024-12-23 11:00:00,1298470.94,7934439.0000,1.021020,1.599327,1.867713,0.456005
2024-12-23 12:00:00,1286595.03,7924335.0000,1.030876,1.590604,1.821192,0.799699
