time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2025-10-17 15:00:00,3617090.60,9991135.0000,1.069424,1.266517,1.519342,1.045438
2025-10-17 16:00:00,3686267.48,11606044.0000,1.217503,1.470842,1.484053,1.162124
2025-10-17 17:00:00,4477678.96,13148841.0000,1.269848,1.553279,1.546689,0.872404
2025-10-17 18:00:00,3948220.54,13327064.0000,1.371166,1.458023,1.369065,1.159184
2025-10-17 19:00:00,3758458.51,12063741.0000,1.458262,1.410678,1.298398,0.779981
2025-10-17 20:00:00,3290735.60,11697227.0000,1.388481,1.352550,1.216016,1.064553
2025-10-17 21:00:00,3450591.48,12149970.0000,1.324701,1.280335,1.175096,1.316706
2025-10-17 22:00:00,3353439.36,11167708.0000,1.346934,1.275897,1.305380,1.123788
2025-10-17 23:00:00,2969288.96,10496556.0000,1.301612,1.342275,1.286473,0.897333
2025-10-18 00:00:00,3275966.52,10671881.0000,1.259000,1.300620,1.349095,1.124211
2025-10-18 01:00:00,3217301.58,10817061.0000,1.294962,1.384615,1.468792,1.139094
2025-10-18 02:00:00,3240263.49,10888254.0000,1.282672,1.419633,1.548476,1.104176
2025-10-18 03:00:00,3495813.24,11420121.0000,1.381999,1.403393,1.532783,0.993329
2025-10-18 04:00:00,3484425.64,11795219.0000,1.388257,1.546734,1.697177,0.865343
2025-10-18 05:00:00,3102979.83,11663013.0000,1.378421,1.542828,1.632653,0.644402
2025-10-18 06:00:00,2913373.92,11246811.0000,1.451026,1.521693,1.488050,1.035344
2025-10-18 07:00:00,2947875.26,11437657.0000,1.458186,1.544372,1.633603,0.708178
2025-10-18 08:00:00,3278003.11,12388386.0000,1.386883,1.577495,1.677228,0.805222
2025-10-18 09:00:00,3327165.99,12813581.0000,1.377217,1.497967,1.651220,0.812548
2025-10-18 10:00:00,3479968.47,12820869.0000,1.402204,1.475758,1.642332,1.282435
2025-10-18 11:00:00,3311955.70,12557178.0000,1.381316,1.479253,1.646940,1.007471
2025-10-18 12:00:00,3661058.95,13164068.0000,1.427887,1.465092,1.698293,1.324473
2025-10-18 13:00:00,3643661.41,13759305.0000,1.480320,1.598318,1.840145,0.826776
2025-10-18 14:00:00,2958726.29,13326555.0000,1.598712,1.443609,1.495908,0.734900
2025-10-18 15:00:00,3073769.79,15012608.0000,1.515757,1.484158,1.532747,0.825010
