time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2021-12-01 00:00:00,13438430.91,252897528.0000,0.981950,3.544594,4.796256,1.310334
2021-12-01 01:00:00,13525871.42,252610525.0000,0.984036,3.445289,4.768683,1.299888
2021-12-01 02:00:00,13534186.42,253022741.0000,0.984662,3.464885,4.825306,0.665693
2021-12-01 03:00:00,13534617.59,251479331.0000,0.985538,3.404834,4.742736,1.040777
2021-12-01 04:00:00,13638503.98,253755566.0000,0.984043,3.503072,4.857143,1.657641
2021-12-01 05:00:00,13836268.83,253418572.0000,0.982293,3.351838,4.678796,0.552881
2021-12-01 06:00:00,13513794.53,251715685.0000,0.980766,3.530008,4.892107,0.965266
2021-12-01 07:00:00,13939332.42,255018888.0000,0.981903,3.504260,4.894509,1.074313
2021-12-01 08:00:00,14155988.42,255151031.0000,0.976356,3.238869,4.621639,0.476814
2021-12-01 09:00:00,13803404.70,253020924.0000,0.974334,3.536098,5.048901,0.574003
2021-12-01 10:00:00,14002802.64,254487491.0000,0.974445,3.528958,5.094828,1.403855
2021-12-01 11:00:00,13817468.40,254965983.0000,0.974620,3.614780,5.205990,1.852743
2021-12-01 12:00:00,13790863.05,254820086.0000,0.976801,3.773096,5.378743,0.475988
2021-12-01 13:00:00,13888222.11,256702372.0000,0.975856,3.557543,5.038380,0.592578
2021-12-01 14:00:00,14248214.96,259435815.0000,0.976468,3.499614,4.938375,0.834695
2021-12-01 15:00:00,14243924.43,259594030.0000,0.972531,3.501928,4.986685,0.936846
2021-12-01 16:00:00,14376591.73,261582819.0000,0.972232,3.509924,4.981957,0.801755
2021-12-01 17:00:00,14407728.43,264230553.0000,0.970496,3.628705,5.159801,0.891848
2021-12-01 18:00:00,14302714.56,263897217.0000,0.969710,3.629485,5.158268,0.835034
2021-12-01 19:00:00,14172470.69,263943464.0000,0.968763,3.735504,5.301301,1.111466
2021-12-01 20:00:00,14073319.59,262659940.0000,0.974086,4.009251,5.639017,0.670732
2021-12-01 21:00:00,13695562.44,261315826.0000,0.976264,4.525000,6.235642,0.413713
2021-12-01 22:00:00,13563936.39,259157318.0000,0.977094,4.510698,6.213799,2.820402
2021-12-01 23:00:00,13681800.73,259905913.0000,0.978140,4.409672,6.126050,1.880130
2021-12-02 00:00:00,13628302.09,258503454.0000,0.977576,4.445055,6.160504,1.250383
2021-12-02 01:00:00,13303235.77,256830032.0000,0.984370,4.570093,6.316202,1.336253
2021-12-02 02:00:00,13293475.73,254664286.0000,0.984952,4.604323,6.318815,0.353886
2021-12-02 03:00:00,13154354.59,253553481.0000,0.982694,4.582397,6.337696,1.114229
2021-12-02 04:00:00,12904034.43,252871535.0000,0.983133,4.536881,6.179221,1.157792
2021-12-02 05:00:00,13030671.13,253959679.0000,0.980306,4.464451,6.114726,1.210620
2021-12-02 06:00:00,13072468.09,252336823.0000,0.980212,4.503256,6.153648,0.563822
2021-12-02 07:00:00,13029799.51,251462568.0000,0.976422,4.304114,5.920398,0.949939
2021-12-02 08:00:00,12977824.53,249863342.0000,0.974964,4.383424,5.985798,0.300088
2021-12-02 09:00:00,12876494.46,247641895.0000,0.972762,4.308943,5.982397,2.284743
2021-12-02 10:00:00,12900775.58,247913007.0000,0.970565,4.081456,5.717286,1.193789
2021-12-02 11:00:00,12866508.30,248493729.0000,0.971870,4.141981,5.781759,0.975525
2021-12-02 12:00:00,12827772.06,248645867.0000,0.976830,4.279385,5.917362,1.114645
2021-12-02 13:00:00,12986869.69,250805120.0000,0.980238,4.421587,6.086735,1.079421
2021-12-02 14:00:00,12982199.48,250215808.0000,0.978691,4.616268,6.349515,1.374201
2021-12-02 15:00:00,13116317.23,250131532.0000,0.978785,4.485500,6.128425,0.515578
2021-12-02 16:00:00,13020016.93,251400211.0000,0.975820,4.482662,6.212803,0.527169
