time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-06-20 13:00:00,2627149.41,3961323.0000,1.104488,1.397436,1.343368,0.751892
2024-06-20 14:00:00,5326986.77,7695907.0000,1.062325,0.698876,0.816269,1.442881
2024-06-20 15:00:00,5997351.15,8700640.0000,1.030126,0.690878,0.835013,0.834980
2024-06-20 16:00:00,6359804.88,9636068.0000,1.006466,0.957570,1.002229,1.077409
2024-06-20 17:00:00,7133831.58,10647308.0000,1.044009,0.841788,0.903685,1.282855
2024-06-20 18:00:00,7045791.15,10397039.0000,1.105957,0.755778,0.828933,0.562861
2024-06-20 19:00:00,7506792.40,11018646.0000,1.100316,0.712813,0.770813,1.260825
2024-06-20 20:00:00,7819825.51,11787497.0000,1.089057,0.770270,0.821081,1.420179
2024-06-20 21:00:00,8251010.31,11959743.0000,1.069122,0.639041,0.694096,0.973357
2024-06-20 22:00:00,7998239.92,11878000.0000,1.077498,0.669280,0.709342,1.133508
2024-06-20 23:00:00,8256540.58,12158063.0000,1.078576,0.641096,0.687659,1.344446
2024-06-21 00:00:00,7907238.60,11756787.0000,1.083994,0.659486,0.707808,0.762125
2024-06-21 01:00:00,8091191.45,12436507.0000,1.085658,0.726945,0.729989,1.037414
2024-06-21 02:00:00,8568713.12,13004615.0000,1.006378,0.708656,0.730769,1.534465
2024-06-21 03:00:00,15626844.36,19664683.0000,0.863803,0.470133,0.596577,1.289604
2024-06-21 04:00:00,17335067.01,21971383.0000,0.922669,0.476051,0.552648,1.058809
2024-06-21 05:00:00,18235729.22,23676352.0000,0.950382,0.513192,0.594173,0.825009
2024-06-21 06:00:00,19796772.21,25403275.0000,0.953239,0.469075,0.545897,0.840810
2024-06-21 07:00:00,23674899.89,28506803.0000,0.958489,0.397277,0.518338,1.017200
2024-06-21 08:00:00,24395451.78,29999953.0000,0.987897,0.436901,0.518612,1.159069
2024-06-21 09:00:00,21099342.68,29996087.0000,1.092586,0.710852,0.643269,0.963645
2024-06-21 10:00:00,20108908.06,28118665.0000,1.107316,0.787747,0.858990,0.983212
2024-06-21 11:00:00,21094686.80,28510597.0000,1.129467,0.769082,0.917391,1.131033
2024-06-21 12:00:00,20670752.08,29025131.0000,1.178803,0.866071,0.949968,0.764955
2024-06-21 13:00:00,20698329.02,30395915.0000,1.222197,0.982440,0.974526,1.255263
2024-06-21 14:00:00,20359534.37,31059549.0000,1.211948,1.162974,1.120848,0.934972
2024-06-21 15:00:00,18333121.14,27618441.0000,1.154821,1.280780,1.333333,0.951692
2024-06-21 16:00:00,17842790.75,27395656.0000,1.163473,1.325648,1.345603,0.674405
2024-06-21 17:00:00,18390436.61,28256558.0000,1.166792,1.339429,1.391504,1.041428
2024-06-21 18:00:00,18314480.88,28394544.0000,1.172247,1.345974,1.371628,0.781189
2024-06-21 19:00:00,18084368.47,28202564.0000,1.149461,1.397720,1.452844,1.444819
2024-06-21 20:00:00,17868786.82,27832064.0000,1.130220,1.415176,1.502957,0.942808
2024-06-21 21:00:00,18393099.28,28145523.0000,1.128116,1.407543,1.553064,0.956405
2024-06-21 22:00:00,18251149.76,28070055.0000,1.125420,1.425216,1.571537,0.932387
2024-06-21 23:00:00,18724875.03,28711285.0000,1.118311,1.432466,1.595852,0.613530
2024-06-22 00:00:00,18658312.88,28802409.0000,1.111540,1.423053,1.596309,1.109415
2024-06-22 01:00:00,16160338.30,28016671.0000,1.036632,1.430610,1.352767,1.363382
2024-06-22 02:00:00,17157804.75,28711186.0000,1.040409,1.322034,1.336815,0.841776
2024-06-22 03:00:00,17233101.95,29588055.0000,1.016213,1.308028,1.326124,0.845856
2024-06-22 04:00:00,17684682.56,30266231.0000,1.012212,1.311571,1.297591,1.036111
2024-06-22 05:00:00,17730629.61,30475472.0000,0.992144,1.346215,1.362382,1.464774
2024-06-22 06:00:00,18073069.74,31223494.0000,1.002348,1.324084,1.317856,1.178812
2024-06-22 07:00:00,18894950.70,31782928.0000,0.968560,1.297394,1.384145,1.009049
2024-06-22 08:00:00,18652289.47,32109342.0000,0.966927,1.401288,1.452952,0.875891
2024-06-22 09:00:00,19251807.07,33342236.0000,0.963396,1.400211,1.504254,0.694497
2024-06-22 10:00:00,20110227.57,32641682.0000,0.915964,1.273367,1.460261,1.185033
2024-06-22 11:00:00,20991043.62,33235128.0000,0.874487,1.218129,1.424661,1.156687
2024-06-22 12:00:00,21271294.95,33447811.0000,0.847303,1.091158,1.274107,1.030530
2024-06-22 13:00:00,21319005.56,33753967.0000,0.847308,1.060279,1.208974,0.957757
2024-06-22 14:00:00,19606445.20,31320200.0000,0.859213,1.016667,1.101941,1.143718
2024-06-22 15:00:00,19803330.74,31414804.0000,0.852818,1.017265,1.115759,1.600045
2024-06-22 16:00:00,19593949.27,30788146.0000,0.881197,1.012312,1.107098,1.044153
2024-06-22 17:00:00,20678905.81,30560493.0000,0.841465,1.000000,1.186518,1.003220
