time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2022-12-14 16:00:00,4741233.58,2858231.0000,1.061895,2.656581,2.402812,0.763792
2022-12-14 17:00:00,4718231.21,2846595.0000,1.049957,2.618619,2.367430,1.304642
2022-12-14 18:00:00,4692564.14,2838130.0000,1.045403,2.617117,2.350448,1.465909
2022-12-14 19:00:00,4716665.10,2854299.0000,1.044301,2.590705,2.395833,1.061771
2022-12-14 20:00:00,4455200.52,2732043.0000,1.021959,2.811475,2.614670,1.093435
2022-12-14 21:00:00,4440126.87,2722890.0000,1.018247,2.708599,2.584871,1.637681
2022-12-14 22:00:00,4476515.92,2732494.0000,1.016959,2.670347,2.582488,0.527344
2022-12-14 23:00:00,4491426.35,2743210.0000,1.016242,2.768233,2.647993,0.417988
2022-12-15 00:00:00,4493400.85,2757872.0000,1.009998,2.846535,2.692743,0.534150
2022-12-15 01:00:00,4460979.39,2745894.0000,1.012073,2.867769,2.675398,0.543589
2022-12-15 02:00:00,4371183.16,2708242.0000,1.004741,2.694620,2.656338,1.263203
2022-12-15 03:00:00,4419380.33,2716129.0000,0.992016,2.614308,2.676995,0.602860
2022-12-15 04:00:00,4437345.98,2718962.0000,0.987884,2.590698,2.669476,1.735923
2022-12-15 05:00:00,4463610.95,2736482.0000,0.991088,2.610592,2.655493,1.002324
2022-12-15 06:00:00,4435396.70,2729139.0000,0.989764,2.771987,2.769971,0.505757
2022-12-15 07:00:00,4453567.58,2737288.0000,0.992425,2.689984,2.716856,2.840000
2022-12-15 08:00:00,4454409.12,2741681.0000,0.992581,2.745955,2.761036,0.652753
2022-12-15 09:00:00,4484633.46,2762565.0000,0.992766,2.772358,2.722380,1.389812
2022-12-15 10:00:00,4531332.07,2779728.0000,0.989187,2.794788,2.773333,1.783396
2022-12-15 11:00:00,4586072.66,2826726.0000,0.987895,2.827080,2.785510,2.094525
2022-12-15 12:00:00,4590346.65,2824205.0000,0.985346,2.853618,2.809204,0.230216
2022-12-15 13:00:00,4603668.34,2845141.0000,0.973609,3.011745,2.979532,0.698490
2022-12-15 14:00:00,4582528.37,2835723.0000,0.968851,2.868421,2.868472,0.986947
2022-12-15 15:00:00,4568908.20,2836774.0000,0.970301,2.863487,2.868217,0.376024
2022-12-15 16:00:00,4667926.53,2911282.0000,0.965892,2.955592,2.923737,0.387405
2022-12-15 17:00:00,4635727.21,2892047.0000,0.968713,2.967105,2.908057,6.523041
2022-12-15 18:00:00,4629664.69,2894264.0000,0.970156,2.864217,2.845581,1.220831
2022-12-15 19:00:00,4646539.50,2906256.0000,0.970331,2.769829,2.782251,3.325748
2022-12-15 20:00:00,4674115.53,2911945.0000,0.968997,2.722741,2.760668,0.391024
2022-12-15 21:00:00,4683783.55,2909867.0000,0.966882,2.683564,2.760185,3.946979
2022-12-15 22:00:00,4659048.79,2904966.0000,0.966231,2.725857,2.780465,0.692960
2022-12-15 23:00:00,4652788.20,2902769.0000,0.962646,2.709176,2.781192,0.644769
2022-12-16 00:00:00,4676998.41,2904158.0000,0.963029,2.701863,2.769017,1.624773
2022-12-16 01:00:00,4719757.79,2912922.0000,0.950628,2.566517,2.731439,4.088684
2022-12-16 02:00:00,4708516.91,2914588.0000,0.952113,2.540741,2.714155,0.404413
2022-12-16 03:00:00,4733203.96,2932774.0000,0.948927,2.527326,2.728938,0.180043
2022-12-16 04:00:00,4732845.57,2930736.0000,0.948479,2.500734,2.701452,2.243404
2022-12-16 05:00:00,4709352.95,2924519.0000,0.945614,2.539376,2.725526,1.018717
2022-12-16 06:00:00,4701793.61,2922547.0000,0.948378,2.612462,2.769302,1.827273
2022-12-16 07:00:00,4788877.33,2946635.0000,0.947260,2.451659,2.621239,0.625273
2022-12-16 08:00:00,4715698.63,2906190.0000,0.945870,2.539259,2.715588,0.598091
2022-12-16 09:00:00,4640515.90,2898873.0000,0.952827,2.623867,2.799625,0.718202
2022-12-16 10:00:00,4259145.43,2769196.0000,0.967962,3.037931,3.069370,0.421226
2022-12-16 11:00:00,4270203.31,2779589.0000,0.963296,3.011966,3.094883,1.250916
2022-12-16 12:00:00,4222973.44,2729606.0000,0.967912,2.983193,3.135829,0.459891
2022-12-16 13:00:00,4210991.66,2737439.0000,0.969093,2.556028,2.786453,2.467588
2022-12-16 14:00:00,4182543.42,2726738.0000,0.966717,2.401882,2.701642,1.525727
2022-12-16 15:00:00,4207216.23,2731109.0000,0.977231,2.457880,2.724453,0.657642
2022-12-16 16:00:00,4184085.28,2740618.0000,0.975232,2.392287,2.664273,0.752489
2022-12-16 17:00:00,4107859.34,2732760.0000,0.980988,2.417671,2.644584,0.730085
2022-12-16 18:00:00,4106394.19,2742235.0000,0.978106,2.440977,2.666667,0.440596
2022-12-16 19:00:00,4097885.89,2716427.0000,0.973292,2.359521,2.626335,3.618037
2022-12-16 20:00:00,4136811.54,2727393.0000,0.973959,2.257069,2.562827,7.885057
2022-12-16 21:00:00,4251191.16,2795302.0000,0.990610,2.128993,2.456081,6.354858
2022-12-16 22:00:00,4238410.16,2788000.0000,0.986355,2.119804,2.442485,0.824080
2022-12-16 23:00:00,4553127.99,3446614.0000,0.828211,2.005181,1.960311,0.855742
2022-12-17 00:00:00,4441318.13,3429577.0000,0.890185,2.011236,1.911271,1.305444
2022-12-17 01:00:00,4343060.91,3420541.0000,0.940080,2.067332,1.947941,0.653120
2022-12-17 02:00:00,4309600.13,3445475.0000,1.004494,2.057039,1.904622,0.681839
2022-12-17 03:00:00,4237419.87,3343833.0000,1.017262,1.798441,1.887681,2.297822
2022-12-17 04:00:00,4246928.86,3295770.0000,0.989343,1.761227,1.932081,1.241517
2022-12-17 05:00:00,4147131.33,3169283.0000,0.983316,1.754615,1.963283,1.551529
2022-12-17 06:00:00,4142123.90,3190667.0000,0.972059,1.739785,1.942375,0.619926
2022-12-17 07:00:00,4226474.30,3234811.0000,0.990711,1.759062,1.804348,0.517578
2022-12-17 08:00:00,4250905.89,3216221.0000,0.988916,1.709072,1.793451,1.263281
2022-12-17 09:00:00,4247186.70,3203684.0000,0.995461,1.748148,1.812068,0.859660
2022-12-17 10:00:00,4248819.26,3227775.0000,0.998963,1.749467,1.801133,1.125480
2022-12-17 11:00:00,4281156.89,3223353.0000,1.014079,1.749189,1.765771,1.565285
2022-12-17 12:00:00,4275850.74,3237081.0000,1.009107,1.674004,1.729664,1.805335
2022-12-17 13:00:00,4285666.28,3276116.0000,0.998284,1.610611,1.599553,0.925895
2022-12-17 14:00:00,4320671.17,3305287.0000,0.992032,1.557843,1.528078,1.426695
2022-12-17 15:00:00,4425693.36,3366813.0000,1.005266,1.516284,1.486031,3.064187
2022-12-17 16:00:00,4455884.12,3399103.0000,1.001175,1.531792,1.509313,0.604062
2022-12-17 17:00:00,4479026.68,3453047.0000,0.996436,1.539130,1.519807,0.781852
