time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2021-12-01 00:00:00,6129026.29,2008.8100,0.964798,2.846575,3.269923,0.819539
2021-12-01 01:00:00,6394240.83,2067.9760,0.973766,2.842681,3.262613,0.410169
2021-12-01 02:00:00,6398362.87,2089.1060,0.973703,3.008380,3.406291,1.405275
2021-12-01 03:00:00,6408428.80,2078.2970,0.974081,2.953911,3.373193,0.255911
2021-12-01 04:00:00,6355322.14,2048.5840,0.971578,2.856753,3.271795,2.120061
2021-12-01 05:00:00,6221370.11,2019.2280,0.971648,2.804781,3.213750,0.516094
2021-12-01 06:00:00,6216369.36,2035.1100,0.971966,2.881242,3.288973,0.881655
2021-12-01 07:00:00,6188776.25,2011.3020,0.972049,2.885290,3.308376,0.929249
2021-12-01 08:00:00,6264811.93,2016.0140,0.971419,2.814570,3.222084,1.143206
2021-12-01 09:00:00,6054532.78,1978.4750,0.959255,2.903226,3.349045,0.620344
2021-12-01 10:00:00,6131534.17,1986.3080,0.960027,2.941337,3.382732,0.886659
2021-12-01 11:00:00,6016469.85,1962.6390,0.959612,2.884409,3.321066,1.388733
2021-12-01 12:00:00,6029841.39,1969.1850,0.959447,2.966942,3.407263,0.497975
2021-12-01 13:00:00,6062178.40,1974.4580,0.962277,2.880215,3.302915,0.537411
2021-12-01 14:00:00,6314510.57,2040.8890,0.965174,2.752604,3.161172,0.482506
2021-12-01 15:00:00,6079301.96,1958.1380,0.961578,2.737047,3.156744,0.450874
2021-12-01 16:00:00,6051973.75,1950.9280,0.957068,2.726684,3.164835,0.440450
2021-12-01 17:00:00,6034643.73,1945.1480,0.956514,2.590452,3.005910,0.622364
2021-12-01 18:00:00,6062919.81,1973.5630,0.955897,2.790789,3.211372,0.886440
2021-12-01 19:00:00,5925931.89,1947.8460,0.957011,2.915323,3.360864,1.119594
2021-12-01 20:00:00,5821924.20,1914.8250,0.953510,2.852713,3.297430,0.603083
2021-12-01 21:00:00,5691381.88,1905.8390,0.946235,2.909091,3.367041,0.805112
2021-12-01 22:00:00,5653552.93,1900.2180,0.944528,2.916335,3.377525,0.878859
2021-12-01 23:00:00,5581955.64,1878.5080,0.948725,2.899070,3.368687,0.965708
2021-12-02 00:00:00,5531774.25,1858.2390,0.948611,2.920107,3.381612,3.059259
2021-12-02 01:00:00,5367309.46,1810.0380,0.961765,2.845052,3.225182,1.023105
2021-12-02 02:00:00,5446532.74,1826.2860,0.967807,2.815385,3.171395,0.800888
2021-12-02 03:00:00,5372797.74,1813.4590,0.966425,2.805627,3.157833,0.700745
2021-12-02 04:00:00,5450519.68,1847.9470,0.963911,2.554231,2.863436,0.846942
2021-12-02 05:00:00,5470592.51,1856.0740,0.964085,2.549763,2.841132,0.364449
2021-12-02 06:00:00,5458166.99,1841.9840,0.966148,2.585424,2.884742,0.574842
2021-12-02 07:00:00,5495228.89,1846.3910,0.965779,2.569194,2.842105,0.803100
2021-12-02 08:00:00,5448316.89,1835.0680,0.966393,2.516827,2.774755,0.653613
2021-12-02 09:00:00,5456353.23,1822.3690,0.961614,2.548426,2.830396,1.954439
2021-12-02 10:00:00,5644359.88,1873.1490,0.964779,2.329099,2.596215,0.988950
2021-12-02 11:00:00,5652733.97,1870.0130,0.963646,2.459976,2.727766,1.149490
2021-12-02 12:00:00,5712015.48,1887.2090,0.962333,2.567367,2.853933,1.293485
2021-12-02 13:00:00,5667031.73,1880.7570,0.965922,2.552826,2.845894,0.965912
2021-12-02 14:00:00,5565362.11,1858.3870,0.964044,2.643577,2.931949,0.763327
2021-12-02 15:00:00,5620275.37,1860.3590,0.966585,2.645489,2.927991,0.990331
2021-12-02 16:00:00,5520558.24,1852.4120,0.964839,2.803738,3.064165,0.961126
2021-12-02 17:00:00,5533621.39,1874.4060,0.966301,2.950135,3.222766,0.901004
2021-12-02 18:00:00,5571084.02,1875.5500,0.966963,2.870839,3.155529,0.897333
2021-12-02 19:00:00,5519612.86,1861.0520,0.968347,2.890521,3.196581,0.999166
2021-12-02 20:00:00,5510473.46,1860.1800,0.967312,2.859788,3.160822,2.196564
2021-12-02 21:00:00,5518104.18,1848.9460,0.969188,2.869507,3.144928,1.088682
2021-12-02 22:00:00,5544889.89,1856.5630,0.969172,2.861842,3.148148,0.865426
2021-12-02 23:00:00,5500016.94,1842.8850,0.969173,2.926471,3.205562,0.406172
2021-12-03 00:00:00,5448682.99,1833.0340,0.966374,2.838120,3.136580,1.674361
2021-12-03 01:00:00,5469157.42,1836.7670,0.963375,2.617073,2.975085,0.783561
2021-12-03 02:00:00,5469091.71,1837.7650,0.963055,2.597576,2.949381,0.894390
2021-12-03 03:00:00,5431944.07,1857.3170,0.969137,2.939744,3.272189,1.126051
2021-12-03 04:00:00,5609365.01,1947.1400,0.972748,3.109661,3.487805,0.358620
2021-12-03 05:00:00,5669213.01,1950.4230,0.968592,2.892814,3.315607,0.590754
2021-12-03 06:00:00,5699356.20,1955.0630,0.967883,2.916972,3.342593,0.689076
2021-12-03 07:00:00,5674964.18,1938.6870,0.966481,2.997506,3.435142,0.271302
2021-12-03 08:00:00,5634858.15,1927.7300,0.964664,3.017500,3.442874,0.614779
2021-12-03 09:00:00,5536530.86,1904.6320,1.007155,3.143223,3.583333,0.720688
2021-12-03 10:00:00,5583370.24,1913.1060,1.008258,3.070175,3.501771,1.110176
2021-12-03 11:00:00,5610481.91,1922.1220,1.006404,3.124051,3.545779,1.030344
2021-12-03 12:00:00,5672048.61,1936.0510,1.006592,3.170732,3.593750,0.651127
2021-12-03 13:00:00,5780305.55,1977.9310,1.003733,2.987670,3.418794,0.696606
2021-12-03 14:00:00,5732660.22,1950.8780,1.004672,2.920755,3.373665,1.203963
2021-12-03 15:00:00,5692396.97,1957.9060,1.003483,2.882278,3.330155,1.080836
2021-12-03 16:00:00,5652615.48,1961.1570,0.993769,2.883838,3.368921,0.484063
2021-12-03 17:00:00,5499289.80,1969.5900,1.003474,3.107713,3.506266,0.457100
2021-12-03 18:00:00,5505670.48,1958.7730,0.997082,2.985751,3.394125,0.518702
2021-12-03 19:00:00,5362317.98,1913.7660,0.996556,3.052493,3.469641,0.653581
2021-12-03 20:00:00,5213121.43,1888.4700,0.997440,3.030026,3.435802,0.752713
2021-12-03 21:00:00,5223033.61,1886.6110,1.016416,2.879795,3.214027,0.833607
2021-12-03 22:00:00,5183331.89,1870.2750,0.999054,2.910026,3.262774,1.111256
2021-12-03 23:00:00,5124547.66,1860.3600,1.002037,2.901155,3.226779,0.853478
2021-12-04 00:00:00,5079397.03,1845.3390,1.001392,2.889602,3.214458,0.483547
2021-12-04 01:00:00,4990707.25,1846.6210,0.999544,2.832494,3.210843,0.390043
2021-12-04 02:00:00,5036760.35,1870.4710,0.997242,2.698182,3.042775,0.911392
2021-12-04 03:00:00,5087157.81,1888.5650,0.997985,2.720391,3.068685,0.818239
2021-12-04 04:00:00,5058604.93,1911.5710,1.000925,2.616505,2.914451,1.268652
2021-12-04 05:00:00,5253071.29,2029.1530,1.000884,2.460784,2.675613,0.719606
2021-12-04 06:00:00,6076363.92,2446.6040,0.766935,1.559563,1.680380,1.852272
2021-12-04 07:00:00,6328045.18,2480.6710,0.792859,1.661400,1.778488,1.143979
2021-12-04 08:00:00,5729338.37,2277.4510,1.003230,1.717265,1.811484,2.069864
2021-12-04 09:00:00,5735484.57,2235.6030,1.006097,1.587786,1.683735,0.729291
2021-12-04 10:00:00,5913357.03,2262.3230,1.000641,1.587216,1.692759,1.396330
2021-12-04 11:00:00,6039994.98,2286.9240,0.997274,1.521322,1.631728,1.565988
2021-12-04 12:00:00,5981168.33,2333.3860,1.004249,1.512118,1.503930,1.562456
2021-12-04 13:00:00,6057712.36,2456.8040,1.001116,1.620064,1.695693,2.008559
2021-12-04 14:00:00,6077065.60,2438.7580,1.002558,1.617678,1.741874,0.878787
2021-12-04 15:00:00,6434312.48,2526.7750,0.998047,1.626882,1.822660,1.027167
2021-12-04 16:00:00,6542923.82,2559.4700,0.999264,1.638646,1.837067,0.695114
2021-12-04 17:00:00,6458563.58,2628.9590,1.004227,1.713483,1.855809,0.696771
2021-12-04 18:00:00,6475310.54,2547.4250,1.003602,1.665929,1.829569,1.078125
2021-12-04 19:00:00,6838256.23,2659.2480,0.999937,1.737201,1.875000,0.971012
2021-12-04 20:00:00,7169333.28,2733.7920,0.998220,1.685649,1.875527,0.744615
2021-12-04 21:00:00,7202149.14,2740.2310,0.995890,1.628763,1.828482,0.434406
2021-12-04 22:00:00,6971987.32,2687.9340,0.997450,1.611236,1.760373,1.091026
2021-12-04 23:00:00,6799757.02,2615.0900,0.996951,1.692750,1.862955,1.673879
2021-12-05 00:00:00,6673035.65,2554.8430,1.000358,1.608549,1.770199,0.491934
2021-12-05 01:00:00,6514119.79,2540.4000,1.004868,1.692308,1.830971,0.733341
2021-12-05 02:00:00,6585315.91,2545.8360,0.999036,1.620536,1.764331,0.478496
2021-12-05 03:00:00,6548270.11,2529.6570,0.995491,1.721387,1.859324,1.455220
2021-12-05 04:00:00,6689408.05,2550.2890,0.997061,1.733333,1.883850,1.359819
2021-12-05 05:00:00,6452869.98,2489.3090,0.997921,1.699187,1.837541,1.070270
2021-12-05 06:00:00,6499774.96,2471.6190,0.997544,1.677419,1.823144,0.822394
