time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-01-20 14:00:00,1318797.88,6797895.0000,0.936816,4.147727,4.024876,1.265248
2024-01-20 15:00:00,2008478.88,10273431.0000,0.910769,2.422460,2.512887,0.633559
2024-01-20 16:00:00,3225813.24,16542632.0000,1.114709,2.958084,3.044818,0.796425
2024-01-20 17:00:00,3332996.99,17161217.0000,1.132875,2.893258,3.018421,1.433602
2024-01-20 18:00:00,3372737.55,17349473.0000,1.114045,2.988889,2.977387,1.401160
2024-01-20 19:00:00,3550851.41,18563546.0000,1.128931,2.558036,2.919037,1.540532
2024-01-20 20:00:00,3837787.82,19877302.0000,1.230916,2.242537,2.109399,0.704748
2024-01-20 21:00:00,3816822.18,19991587.0000,1.209878,2.781659,2.495667,0.489581
2024-01-20 22:00:00,3777603.99,19441482.0000,1.223050,2.770270,2.497317,0.867817
2024-01-20 23:00:00,4000551.98,20317684.0000,1.204299,2.284644,2.337190,2.835942
2024-01-21 00:00:00,4740998.06,23003387.0000,1.033494,2.224265,2.405594,1.434000
2024-01-21 01:00:00,4673761.05,22954389.0000,1.154610,2.492000,2.522593,0.758108
2024-01-21 02:00:00,4821433.65,24277108.0000,1.077292,2.619772,2.654150,0.814100
2024-01-21 03:00:00,4807721.73,24053375.0000,1.248141,2.598662,2.625490,0.423953
2024-01-21 04:00:00,4959416.20,24534560.0000,1.222945,2.284431,2.456522,1.244135
2024-01-21 05:00:00,6615321.40,30826288.0000,1.161132,1.425110,1.662050,1.777023
2024-01-21 06:00:00,8365716.54,34322495.0000,1.093338,1.415534,1.692308,0.849665
2024-01-21 07:00:00,11069476.33,41641057.0000,1.029148,1.017699,1.029365,0.751823
2024-01-21 08:00:00,10707734.12,41167759.0000,1.047949,1.160045,1.139496,0.790296
2024-01-21 09:00:00,11319714.87,43271081.3000,1.056651,1.147666,1.142091,1.572552
2024-01-21 10:00:00,12820912.89,46550673.3000,1.016331,1.035577,1.110613,1.147359
2024-01-21 11:00:00,12399719.26,46354090.7000,1.023449,1.164118,1.227016,0.791942
2024-01-21 12:00:00,11978111.28,45708386.7000,1.020019,1.240343,1.247434,0.838660
2024-01-21 13:00:00,12104174.90,45060994.7000,1.041967,1.053450,1.069620,0.990586
2024-01-21 14:00:00,12861824.13,48863570.7000,1.029957,1.110413,1.080526,0.769349
2024-01-21 15:00:00,15202828.00,52709159.4000,1.015916,0.847577,0.933165,1.138279
2024-01-21 16:00:00,14773775.41,53754094.8000,1.018431,1.006813,1.038233,0.674327
2024-01-21 17:00:00,14717836.53,53387102.6000,1.024968,0.981567,1.028625,1.086070
2024-01-21 18:00:00,15140278.59,54674694.6000,1.012188,1.006818,1.041041,0.496957
2024-01-21 19:00:00,15572166.25,55279255.4000,1.004917,0.901252,0.911467,1.363309
2024-01-21 20:00:00,15960323.77,57046487.9000,1.002912,0.933803,0.947403,1.042687
2024-01-21 21:00:00,15251459.00,55952575.4000,0.993912,0.985196,0.995764,0.591293
2024-01-21 22:00:00,15872687.49,55889744.7000,1.018966,0.875254,0.850817,1.102909
2024-01-21 23:00:00,16880007.04,58634434.6000,1.004355,0.825305,0.831274,0.927842
2024-01-22 00:00:00,16397273.51,57940895.8000,1.015070,0.838284,0.838972,1.110143
2024-01-22 01:00:00,18828407.03,61848170.6000,0.997378,0.760111,0.793685,1.034734
2024-01-22 02:00:00,16810989.60,61401381.2000,1.079525,0.918715,0.942651,0.688600
2024-01-22 03:00:00,17000949.37,61550518.6000,1.118092,0.931635,0.858816,1.118945
2024-01-22 04:00:00,16381425.93,62323521.2000,1.119475,1.052851,0.929272,0.842451
2024-01-22 05:00:00,16270733.40,61579172.3000,1.137231,1.057329,0.913956,0.760188
2024-01-22 06:00:00,17116802.69,62521871.0000,1.135974,0.997201,0.899693,0.779015
2024-01-22 07:00:00,15789687.93,61572162.7000,1.131741,1.267559,1.152976,1.359075
2024-01-22 08:00:00,14638870.40,59148485.4000,1.149110,1.391304,1.300789,0.810341
2024-01-22 09:00:00,15890203.68,60114005.1000,1.156107,1.148660,1.094262,1.530980
2024-01-22 10:00:00,15120779.06,57872683.2000,1.175116,1.196558,1.089352,1.224554
2024-01-22 11:00:00,13818557.52,53319492.7000,1.185158,1.287129,1.192308,1.192414
2024-01-22 12:00:00,13880715.05,52554080.2000,1.182292,1.314851,1.200000,0.748810
2024-01-22 13:00:00,14329357.03,53296525.1000,1.165668,1.263850,1.185258,0.634089
2024-01-22 14:00:00,17701807.64,59541902.6000,1.127352,0.868085,0.839953,1.187987
2024-01-22 15:00:00,16288880.20,59036796.1000,1.151540,1.086180,0.970822,1.305925
2024-01-22 16:00:00,16269916.19,57773972.6000,1.148786,1.063380,1.017460,1.042682
2024-01-22 17:00:00,16711355.62,58667977.1000,1.140247,0.999255,0.971621,1.521836
2024-01-22 18:00:00,19830503.51,69434536.1000,1.143460,1.231456,1.189969,1.139681
2024-01-22 19:00:00,18708647.85,68143420.0000,1.154326,1.388843,1.361584,1.030137
2024-01-22 20:00:00,18136593.22,67800348.5000,1.132052,1.488095,1.445525,1.030902
2024-01-22 21:00:00,18002180.54,67498210.9000,1.151377,1.480787,1.448120,0.731928
2024-01-22 22:00:00,17945284.66,68208427.6000,1.154910,1.577909,1.553466,0.678393
2024-01-22 23:00:00,17516386.61,67514096.9000,1.154144,1.686646,1.742925,1.670675
2024-01-23 00:00:00,16662185.61,68362160.7000,1.158496,1.893258,1.924841,0.777250
2024-01-23 01:00:00,16976897.80,68920135.5000,1.151957,1.910483,1.943888,1.258436
2024-01-23 02:00:00,17860157.11,69901213.6000,1.133025,1.830296,1.896146,1.204144
2024-01-23 03:00:00,17620878.25,67564717.2000,1.144536,1.767838,1.908130,0.931861
2024-01-23 04:00:00,16703567.29,68205664.7000,1.163524,2.071849,2.245575,0.522106
2024-01-23 05:00:00,16750950.93,68444514.2000,1.161264,2.099401,2.352897,0.653569
2024-01-23 06:00:00,16271061.86,69062232.0000,1.165500,2.237101,2.490091,1.607715
2024-01-23 07:00:00,16038898.25,67539178.9000,1.162286,2.223058,2.494918,0.812007
2024-01-23 08:00:00,15333333.93,68064241.2000,1.173878,2.377091,2.572000,0.736379
2024-01-23 09:00:00,15161487.30,69282709.6000,1.170626,2.632089,2.856410,0.673092
2024-01-23 10:00:00,15350998.33,72252048.9000,1.188753,2.509116,2.505394,0.552156
2024-01-23 11:00:00,15522150.80,71454952.7000,1.188621,2.369826,2.478783,1.110749
2024-01-23 12:00:00,16641053.23,72298156.6000,1.189367,2.030675,2.126106,1.456344
2024-01-23 13:00:00,16250039.83,71767996.2000,1.187536,2.210323,2.238025,1.064973
2024-01-23 14:00:00,15244923.08,73318102.5000,1.191706,2.498003,2.506098,0.726716
2024-01-23 15:00:00,16125222.51,74613772.1000,1.203134,2.376574,2.479491,1.094587
2024-01-23 16:00:00,16358078.17,72666798.2000,1.194031,2.081081,2.215894,1.527304
2024-01-23 17:00:00,16509028.44,71858547.4000,1.192844,1.945268,2.069872,0.969886
2024-01-23 18:00:00,15843428.23,70296123.7000,1.185863,2.045455,2.209877,0.970131
2024-01-23 19:00:00,15714334.75,69231597.4000,1.183777,1.981982,2.144472,0.672934
2024-01-23 20:00:00,15387394.27,69039693.4000,1.207522,2.258663,2.372870,1.164566
2024-01-23 21:00:00,15371085.46,68242603.4000,1.205743,2.148551,2.261333,0.737079
2024-01-23 22:00:00,15607911.38,67545028.4000,1.178401,1.968680,2.075692,1.254385
2024-01-23 23:00:00,16403740.88,66236767.8000,1.145116,1.788503,1.960149,0.536577
2024-01-24 00:00:00,16572881.76,66044970.6000,1.116619,1.731915,1.923219,1.186216
2024-01-24 01:00:00,17283045.95,67608425.1000,1.087916,1.738527,1.934406,0.991568
2024-01-24 02:00:00,16294010.88,65466807.8000,1.088999,1.683652,1.870243,0.541297
2024-01-24 03:00:00,15637797.66,64635699.7000,1.086221,1.989293,1.972204,0.415798
2024-01-24 04:00:00,15574625.73,64598198.8000,1.084320,2.064950,2.039465,0.546652
2024-01-24 05:00:00,15204050.58,64714249.6000,1.087644,2.111991,2.174293,0.504436
2024-01-24 06:00:00,15986638.19,64933542.6000,1.059551,1.945321,1.992602,1.826078
2024-01-24 07:00:00,14921055.73,62818761.0000,1.081356,2.152027,2.253425,0.908055
2024-01-24 08:00:00,15059544.34,63622916.5000,1.073060,2.212471,2.298064,1.067846
2024-01-24 09:00:00,14898838.69,63699168.6000,1.073856,2.209751,2.429775,1.368143
2024-01-24 10:00:00,15230962.41,64218968.6000,1.054981,2.042508,2.194839,0.718276
2024-01-24 11:00:00,15905687.13,65455502.6000,1.059265,2.003168,2.036166,0.596326
2024-01-24 12:00:00,15770552.76,65260610.2000,1.039875,2.048701,2.258317,2.058825
2024-01-24 13:00:00,16507084.78,65869094.0000,1.029884,1.701261,1.681411,0.608269
2024-01-24 14:00:00,16221653.90,66398208.0000,1.031232,1.917895,2.020871,0.983268
2024-01-24 15:00:00,15912837.37,66084103.6000,1.044822,2.017354,2.285808,1.124548
2024-01-24 16:00:00,15745269.81,66221286.8000,1.047906,2.162844,2.548091,1.090623
2024-01-24 17:00:00,16487889.05,67324985.9000,1.035288,1.892596,2.047244,1.392028
2024-01-24 18:00:00,18355618.22,72351668.2000,1.013123,2.030888,2.066372,0.900972
2024-01-24 19:00:00,17980152.55,73099149.8000,1.005715,2.293139,2.516477,0.783252
2024-01-24 20:00:00,17737041.10,73684053.3000,1.001570,2.537683,3.152439,1.301191
2024-01-24 21:00:00,17509453.51,72831944.6000,0.991354,2.561503,3.282443,1.269748
2024-01-24 22:00:00,18290325.17,73307916.5000,0.988746,2.161972,2.356725,0.834759
2024-01-24 23:00:00,18512941.74,74081399.5000,0.992779,2.249741,2.438043,1.782697
2024-01-25 00:00:00,19137174.42,74463713.7000,0.996541,2.053181,2.096471,1.211357
2024-01-25 01:00:00,19069199.44,75405481.4000,0.997215,2.275648,2.320599,0.947051
2024-01-25 02:00:00,18640895.55,75265240.9000,0.989375,2.356223,2.506077,0.985516
2024-01-25 03:00:00,18147515.31,74711878.6000,1.065362,2.730425,3.221701,1.409383
2024-01-25 04:00:00,18950790.11,76630772.8000,1.061444,2.509764,2.878251,0.907905
2024-01-25 05:00:00,18311491.50,76266103.7000,1.063248,2.974299,3.993228,1.280311
2024-01-25 06:00:00,18061209.04,77020081.2000,1.065170,2.960621,4.122353,1.459819
2024-01-25 07:00:00,18209426.54,77937259.5000,1.067192,2.949214,4.014902,0.914575
2024-01-25 08:00:00,18390786.42,77946313.2000,1.063586,2.862631,3.847875,1.267519
2024-01-25 09:00:00,17722079.17,77780615.7000,1.066032,3.076364,4.254210,0.684025
2024-01-25 10:00:00,17917880.68,78324150.5000,1.062081,3.009524,4.042945,0.410069
2024-01-25 11:00:00,18264374.13,79249886.1000,1.058774,2.963091,4.155045,0.757354
2024-01-25 12:00:00,17961436.55,79643275.2000,1.055192,3.262836,4.605556,0.929478
2024-01-25 13:00:00,16774720.65,77732718.5000,1.058080,3.455128,4.726062,0.885958
2024-01-25 14:00:00,17239044.32,77653352.8000,1.053898,3.194411,4.469517,0.943197
2024-01-25 15:00:00,16915801.71,76611420.8000,1.055431,3.283750,4.376766,1.065532
2024-01-25 16:00:00,17841106.74,77637540.2000,1.051373,2.783482,3.136836,1.088514
2024-01-25 17:00:00,17526470.68,76942338.8000,1.047131,2.866513,3.315350,0.817019
2024-01-25 18:00:00,17284475.41,76615582.5000,1.059671,3.090575,3.558219,0.783637
2024-01-25 19:00:00,17835787.74,77016613.7000,1.042396,2.615642,2.479936,0.998004
2024-01-25 20:00:00,18276917.63,77190700.4000,1.042963,2.515453,2.323164,1.263191
2024-01-25 21:00:00,18054508.97,77426092.7000,1.045608,2.463308,2.397965,1.381638
2024-01-25 22:00:00,17889507.26,77482002.3000,1.054537,2.829448,2.850765,0.541113
2024-01-25 23:00:00,17483014.83,78118922.4000,1.053688,3.120690,3.960723,0.995006
2024-01-26 00:00:00,17543656.27,78518528.4000,1.056649,3.021684,3.794776,1.164338
2024-01-26 01:00:00,17232663.40,77741747.8000,1.052562,3.102696,4.517842,2.104755
2024-01-26 02:00:00,17043593.76,78822668.0000,1.047324,3.253468,4.895288,0.742802
2024-01-26 03:00:00,17422750.46,78729081.5000,1.052191,3.138272,4.506871,1.542144
2024-01-26 04:00:00,17092134.08,78081928.2000,1.048360,3.413212,5.076115,0.555598
2024-01-26 05:00:00,17195207.07,78214754.0000,1.044013,3.366879,5.018010,0.926866
2024-01-26 06:00:00,17050674.41,78562853.4000,1.053293,3.605578,5.581952,0.978131
2024-01-26 07:00:00,16467865.61,77278005.1000,1.071504,3.617219,5.808015,0.556551
2024-01-26 08:00:00,16697659.52,79578009.3000,1.074475,3.564537,5.627273,0.649407
2024-01-26 09:00:00,17071440.41,78903670.8000,1.067998,3.376250,5.206255,0.969722
2024-01-26 10:00:00,16907484.69,79334098.3000,1.071382,3.402532,5.185908,0.815285
2024-01-26 11:00:00,17395175.60,79848753.9000,1.066506,3.262577,4.602009,0.778922
2024-01-26 12:00:00,17499054.90,80187517.4000,1.039773,3.256506,4.414803,0.932982
2024-01-26 13:00:00,17708044.72,81168243.7000,1.040031,3.430412,4.668000,0.807056
2024-01-26 14:00:00,17900978.10,82379098.5000,1.036969,3.458438,4.946298,1.118632
2024-01-26 15:00:00,18205585.68,82383952.8000,1.026266,3.078947,4.103283,0.852560
2024-01-26 16:00:00,18157275.40,83105215.4000,1.031614,3.230769,4.444444,0.536484
2024-01-26 17:00:00,19141988.32,84178390.2000,1.038731,2.709205,2.697057,1.013443
2024-01-26 18:00:00,20251468.09,86909126.1000,1.029939,2.528513,2.198911,0.835897
2024-01-26 19:00:00,20008462.56,84356720.5000,1.018739,2.402379,2.053781,0.570861
2024-01-26 20:00:00,19592500.17,82935518.0000,1.020829,2.336624,2.050185,1.723386
2024-01-26 21:00:00,18665896.55,81364059.7000,1.032781,2.658915,2.314457,0.967323
2024-01-26 22:00:00,18532262.47,80575891.5000,1.066904,2.608649,2.643290,2.204905
2024-01-26 23:00:00,18400137.36,80105082.1000,1.067395,2.648352,2.675537,1.598841
2024-01-27 00:00:00,18347580.66,80553221.4000,1.063291,2.882147,2.916847,0.576021
2024-01-27 01:00:00,18057931.33,80705297.3000,1.060854,3.145546,3.298214,0.999306
2024-01-27 02:00:00,18282522.14,81608755.1000,1.121204,3.198810,3.156376,0.618921
2024-01-27 03:00:00,18894721.09,81595163.4000,1.122117,2.776008,2.553563,1.475505
2024-01-27 04:00:00,18871925.16,81027130.1000,1.119021,2.596954,2.084378,2.236967
2024-01-27 05:00:00,19733403.51,82858592.4000,1.113922,2.437500,1.690185,1.552403
2024-01-27 06:00:00,18994787.77,82982785.3000,1.113896,2.982955,2.431850,0.728021
2024-01-27 07:00:00,18831048.50,83693548.9000,1.109130,3.248507,3.397180,0.909395
2024-01-27 08:00:00,19004489.27,84075199.6000,1.102332,3.157044,3.495853,2.327730
2024-01-27 09:00:00,19097520.30,84977919.1000,1.098984,3.148912,3.554438,1.084041
2024-01-27 10:00:00,19532848.34,85858413.6000,1.101054,3.140292,3.358459,1.044947
2024-01-27 11:00:00,20384376.82,87960688.8000,1.096123,3.007471,3.029904,0.768279
2024-01-27 12:00:00,19828689.43,85391562.9000,1.116335,2.689899,2.025661,0.928049
2024-01-27 13:00:00,20657001.61,86132018.9000,1.106241,2.501887,1.664302,1.030547
2024-01-27 14:00:00,20372929.18,84919679.6000,1.111321,2.357527,1.614840,0.818908
2024-01-27 15:00:00,21407760.67,86938069.6000,1.107940,2.280899,1.446021,0.714154
2024-01-27 16:00:00,23752654.90,92422781.7000,1.113492,1.962104,1.270734,0.958731
2024-01-27 17:00:00,24572763.53,93893499.5000,1.103337,1.760055,1.153244,1.149632
2024-01-27 18:00:00,24599984.66,94615325.6000,1.117377,1.731058,1.107438,0.575209
2024-01-27 19:00:00,25312874.29,93885646.2000,1.113191,1.621073,1.106942,1.608328
2024-01-27 20:00:00,25417253.97,92638976.1000,1.111020,1.574178,1.162764,0.850682
2024-01-27 21:00:00,24880595.71,92218664.6000,1.124341,1.624104,1.147094,0.943598
2024-01-27 22:00:00,24969679.44,90722129.6000,1.129007,1.503106,1.106412,2.238960
2024-01-27 23:00:00,24022676.47,89846577.2000,1.131133,1.493766,1.117978,0.482546
2024-01-28 00:00:00,23226649.31,87913048.2000,1.144745,1.546000,1.143035,0.808653
2024-01-28 01:00:00,22697567.42,86401094.1000,1.143834,1.574830,1.120766,1.046903
2024-01-28 02:00:00,23162747.88,86713704.2000,1.202290,1.539853,1.123835,0.726400
2024-01-28 03:00:00,22617283.27,85870825.9000,1.207754,1.684564,1.168851,1.137738
2024-01-28 04:00:00,22529735.74,85243041.0000,1.208159,1.699391,1.182302,1.108826
2024-01-28 05:00:00,22815529.92,84035101.0000,1.213612,1.632961,1.139907,1.084294
2024-01-28 06:00:00,24914766.86,87048570.8000,1.209330,1.478109,1.101773,1.600143
2024-01-28 07:00:00,28028946.75,96121628.6000,1.188503,1.321502,1.041288,0.913849
2024-01-28 08:00:00,26811836.46,94739422.8000,1.207410,1.331903,1.019407,1.256956
2024-01-28 09:00:00,26558333.97,92888833.2000,1.200614,1.397268,1.085601,1.347953
2024-01-28 10:00:00,25512984.34,89829100.1000,1.217088,1.391616,1.091010,0.899143
2024-01-28 11:00:00,24492198.78,88315306.8000,1.227321,1.436043,1.105192,0.773838
2024-01-28 12:00:00,23821406.34,86492233.3000,1.229477,1.516129,1.206238,1.316449
2024-01-28 13:00:00,23388113.33,84310431.5000,1.246275,1.522685,1.213025,1.660676
2024-01-28 14:00:00,23118026.62,84546324.8000,1.235221,1.600255,1.312709,1.681984
2024-01-28 15:00:00,22918099.05,83800269.3000,1.231882,1.574109,1.303526,0.756559
2024-01-28 16:00:00,23566084.29,84175857.3000,1.229808,1.509721,1.248813,0.755776
2024-01-28 17:00:00,23354063.35,83437168.1000,1.230511,1.482989,1.260026,0.576467
2024-01-28 18:00:00,21788548.03,81268196.7000,1.234087,1.695382,1.548034,0.465494
2024-01-28 19:00:00,22122758.57,81966500.8000,1.236586,1.643939,1.514210,0.547193
2024-01-28 20:00:00,21594935.71,81539798.1000,1.235930,1.696710,1.562442,0.724256
2024-01-28 21:00:00,22004143.39,82289242.3000,1.247674,1.727609,1.577343,0.931974
2024-01-28 22:00:00,22050659.09,82990813.3000,1.244971,1.756353,1.605160,1.127435
2024-01-28 23:00:00,21078453.02,83215369.2000,1.249527,1.889163,1.921472,0.931721
2024-01-29 00:00:00,21500750.07,83724403.8000,1.249246,1.919831,1.949372,0.615258
2024-01-29 01:00:00,21243533.85,84099500.6000,1.247187,2.016652,2.036149,1.076850
2024-01-29 02:00:00,21193978.53,83092773.6000,1.214382,2.047049,2.089813,0.778951
2024-01-29 03:00:00,21402928.03,83474758.3000,1.208751,2.038039,2.084054,0.972311
2024-01-29 04:00:00,20995645.06,82355240.7000,1.213364,2.118056,2.165258,1.165364
2024-01-29 05:00:00,20759354.46,82536608.8000,1.207555,2.195614,2.327225,0.721005
2024-01-29 06:00:00,20564646.39,83791183.3000,1.201168,2.285586,2.456532,0.651825
2024-01-29 07:00:00,20918237.90,84747279.3000,1.198149,2.349644,2.605131,0.901850
2024-01-29 08:00:00,20906587.95,84756951.9000,1.192842,2.396057,2.700232,0.975928
2024-01-29 09:00:00,21376995.16,85384896.6000,1.190198,2.226856,2.534662,0.957048
2024-01-29 10:00:00,21341397.52,84553343.6000,1.186449,2.371750,2.571244,0.546293
2024-01-29 11:00:00,20355053.40,81944138.2000,1.190051,2.630199,2.910632,0.691719
2024-01-29 12:00:00,20425410.82,82261018.2000,1.188512,2.621766,2.863897,1.384236
2024-01-29 13:00:00,20304313.76,81175449.7000,1.191240,2.439655,2.614352,0.520747
2024-01-29 14:00:00,20058024.38,81120250.7000,1.177139,2.502622,2.693729,1.604230
2024-01-29 15:00:00,20174149.07,81125552.5000,1.163909,2.448785,2.762074,1.258848
2024-01-29 16:00:00,21193739.25,81217164.4000,1.157701,2.160743,2.203403,0.979758
2024-01-29 17:00:00,21394153.58,81253906.5000,1.154279,2.163366,2.172699,0.893368
2024-01-29 18:00:00,21247140.25,80333060.9000,1.152877,2.057677,2.111375,1.592572
2024-01-29 19:00:00,21771299.57,80096491.1000,1.150276,2.021987,1.895912,1.255790
2024-01-29 20:00:00,22413753.13,81150445.8000,1.153435,1.974444,1.610440,0.496656
2024-01-29 21:00:00,21924085.42,80277793.7000,1.158124,1.955556,1.573956,1.525100
2024-01-29 22:00:00,21349542.60,78669046.7000,1.154010,1.945878,1.569539,0.970269
2024-01-29 23:00:00,20969073.57,77922978.7000,1.152787,2.019759,1.766179,0.891669
2024-01-30 00:00:00,20925412.47,78220250.1000,1.151678,1.991438,1.747397,0.684547
2024-01-30 01:00:00,20860693.29,78693008.0000,1.148519,2.024327,1.767396,0.595679
2024-01-30 02:00:00,20709216.10,78684949.2000,1.180205,2.166513,1.905176,0.515003
2024-01-30 03:00:00,20339748.71,77976152.3000,1.178208,2.338649,2.088535,0.597428
2024-01-30 04:00:00,20375458.48,79218158.2000,1.184121,2.462136,2.219039,0.911671
2024-01-30 05:00:00,20425228.13,80067534.8000,1.183782,2.469624,2.332698,1.421143
2024-01-30 06:00:00,20275576.40,80194878.1000,1.182666,2.513645,2.484938,0.754964
2024-01-30 07:00:00,20275178.96,80222865.9000,1.184762,2.669388,2.669439,0.743284
2024-01-30 08:00:00,20343683.43,80288941.4000,1.178935,2.564327,2.629929,1.391775
2024-01-30 09:00:00,20699733.90,81249214.1000,1.173032,2.572957,2.681496,0.809516
2024-01-30 10:00:00,20948511.88,81481146.5000,1.170925,2.480787,2.558297,0.779513
2024-01-30 11:00:00,21276070.01,81863758.8000,1.166946,2.414972,2.486998,2.208172
2024-01-30 12:00:00,20595220.95,81500676.5000,1.172020,2.707000,2.829921,1.082765
2024-01-30 13:00:00,20299625.95,82218007.1000,1.169723,2.879581,3.186087,0.945980
2024-01-30 14:00:00,20618276.97,82562691.7000,1.159590,2.916580,3.275922,1.891489
2024-01-30 15:00:00,20738987.10,82461181.3000,1.156762,2.837755,3.217024,0.924834
2024-01-30 16:00:00,20861941.08,82946845.0000,1.159503,2.740519,2.995745,0.877371
2024-01-30 17:00:00,20838830.22,83155747.1000,1.162406,2.835546,3.114566,0.743028
2024-01-30 18:00:00,21138649.14,84285298.3000,1.168236,2.934375,3.162931,0.722233
2024-01-30 19:00:00,21002920.69,84417124.7000,1.168847,3.060832,3.325673,0.682575
2024-01-30 20:00:00,21159219.67,84095137.8000,1.173089,2.979080,3.220765,0.817030
2024-01-30 21:00:00,21169266.06,84205717.7000,1.174139,2.942149,3.203032,1.059824
