time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2023-11-27 14:00:00,1339831.28,2954424.0000,1.067644,1.053254,1.394578,1.152597
2023-11-27 15:00:00,1872050.41,4215198.0000,0.991439,1.359447,1.399563,1.029108
2023-11-27 16:00:00,2137363.71,4820667.0000,0.920861,1.435780,1.458515,0.821464
2023-11-27 17:00:00,2131006.10,5187454.0000,0.998209,1.629808,1.509050,1.212740
2023-11-27 18:00:00,2321457.93,5813819.0000,1.004687,1.840376,1.734649,0.525825
2023-11-27 19:00:00,2331459.96,5866784.0000,1.019651,1.880383,1.773836,0.824335
2023-11-27 20:00:00,2325402.06,5890523.0000,1.065584,2.053398,2.028037,1.532578
2023-11-27 21:00:00,2311006.81,5422948.0000,1.011975,1.416667,1.680473,1.088763
2023-11-27 22:00:00,2218152.44,5298143.0000,1.027035,1.477912,1.712810,0.459747
2023-11-27 23:00:00,2307945.12,5407388.0000,0.996025,1.401487,1.657258,1.206161
2023-11-28 00:00:00,2340538.95,5412219.0000,0.983992,1.108197,1.498127,1.008635
2023-11-28 01:00:00,2394357.99,5592661.0000,0.877658,1.267123,1.596226,1.485930
2023-11-28 02:00:00,3940332.56,8049709.0000,0.843497,0.844332,0.886688,0.950582
2023-11-28 03:00:00,5026886.74,10338033.0000,1.046117,0.673993,0.743043,1.152580
2023-11-28 04:00:00,4959815.42,10306806.0000,1.056169,0.723192,0.763701,1.173138
2023-11-28 05:00:00,4955372.28,10813510.0000,1.054824,0.754339,0.762853,1.478060
2023-11-28 06:00:00,5086589.00,10982849.0000,1.022769,0.782550,0.879704,0.944645
2023-11-28 07:00:00,4869343.46,10622477.0000,1.015598,0.822252,0.909273,0.931585
2023-11-28 08:00:00,5017466.07,10787206.0000,1.034820,0.788674,0.899437,0.990771
2023-11-28 09:00:00,5189052.12,11192222.0000,1.002270,0.806150,0.917999,2.011879
2023-11-28 10:00:00,5725171.51,12168271.0000,0.991615,0.920740,1.041527,0.966097
2023-11-28 11:00:00,6941354.09,14352048.0000,0.975388,0.862837,0.934240,1.018129
2023-11-28 12:00:00,6192115.54,13330379.0000,0.953824,1.084986,1.098940,1.145805
2023-11-28 13:00:00,5438805.28,11839180.0000,0.927341,1.145286,1.163043,1.068713
2023-11-28 14:00:00,5371964.63,11642584.0000,0.917890,1.111801,1.166269,0.963108
2023-11-28 15:00:00,5518476.34,12216745.0000,0.927629,1.249570,1.339450,1.092591
2023-11-28 16:00:00,5187970.44,11747491.0000,0.939495,1.331461,1.360161,1.168477
2023-11-28 17:00:00,4910036.33,11405622.0000,0.911294,1.421589,1.492063,1.318163
2023-11-28 18:00:00,5067779.32,11391321.0000,0.899596,1.347741,1.531963,1.282428
2023-11-28 19:00:00,4991747.49,11350558.0000,0.900083,1.431772,1.597139,1.177098
2023-11-28 20:00:00,4936586.29,11115934.0000,0.896424,1.283730,1.513514,0.816422
2023-11-28 21:00:00,4946812.51,11070553.0000,0.891320,1.262231,1.472093,0.360165
2023-11-28 22:00:00,5002587.39,11026201.0000,0.886622,1.119782,1.362031,1.398045
2023-11-28 23:00:00,4949764.56,11093569.0000,0.897325,1.229287,1.431713,0.753551
2023-11-29 00:00:00,5061420.21,11440417.0000,0.898009,1.317269,1.520000,1.768025
2023-11-29 01:00:00,5093905.68,11449552.0000,0.893752,1.184015,1.403171,0.819491
2023-11-29 02:00:00,4981918.86,11036549.0000,0.884884,1.025818,1.319520,0.379869
2023-11-29 03:00:00,5073556.58,11194060.0000,1.003635,1.123729,1.303704,0.958852
2023-11-29 04:00:00,5231453.57,11296824.0000,0.976229,1.153578,1.313384,2.124932
2023-11-29 05:00:00,5288558.55,11423575.0000,0.968111,1.108696,1.284501,0.636949
2023-11-29 06:00:00,5337893.15,11562582.0000,0.958265,1.148464,1.288889,0.863550
2023-11-29 07:00:00,5157548.54,11474170.0000,0.971184,1.308530,1.389013,0.587021
2023-11-29 08:00:00,5084139.58,11263777.0000,0.974384,1.272563,1.384961,2.188975
2023-11-29 09:00:00,5131018.56,11411821.0000,0.974445,1.296364,1.449192,1.215149
2023-11-29 10:00:00,5210346.88,11640632.0000,0.971361,1.316176,1.502336,1.570371
2023-11-29 11:00:00,5113244.16,11565809.0000,0.985917,1.315118,1.483834,2.253874
2023-11-29 12:00:00,5225931.75,11729411.0000,0.991835,1.276051,1.451136,0.502392
2023-11-29 13:00:00,5100728.92,12237205.0000,0.994562,1.435701,1.564477,0.505026
2023-11-29 14:00:00,5416178.33,12938792.0000,0.976197,1.441006,1.679551,1.268031
2023-11-29 15:00:00,5357322.76,13044370.0000,0.978586,1.615542,1.830968,1.035813
2023-11-29 16:00:00,5207792.95,12771958.0000,0.941892,1.648485,1.944954,0.583052
2023-11-29 17:00:00,5072492.74,12473032.0000,0.946639,1.741127,2.099162,0.894977
2023-11-29 18:00:00,5141705.17,12615254.0000,0.939405,1.723014,2.179916,1.957082
2023-11-29 19:00:00,5070694.80,12431118.0000,0.936942,1.712245,2.214489,1.745287
2023-11-29 20:00:00,5052088.03,12461288.0000,0.929987,1.791579,2.355655,0.703587
2023-11-29 21:00:00,5060003.36,12509279.0000,0.936495,1.775051,2.338617,0.739015
2023-11-29 22:00:00,5113115.11,12416501.0000,0.927962,1.632812,2.234310,1.915274
2023-11-29 23:00:00,4994280.56,12249891.0000,0.937795,1.731313,2.278642,1.068819
2023-11-30 00:00:00,5023021.73,12114560.0000,0.924890,1.468240,2.101316,1.833211
2023-11-30 01:00:00,4344495.43,11369119.0000,0.933733,1.941909,2.360399,0.551734
2023-11-30 02:00:00,4593386.34,11921378.0000,0.945845,1.874747,2.449009,1.509213
2023-11-30 03:00:00,4783415.15,12224419.0000,0.953053,1.922465,2.478933,0.924240
2023-11-30 04:00:00,4752696.20,12167681.0000,0.946655,1.967677,2.602857,0.531600
2023-11-30 05:00:00,4924531.14,12676350.0000,0.955040,2.071575,2.610570,0.352793
2023-11-30 06:00:00,4997352.71,13018467.0000,0.950784,2.086066,2.667598,0.349062
2023-11-30 07:00:00,5037420.63,13121700.0000,0.957293,2.114053,2.719888,0.526417
2023-11-30 08:00:00,5049046.99,13292114.0000,0.955230,2.237006,2.857546,0.697533
2023-11-30 09:00:00,5096844.57,13416574.0000,0.961651,2.083969,2.560736,0.937804
2023-11-30 10:00:00,5078811.06,13352000.0000,0.950397,2.036563,2.514418,1.425154
2023-11-30 11:00:00,5012781.26,13144206.0000,0.941628,2.083488,2.656874,0.661697
2023-11-30 12:00:00,5040576.06,13125472.0000,0.934683,2.027273,2.638889,1.025961
2023-11-30 13:00:00,5036205.62,13148526.0000,0.930461,1.983900,2.635104,0.933874
2023-11-30 14:00:00,4880053.20,12814939.0000,0.920596,2.040367,2.648148,1.893625
2023-11-30 15:00:00,4932408.13,12967174.0000,0.921694,2.139147,2.703963,0.523712
2023-11-30 16:00:00,4917285.06,12865738.0000,0.927887,2.098901,2.722157,1.837684
2023-11-30 17:00:00,4895908.37,12834841.0000,0.927138,2.081818,2.706776,3.157685
2023-11-30 18:00:00,4857784.99,12660048.0000,0.928992,2.041367,2.674392,0.634987
2023-11-30 19:00:00,4830442.44,12606097.0000,0.925837,1.947644,2.593857,2.327779
2023-11-30 20:00:00,4806230.24,12604388.0000,0.929169,2.080292,2.686183,0.642585
2023-11-30 21:00:00,4812514.07,12529885.0000,0.928389,1.901554,2.557062,0.938340
2023-11-30 22:00:00,4814332.85,12524279.0000,0.931876,1.916230,2.559955,0.867572
2023-11-30 23:00:00,4858494.75,12593299.0000,0.928437,1.852991,2.542277,1.225091
2023-12-01 00:00:00,4851059.53,12583812.0000,0.925847,1.958633,2.664327,0.407405
2023-12-01 01:00:00,4861739.96,12840986.0000,0.927670,2.111111,2.780488,1.220262
2023-12-01 02:00:00,4927458.54,12948766.0000,0.926497,2.215686,2.921995,0.855220
2023-12-01 03:00:00,5038325.53,13206620.0000,0.936667,2.278656,2.938619,2.256815
2023-12-01 04:00:00,5068815.93,13359994.0000,0.936414,2.334004,2.985770,1.016754
2023-12-01 05:00:00,5080961.73,13335195.0000,0.930640,2.291339,2.976864,2.449695
2023-12-01 06:00:00,5074967.10,13356308.0000,0.935358,2.261719,2.951282,0.839401
2023-12-01 07:00:00,5517741.99,14173496.0000,0.929141,1.973498,2.713065,0.652632
2023-12-01 08:00:00,5943146.12,15120185.0000,0.914327,2.109541,2.961104,0.546600
2023-12-01 09:00:00,5839684.29,14945470.0000,0.907166,2.147627,3.124051,1.571186
2023-12-01 10:00:00,5908465.40,15024501.0000,0.907100,2.134146,3.189698,1.949134
2023-12-01 11:00:00,5755501.06,14858487.0000,0.893762,2.424184,3.441296,1.485732
2023-12-01 12:00:00,5979234.64,15245521.0000,0.881734,2.200710,3.338521,1.289124
2023-12-01 13:00:00,6202984.50,15934391.0000,0.881222,2.223214,3.291613,0.772222
2023-12-01 14:00:00,6309349.33,16091174.0000,0.877087,2.301852,3.318480,2.516883
2023-12-01 15:00:00,6250603.87,16058671.0000,0.869011,2.250923,3.359732,1.022168
2023-12-01 16:00:00,6285213.22,16107671.0000,0.869851,2.320755,3.418256,1.581477
2023-12-01 17:00:00,6316393.67,16059989.0000,0.870846,2.240741,3.328378,0.879292
2023-12-01 18:00:00,6254791.73,15964543.0000,0.872267,2.291667,3.395574,0.472057
2023-12-01 19:00:00,6201344.15,15868332.0000,0.872625,2.435388,3.475989,0.098425
2023-12-01 20:00:00,6299947.52,16022247.0000,0.874787,2.331407,3.343879,0.837083
2023-12-01 21:00:00,6288863.65,15977804.0000,0.872086,2.162409,3.180371,0.294336
2023-12-01 22:00:00,6281173.21,16057348.0000,0.872043,2.377907,3.341564,0.745580
2023-12-01 23:00:00,6288228.02,16020157.0000,0.867327,2.178309,3.155673,1.540875
2023-12-02 00:00:00,6369320.63,16084143.0000,0.868874,2.074205,3.025478,1.625795
2023-12-02 01:00:00,6974435.94,16801966.0000,0.833218,1.785600,2.532203,0.835221
2023-12-02 02:00:00,6906558.65,16642310.0000,0.836686,1.859873,2.462838,1.720309
2023-12-02 03:00:00,6367497.73,15549445.0000,0.898889,1.859296,2.532278,0.967864
2023-12-02 04:00:00,6299675.38,15361525.0000,0.895036,1.783871,2.450771,0.709574
2023-12-02 05:00:00,6223245.34,15272819.0000,0.892511,1.844482,2.481840,0.851605
2023-12-02 06:00:00,6205581.39,15413764.0000,0.900732,2.007042,2.626752,1.145605
2023-12-02 07:00:00,6204635.89,15260137.0000,0.898450,1.817734,2.472793,1.331510
2023-12-02 08:00:00,6081119.50,14998668.0000,0.894324,1.963855,2.601010,0.224857
2023-12-02 09:00:00,6044662.92,14837327.0000,0.894902,1.838655,2.509363,0.856506
2023-12-02 10:00:00,6032206.61,14802961.0000,0.890421,1.937173,2.610323,1.523785
2023-12-02 11:00:00,6058414.32,14785182.0000,0.887486,1.861592,2.546036,0.167895
2023-12-02 12:00:00,6070759.80,14878748.0000,0.883366,1.925926,2.597671,0.325657
2023-12-02 13:00:00,6088189.20,14834769.0000,0.885795,1.894831,2.562418,0.540125
2023-12-02 14:00:00,6031774.56,14813484.0000,0.881440,1.987037,2.637348,0.188538
2023-12-02 15:00:00,5711773.61,14145056.0000,0.874352,2.046243,2.707801,1.249264
2023-12-02 16:00:00,5670978.98,14047508.0000,0.879801,1.983271,2.645604,0.448252
2023-12-02 17:00:00,5714756.70,14087581.0000,0.883191,2.001852,2.710959,0.840773
2023-12-02 18:00:00,5715866.57,14098984.0000,0.885323,2.037313,2.790569,0.492017
2023-12-02 19:00:00,5733273.03,14028072.0000,0.884686,1.965265,2.717808,2.404135
2023-12-02 20:00:00,5662540.62,13851616.0000,0.885451,1.880218,2.608458,0.454553
2023-12-02 21:00:00,5666761.62,13801218.0000,0.886904,1.863388,2.556617,0.401052
2023-12-02 22:00:00,5919476.10,14442495.0000,0.879667,1.921642,2.610169,0.353931
2023-12-02 23:00:00,5700569.50,13867618.0000,0.875161,1.693772,2.358738,1.775399
2023-12-03 00:00:00,5673500.46,13738386.0000,0.875419,1.726003,2.396825,0.358866
2023-12-03 01:00:00,5510864.07,12845837.0000,0.882762,1.415157,1.940373,2.229402
2023-12-03 02:00:00,5345120.49,12634259.0000,0.884495,1.481990,2.015584,0.609368
2023-12-03 03:00:00,5269576.43,12399998.0000,0.938385,1.625448,2.049333,0.494606
2023-12-03 04:00:00,5387955.46,12562265.0000,0.947876,1.541958,1.976532,0.745146
2023-12-03 05:00:00,5330160.00,12513936.0000,0.949001,1.601818,2.034946,0.608661
2023-12-03 06:00:00,5387299.29,12641776.0000,0.948253,1.559353,1.994674,2.725963
2023-12-03 07:00:00,5437911.51,12780335.0000,0.942603,1.572993,2.031039,0.415397
2023-12-03 08:00:00,6171282.69,14432373.0000,0.958658,1.518784,1.970938,3.256542
2023-12-03 09:00:00,6052572.43,14216233.0000,0.957133,1.485816,1.917431,0.385012
2023-12-03 10:00:00,6174642.19,14359633.0000,0.967889,1.458844,1.904824,1.338994
2023-12-03 11:00:00,6213695.13,14447094.0000,0.965835,1.480427,1.923483,0.202017
2023-12-03 12:00:00,6159725.54,14488237.0000,0.968903,1.446208,1.864407,0.385858
2023-12-03 13:00:00,6101021.93,14391359.0000,0.965764,1.396522,1.805663,0.506970
2023-12-03 14:00:00,4860827.77,11896299.0000,0.949861,1.699612,2.000000,0.738395
2023-12-03 15:00:00,4678554.04,11773663.0000,0.951856,1.650391,2.020260,0.527925
