time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2025-09-26 13:00:00,970055.62,4578919.0000,1.317023,0.797222,0.595781,1.091214
2025-09-26 14:00:00,1030925.68,4634832.0000,1.299335,0.794667,0.793291,1.291135
2025-09-26 15:00:00,1564213.18,6853431.0000,1.364379,1.265664,1.251146,1.393402
2025-09-26 16:00:00,2159513.10,9342629.0000,1.156468,1.329646,1.578467,0.591508
2025-09-26 17:00:00,2386854.66,10146466.0000,1.149951,1.353319,1.702944,0.948039
2025-09-26 18:00:00,2477099.67,10266494.0000,1.231351,1.258517,1.587566,0.866880
2025-09-26 19:00:00,2929921.35,11752612.0000,1.199487,1.258065,1.584753,0.860845
2025-09-26 20:00:00,3811199.55,14668615.0000,1.194627,1.203390,1.691786,1.050610
2025-09-26 21:00:00,4241085.12,16318456.0000,1.227492,1.347682,1.902077,0.840508
2025-09-26 22:00:00,4918404.24,16894886.0000,1.241216,1.208955,1.713004,0.842227
2025-09-26 23:00:00,7943242.18,24650095.0000,1.385340,1.390411,1.855172,1.024166
2025-09-27 00:00:00,8258416.36,24702133.0000,1.464938,1.354733,1.821374,0.881849
2025-09-27 01:00:00,9110444.05,26898270.0000,1.473870,1.336364,1.722121,0.990226
2025-09-27 02:00:00,8677200.42,26799056.0000,1.517304,1.278641,1.586713,0.865774
2025-09-27 03:00:00,6250694.32,22213504.0000,1.918002,1.603027,1.413776,1.123400
2025-09-27 04:00:00,6012423.00,21563431.0000,1.957355,1.752475,1.628914,0.918301
2025-09-27 05:00:00,5976730.49,21604604.0000,1.983644,1.758621,1.705307,0.761344
2025-09-27 06:00:00,4312014.13,17377872.0000,2.274992,1.915230,1.500857,0.555810
2025-09-27 07:00:00,4211324.19,17096270.0000,2.353828,1.767241,1.445954,1.664222
2025-09-27 08:00:00,4295304.62,16519767.0000,2.539328,1.704264,1.612748,1.302340
2025-09-27 09:00:00,4248051.49,16698972.0000,2.579420,1.724618,1.572093,0.956581
2025-09-27 10:00:00,3574123.42,14801738.0000,2.605937,1.562219,1.463684,1.283357
2025-09-27 11:00:00,3560459.58,14813645.0000,2.909463,1.557864,1.419615,0.771890
2025-09-27 12:00:00,3687954.33,15086743.0000,3.002069,1.588235,1.457305,1.514671
2025-09-27 13:00:00,3689454.07,14645336.0000,2.965401,1.592806,1.552124,1.054149
2025-09-27 14:00:00,4147697.64,16026009.0000,2.823227,1.550409,1.704949,1.312164
2025-09-27 15:00:00,4105193.98,15646583.0000,3.053240,1.451187,1.600489,0.766835
2025-09-27 16:00:00,4075265.71,15481653.0000,3.062532,1.424566,1.560256,0.541312
2025-09-27 17:00:00,3626636.30,14614105.0000,3.051024,1.505201,1.480834,0.730720
2025-09-27 18:00:00,3762308.75,14633293.0000,2.946974,1.443020,1.459583,0.698391
2025-09-27 19:00:00,3699388.74,14525379.0000,3.006102,1.408250,1.422048,1.094122
2025-09-27 20:00:00,3626059.66,14374295.0000,2.952358,1.412518,1.419987,0.601926
