time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2021-12-01 00:00:00,7662314.05,1906659.1000,0.955896,3.146961,4.009288,0.313359
2021-12-01 01:00:00,7793371.84,1904106.5000,0.960862,3.147357,4.093717,1.442796
2021-12-01 02:00:00,7648275.26,1891685.9000,0.961484,3.211538,4.165236,1.439857
2021-12-01 03:00:00,7668372.26,1904459.4000,0.960321,3.093478,4.027893,1.324792
2021-12-01 04:00:00,7711344.34,1904741.1000,0.960976,3.069414,3.993827,1.348825
2021-12-01 05:00:00,7756698.08,1917364.5000,0.960402,3.181717,4.151899,0.769607
2021-12-01 06:00:00,7758248.18,1921375.9000,0.960877,3.209354,4.200211,0.928225
2021-12-01 07:00:00,7817048.43,1927993.2000,0.959651,3.173817,4.192909,2.416479
2021-12-01 08:00:00,7801868.48,1922130.7000,0.958414,3.231707,4.274633,2.438996
2021-12-01 09:00:00,7630057.57,1884514.9000,0.956609,3.070883,4.098446,0.432810
2021-12-01 10:00:00,7704982.22,1876420.0000,0.956939,2.915183,3.903674,0.461054
2021-12-01 11:00:00,7640060.59,1864952.6000,0.957105,2.903665,3.906653,1.232138
2021-12-01 12:00:00,7770012.19,1889962.1000,0.955847,2.817719,3.802505,0.829224
2021-12-01 13:00:00,7780819.97,1899521.5000,0.957397,2.859631,3.845411,1.404636
2021-12-01 14:00:00,7938619.65,1937666.5000,0.959723,3.007407,4.048048,1.601019
2021-12-01 15:00:00,8386610.46,2015509.4000,0.961294,2.735905,3.876404,1.706216
2021-12-01 16:00:00,8174201.06,1974778.6000,0.959307,2.912690,4.122115,0.841490
2021-12-01 17:00:00,8149502.58,1964824.5000,0.956121,2.888662,4.078261,1.380530
2021-12-01 18:00:00,8070087.93,1943252.8000,0.959893,2.804260,3.857955,0.456892
2021-12-01 19:00:00,8053271.83,1953576.4000,0.961317,2.845128,3.931467,0.712082
2021-12-01 20:00:00,8224815.12,1978398.2000,0.961265,3.018702,4.143005,0.882561
2021-12-01 21:00:00,7957233.68,1964391.1000,0.962221,3.122517,4.198339,0.478479
2021-12-01 22:00:00,8342446.35,2026685.7000,0.963220,2.939232,3.979021,0.672319
2021-12-01 23:00:00,8290467.44,2007328.5000,0.961925,2.924242,3.937751,1.928618
2021-12-02 00:00:00,8120979.25,1970441.9000,0.958358,2.968615,4.017206,0.675559
2021-12-02 01:00:00,7656507.56,1902805.2000,0.958677,3.249441,4.232534,1.063912
2021-12-02 02:00:00,7736567.08,1912482.9000,0.958756,3.448196,4.497274,0.624545
2021-12-02 03:00:00,7931374.38,1937100.9000,0.957978,3.248588,4.276956,2.405911
2021-12-02 04:00:00,7738973.90,1952023.1000,0.963468,3.492159,4.492588,0.437294
2021-12-02 05:00:00,7934763.72,1968924.0000,0.959899,3.348183,4.324862,0.830447
2021-12-02 06:00:00,8080257.18,1974068.5000,0.963267,2.986928,3.886850,1.062335
2021-12-02 07:00:00,8322836.52,2002835.0000,0.959595,2.767109,3.611732,1.188486
2021-12-02 08:00:00,8582422.73,2048990.2000,0.953422,2.738446,3.492201,1.258650
2021-12-02 09:00:00,8168976.26,1986349.5000,0.959790,2.737403,3.520175,3.030421
2021-12-02 10:00:00,8175553.72,1983779.9000,0.955577,2.784585,3.638336,0.700190
