time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2021-12-01 00:00:00,13255752.93,41852494.0000,0.964306,4.248736,6.174757,1.229186
2021-12-01 01:00:00,13429424.39,41558527.0000,0.958399,4.149448,6.084302,0.726175
2021-12-01 02:00:00,13340766.21,41589710.0000,0.960461,4.189325,6.120272,0.760625
2021-12-01 03:00:00,13458773.64,41509561.0000,0.953364,3.999027,5.890038,0.997278
2021-12-01 04:00:00,13397612.57,41182874.0000,0.955404,3.958944,5.835061,0.323183
2021-12-01 05:00:00,13422233.86,42025906.0000,0.958618,4.108135,6.017176,1.651101
2021-12-01 06:00:00,13729647.05,43236174.0000,0.956182,4.178677,6.218957,1.424407
2021-12-01 07:00:00,13897172.33,43227386.0000,0.951989,4.239239,6.393474,0.450830
2021-12-01 08:00:00,13936426.43,42873397.0000,0.950914,4.057393,6.157993,1.215827
2021-12-01 09:00:00,13761415.21,43038046.0000,0.950210,4.154680,6.223374,0.759965
2021-12-01 10:00:00,14056619.99,43889053.0000,0.950329,4.151220,6.211215,1.285462
2021-12-01 11:00:00,14030697.17,43991651.0000,0.949534,4.227362,6.316682,1.632406
2021-12-01 12:00:00,14076210.02,44202261.0000,0.948303,4.312000,6.480307,1.251098
2021-12-01 13:00:00,14107297.89,44410952.0000,0.946525,4.356855,6.596508,1.037024
2021-12-01 14:00:00,14674063.67,45855016.0000,0.944608,4.357715,6.622478,1.801336
2021-12-01 15:00:00,14997055.91,46699433.0000,0.941088,4.385772,6.736590,1.065192
2021-12-01 16:00:00,15089855.66,47120953.0000,0.936453,4.410714,6.794481,2.839984
2021-12-01 17:00:00,15184321.54,47383059.0000,0.936000,4.485944,6.922040,1.170941
2021-12-01 18:00:00,15203691.04,47595338.0000,0.937594,4.473000,6.927954,1.421968
2021-12-01 19:00:00,15244253.22,48281213.0000,0.936525,4.653019,7.128155,0.725549
2021-12-01 20:00:00,15447968.62,49266388.0000,0.939087,4.590637,7.067813,1.505797
2021-12-01 21:00:00,15444952.75,49678182.0000,0.935202,4.623881,6.961394,0.673854
2021-12-01 22:00:00,15426486.32,49673127.0000,0.933512,4.605159,6.974576,1.157504
2021-12-01 23:00:00,15531679.43,50069527.0000,0.933915,4.633201,7.045455,0.918820
2021-12-02 00:00:00,15629714.33,50027893.0000,0.932983,4.506770,6.878341,3.692886
2021-12-02 01:00:00,14975252.57,48844480.0000,0.964161,4.584555,6.760748,1.087913
2021-12-02 02:00:00,15205419.85,49227596.0000,0.962822,4.521277,6.718401,0.535254
2021-12-02 03:00:00,15307583.93,49795335.0000,0.962339,4.473734,6.635197,1.250003
2021-12-02 04:00:00,14462875.10,48156249.0000,0.968744,4.571571,6.552707,0.641629
2021-12-02 05:00:00,14770124.82,48886892.0000,0.968270,4.586070,6.583650,0.732003
2021-12-02 06:00:00,14997393.92,49008841.0000,0.966958,4.399229,6.401670,0.706287
2021-12-02 07:00:00,14906838.96,48629380.0000,0.965207,4.380077,6.363636,0.512886
2021-12-02 08:00:00,14928537.25,48893123.0000,0.966139,4.346667,6.187835,0.954656
2021-12-02 09:00:00,15363352.97,49716371.0000,0.963818,4.300188,6.254417,3.541585
2021-12-02 10:00:00,15237563.99,49801644.0000,0.962253,4.436959,6.443841,0.455723
2021-12-02 11:00:00,15296105.93,49865056.0000,0.963774,4.422115,6.417423,0.602596
2021-12-02 12:00:00,15181812.14,49722635.0000,0.967971,4.528487,6.531423,0.431242
