time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2025-01-17 13:00:00,3822837.48,26309962.0000,1.443417,1.412245,1.334862,0.740998
2025-01-17 14:00:00,6089334.78,41402773.0000,1.180992,1.414438,1.336715,1.125709
2025-01-17 15:00:00,6681347.12,51535706.0000,1.229999,1.360116,0.961466,1.133934
2025-01-17 16:00:00,7811190.33,66140477.0000,1.291648,1.445156,0.901252,1.290894
2025-01-17 17:00:00,9454813.06,74978692.0000,1.243892,1.579845,1.261266,0.879846
2025-01-17 18:00:00,9719558.21,80526580.0000,1.212227,1.617781,1.222877,1.103069
2025-01-17 19:00:00,10120050.06,83110987.0000,1.239048,1.664697,1.248890,0.827137
2025-01-17 20:00:00,9866393.71,82723104.0000,1.238758,1.647059,1.199584,0.375119
2025-01-17 21:00:00,9724796.44,83093317.0000,1.269406,1.835385,1.236007,1.214209
2025-01-17 22:00:00,10322481.44,84827516.0000,1.244526,1.933649,1.438738,1.109469
2025-01-17 23:00:00,10642614.97,85799171.0000,1.174112,1.941315,1.480759,1.205388
2025-01-18 00:00:00,10290410.96,79223604.0000,1.138578,1.987352,1.750474,0.889403
2025-01-18 01:00:00,9576867.22,78111243.0000,1.194356,1.935246,1.579556,0.573704
2025-01-18 02:00:00,10131880.63,80971586.0000,1.179653,1.813740,1.524517,1.235254
2025-01-18 03:00:00,9765106.42,80197294.0000,1.244278,1.933908,1.546745,0.847037
2025-01-18 04:00:00,9630682.96,85378395.0000,1.270070,1.978626,1.425100,1.001769
2025-01-18 05:00:00,10401336.07,94810875.0000,1.255437,2.021053,1.445235,0.919664
2025-01-18 06:00:00,9913518.25,95782785.0000,1.300151,2.038202,1.374639,0.928098
2025-01-18 07:00:00,10825917.09,99962300.0000,1.278399,2.151335,1.512982,1.426212
2025-01-18 08:00:00,11176792.95,107038959.0000,1.216947,2.161011,1.575430,1.051183
2025-01-18 09:00:00,12582844.10,125522505.0000,1.264941,2.124737,1.507658,0.573073
2025-01-18 10:00:00,12975681.91,118929948.0000,1.277907,2.018349,1.605372,0.740868
2025-01-18 11:00:00,13633190.83,131177410.0000,1.273182,2.029717,1.639861,0.890719
2025-01-18 12:00:00,14714553.73,144782399.0000,1.373077,2.093510,1.645416,0.683115
2025-01-18 13:00:00,14574593.03,146363276.0000,1.452260,2.169075,1.746311,0.979809
2025-01-18 14:00:00,14507153.95,144881701.0000,1.450014,2.227502,1.802133,0.816702
2025-01-18 15:00:00,14009154.31,139244145.0000,1.461139,2.312126,1.922781,0.995412
2025-01-18 16:00:00,12953217.06,134648826.0000,1.467063,2.412338,2.001652,0.697533
2025-01-18 17:00:00,13089836.91,131440337.0000,1.506192,2.272799,1.867847,0.784182
2025-01-18 18:00:00,13492715.20,134820509.0000,1.502311,2.264869,1.856604,0.686950
2025-01-18 19:00:00,13610185.13,134404829.0000,1.518975,2.314170,1.872698,0.843364
2025-01-18 20:00:00,13337668.17,133912331.0000,1.516592,2.403480,1.993684,0.983713
2025-01-18 21:00:00,12986116.21,128625916.0000,1.547937,2.370213,2.115681,0.746808
2025-01-18 22:00:00,13510693.50,129993948.0000,1.523490,2.417384,2.148311,1.716468
2025-01-18 23:00:00,13301666.84,129262573.0000,1.519209,2.424504,2.184426,0.795721
2025-01-19 00:00:00,13670970.90,130798556.0000,1.549157,2.420464,2.171429,0.640702
2025-01-19 01:00:00,13102509.90,128389607.0000,1.578765,2.459103,2.202421,0.498824
2025-01-19 02:00:00,13550430.84,130485987.0000,1.573022,2.375752,2.183289,1.986799
2025-01-19 03:00:00,13272539.69,130377814.0000,1.451143,2.461603,2.295349,0.556464
2025-01-19 04:00:00,13204154.33,135146203.0000,1.472950,2.537937,2.365796,1.094617
2025-01-19 05:00:00,12858238.92,137264741.0000,1.474507,2.624215,2.315984,1.092634
2025-01-19 06:00:00,13619523.94,149373721.0000,1.479856,2.563589,2.173845,1.607480
2025-01-19 07:00:00,12989928.31,149998999.0000,1.466015,2.561798,2.169031,0.493859
2025-01-19 08:00:00,13351079.41,156702810.0000,1.491189,2.355974,2.002970,0.888204
2025-01-19 09:00:00,12939350.21,159430887.0000,1.513522,2.286656,1.889519,0.729478
2025-01-19 10:00:00,12296076.23,148429229.0000,1.538386,2.333641,2.037517,0.841751
2025-01-19 11:00:00,12180421.12,147876152.0000,1.495528,2.336355,2.033732,0.912719
2025-01-19 12:00:00,12114924.16,148772136.0000,1.462632,2.220070,1.917009,0.932240
2025-01-19 13:00:00,12813725.24,155615305.0000,1.464944,2.159664,1.924296,1.209196
2025-01-19 14:00:00,13238234.87,159476362.0000,1.405607,2.195345,2.039050,1.617334
2025-01-19 15:00:00,13578701.42,165962843.0000,1.374097,2.371429,2.192340,0.707617
2025-01-19 16:00:00,13209052.48,161160867.0000,1.332666,2.430715,2.334785,0.720550
2025-01-19 17:00:00,13785559.04,162299827.0000,1.325787,2.408181,2.368284,0.668230
2025-01-19 18:00:00,14047355.01,161310161.0000,1.295172,2.433597,2.515097,1.004581
2025-01-19 19:00:00,14493871.23,162788157.0000,1.302023,2.359756,2.507763,0.828346
2025-01-19 20:00:00,14488121.09,161247098.0000,1.293693,2.362191,2.483356,0.903058
2025-01-19 21:00:00,14087117.04,159850890.0000,1.355462,2.327160,2.333480,0.869583
2025-01-19 22:00:00,12805770.39,153808195.0000,1.511138,2.200710,2.104511,1.227130
2025-01-19 23:00:00,12193069.59,155917080.0000,1.538976,2.258735,2.057304,1.334096
2025-01-20 00:00:00,12726805.93,160489356.0000,1.594106,2.162037,2.020254,1.052959
2025-01-20 01:00:00,11799024.37,159878379.0000,1.570850,2.156339,1.957245,0.872142
2025-01-20 02:00:00,12432351.37,165381067.0000,1.608943,2.201729,2.027885,1.129697
2025-01-20 03:00:00,12037871.69,169718809.0000,1.637011,2.307235,2.032850,0.459519
2025-01-20 04:00:00,12714771.72,171301063.0000,1.435623,2.294118,2.082524,1.403752
2025-01-20 05:00:00,12780522.84,173688196.0000,1.443500,2.285985,2.110298,0.991068
2025-01-20 06:00:00,12646053.77,169064890.0000,1.465312,2.403789,2.242564,0.588175
2025-01-20 07:00:00,13886225.42,169425206.0000,1.526109,2.302554,2.265403,1.097966
2025-01-20 08:00:00,14161759.10,165590936.0000,1.531738,2.142029,2.108452,0.797316
2025-01-20 09:00:00,13576389.58,163768270.0000,1.540743,2.200784,2.217708,0.942989
2025-01-20 10:00:00,13516739.76,166497047.0000,1.600311,2.194336,2.076619,0.525389
2025-01-20 11:00:00,13450366.44,163629762.0000,1.584301,2.170732,2.056987,0.758364
2025-01-20 12:00:00,13581544.86,168714843.0000,1.583624,2.202756,2.068305,0.898795
2025-01-20 13:00:00,12482491.18,166655423.0000,1.495916,2.208167,2.089606,1.058325
2025-01-20 14:00:00,12439655.85,162802072.0000,1.454529,2.235176,2.168063,1.091846
2025-01-20 15:00:00,12437401.87,164894457.0000,1.436906,2.238000,2.155784,1.652194
2025-01-20 16:00:00,12934172.54,166035591.0000,1.473032,2.179264,2.071429,0.969602
2025-01-20 17:00:00,13258037.30,166045207.0000,1.480305,2.207101,2.106727,0.913924
2025-01-20 18:00:00,11982876.52,162304261.0000,1.480112,2.374589,2.197055,1.045764
2025-01-20 19:00:00,12437908.05,163345576.0000,1.499103,2.385038,2.220034,0.961688
2025-01-20 20:00:00,12632519.33,164623415.0000,1.524813,2.462138,2.196667,1.157479
2025-01-20 21:00:00,12546643.91,165928393.0000,1.478105,2.490991,2.199336,1.169962
2025-01-20 22:00:00,12065797.82,161518922.0000,1.481968,2.488688,2.284235,1.186559
2025-01-20 23:00:00,12453924.50,161287256.0000,1.484309,2.426829,2.279056,0.356340
2025-01-21 00:00:00,12314771.54,158900278.0000,1.515988,2.439242,2.297344,1.521418
2025-01-21 01:00:00,11911307.62,159455256.0000,1.479748,2.493714,2.264672,0.858564
2025-01-21 02:00:00,12269952.88,159751678.0000,1.543985,2.487472,2.244851,0.727318
2025-01-21 03:00:00,12880298.49,159754907.0000,1.531914,2.229622,2.080919,1.115911
2025-01-21 04:00:00,12370520.47,156250752.0000,1.612216,2.446787,2.262558,1.131844
2025-01-21 05:00:00,11421238.48,157243391.0000,1.627865,2.710938,2.380091,1.065291
2025-01-21 06:00:00,11304967.84,156977817.0000,1.659870,2.811937,2.530400,2.209451
2025-01-21 07:00:00,11883109.54,162347986.0000,1.603222,2.851685,2.557283,0.833416
2025-01-21 08:00:00,11596119.49,160791641.0000,1.663748,2.871116,2.597981,0.487197
2025-01-21 09:00:00,11938205.32,164688139.0000,1.629804,2.838964,2.640561,0.875163
2025-01-21 10:00:00,12210452.94,169611014.0000,1.567060,2.765843,2.726903,0.928629
2025-01-21 11:00:00,12439394.86,173745679.0000,1.526096,2.841820,2.800115,1.251634
2025-01-21 12:00:00,13085172.59,178029559.0000,1.501060,2.620293,2.541550,1.194446
2025-01-21 13:00:00,13039211.09,179136593.0000,1.484318,2.623158,2.561305,1.309107
2025-01-21 14:00:00,13179338.70,178885907.0000,1.466219,2.653725,2.629651,0.658961
2025-01-21 15:00:00,13635173.55,178389602.0000,1.405462,2.377358,2.257467,0.736710
2025-01-21 16:00:00,13846502.07,179380305.0000,1.443886,2.335288,2.244228,1.065588
2025-01-21 17:00:00,13898176.64,177607011.0000,1.437911,2.207123,2.108867,0.547424
2025-01-21 18:00:00,14572823.14,179016821.0000,1.415589,2.215201,2.052050,0.758314
2025-01-21 19:00:00,14245297.59,178239424.0000,1.386752,2.395894,2.255849,1.135356
2025-01-21 20:00:00,13905869.05,176246756.0000,1.398919,2.347826,2.248262,0.875026
2025-01-21 21:00:00,13883312.58,177044724.0000,1.357596,2.449550,2.356849,1.007836
2025-01-21 22:00:00,13963048.13,174272184.0000,1.386347,2.310247,2.205191,0.966751
2025-01-21 23:00:00,13738207.56,173945971.0000,1.385981,2.401760,2.269500,0.564247
2025-01-22 00:00:00,13447446.18,170238271.0000,1.426909,2.422422,2.228977,0.586193
2025-01-22 01:00:00,13459272.37,168451469.0000,1.479228,2.464431,2.296335,1.462432
2025-01-22 02:00:00,13645742.03,171428920.0000,1.438635,2.491903,2.319280,0.929432
2025-01-22 03:00:00,14334526.73,173761296.0000,1.524453,2.499042,2.234634,1.067617
2025-01-22 04:00:00,14064902.09,173038060.0000,1.583918,2.601385,2.289121,1.036570
2025-01-22 05:00:00,15123084.48,175138959.0000,1.574866,2.389937,2.157319,1.199112
2025-01-22 06:00:00,14515743.33,173167254.0000,1.613818,2.429499,2.111365,2.775488
2025-01-22 07:00:00,14231568.18,174193001.0000,1.560039,2.543375,2.279271,1.384353
2025-01-22 08:00:00,14196552.04,171463501.0000,1.539600,2.532764,2.290709,0.944700
2025-01-22 09:00:00,15666937.71,178221285.0000,1.571083,2.162848,1.967716,1.024734
2025-01-22 10:00:00,15669320.41,177870118.0000,1.617373,2.144130,1.918097,1.149812
2025-01-22 11:00:00,14471812.50,171154069.0000,1.665427,2.445545,2.251799,1.558780
2025-01-22 12:00:00,14463522.01,167918906.0000,1.629937,2.318891,2.187170,0.660823
