time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2025-08-25 10:00:00,1871445.76,1276566.0000,1.026846,0.626667,0.828072,1.149509
2025-08-25 11:00:00,1974880.00,1407532.0000,0.931600,0.550363,0.659951,1.008492
2025-08-25 12:00:00,2731125.31,1722021.0000,0.967608,0.535101,0.654667,1.413099
2025-08-25 13:00:00,3046635.54,1960840.0000,0.982934,0.527284,0.627849,1.166290
2025-08-25 14:00:00,2936807.05,1947304.0000,0.936407,0.473174,0.505878,1.104402
2025-08-25 15:00:00,2954632.68,2054182.0000,0.955110,0.476102,0.486702,1.093026
2025-08-25 16:00:00,2894016.72,2042571.0000,0.963442,0.501875,0.494236,0.841958
2025-08-25 17:00:00,2914915.81,2053553.0000,0.983393,0.489257,0.474610,0.758023
2025-08-25 18:00:00,2924945.50,2035566.0000,1.007718,0.463249,0.466764,2.297492
2025-08-25 19:00:00,2796714.75,1998967.0000,1.005521,0.481481,0.468585,0.668156
2025-08-25 20:00:00,2711699.86,1953435.0000,1.019909,0.462516,0.430135,0.855996
2025-08-25 21:00:00,2709495.10,1894169.0000,1.043564,0.459921,0.431373,0.922390
2025-08-25 22:00:00,2703560.56,1871870.0000,1.054621,0.456291,0.435229,1.246797
2025-08-25 23:00:00,2810502.00,1896182.0000,1.054517,0.460413,0.450484,1.847103
2025-08-26 00:00:00,2741597.69,1824205.0000,1.028117,0.458388,0.491068,1.814981
2025-08-26 01:00:00,2533836.90,1765740.0000,1.069620,0.420299,0.417641,1.850669
2025-08-26 02:00:00,2607104.53,1739322.0000,1.049850,0.419975,0.446439,1.595003
2025-08-26 03:00:00,2544065.67,1739211.0000,1.076216,0.423172,0.426395,1.075270
2025-08-26 04:00:00,2624021.37,1764131.0000,1.004446,0.403575,0.420499,1.328740
2025-08-26 05:00:00,2684526.73,1814556.0000,1.032884,0.410202,0.425463,1.035454
2025-08-26 06:00:00,2640087.60,1813521.0000,1.018280,0.403928,0.412235,1.152338
2025-08-26 07:00:00,2619031.42,1874848.0000,1.017806,0.420551,0.390231,1.745762
2025-08-26 08:00:00,2817306.46,1887769.0000,1.004964,0.372749,0.378846,1.274390
2025-08-26 09:00:00,2791226.69,1877048.0000,1.012578,0.362284,0.366290,0.526254
2025-08-26 10:00:00,2698574.60,1864326.0000,1.029673,0.374570,0.353191,0.478486
2025-08-26 11:00:00,2639512.35,1811732.0000,1.019072,0.367781,0.359731,0.922721
2025-08-26 12:00:00,2727266.26,1847829.0000,0.992516,0.352239,0.343883,1.485138
2025-08-26 13:00:00,2850089.01,1865034.0000,0.992314,0.334636,0.336639,0.757093
2025-08-26 14:00:00,3156048.97,2055442.0000,1.006146,0.328509,0.336253,1.212208
2025-08-26 15:00:00,3310496.10,2188888.0000,1.044775,0.376702,0.401905,1.108983
2025-08-26 16:00:00,3126493.78,2099417.0000,1.046080,0.371228,0.391218,1.835504
2025-08-26 17:00:00,2982969.28,1939638.0000,0.995717,0.354492,0.385825,0.625863
2025-08-26 18:00:00,2812717.38,1891144.0000,1.007435,0.375846,0.388195,0.512209
2025-08-26 19:00:00,2769799.80,1898905.0000,1.010819,0.386814,0.403463,1.050759
2025-08-26 20:00:00,2746633.75,1905109.0000,1.022921,0.407069,0.419472,0.862417
2025-08-26 21:00:00,2720713.50,1854661.0000,1.036505,0.389461,0.413484,1.128326
2025-08-26 22:00:00,2701682.85,1836705.0000,1.040958,0.410000,0.421622,1.161372
2025-08-26 23:00:00,2877078.94,1875357.0000,1.031882,0.382966,0.410630,1.271470
2025-08-27 00:00:00,2808187.13,1824849.0000,1.052325,0.378752,0.396396,0.697046
2025-08-27 01:00:00,2738301.10,1790699.0000,1.059916,0.378623,0.395240,0.783833
2025-08-27 02:00:00,2841020.82,1851793.0000,1.070424,0.365327,0.384956,0.896496
2025-08-27 03:00:00,2787793.51,1815017.0000,1.006889,0.359083,0.381861,0.588247
2025-08-27 04:00:00,2885093.31,1846377.0000,1.076066,0.378979,0.369847,0.970063
2025-08-27 05:00:00,2914937.19,1878278.0000,1.076446,0.379414,0.369450,1.476109
2025-08-27 06:00:00,2616729.70,1784860.0000,1.082496,0.404480,0.398986,0.624132
2025-08-27 07:00:00,2654840.03,1819817.0000,1.058252,0.402910,0.402597,0.970420
2025-08-27 08:00:00,2688384.97,1811629.0000,1.062163,0.392654,0.402225,0.946509
2025-08-27 09:00:00,2705870.37,1832724.0000,1.064150,0.396815,0.400994,2.376366
2025-08-27 10:00:00,2825412.02,1842652.0000,1.058713,0.380952,0.376822,0.845529
2025-08-27 11:00:00,2869088.82,1874168.0000,1.072427,0.371709,0.365796,1.469693
2025-08-27 12:00:00,2879935.20,1881204.0000,1.061233,0.364303,0.369560,1.049085
2025-08-27 13:00:00,2783969.27,1851893.0000,1.070417,0.369431,0.366919,2.387670
2025-08-27 14:00:00,2686464.20,1809213.0000,1.052193,0.406393,0.404537,2.197355
2025-08-27 15:00:00,2658855.80,1795396.0000,1.063629,0.402769,0.408355,0.878614
2025-08-27 16:00:00,2626271.68,1746319.0000,1.069802,0.398013,0.401102,0.574638
2025-08-27 17:00:00,2657883.63,1787197.0000,1.053265,0.396505,0.410614,0.827567
2025-08-27 18:00:00,2674274.38,1750741.0000,1.063868,0.397987,0.385707,0.809982
2025-08-27 19:00:00,2679167.66,1749215.0000,1.072936,0.380607,0.374644,0.852177
2025-08-27 20:00:00,2654036.61,1739257.0000,1.070200,0.381142,0.374509,1.398717
2025-08-27 21:00:00,2740010.10,1760683.0000,1.052316,0.366930,0.371579,1.643080
2025-08-27 22:00:00,3217094.12,1836870.0000,1.005457,0.355372,0.390572,1.192420
2025-08-27 23:00:00,2836192.21,1681723.0000,0.981274,0.357322,0.406463,0.728870
2025-08-28 00:00:00,2638002.62,1617811.0000,0.989507,0.367032,0.398095,2.447853
2025-08-28 01:00:00,2884480.02,1705481.0000,0.905236,0.362319,0.401208,1.269066
2025-08-28 02:00:00,3160361.49,1798685.0000,0.890363,0.368229,0.407336,0.494444
2025-08-28 03:00:00,3161312.57,1798387.0000,0.893363,0.366940,0.401433,1.372507
2025-08-28 04:00:00,3158454.78,1817115.0000,0.889265,0.366511,0.407682,0.940695
2025-08-28 05:00:00,3527363.81,1933247.0000,0.898128,0.346996,0.397436,1.149998
2025-08-28 06:00:00,3507456.17,1954461.0000,0.854033,0.361678,0.403535,0.518552
2025-08-28 07:00:00,3473996.12,1938549.0000,0.851060,0.358395,0.401474,2.020156
2025-08-28 08:00:00,3477957.83,1938661.0000,0.903593,0.376350,0.435210,0.496064
2025-08-28 09:00:00,3063667.65,1826569.0000,0.887129,0.430616,0.468310,1.035875
2025-08-28 10:00:00,2793052.98,1775554.0000,0.892870,0.425587,0.469719,1.003432
2025-08-28 11:00:00,2753615.89,1771965.0000,0.894508,0.431332,0.482252,0.424508
2025-08-28 12:00:00,2641726.80,1730011.0000,0.895304,0.427164,0.473454,0.616143
2025-08-28 13:00:00,2729700.14,1739815.0000,0.921137,0.425993,0.500487,2.039896
2025-08-28 14:00:00,2631946.01,1720766.0000,0.930860,0.432216,0.508984,0.479465
2025-08-28 15:00:00,2572136.75,1716967.0000,0.954843,0.439940,0.485092,0.747668
2025-08-28 16:00:00,2588569.74,1723117.0000,0.955653,0.419211,0.472905,1.608481
2025-08-28 17:00:00,2598546.01,1710943.0000,0.959994,0.414157,0.470330,1.247505
2025-08-28 18:00:00,2547467.32,1656103.0000,0.924577,0.435759,0.493529,0.779838
2025-08-28 19:00:00,2553051.44,1638073.0000,0.915370,0.428239,0.492427,0.601863
2025-08-28 20:00:00,2695481.46,1666171.0000,0.903595,0.387755,0.466667,1.738667
2025-08-28 21:00:00,2515165.82,1609150.0000,0.906458,0.412220,0.480477,0.395378
2025-08-28 22:00:00,2508328.87,1581564.0000,0.922177,0.393731,0.460244,0.235126
2025-08-28 23:00:00,2502532.74,1565678.0000,0.932519,0.372652,0.439661,1.493151
2025-08-29 00:00:00,2516689.83,1563715.0000,0.928199,0.398183,0.458497,1.519906
2025-08-29 01:00:00,2499892.21,1554640.0000,0.923639,0.381559,0.439873,4.018233
2025-08-29 02:00:00,2474269.84,1531335.0000,0.943246,0.388138,0.445541,1.098067
2025-08-29 03:00:00,2480159.70,1545868.0000,0.979374,0.411411,0.447609,2.744251
2025-08-29 04:00:00,2426206.47,1531203.0000,0.995299,0.433205,0.449486,0.447719
2025-08-29 05:00:00,2412651.79,1513289.0000,1.002594,0.395278,0.420538,0.573487
2025-08-29 06:00:00,2446603.75,1515319.0000,1.007215,0.389856,0.409955,0.649607
2025-08-29 07:00:00,2390551.38,1477117.0000,0.958809,0.411588,0.425887,1.761098
2025-08-29 08:00:00,2325150.39,1453646.0000,0.946980,0.382375,0.406186,0.290727
2025-08-29 09:00:00,2314071.35,1463685.0000,0.931466,0.384036,0.405582,0.419094
2025-08-29 10:00:00,2399736.64,1468088.0000,0.916942,0.389610,0.392171,1.180638
2025-08-29 11:00:00,2435816.23,1444748.0000,0.902929,0.363973,0.388424,1.538400
2025-08-29 12:00:00,2450883.58,1462027.0000,0.881034,0.372197,0.391611,2.121081
2025-08-29 13:00:00,2459527.91,1543921.0000,0.854626,0.392604,0.417684,1.609811
2025-08-29 14:00:00,2464864.72,1580467.0000,0.882694,0.397683,0.418791,0.522773
2025-08-29 15:00:00,2433477.65,1590051.0000,0.882412,0.395511,0.421612,1.131662
2025-08-29 16:00:00,2395077.56,1562092.0000,0.898759,0.402658,0.426879,1.609190
