time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2023-02-24 13:00:00,1708537.11,43297.9500,0.838259,0.930931,1.338806,0.818966
2023-02-24 14:00:00,1825171.30,47505.7600,0.824389,2.246154,2.021016,1.053925
2023-02-24 15:00:00,2651712.88,67133.9100,0.847810,1.366876,1.381050,1.597755
2023-02-24 16:00:00,2189006.90,59411.5300,0.902536,2.544776,2.065292,0.733107
2023-02-24 17:00:00,2285791.71,58801.2000,0.988548,1.806916,1.699545,1.121335
2023-02-24 18:00:00,2336005.71,60673.9700,1.000164,1.689295,1.385645,2.194042
2023-02-24 19:00:00,2398851.25,61889.5300,0.978832,1.644279,1.428062,1.075318
2023-02-24 20:00:00,2465371.37,63045.1000,0.969940,1.667513,1.398082,1.274414
2023-02-24 21:00:00,2519667.30,63961.0800,0.963925,1.046083,1.122748,2.025123
2023-02-24 22:00:00,2262907.81,59391.8800,0.932721,1.131313,1.254172,0.606219
2023-02-24 23:00:00,2265066.17,59691.3000,0.951219,1.141058,1.262880,0.502831
2023-02-25 00:00:00,2221112.07,58604.5400,0.952382,1.361582,1.456845,1.299671
2023-02-25 01:00:00,2320246.23,62364.5000,0.937434,1.372434,1.548600,1.101376
2023-02-25 02:00:00,2574455.96,67903.4900,0.971457,1.381616,1.633550,0.330942
2023-02-25 03:00:00,2643091.28,71568.9900,1.101470,2.036313,2.166071,0.646500
2023-02-25 04:00:00,2743370.34,72556.7400,1.147664,1.311392,1.631667,1.330615
2023-02-25 05:00:00,3122184.77,81320.2300,1.149582,1.247265,1.479893,1.683745
2023-02-25 06:00:00,2959569.75,78679.3700,1.127626,1.291572,1.603198,1.103141
2023-02-25 07:00:00,2991215.47,80115.0700,1.093564,1.571802,1.968121,0.376881
2023-02-25 08:00:00,3101779.04,82976.4600,1.090136,1.606860,2.017182,1.430790
2023-02-25 09:00:00,3072950.79,81445.8200,1.070097,1.373303,1.711238,0.592416
2023-02-25 10:00:00,3031513.71,79600.6100,1.031133,1.269316,1.702467,1.211167
2023-02-25 11:00:00,4995896.72,127845.6800,0.944033,0.721124,0.798241,1.170260
2023-02-25 12:00:00,6841332.97,172973.9400,1.013701,0.523636,0.614511,0.999844
2023-02-25 13:00:00,6183819.10,158275.3800,0.997340,0.512589,0.538617,0.745227
2023-02-25 14:00:00,6386254.32,161040.2000,1.004660,0.444710,0.473600,1.114001
2023-02-25 15:00:00,6401815.86,157241.2300,0.936782,0.430778,0.553328,1.129369
2023-02-25 16:00:00,6637017.14,163498.9500,0.914525,0.440401,0.557672,1.302853
2023-02-25 17:00:00,6484577.00,161589.2600,0.936135,0.455757,0.548819,0.660597
2023-02-25 18:00:00,5882458.78,147497.4200,0.938249,0.450957,0.509769,0.580659
2023-02-25 19:00:00,5708441.32,144188.9700,0.923076,0.473958,0.536873,1.341852
2023-02-25 20:00:00,5691337.21,142926.6000,0.917655,0.474734,0.549106,1.260825
2023-02-25 21:00:00,5297452.00,136812.5600,0.938009,0.539936,0.559622,0.979503
2023-02-25 22:00:00,4911782.88,124777.8200,0.930478,0.587131,0.611137,1.914969
2023-02-25 23:00:00,5276050.45,128947.6500,0.923616,0.517159,0.568358,1.691129
2023-02-26 00:00:00,5509980.01,137680.6600,0.924571,0.592340,0.624600,1.059501
2023-02-26 01:00:00,6460525.59,157532.6600,0.939094,0.489376,0.537496,1.531258
2023-02-26 02:00:00,6700722.30,163307.1400,0.934849,0.440964,0.486871,0.715660
2023-02-26 03:00:00,8769153.37,208538.8500,1.078313,0.373933,0.417055,0.965771
2023-02-26 04:00:00,11425294.96,261135.6400,1.029725,0.348257,0.412818,0.996381
2023-02-26 05:00:00,11283188.16,262382.0700,1.024937,0.340066,0.390769,1.033550
2023-02-26 06:00:00,11119478.24,261914.2600,1.023621,0.324829,0.362697,0.569510
2023-02-26 07:00:00,11918381.38,275107.9800,1.005093,0.321063,0.367203,0.647677
2023-02-26 08:00:00,12150274.99,281349.5900,1.013299,0.318921,0.361807,1.039545
2023-02-26 09:00:00,11369991.87,265467.9400,1.017800,0.320358,0.358191,1.216374
2023-02-26 10:00:00,12032891.32,278991.2200,1.032683,0.300721,0.342528,0.984958
2023-02-26 11:00:00,12530806.03,288836.0900,1.025104,0.289160,0.326828,0.675326
2023-02-26 12:00:00,12283768.67,283899.7600,1.028769,0.297744,0.332911,0.908071
2023-02-26 13:00:00,12395906.33,285488.4000,1.041115,0.294080,0.314600,1.165273
2023-02-26 14:00:00,13191036.96,301685.5300,1.040790,0.290207,0.317694,1.758890
2023-02-26 15:00:00,13086673.96,300754.3400,1.033119,0.286262,0.329576,0.406335
2023-02-26 16:00:00,12797389.07,295571.2200,1.031684,0.297579,0.336635,1.549448
2023-02-26 17:00:00,13020152.95,298007.5500,1.034877,0.293210,0.329754,2.513075
2023-02-26 18:00:00,13043931.30,297439.0400,1.040993,0.299878,0.337576,1.595945
2023-02-26 19:00:00,13250904.84,295617.7000,1.010895,0.301973,0.362293,0.973997
2023-02-26 20:00:00,13449176.94,297927.9700,1.022858,0.304793,0.357588,1.030453
2023-02-26 21:00:00,13295919.28,296164.0400,1.026143,0.297641,0.345659,1.122233
2023-02-26 22:00:00,13212556.73,297417.4100,1.028983,0.297099,0.336289,1.513238
2023-02-26 23:00:00,12898444.84,291844.0100,1.024269,0.304789,0.332773,1.715139
2023-02-27 00:00:00,13316497.37,296834.7400,1.021098,0.300838,0.336577,1.205839
2023-02-27 01:00:00,12845590.02,291530.0000,1.036422,0.311205,0.330371,0.969896
2023-02-27 02:00:00,12097986.40,278114.6300,1.043335,0.320941,0.326930,2.012574
2023-02-27 03:00:00,11933417.32,275226.3600,1.130411,0.375401,0.339424,1.003527
2023-02-27 04:00:00,12120637.89,274182.9400,1.129008,0.348543,0.331229,0.787165
2023-02-27 05:00:00,12055905.35,274122.4500,1.137679,0.341214,0.318140,0.387023
2023-02-27 06:00:00,11830961.92,270542.1600,1.137513,0.342992,0.322457,0.811387
2023-02-27 07:00:00,12821090.40,286576.7100,1.132524,0.331562,0.308047,1.393349
2023-02-27 08:00:00,13455340.48,295475.5600,1.100195,0.327598,0.325519,0.832474
2023-02-27 09:00:00,12518677.57,281726.7700,1.099949,0.351588,0.335266,0.820221
2023-02-27 10:00:00,12482965.08,279952.2000,1.095128,0.352766,0.343326,1.375875
2023-02-27 11:00:00,12233491.49,276963.8100,1.094765,0.363323,0.351836,0.442167
2023-02-27 12:00:00,12485265.19,276021.2100,1.102297,0.357251,0.343933,0.292990
2023-02-27 13:00:00,12425367.58,273042.5400,1.103342,0.340314,0.330330,0.629439
2023-02-27 14:00:00,12968023.98,280902.0300,1.110156,0.317792,0.310097,1.828187
2023-02-27 15:00:00,12219676.04,269846.9000,1.103278,0.369668,0.350088,0.737968
2023-02-27 16:00:00,12449220.51,270867.2400,1.105317,0.340039,0.337570,0.888330
2023-02-27 17:00:00,13710610.11,288522.9400,1.080138,0.302579,0.314114,1.929671
2023-02-27 18:00:00,15257479.45,314299.5000,1.032535,0.293294,0.313160,1.066457
2023-02-27 19:00:00,13854595.39,289220.2600,1.098998,0.278077,0.303265,1.357842
2023-02-27 20:00:00,14235624.76,296475.1200,1.100680,0.270489,0.283324,0.822559
2023-02-27 21:00:00,15121284.54,308105.7500,1.082009,0.270748,0.293073,1.081462
2023-02-27 22:00:00,15991562.91,324569.9800,1.089097,0.260791,0.283479,1.599421
2023-02-27 23:00:00,16449936.53,331986.6100,1.080414,0.260742,0.287189,0.684702
2023-02-28 00:00:00,16342455.25,332818.0900,1.091243,0.271663,0.286202,0.564874
2023-02-28 01:00:00,16237025.65,334773.1100,1.108469,0.281390,0.284991,0.786806
2023-02-28 02:00:00,16756170.66,343680.9600,1.105512,0.272462,0.280403,0.716589
2023-02-28 03:00:00,15968167.75,339748.2500,1.147626,0.342922,0.307190,1.344527
2023-02-28 04:00:00,15788026.43,338580.8800,1.160364,0.375841,0.334451,0.530003
2023-02-28 05:00:00,15839512.87,349195.6100,1.181681,0.434221,0.373429,0.875213
2023-02-28 06:00:00,16409632.40,353655.7500,1.206866,0.421114,0.391429,1.389486
2023-02-28 07:00:00,15948929.82,351311.0400,1.226500,0.467867,0.422376,0.542587
2023-02-28 08:00:00,15409856.36,346912.5700,1.249223,0.484536,0.430959,0.830123
2023-02-28 09:00:00,16390876.41,357721.9800,1.226927,0.454006,0.417431,1.067405
2023-02-28 10:00:00,16098061.91,355208.7800,1.249554,0.481140,0.436427,1.737194
2023-02-28 11:00:00,15978675.71,356348.7000,1.255059,0.497110,0.457942,0.840108
2023-02-28 12:00:00,15820011.13,353677.8700,1.254300,0.547663,0.551237,0.631935
2023-02-28 13:00:00,15430528.34,347299.7600,1.268611,0.571638,0.567221,2.139132
2023-02-28 14:00:00,15153153.26,349311.9700,1.270782,0.657158,0.670272,0.564347
2023-02-28 15:00:00,15203437.50,349008.4000,1.269236,0.705072,0.712625,0.801366
2023-02-28 16:00:00,15332744.16,346605.5700,1.276253,0.661804,0.690108,1.965683
2023-02-28 17:00:00,15449555.37,345967.9000,1.283020,0.640956,0.673537,2.065168
2023-02-28 18:00:00,15432548.36,346254.1700,1.280349,0.651747,0.688748,0.755818
2023-02-28 19:00:00,14284193.38,333884.7200,1.266726,0.891712,0.830428,1.799201
2023-02-28 20:00:00,13043523.31,316103.0400,1.271833,0.969524,0.893124,1.357424
2023-02-28 21:00:00,12949566.56,312066.2400,1.266006,1.015272,0.956880,0.573792
2023-02-28 22:00:00,13246801.08,315926.5700,1.261657,1.018206,0.987495,2.225755
2023-02-28 23:00:00,13355275.78,312843.1900,1.250982,0.835135,0.892725,1.195471
2023-03-01 00:00:00,13055298.83,311357.8600,1.248508,0.889592,0.923822,0.738697
2023-03-01 01:00:00,13324462.29,312457.2700,1.220127,0.904728,0.947642,2.091062
2023-03-01 02:00:00,14213062.20,317539.3700,1.190149,0.757475,0.856839,1.586676
2023-03-01 03:00:00,14275998.95,319074.1900,1.221470,0.696000,0.831858,1.383587
2023-03-01 04:00:00,14339930.45,314606.5500,1.214975,0.630000,0.765041,1.296825
2023-03-01 05:00:00,14412581.99,314520.3000,1.194713,0.614620,0.739671,0.655357
2023-03-01 06:00:00,14007759.23,316202.2400,1.188260,0.734917,0.843558,1.434353
2023-03-01 07:00:00,13819371.05,313791.3500,1.191960,0.768365,0.896413,1.803148
2023-03-01 08:00:00,13478218.76,310643.2800,1.184725,0.821993,0.955957,0.620095
2023-03-01 09:00:00,13826040.73,312084.0700,1.170228,0.756000,0.930826,0.532797
2023-03-01 10:00:00,14194835.52,313796.5100,1.162350,0.706339,0.893213,1.841466
2023-03-01 11:00:00,13198303.15,301151.7500,1.175124,0.761743,0.899718,0.608544
2023-03-01 12:00:00,13007096.31,302069.1200,1.179329,0.850682,0.969087,2.142280
2023-03-01 13:00:00,13296054.43,315919.2700,1.167718,0.961422,1.087310,0.914618
2023-03-01 14:00:00,13753711.77,326226.5600,1.161548,1.069640,1.222399,0.996249
2023-03-01 15:00:00,13431895.06,321005.6000,1.159452,1.101792,1.280576,0.626592
2023-03-01 16:00:00,13666368.95,325736.7600,1.156592,1.119968,1.356436,0.598066
2023-03-01 17:00:00,13726144.82,328797.5400,1.144305,1.206868,1.474490,1.482703
2023-03-01 18:00:00,13788714.67,328146.4700,1.144586,1.171784,1.473476,0.291358
2023-03-01 19:00:00,13779718.80,328636.2700,1.144262,1.177924,1.485377,1.550759
2023-03-01 20:00:00,13924372.86,332244.6400,1.127457,1.188917,1.492529,0.651966
2023-03-01 21:00:00,14140995.86,331965.7500,1.122992,1.129084,1.438753,0.500568
