time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2025-01-07 13:00:00,2324045.24,5035851.0000,1.267603,2.121019,1.758333,0.913122
2025-01-07 14:00:00,3315032.25,7162216.0000,1.101692,2.234043,1.825893,1.210980
2025-01-07 15:00:00,3516923.90,7602516.0000,1.095412,1.855895,1.675403,0.944876
2025-01-07 16:00:00,4543387.44,9697732.0000,1.056056,1.684211,1.498127,0.995351
2025-01-07 17:00:00,6066423.67,12572990.0000,0.980242,0.995643,0.987124,0.784228
2025-01-07 18:00:00,5375557.70,11685995.0000,0.961072,1.867110,1.670947,1.346210
2025-01-07 19:00:00,5983927.65,12700615.0000,0.951976,1.736677,1.464234,0.710011
2025-01-07 20:00:00,6548584.25,13824423.0000,1.040649,1.715569,1.479315,1.042151
2025-01-07 21:00:00,6627918.17,13795206.0000,1.056162,1.621469,1.411844,0.834856
2025-01-07 22:00:00,6361343.84,13847379.0000,1.063551,1.040359,1.098660,0.641004
2025-01-07 23:00:00,7355945.76,14858618.0000,1.154579,1.621253,1.360571,1.410485
2025-01-08 00:00:00,7192926.16,15219903.0000,1.209303,1.759644,1.483826,0.597491
2025-01-08 01:00:00,7188773.56,16179999.0000,1.356919,1.680912,1.551622,0.934038
2025-01-08 02:00:00,7715078.48,18299522.0000,1.478630,1.848571,1.587571,0.606760
2025-01-08 03:00:00,8824481.89,22017784.0000,1.733057,1.795964,1.482993,1.256829
2025-01-08 04:00:00,8834605.48,22445644.0000,1.756422,2.052506,1.796296,1.476641
2025-01-08 05:00:00,9393165.96,24795951.0000,1.758297,2.197368,1.900336,0.935219
2025-01-08 06:00:00,10162996.45,26553363.0000,1.748277,2.593333,2.151610,1.028795
2025-01-08 07:00:00,10752005.92,30510800.0000,1.806875,2.541667,1.907439,1.065000
2025-01-08 08:00:00,11613795.85,31626757.0000,1.738085,2.608527,2.140238,0.802448
2025-01-08 09:00:00,12254008.56,34108475.0000,1.853121,2.850895,2.326267,0.527843
2025-01-08 10:00:00,13386239.25,39977099.0000,1.972334,3.058027,2.451781,0.586512
2025-01-08 11:00:00,14252219.48,40910057.0000,1.918015,2.786477,2.231438,1.204968
2025-01-08 12:00:00,15312400.27,48874562.0000,2.003949,2.963087,2.401509,0.890317
