time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2021-12-01 00:00:00,25674991.64,11293653.4000,0.919412,2.452245,3.033851,0.844137
2021-12-01 01:00:00,26136933.86,11267356.5000,0.928558,2.318989,2.946721,0.958682
2021-12-01 02:00:00,26275719.53,11238695.3000,0.926729,2.276439,2.892473,0.729265
2021-12-01 03:00:00,26284592.38,11248416.5000,0.927447,2.303837,2.918554,0.922531
2021-12-01 04:00:00,26328667.30,11243879.1000,0.926910,2.306698,2.907713,0.977971
2021-12-01 05:00:00,26360273.77,11241298.1000,0.926438,2.304657,2.908353,0.463718
2021-12-01 06:00:00,26269308.22,11261331.6000,0.922665,2.337967,2.950630,0.273333
2021-12-01 07:00:00,26228376.01,11241521.7000,0.921611,2.359138,2.980513,1.133642
2021-12-01 08:00:00,26286220.92,11197402.4000,0.921415,2.356772,2.997947,0.891526
2021-12-01 09:00:00,25986828.59,11145756.4000,0.921208,2.300755,2.946648,0.760933
2021-12-01 10:00:00,26081890.39,11130922.0000,0.922025,2.326286,2.996903,1.428823
2021-12-01 11:00:00,25806660.89,11076295.5000,0.919601,2.360866,3.033115,1.071636
2021-12-01 12:00:00,25767813.06,11071501.7000,0.920087,2.387424,3.050694,1.577916
2021-12-01 13:00:00,25745075.12,11048440.1000,0.919728,2.376322,3.046609,1.371554
2021-12-01 14:00:00,25907710.94,11019050.9000,0.921087,2.324194,2.982776,0.452369
2021-12-01 15:00:00,26838810.14,11229404.4000,0.917193,2.320285,3.018824,0.548590
2021-12-01 16:00:00,26672016.27,11190769.7000,0.917812,2.301092,3.007973,1.015277
2021-12-01 17:00:00,27295659.77,11304082.6000,0.916241,2.188750,2.889207,1.002872
2021-12-01 18:00:00,26784367.03,11193680.8000,0.913526,2.333074,3.075122,0.714847
2021-12-01 19:00:00,26627297.66,11314395.2000,0.913509,2.441522,3.203678,0.918635
2021-12-01 20:00:00,26228760.03,11158573.3000,0.909021,2.487725,3.283339,1.574632
2021-12-01 21:00:00,25409034.20,10994346.5000,0.912125,3.191184,3.976268,0.626957
2021-12-01 22:00:00,25203096.81,10941693.5000,0.912950,2.510613,3.243499,0.760270
2021-12-01 23:00:00,25315948.66,10916281.6000,0.911427,2.493349,3.228859,1.461702
2021-12-02 00:00:00,25648191.98,10949344.7000,0.909844,2.492555,3.251517,0.354695
2021-12-02 01:00:00,25243937.71,10923029.8000,0.922730,2.533359,3.259762,0.560677
2021-12-02 02:00:00,25511725.18,10973729.0000,0.924750,2.540700,3.265015,1.978593
2021-12-02 03:00:00,25270940.67,10951307.9000,0.924034,2.532524,3.260000,0.762213
2021-12-02 04:00:00,24759328.60,10884852.8000,0.923639,2.544334,3.181005,0.863100
2021-12-02 05:00:00,25000554.40,10914889.5000,0.924237,2.522682,3.168831,0.715943
2021-12-02 06:00:00,25125315.92,10920532.8000,0.926458,2.518096,3.166553,0.892647
