time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-10-31 14:00:00,1230046.55,388024856.0000,1.017323,0.929078,1.036036,0.669725
2024-10-31 15:00:00,1607587.70,525848657.0000,1.151126,1.138889,1.025921,0.468046
2024-10-31 16:00:00,1741632.50,569905923.0000,1.112992,1.140957,1.117788,1.183067
2024-10-31 17:00:00,1706228.10,556499706.0000,1.158082,0.937778,0.944157,1.463936
2024-10-31 18:00:00,1749180.19,571257876.0000,1.165273,0.884615,0.880240,0.807964
2024-10-31 19:00:00,1739559.14,570721504.0000,1.175420,0.971678,0.884921,1.239573
2024-10-31 20:00:00,1777688.88,578782157.0000,1.148438,0.991150,0.871401,0.939812
2024-10-31 21:00:00,1848367.36,597326578.0000,1.106940,0.984683,0.918945,0.874064
2024-10-31 22:00:00,1869742.80,604898998.0000,1.095728,0.991323,0.931268,0.833075
2024-10-31 23:00:00,1902947.93,612668361.0000,1.080877,0.951579,0.919508,0.586527
2024-11-01 00:00:00,2175075.69,673083385.0000,1.022249,0.770578,0.859878,1.468566
2024-11-01 01:00:00,2085627.91,675150580.0000,1.063074,0.905303,0.947321,0.777302
2024-11-01 02:00:00,2106923.82,689889922.0000,0.978084,0.991853,0.975472,0.899602
2024-11-01 03:00:00,2158962.69,711683376.0000,1.054092,0.954380,1.042927,2.097186
2024-11-01 04:00:00,1952476.55,681618782.0000,0.966832,1.120079,1.100840,1.840116
2024-11-01 05:00:00,1774224.19,650399276.0000,0.963174,1.277551,1.188272,1.099960
2024-11-01 06:00:00,2063871.57,773478082.0000,1.011604,1.245552,1.140665,0.819248
2024-11-01 07:00:00,2414089.34,897430981.0000,0.898296,1.208809,1.150271,0.745881
2024-11-01 08:00:00,2610626.69,969772172.0000,0.869465,1.325770,1.295543,0.728178
2024-11-01 09:00:00,2822777.36,1029504339.0000,0.867093,1.338308,1.318182,0.885462
2024-11-01 10:00:00,2933838.29,1072854370.0000,0.900359,1.349180,1.281525,0.634110
2024-11-01 11:00:00,3154466.55,1072579335.0000,0.857373,1.040000,1.147015,0.891578
2024-11-01 12:00:00,3647328.43,1208124687.0000,0.830509,0.861716,0.958170,1.141539
2024-11-01 13:00:00,3560250.66,1186354770.0000,0.812324,0.823892,0.900000,1.501180
2024-11-01 14:00:00,3723471.05,1191957006.0000,0.847722,0.766187,1.031880,1.509350
2024-11-01 15:00:00,3730467.07,1193058444.0000,0.875329,0.799065,0.863636,1.381441
2024-11-01 16:00:00,2902926.47,989797116.0000,0.864389,0.953258,0.854605,0.891449
2024-11-01 17:00:00,2940533.94,980596367.0000,0.817391,0.900826,0.899188,1.149521
2024-11-01 18:00:00,2966728.28,977975660.0000,0.816321,0.947149,0.937072,0.942315
2024-11-01 19:00:00,4066960.41,1292838744.0000,0.993811,0.858086,1.002315,0.619506
2024-11-01 20:00:00,3337504.69,1155437626.0000,1.088093,1.059219,1.032952,0.829020
2024-11-01 21:00:00,3228965.53,1137360171.0000,1.068255,1.117566,1.087792,1.561288
2024-11-01 22:00:00,2963674.91,1040956111.0000,1.078585,1.074648,1.060950,1.127287
2024-11-01 23:00:00,2926097.39,1022753370.0000,1.061562,1.100865,1.094187,0.532220
2024-11-02 00:00:00,2950980.60,1036322665.0000,1.034007,1.108883,1.123178,0.992335
2024-11-02 01:00:00,2995134.16,1040833657.0000,1.052687,1.070522,1.125727,0.841970
2024-11-02 02:00:00,3213800.57,1095200642.0000,1.007998,1.054645,1.153960,1.028186
2024-11-02 03:00:00,3219841.56,1112784365.0000,1.023755,1.093708,1.189732,0.432560
2024-11-02 04:00:00,3349588.82,1222990972.0000,1.130184,1.245517,1.264613,0.619813
2024-11-02 05:00:00,3584884.81,1263952335.0000,1.072902,1.099612,1.198366,1.054409
2024-11-02 06:00:00,4174394.68,1414713351.0000,1.050611,0.929054,1.118074,0.820154
2024-11-02 07:00:00,3961098.94,1365792573.0000,1.064900,0.954651,1.075276,0.725706
2024-11-02 08:00:00,3542884.97,1285307176.0000,1.072335,1.151715,1.227405,1.273148
2024-11-02 09:00:00,3592863.53,1291523548.0000,1.043887,1.207317,1.350850,0.609875
2024-11-02 10:00:00,3650902.43,1311863296.0000,1.036332,1.234397,1.353442,0.400699
2024-11-02 11:00:00,3718426.38,1338526416.0000,1.044605,1.256854,1.404170,2.578498
2024-11-02 12:00:00,3743145.77,1350229154.0000,1.040583,1.310448,1.460591,1.531514
2024-11-02 13:00:00,3600780.56,1323641195.0000,1.056974,1.256934,1.381068,0.371052
2024-11-02 14:00:00,3532871.97,1292161156.0000,1.035678,1.260212,1.354357,2.259562
2024-11-02 15:00:00,3522112.78,1315693977.0000,1.063964,1.414286,1.489177,1.553258
2024-11-02 16:00:00,3530394.94,1326443216.0000,1.050404,1.427877,1.466326,0.693971
2024-11-02 17:00:00,3509508.44,1316626878.0000,1.050807,1.333856,1.421941,0.760903
2024-11-02 18:00:00,3398677.51,1285187183.0000,1.048500,1.388350,1.402824,1.967154
2024-11-02 19:00:00,3383934.66,1292155144.0000,1.046896,1.349057,1.370281,0.987070
2024-11-02 20:00:00,3247211.55,1265969417.0000,1.087516,1.439739,1.366505,0.868250
2024-11-02 21:00:00,3398088.03,1322372750.0000,1.083039,1.559464,1.445255,1.464629
2024-11-02 22:00:00,3359791.02,1317167372.0000,1.065460,1.484553,1.416203,1.010604
2024-11-02 23:00:00,3351267.03,1318571063.0000,1.082664,1.480707,1.413739,1.293586
2024-11-03 00:00:00,3319133.59,1308290734.0000,1.071198,1.508914,1.413686,1.085258
2024-11-03 01:00:00,3366334.47,1326372921.0000,1.036791,1.493651,1.439382,0.710286
2024-11-03 02:00:00,3518036.42,1366997501.0000,1.005461,1.484177,1.455259,0.789255
2024-11-03 03:00:00,3313773.23,1306636239.0000,1.011610,1.461059,1.385703,1.041214
2024-11-03 04:00:00,3223016.15,1288175921.0000,1.029101,1.413846,1.378010,0.497712
2024-11-03 05:00:00,3370927.31,1309794845.0000,1.028691,1.445652,1.416998,2.173279
2024-11-03 06:00:00,3303294.58,1281330081.0000,1.061725,1.330435,1.434127,0.579814
2024-11-03 07:00:00,3537018.38,1318071451.0000,1.048327,1.207469,1.383784,1.261791
2024-11-03 08:00:00,3548577.20,1364616948.0000,1.078282,1.283862,1.468068,1.363361
2024-11-03 09:00:00,3558627.39,1370806502.0000,1.075057,1.231417,1.358186,0.712041
2024-11-03 10:00:00,3669476.38,1426285639.0000,1.077470,1.356083,1.448882,1.298108
