time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2023-10-18 15:00:00,1177219.95,17198402.0000,0.928193,1.265781,1.364045,0.731364
2023-10-18 16:00:00,1515055.04,22796282.0000,1.083430,1.107287,0.961905,1.193901
2023-10-18 17:00:00,1481189.93,26254445.0000,1.134509,1.515222,1.115830,1.167014
2023-10-18 18:00:00,1769408.57,30204221.0000,1.034949,1.197822,1.099307,1.780273
2023-10-18 19:00:00,1895565.72,34948828.0000,1.046632,1.324478,1.132955,0.934440
2023-10-18 20:00:00,2313039.07,42001799.0000,1.044832,1.185059,1.103004,0.944149
2023-10-18 21:00:00,2371188.18,43692430.0000,1.128335,1.205342,1.069530,1.197510
2023-10-18 22:00:00,2236329.00,39211464.0000,1.109359,1.278947,1.254902,1.348742
2023-10-18 23:00:00,1996773.74,33717115.0000,1.020372,1.222411,1.264261,0.640414
2023-10-19 00:00:00,2187652.20,34267735.0000,0.991982,0.964337,1.102697,0.985163
2023-10-19 01:00:00,2439339.48,38934500.0000,1.069225,0.972789,1.013752,1.035611
2023-10-19 02:00:00,2262518.78,38347776.0000,1.096005,1.017591,0.918386,1.283320
2023-10-19 03:00:00,3164421.06,53968715.0000,0.985841,0.952663,0.906843,1.428156
2023-10-19 04:00:00,3224430.62,57611185.0000,1.038920,1.001220,0.979009,0.916643
2023-10-19 05:00:00,3530475.91,62464188.0000,1.041880,0.990510,0.939065,1.362049
2023-10-19 06:00:00,3852940.24,66865274.0000,0.988979,0.966368,0.942017,0.679479
2023-10-19 07:00:00,4044208.27,72205111.0000,0.958062,1.001064,0.940387,0.744562
2023-10-19 08:00:00,5400440.21,99179653.0000,0.945824,1.107574,1.097801,0.820036
2023-10-19 09:00:00,5497117.45,94712568.0000,0.876342,0.862305,0.876027,1.141302
2023-10-19 10:00:00,5156877.57,92185870.0000,0.886692,0.963312,0.966765,1.364614
2023-10-19 11:00:00,5022139.55,91066213.0000,0.841294,1.029445,1.093268,1.040098
2023-10-19 12:00:00,5102701.96,92025040.0000,0.866556,1.012332,1.074393,1.154056
2023-10-19 13:00:00,5200688.45,92275430.0000,0.848472,0.961454,1.063863,0.996404
2023-10-19 14:00:00,5156695.14,92016177.0000,0.853387,1.002232,1.111732,0.747220
2023-10-19 15:00:00,5692056.69,101473358.0000,0.850606,1.110731,1.187749,1.313889
2023-10-19 16:00:00,5800690.37,101606067.0000,0.845754,1.047201,1.115211,1.247262
2023-10-19 17:00:00,5420601.01,99945829.0000,0.847644,1.215591,1.318531,0.941378
2023-10-19 18:00:00,5393401.55,97565151.0000,0.841161,1.168269,1.276687,1.100523
2023-10-19 19:00:00,5436103.97,98305794.0000,0.849780,1.148372,1.232323,1.421392
2023-10-19 20:00:00,5570082.18,99337838.0000,0.838897,1.100802,1.274980,0.935147
2023-10-19 21:00:00,5717969.95,101779458.0000,0.844687,1.074505,1.341866,1.453260
2023-10-19 22:00:00,5539446.16,99917860.0000,0.860175,1.166250,1.389427,0.866902
2023-10-19 23:00:00,5570559.71,100099905.0000,0.856220,1.183187,1.400526,0.951183
2023-10-20 00:00:00,5600298.90,100924471.0000,0.873600,1.163793,1.344768,1.150496
2023-10-20 01:00:00,5871934.44,112298731.0000,0.842283,1.196841,1.421739,1.068310
2023-10-20 02:00:00,6008740.23,114922040.0000,0.838883,1.234858,1.447826,0.770292
2023-10-20 03:00:00,5683205.85,108132944.0000,0.863882,1.351804,1.516803,0.641541
2023-10-20 04:00:00,5784250.33,113813682.0000,0.837072,1.490222,1.638200,0.938581
2023-10-20 05:00:00,5952352.04,114390413.0000,0.833582,1.523427,1.785992,1.012477
2023-10-20 06:00:00,5918421.20,112913031.0000,0.837458,1.467635,1.686256,1.001322
2023-10-20 07:00:00,6093961.69,115408422.0000,0.821526,1.609551,1.959752,0.836291
2023-10-20 08:00:00,6067036.16,116628915.0000,0.831587,1.674891,1.984536,0.469821
2023-10-20 09:00:00,6185045.58,116741000.0000,0.830991,1.662937,1.999006,1.012988
2023-10-20 10:00:00,6226592.51,118466372.0000,0.839631,1.700843,2.088088,0.701240
2023-10-20 11:00:00,5907980.65,113152155.0000,0.825430,1.636996,2.089613,0.957408
2023-10-20 12:00:00,5863376.54,112282201.0000,0.819496,1.684736,2.096016,0.828670
2023-10-20 13:00:00,5814958.94,111848202.0000,0.820355,1.717172,2.062880,1.288176
2023-10-20 14:00:00,5935252.97,112614421.0000,0.823408,1.696328,2.037255,0.993617
2023-10-20 15:00:00,5938954.63,113707728.0000,0.829720,1.729651,2.089613,1.907596
2023-10-20 16:00:00,5851881.73,112883521.0000,0.817316,1.808446,2.163482,1.415016
2023-10-20 17:00:00,5890242.01,113341192.0000,0.820285,1.834365,2.172786,2.139775
2023-10-20 18:00:00,5894914.68,112608552.0000,0.812779,1.787234,2.143312,0.974397
2023-10-20 19:00:00,6890792.77,127038166.0000,0.782886,1.889481,2.432220,0.785304
2023-10-20 20:00:00,6886184.49,127575304.0000,0.786707,1.899457,2.488396,0.794748
2023-10-20 21:00:00,6844120.82,127302141.0000,0.780375,1.956028,2.594391,0.803779
2023-10-20 22:00:00,6867732.21,126291508.0000,0.779399,1.922316,2.570053,0.984493
2023-10-20 23:00:00,6791395.20,125836487.0000,0.786997,1.968208,2.597388,0.563086
2023-10-21 00:00:00,6989452.83,129093338.0000,0.789326,1.944759,2.556270,1.063694
2023-10-21 01:00:00,6817173.00,128799834.0000,0.797928,2.111280,2.682759,1.218485
2023-10-21 02:00:00,6797329.75,127553570.0000,0.793171,2.060332,2.599084,0.282827
2023-10-21 03:00:00,6648558.01,126326392.0000,0.843617,2.316456,2.726077,0.694860
2023-10-21 04:00:00,6686265.67,127139488.0000,0.843178,2.255023,2.686690,2.569424
2023-10-21 05:00:00,6762327.35,127591082.0000,0.839730,2.242009,2.731132,0.648379
2023-10-21 06:00:00,6785090.34,127818908.0000,0.838030,2.244648,2.736718,1.256324
2023-10-21 07:00:00,6832723.69,128037163.0000,0.843578,2.244240,2.713443,0.888027
2023-10-21 08:00:00,6760258.65,127311839.0000,0.841497,2.288889,2.745783,0.880298
2023-10-21 09:00:00,6802100.69,127865597.0000,0.835546,2.293269,2.757282,1.094729
2023-10-21 10:00:00,6751190.66,127189907.0000,0.835527,2.372742,2.819876,0.299853
2023-10-21 11:00:00,6646173.83,124787342.0000,0.829225,2.282051,2.696643,1.190910
2023-10-21 12:00:00,6607849.83,124210482.0000,0.826155,2.321895,2.710976,0.927936
2023-10-21 13:00:00,6574212.15,123683942.0000,0.825765,2.325733,2.756127,0.304074
2023-10-21 14:00:00,6441096.15,121529130.0000,0.826867,2.375626,2.798246,2.614840
2023-10-21 15:00:00,6425682.11,122962406.0000,0.823416,2.537133,3.011749,0.653462
2023-10-21 16:00:00,6393874.64,121447042.0000,0.814870,2.483761,2.938462,0.855272
2023-10-21 17:00:00,6338348.60,119769284.0000,0.815052,2.371476,2.818068,0.366287
2023-10-21 18:00:00,6284896.96,117921179.0000,0.810596,2.370995,2.741250,1.495711
2023-10-21 19:00:00,6278445.67,117493074.0000,0.806910,2.296482,2.637255,0.776871
2023-10-21 20:00:00,6449342.48,119311984.0000,0.812834,2.049849,2.438695,0.904225
2023-10-21 21:00:00,6439678.54,119804830.0000,0.816836,2.115445,2.500000,0.743202
2023-10-21 22:00:00,6547271.60,121427552.0000,0.817203,2.177496,2.563380,0.531830
2023-10-21 23:00:00,6488736.13,120833075.0000,0.813259,2.202247,2.599523,0.702053
2023-10-22 00:00:00,6386085.36,119455394.0000,0.813703,2.282862,2.672840,1.558478
2023-10-22 01:00:00,6197475.73,116995799.0000,0.814756,2.472566,2.912117,0.532364
2023-10-22 02:00:00,6203076.07,116977107.0000,0.813252,2.456294,2.953271,0.986903
2023-10-22 03:00:00,6113843.90,115129869.0000,0.810089,2.217676,2.670823,0.391761
2023-10-22 04:00:00,6104894.65,114818406.0000,0.812949,2.237624,2.638509,1.389655
2023-10-22 05:00:00,6013655.70,113636729.0000,0.809486,2.433566,2.849279,2.869557
2023-10-22 06:00:00,6057950.92,113881533.0000,0.809338,2.349153,2.783611,2.154723
2023-10-22 07:00:00,6052074.29,114117670.0000,0.806173,2.355330,2.813060,0.624014
2023-10-22 08:00:00,5660301.98,109103739.0000,0.799041,2.500000,3.050847,0.500714
2023-10-22 09:00:00,5708338.75,109079003.0000,0.795168,2.314879,2.850202,1.445964
2023-10-22 10:00:00,5687512.89,108892665.0000,0.793095,2.390071,2.961219,0.277431
2023-10-22 11:00:00,5633664.27,108173277.0000,0.791581,2.448463,2.997195,0.185637
2023-10-22 12:00:00,5588345.70,108154552.0000,0.791321,2.389680,2.894809,0.983581
2023-10-22 13:00:00,5608407.59,107844618.0000,0.786119,2.294118,2.801874,0.916779
2023-10-22 14:00:00,5618155.50,107545090.0000,0.786693,2.273196,2.774236,4.546595
2023-10-22 15:00:00,5506169.80,106853404.0000,0.790151,2.352014,2.911480,0.831504
2023-10-22 16:00:00,5561060.20,108802311.0000,0.790564,2.363158,2.872752,1.214071
2023-10-22 17:00:00,5623647.17,110257690.0000,0.793528,2.266553,2.687664,2.058679
2023-10-22 18:00:00,5646381.25,109622400.0000,0.791028,2.230384,2.602810,1.405663
2023-10-22 19:00:00,5633267.90,109112777.0000,0.784325,2.157119,2.558638,0.894419
