time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2024-04-03 16:00:00,2122857.01,1628554.2000,1.067468,1.385965,1.596085,0.897058
2024-04-03 17:00:00,8382234.03,5475005.9000,0.956013,1.268945,1.938137,1.132639
2024-04-03 18:00:00,11110381.65,7754379.6000,1.017889,1.492701,1.883479,0.743476
2024-04-03 19:00:00,11368818.04,8218821.3000,1.023649,1.704134,2.012644,0.754918
2024-04-03 20:00:00,11734720.80,8359933.1000,1.022185,1.627962,2.047083,1.014842
2024-04-03 21:00:00,11902597.62,8977190.5000,1.090559,1.752126,2.015401,1.255670
2024-04-03 22:00:00,10579492.02,8109567.9000,1.061026,1.818297,2.006376,1.179638
2024-04-03 23:00:00,10887125.85,8222568.3000,1.059131,1.879899,2.268519,0.667021
2024-04-04 00:00:00,11243944.40,8466825.6000,1.033616,1.916359,2.397092,1.297316
2024-04-04 01:00:00,12235911.01,8885919.4000,1.011518,1.916473,2.453283,0.940441
2024-04-04 02:00:00,11354890.37,9274454.1000,1.019692,2.089049,2.337845,0.647812
2024-04-04 03:00:00,12277170.59,10136022.0000,1.042898,1.950646,2.013896,1.280777
2024-04-04 04:00:00,12202620.35,10135909.6000,1.123808,1.938689,1.917290,0.743749
2024-04-04 05:00:00,12995155.88,11100725.4000,1.122602,1.953390,1.746548,0.995864
2024-04-04 06:00:00,13183766.65,11300022.6000,1.079388,1.950311,1.667771,1.391557
2024-04-04 07:00:00,14358753.74,12146424.1000,1.017394,1.914956,1.751520,1.165591
2024-04-04 08:00:00,13894407.41,11865420.5000,1.000137,2.043611,1.848698,0.604048
2024-04-04 09:00:00,14822945.23,12551181.4000,0.990836,2.037146,1.926471,1.168687
2024-04-04 10:00:00,14831275.95,12807664.9000,0.998344,2.133990,1.976518,0.994631
2024-04-04 11:00:00,15689953.50,13644563.8000,0.980027,2.255234,2.160457,0.994578
2024-04-04 12:00:00,15702016.61,13521577.0000,0.976604,2.478992,2.371479,0.802539
2024-04-04 13:00:00,16566646.03,14506695.3000,0.999512,2.491353,2.404283,0.628011
2024-04-04 14:00:00,17918456.06,15846301.6000,0.972996,2.637195,2.638029,0.764549
2024-04-04 15:00:00,18161217.29,15630745.3000,0.968104,2.465898,2.585325,0.869566
2024-04-04 16:00:00,18425778.05,15902757.4000,0.956916,2.563353,2.761042,0.612781
