time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2021-12-01 00:00:00,7548947.50,44073081.0000,0.988792,2.748759,3.506329,2.648981
2021-12-01 01:00:00,7840424.10,45034027.0000,0.990351,2.606573,3.438830,1.273810
2021-12-01 02:00:00,7802139.71,45308593.0000,0.991513,2.720997,3.564706,0.357305
2021-12-01 03:00:00,7977617.90,45810464.0000,0.991898,2.526606,3.347788,0.902993
2021-12-01 04:00:00,7937518.82,45670419.0000,0.991717,2.672053,3.512086,1.000684
2021-12-01 05:00:00,8032853.53,46594278.0000,0.991040,2.730695,3.592153,0.900427
2021-12-01 06:00:00,8013674.18,46913729.0000,0.991234,2.820513,3.705882,0.541046
2021-12-01 07:00:00,8040350.69,46692900.0000,0.992039,2.756074,3.649446,0.618892
2021-12-01 08:00:00,8389554.62,48112544.0000,0.993824,2.565097,3.383882,0.792806
2021-12-01 09:00:00,8198561.93,47583064.0000,0.992612,2.773216,3.666358,0.928666
2021-12-01 10:00:00,8245906.73,47776827.0000,0.991448,2.842418,3.745779,0.851231
2021-12-01 11:00:00,8068467.86,46990381.0000,0.991122,2.843098,3.747191,1.252444
2021-12-01 12:00:00,8071046.39,47061495.0000,0.989340,2.870647,3.797373,1.622581
2021-12-01 13:00:00,8097714.80,47328711.0000,0.988968,2.866401,3.802260,0.341101
2021-12-01 14:00:00,8277921.16,47932375.0000,0.988188,2.844181,3.745370,2.993079
2021-12-01 15:00:00,8405320.16,48334216.0000,0.989397,2.754319,3.616007,1.915580
2021-12-01 16:00:00,8440563.61,48536881.0000,0.991514,2.773295,3.591111,1.093291
2021-12-01 17:00:00,8477447.80,49030930.0000,0.991896,2.827653,3.660326,0.825211
2021-12-01 18:00:00,8355686.58,48545312.0000,0.990248,2.870681,3.736406,0.587099
2021-12-01 19:00:00,8415421.35,49012355.0000,0.991817,2.848723,3.719669,0.861050
2021-12-01 20:00:00,8238624.18,48175277.0000,0.988296,2.883813,3.786047,0.341667
2021-12-01 21:00:00,8136859.15,48075554.0000,0.991213,2.850980,3.759963,0.551431
2021-12-01 22:00:00,8071715.50,47564617.0000,0.991706,2.775647,3.647696,2.207175
2021-12-01 23:00:00,8082554.14,47659621.0000,0.991236,2.783109,3.682107,2.381088
2021-12-02 00:00:00,8077843.46,47632226.0000,0.990179,2.806950,3.710887,0.730430
2021-12-02 01:00:00,7973875.51,47071284.0000,0.990608,2.722011,3.598743,0.356616
2021-12-02 02:00:00,7909489.14,46527808.0000,0.990113,2.689558,3.563167,1.048652
2021-12-02 03:00:00,7706176.48,45761143.0000,0.990505,2.729524,3.624549,1.101182
2021-12-02 04:00:00,7452810.01,45195937.0000,0.993482,3.709178,4.760452,0.691419
2021-12-02 05:00:00,7480084.63,45196886.0000,0.991729,3.686391,4.761261,2.945606
2021-12-02 06:00:00,7563903.33,45441092.0000,0.992702,3.599768,4.613537,0.718530
2021-12-02 07:00:00,7638552.72,45906731.0000,0.991947,3.556322,4.540366,1.967671
2021-12-02 08:00:00,7761803.82,46566184.0000,0.993396,3.500566,4.471958,0.417328
2021-12-02 09:00:00,7872265.81,47111106.0000,0.992325,3.377901,4.348861,0.834262
2021-12-02 10:00:00,7884127.73,47153874.0000,0.992812,3.229456,4.163836,0.447903
2021-12-02 11:00:00,7908657.93,47499447.0000,0.992262,3.259698,4.197183,0.502669
2021-12-02 12:00:00,7987683.29,47859097.0000,0.991310,3.290217,4.239308,1.641404
2021-12-02 13:00:00,8112951.75,48609657.0000,0.991958,3.328618,4.253293,2.421553
2021-12-02 14:00:00,8109927.51,48825572.0000,0.990695,3.622685,4.608414,2.942336
2021-12-02 15:00:00,8176527.52,48761676.0000,0.990318,3.303974,4.261833,1.435398
2021-12-02 16:00:00,8062928.71,48606631.0000,0.992859,3.464045,4.473684,1.541398
2021-12-02 17:00:00,8091834.05,48658052.0000,0.991455,3.351322,4.365145,0.432376
2021-12-02 18:00:00,8128412.71,48585850.0000,0.990581,3.249194,4.251521,1.047423
2021-12-02 19:00:00,8114063.84,48326765.0000,0.990678,3.238453,4.222222,1.078747
2021-12-02 20:00:00,8118391.06,48189311.0000,0.990883,3.161053,4.130564,0.440678
2021-12-02 21:00:00,8154148.77,48249401.0000,0.990053,3.054527,3.992285,0.718632
2021-12-02 22:00:00,8127689.60,48121312.0000,0.988395,3.024793,3.959420,0.145182
2021-12-02 23:00:00,8116526.06,48033364.0000,0.988344,3.013361,3.936782,1.056734
2021-12-03 00:00:00,7989991.92,47698067.0000,0.988659,3.185897,4.125124,0.257415
2021-12-03 01:00:00,7678213.38,45812729.0000,0.992592,3.398664,4.388715,1.724641
2021-12-03 02:00:00,7642688.42,45438100.0000,0.991325,3.237473,4.247942,0.208913
2021-12-03 03:00:00,7411492.64,44533294.0000,0.989789,3.604486,4.627753,1.142301
2021-12-03 04:00:00,7395121.29,44255663.0000,0.988586,3.609988,4.655556,0.977996
2021-12-03 05:00:00,7426390.62,44389663.0000,0.989736,3.733900,4.800227,0.467525
2021-12-03 06:00:00,7515740.71,44550923.0000,0.988973,3.402730,4.419595,1.969166
2021-12-03 07:00:00,7581818.59,45022665.0000,0.988425,3.503464,4.564604,0.788966
2021-12-03 08:00:00,7545961.84,44772921.0000,0.986973,3.500000,4.553398,5.361557
2021-12-03 09:00:00,7513722.72,44632345.0000,0.986260,3.466131,4.508584,0.626424
2021-12-03 10:00:00,7539495.43,44612399.0000,0.982227,3.460661,4.505330,2.066418
2021-12-03 11:00:00,7596778.83,44951354.0000,0.981608,3.410112,4.408142,0.645630
2021-12-03 12:00:00,7647264.71,45141976.0000,0.986401,3.439326,4.449896,5.711236
2021-12-03 13:00:00,7757702.52,45822224.0000,0.988492,3.476298,4.491118,0.739480
2021-12-03 14:00:00,7865411.62,46193880.0000,0.990868,3.060104,4.060311,0.931028
2021-12-03 15:00:00,7738371.50,46151475.0000,0.992091,3.208198,4.236548,1.688970
2021-12-03 16:00:00,7533559.92,45423704.0000,0.988933,3.620403,4.736667,0.162498
2021-12-03 17:00:00,7144828.38,44075994.0000,0.980601,3.964377,5.176895,0.798968
2021-12-03 18:00:00,7254199.79,44384094.0000,0.984071,3.863354,5.111374,1.186206
2021-12-03 19:00:00,7218719.20,44341027.0000,0.987763,3.918239,5.154946,0.660055
2021-12-03 20:00:00,6909900.82,43349174.0000,0.980106,3.911728,5.149218,0.616670
2021-12-03 21:00:00,6707846.29,42231886.0000,0.978952,3.850323,5.019729,1.569451
2021-12-03 22:00:00,6612307.62,41378778.0000,0.979275,3.784439,4.948843,1.970371
2021-12-03 23:00:00,6507743.14,40999063.0000,0.977440,3.737767,4.892216,1.247378
2021-12-04 00:00:00,6607624.98,41401159.0000,0.989983,3.702128,4.826809,0.613955
2021-12-04 01:00:00,6248439.41,40392432.0000,0.986211,3.875800,5.030600,0.556182
2021-12-04 02:00:00,6266289.67,40487767.0000,0.984539,3.811392,4.946667,1.583448
2021-12-04 03:00:00,6221772.96,40296457.0000,0.984987,3.747500,4.895558,0.527662
2021-12-04 04:00:00,5786335.50,39116224.0000,0.993536,3.942895,5.031928,0.377884
2021-12-04 05:00:00,4983579.65,36406988.0000,0.922722,3.461022,4.198444,0.305049
2021-12-04 06:00:00,3868976.74,30754982.0000,0.990297,2.634461,3.068217,0.935739
2021-12-04 07:00:00,3887374.88,30498393.0000,0.992556,2.831346,3.285714,0.756418
2021-12-04 08:00:00,3860012.97,30348531.0000,0.990809,2.634064,3.084665,0.875757
2021-12-04 09:00:00,3811317.88,29438546.0000,0.992753,2.525122,3.007704,1.326323
2021-12-04 10:00:00,3863385.24,29696585.0000,0.986708,2.603306,3.124409,0.767161
2021-12-04 11:00:00,3665852.92,28433546.0000,0.985256,2.546326,3.033486,1.146302
2021-12-04 12:00:00,3517372.42,27996455.0000,0.989139,2.580488,3.033951,1.102235
2021-12-04 13:00:00,3494691.87,27432613.0000,0.986350,2.533118,2.983206,1.453953
2021-12-04 14:00:00,3586818.11,27977266.0000,0.986714,2.645425,3.139319,1.087267
2021-12-04 15:00:00,3702727.39,28530322.0000,0.983723,2.600644,3.116564,0.996286
2021-12-04 16:00:00,3677293.77,28135377.0000,0.980687,2.493711,3.029985,2.073077
2021-12-04 17:00:00,3552521.98,27732412.0000,0.981946,2.573506,3.096330,1.205412
2021-12-04 18:00:00,3552493.83,27201331.0000,0.982317,2.568882,3.109063,0.282917
2021-12-04 19:00:00,3581080.19,27232549.0000,0.978030,2.511924,3.054217,2.342708
2021-12-04 20:00:00,3675356.25,27489372.0000,0.982710,2.521463,3.038922,0.470616
2021-12-04 21:00:00,3762778.63,27973252.0000,0.984430,2.535771,3.056801,0.710474
2021-12-04 22:00:00,3671791.56,27740604.0000,0.978719,2.507177,3.022556,0.784871
2021-12-04 23:00:00,3652882.41,27158977.0000,0.977815,2.582114,3.154671,5.040733
2021-12-05 00:00:00,3589455.43,26687401.0000,0.976483,2.640336,3.220820,0.737208
2021-12-05 01:00:00,3486968.79,26321402.0000,0.999941,2.640127,3.115741,0.996568
2021-12-05 02:00:00,3471799.94,26075658.0000,0.999431,2.596850,3.033333,0.878636
2021-12-05 03:00:00,3432765.21,25868615.0000,1.002103,2.628571,3.053272,1.145582
2021-12-05 04:00:00,3522405.08,26044995.0000,1.001771,2.441088,2.843931,1.328649
2021-12-05 05:00:00,3582543.16,26517714.0000,1.001142,2.503058,2.929515,0.669888
2021-12-05 06:00:00,3702697.58,27254804.0000,1.001283,2.728341,3.132768,0.797212
2021-12-05 07:00:00,3879090.88,28604091.0000,1.002991,2.986364,3.386957,0.976325
2021-12-05 08:00:00,3975491.94,29039386.0000,0.999476,2.996956,3.406386,1.611031
2021-12-05 09:00:00,4321694.76,31584525.0000,1.005219,2.877193,3.267038,0.201255
2021-12-05 10:00:00,4398847.48,32987913.0000,1.000027,3.002994,3.423851,0.958544
2021-12-05 11:00:00,4546258.84,33846243.0000,1.002048,3.089802,3.465418,0.813342
2021-12-05 12:00:00,4581876.25,34425393.0000,1.001070,3.166410,3.551020,0.890591
2021-12-05 13:00:00,4658879.11,35022512.0000,1.000061,3.241058,3.612903,0.448050
2021-12-05 14:00:00,4626568.71,34790029.0000,0.999824,3.267606,3.673105,0.218641
2021-12-05 15:00:00,4411623.13,34573849.0000,0.998617,3.369600,3.729323,0.926574
2021-12-05 16:00:00,4376173.78,35203593.0000,0.996855,3.189406,3.524024,1.355704
2021-12-05 17:00:00,4480951.21,35497623.0000,1.001031,3.061321,3.438988,0.853216
2021-12-05 18:00:00,4473575.84,34922528.0000,0.999973,3.039124,3.417160,0.999250
2021-12-05 19:00:00,4390876.79,34545840.0000,0.999471,3.028037,3.402941,2.596932
2021-12-05 20:00:00,4315609.91,34061641.0000,0.998350,3.029781,3.400888,1.445546
2021-12-05 21:00:00,4175986.44,33077660.0000,1.000418,3.098387,3.474164,0.855940
2021-12-05 22:00:00,4071345.89,32198585.0000,0.998968,3.196370,3.583204,0.335782
2021-12-05 23:00:00,4055901.97,31725057.0000,0.992925,3.017296,3.391691,2.135511
2021-12-06 00:00:00,4040042.76,31448930.0000,0.984878,2.978125,3.330893,0.394260
2021-12-06 01:00:00,3960833.50,31937191.0000,0.999517,3.154093,3.582435,0.534916
2021-12-06 02:00:00,4012317.23,31569757.0000,1.000936,2.922844,3.310694,1.146329
