time,oi_usd,oi_base,tt_pos_ls,tt_acct_ls,global_ls,taker_ls
2021-12-01 00:00:00,18356654.46,77087.0810,0.984167,2.855363,3.033333,0.366875
2021-12-01 01:00:00,18653666.86,77990.0780,0.993534,3.043509,3.280488,0.422119
2021-12-01 02:00:00,18626291.48,77452.8920,0.990275,3.028329,3.272321,1.428019
2021-12-01 03:00:00,18255553.92,75768.9550,0.986043,3.013571,3.269058,0.198554
2021-12-01 04:00:00,18424620.68,76122.2140,0.982673,2.969611,3.248889,2.670370
2021-12-01 05:00:00,18203975.32,75588.4870,0.982462,3.038157,3.315042,1.547567
2021-12-01 06:00:00,18125075.69,75779.0600,0.984272,3.046965,3.330305,0.548190
2021-12-01 07:00:00,18170504.11,76203.4290,0.984981,3.037518,3.347005,2.784556
2021-12-01 08:00:00,18637902.04,78399.6520,0.989164,3.083453,3.406472,0.413787
2021-12-01 09:00:00,18419060.27,77868.0390,0.985169,3.340000,3.666436,0.447603
2021-12-01 10:00:00,18617196.33,78431.4050,0.988416,3.422624,3.773692,0.750188
2021-12-01 11:00:00,18385752.72,77678.4000,0.982791,3.399688,3.746844,1.875346
2021-12-01 12:00:00,18367174.20,77180.0380,0.981531,3.458564,3.821403,0.808100
2021-12-01 13:00:00,18371475.75,77850.1700,0.981016,3.472684,3.850321,0.715740
2021-12-01 14:00:00,18503407.48,77926.0530,0.982078,3.455686,3.856130,0.444866
2021-12-01 15:00:00,18632424.76,78126.6500,0.981729,3.426573,3.834502,0.696008
2021-12-01 16:00:00,18627888.05,78694.7390,0.982476,3.458529,3.871378,0.250410
2021-12-01 17:00:00,19312618.31,82038.2240,0.982584,3.768724,4.178755,0.406362
2021-12-01 18:00:00,19217704.85,81665.3210,0.973149,3.800662,4.261993,0.799754
2021-12-01 19:00:00,19056853.74,81332.0580,0.969854,3.910549,4.422727,0.552879
2021-12-01 20:00:00,19044951.08,82018.8170,0.965673,4.154181,4.763965,0.436189
2021-12-01 21:00:00,18613043.97,80999.5250,0.957558,4.158854,4.757647,0.605120
2021-12-01 22:00:00,18628958.96,80823.2850,0.962048,4.181102,4.780080,4.725761
2021-12-01 23:00:00,18680648.50,80949.2070,0.956052,4.015139,4.617579,0.475619
2021-12-02 00:00:00,18584905.10,80578.5960,0.956217,4.119828,4.732283,1.698645
2021-12-02 01:00:00,18711110.88,81352.6560,0.965187,4.076133,4.685535,1.834681
2021-12-02 02:00:00,18938787.86,81665.1010,0.960289,3.960637,4.537577,0.294761
2021-12-02 03:00:00,18648730.82,81254.2680,0.955064,3.905037,4.502658,0.621612
2021-12-02 04:00:00,18497463.09,81483.0320,0.954143,4.256456,4.856322,0.613744
2021-12-02 05:00:00,18545277.26,80981.8990,0.951861,4.077778,4.647522,0.894862
2021-12-02 06:00:00,18661837.70,80813.7210,0.951550,3.956703,4.513410,1.153797
2021-12-02 07:00:00,18853143.99,81221.9840,0.952086,3.941715,4.474809,0.305279
2021-12-02 08:00:00,18690735.08,80725.0030,0.951921,3.855619,4.372932,0.502693
2021-12-02 09:00:00,18908521.42,80895.5310,0.948458,3.714741,4.343273,0.798210
2021-12-02 10:00:00,18898169.41,80795.7110,0.950916,3.576863,4.152925,1.641889
2021-12-02 11:00:00,18880840.44,80621.9200,0.952896,3.553406,4.121489,4.228371
2021-12-02 12:00:00,18853283.95,80193.2000,0.953126,3.447853,3.927098,0.711568
2021-12-02 13:00:00,18757404.37,80275.0590,0.965272,3.525174,4.025210,2.063738
