date,tvl,fees,revenue,dex_vol,stbl
2020-05-23,93528763.00,,,,
2020-05-24,97339661.00,,,,
2020-05-25,112578214.00,,,,
2020-05-26,190331954.00,,,,
2020-05-27,178782692.00,,,,
2020-05-28,176112321.00,,,,
2020-05-29,167523681.00,,,,
2020-05-30,155663319.00,,,,
2020-05-31,163343692.00,,,,
2020-06-01,174423694.00,,,,
2020-06-02,172563687.00,,,,
2020-06-03,161633437.00,,,,
2020-06-04,164534601.00,,,,
2020-06-05,166970262.00,,,,
2020-06-06,178348677.00,,,,
2020-06-07,174286727.00,,,,
2020-06-08,174822584.00,,,,
2020-06-09,171518001.00,,,,
2020-06-10,186646633.00,,,,
2020-06-11,197501664.00,,,,
2020-06-12,184911884.00,,,,
2020-06-13,182145172.00,,,,
2020-06-14,181701268.00,,,,
2020-06-15,175893704.00,,,,
2020-06-16,161441404.00,,,,
2020-06-17,164156286.00,,,,
2020-06-18,184142485.00,,,,
2020-06-19,189368637.00,,,,
2020-06-20,181684503.00,,,,
2020-06-21,184778331.00,,,,
2020-06-22,189076813.00,,,,
2020-06-23,187899260.00,,,,
2020-06-24,185682775.00,,,,
2020-06-25,197930222.00,,,,
2020-06-26,193051801.00,,,,
2020-06-27,193591867.00,,,,
2020-06-28,197738332.00,,,,
2020-06-29,190383643.00,,,,
2020-06-30,194508913.00,,,,
2020-07-01,192564581.00,,,,
2020-07-02,190269425.00,,,,
2020-07-03,184599812.00,,,,
2020-07-04,195849578.00,,,,
2020-07-05,199102406.00,,,,
2020-07-06,201784104.00,,,,
2020-07-07,192510069.00,,,,
2020-07-08,195460039.00,,,,
2020-07-09,202998544.00,,,,
2020-07-10,200299349.00,,,,
2020-07-11,192125751.00,,,,
2020-07-12,190334375.00,,,,
2020-07-13,188986554.00,,,,
2020-07-14,180893280.00,,,,
2020-07-15,185013042.00,,,,
2020-07-16,185834131.00,,,,
2020-07-17,184267002.00,,,,
2020-07-18,190468102.00,,,,
2020-07-19,195457167.00,,,,
2020-07-20,190405780.00,,,,
2020-07-21,192352738.00,,,,
2020-07-22,189541167.00,,,,
2020-07-23,190477347.00,,,,
2020-07-24,180713112.00,,,,
2020-07-25,183052313.00,,,,
2020-07-26,186743376.00,,,,
2020-07-27,190546176.00,,,,
2020-07-28,190230069.00,,,,
2020-07-29,191691758.00,,,,
2020-07-30,189797712.00,,,,
2020-07-31,188168928.00,,,,
2020-08-01,187962785.00,,,,
2020-08-02,190183995.00,,,,
2020-08-03,190399445.00,,,,
2020-08-04,188929323.00,,,,
2020-08-05,191499046.00,,,,
2020-08-06,188303811.00,,,,
2020-08-07,190595519.00,,,,
2020-08-08,187871900.00,,,,
2020-08-09,181623026.00,,,,
2020-08-10,206297108.00,,,,
2020-08-11,218455337.00,,,,
2020-08-12,213131863.00,,,,
2020-08-13,217502622.00,,,,
2020-08-14,222917629.00,,,,
2020-08-15,235007753.00,,,,
2020-08-16,269016653.00,,,,
2020-08-17,269612054.00,,,,
2020-08-18,258721948.00,,,,
2020-08-19,262093482.00,,,,
2020-08-20,265718246.00,,,,
2020-08-21,268911734.00,,,,
2020-08-22,271162825.00,,,,
2020-08-23,253297447.00,,,,
2020-08-24,247081513.00,,,,
2020-08-25,248640067.00,,,,
2020-08-26,251082742.00,,,,
2020-08-27,294676564.00,,,,
2020-08-28,302998120.00,,,,
2020-08-29,410376354.00,,,,
2020-08-30,422797404.00,,,,
2020-08-31,430981379.00,,,,
2020-09-01,416537535.00,,,,
2020-09-02,410725683.00,,,,
2020-09-03,396941557.00,,,,
2020-09-04,402370241.00,,,,
2020-09-05,396573657.00,,,,
2020-09-06,442937771.00,,,,
2020-09-07,382119739.00,,,,
2020-09-08,359787322.00,,,,
2020-09-09,327088111.00,,,,
2020-09-10,336484246.00,,,,
2020-09-11,322241776.00,,,,
2020-09-12,325475537.00,,,,
2020-09-13,307419761.00,,,,
2020-09-14,309199597.00,,,,
2020-09-15,302706616.00,,,,
