date,tvl,fees,revenue,dex_vol,stbl
2020-10-31,10301297.00,,,,
2020-11-01,9908589.00,,,,
2020-11-02,8491803.00,,,,
2020-11-03,10123599.00,,,,
2020-11-04,9159312.00,,,,
2020-11-05,9410326.00,,,,
2020-11-06,11179279.00,,,,
2020-11-07,10678422.00,,,,
2020-11-08,10769713.00,,,,
2020-11-09,11099268.00,,,,
2020-11-10,13356134.00,,,,
2020-11-11,11068174.00,,,,
2020-11-12,10526631.00,,,,
2020-11-13,10526631.00,,,,
2020-11-14,10526631.00,,,,
2020-11-15,9822334.00,,,,
2020-11-16,9665906.00,,,,
2020-11-17,10483012.00,,,,
2020-11-18,9341014.00,,,,
2020-11-19,8739499.00,,,,
2020-11-20,9894448.00,,,,
2020-11-21,8438511.00,,,,
2020-11-22,11343170.00,,,,
2020-11-23,8642556.00,,,,
2020-11-24,8823689.00,,,,
2020-11-25,11076184.00,,,,
2020-11-26,11115636.00,,,,
2020-11-27,8705739.00,,,,
2020-11-28,10973397.00,,,,
2020-11-29,9360348.00,,,,
2020-11-30,9514119.00,,,,
2020-12-01,10551753.00,,,,
2020-12-02,10275945.00,,,,
2020-12-03,11584464.00,,,,
2020-12-04,10094774.00,,,,
2020-12-05,9525130.00,,,,
2020-12-06,10197671.00,,,,
2020-12-07,9140990.00,,,,
2020-12-08,9410444.00,,,,
2020-12-09,10037268.00,,,,
2020-12-10,10007138.00,,,,
2020-12-11,8589059.00,,,,
2020-12-12,10333609.00,,,,
2020-12-13,9704337.00,,,,
2020-12-14,9147178.00,,,,
2020-12-15,9925867.00,,,,
2020-12-16,10778656.00,,,,
2020-12-17,11276436.00,,,,
2020-12-18,13233053.00,,,,
2020-12-19,13676007.00,,,,
2020-12-20,14099004.00,,,,
2020-12-21,15959995.00,,,,
2020-12-22,15965138.00,,,,
2020-12-23,8496677.00,,,,
2020-12-24,8496677.00,,,,
2020-12-25,9268865.00,,,,
2020-12-26,9268865.00,,,,
2020-12-27,9268865.00,,,,
2020-12-28,9268865.00,,,,
2020-12-29,15480606.00,,,,
2020-12-30,15454794.00,,,,
2020-12-31,16405083.00,,,,
2021-01-01,13893721.00,,,,
2021-01-02,16060324.00,,,,
2021-01-03,15410229.00,,,,
2021-01-04,7831774.00,,,,
2021-01-05,15872277.00,,,,
2021-01-06,13119621.00,,,,
2021-01-07,16237113.00,,,,
2021-01-08,16910131.00,,,,
2021-01-09,15987610.00,,,,
2021-01-10,11573917.00,,,,
2021-01-11,15667961.00,,,,
2021-01-12,15667961.00,,,,
2021-01-13,16924335.00,,,,
2021-01-14,16964015.00,,,,
2021-01-15,16294740.00,,,,
2021-01-16,16501925.00,,,,
2021-01-17,14344185.00,,,,
2021-01-18,15267751.00,,,,
2021-01-19,3053984.00,,,,
2021-01-20,3241544.00,,,,
2021-01-21,3114456.00,,,,
2021-01-22,2766873.00,,,,
2021-01-23,2932211.00,,,,
2021-01-24,2886512.00,,,,
