date,tvl,fees,revenue,dex_vol,stbl
2020-09-05,0.00,,,,
2020-09-06,0.00,,,,
2020-09-07,0.00,,,,
2020-09-08,0.00,,,,
2020-09-09,0.00,,,,
2020-09-10,1082367977.00,108872.00,18145.00,36290586.00,
2020-09-11,1057566287.00,821047.00,136841.00,273682261.00,
2020-09-12,1456479137.00,622531.00,103755.00,207510180.00,
2020-09-13,1507280673.00,605749.00,100958.00,201916470.00,
2020-09-14,908254884.00,518487.00,86414.00,172828839.00,
2020-09-15,837959891.00,465212.00,77535.00,155070683.00,
2020-09-16,786425770.00,590859.00,98476.00,196952929.00,
2020-09-17,753239072.00,457857.00,76309.00,152618866.00,
2020-09-18,623500397.00,363829.00,60638.00,121276182.00,
2020-09-19,538311360.00,235065.00,39177.00,78354932.00,
2020-09-20,534047767.00,248837.00,41473.00,82945529.00,
2020-09-21,515748067.00,185008.00,30835.00,61669248.00,
2020-09-22,449397157.00,246217.00,41036.00,82072231.00,
2020-09-23,465493137.00,138067.00,23011.00,46022290.00,
2020-09-24,450231054.00,169154.00,28192.00,56384576.00,
2020-09-25,470822736.00,160958.00,26826.00,53652832.00,
2020-09-26,461265453.00,124280.00,20713.00,41426781.00,
2020-09-27,444016873.00,99016.00,16503.00,33005364.00,
2020-09-28,393380363.00,114161.00,19027.00,38053581.00,
2020-09-29,415115618.00,91341.00,15224.00,30447117.00,
2020-09-30,417320451.00,238834.00,39806.00,79611444.00,
2020-10-01,381750840.00,146291.00,24382.00,48763743.00,
2020-10-02,354599936.00,168735.00,28123.00,56245157.00,
2020-10-03,362910832.00,173343.00,28891.00,57781063.00,
2020-10-04,350543322.00,78245.00,13041.00,26081578.00,
2020-10-05,332553044.00,147347.00,24558.00,49115725.00,
2020-10-06,311147003.00,82597.00,13766.00,27532303.00,
2020-10-07,287994629.00,120095.00,20016.00,40031513.00,
2020-10-08,271992792.00,159042.00,26507.00,53014097.00,
2020-10-09,283927079.00,162967.00,27161.00,54322341.00,
2020-10-10,300963993.00,120200.00,20033.00,40066628.00,
2020-10-11,306687772.00,82242.00,13707.00,27413994.00,
2020-10-12,309976770.00,84665.00,14111.00,28221559.00,
2020-10-13,318140480.00,75518.00,12586.00,25172570.00,
2020-10-14,302531787.00,48336.00,8056.00,16112030.00,
2020-10-15,299837269.00,69062.00,11510.00,23020583.00,
2020-10-16,290711524.00,59730.00,9955.00,19910013.00,
2020-10-17,288069116.00,60122.00,10020.00,20040781.00,
2020-10-18,292116604.00,36417.00,6069.00,12138845.00,
2020-10-19,303447186.00,54242.00,9040.00,18080707.00,
2020-10-20,304323053.00,50114.00,8352.00,16704766.00,
2020-10-21,288484875.00,63991.00,10665.00,21330479.00,
2020-10-22,301729418.00,77030.00,12838.00,25676503.00,
2020-10-23,297921935.00,73939.00,12323.00,24646191.00,
2020-10-24,269424892.00,48264.00,8044.00,16087993.00,
2020-10-25,275532845.00,34729.00,5788.00,11576380.00,
2020-10-26,270976867.00,34392.00,5732.00,11463893.00,
2020-10-27,267664553.00,76468.00,12745.00,25489458.00,
2020-10-28,273885076.00,66274.00,11046.00,22091327.00,
2020-10-29,268869024.00,77889.00,12981.00,25962985.00,
2020-10-30,263298423.00,75856.00,12643.00,25285181.00,
2020-10-31,260551134.00,88390.00,14732.00,29463375.00,
2020-11-01,261389377.00,42897.00,7150.00,14299119.00,
2020-11-02,266006941.00,43725.00,7288.00,14575117.00,
2020-11-03,264192131.00,43603.00,7267.00,14534248.00,
2020-11-04,259654269.00,58111.00,9685.00,19370338.00,
2020-11-05,256640322.00,67915.00,11319.00,22638199.00,
2020-11-06,261742010.00,122532.00,20422.00,40843977.00,
2020-11-07,280484506.00,136274.00,22712.00,45424745.00,
2020-11-08,250462786.00,230416.00,38403.00,76805461.00,
2020-11-09,262586247.00,93448.00,15575.00,31149489.00,
2020-11-10,265911804.00,77877.00,12979.00,25958899.00,
2020-11-11,269068254.00,107456.00,17909.00,35818645.00,
2020-11-12,270976714.00,107708.00,17951.00,35902763.00,
2020-11-13,270863476.00,81672.00,13612.00,27224064.00,
2020-11-14,294930649.00,122459.00,20410.00,40819822.00,
2020-11-15,310180050.00,119820.00,19970.00,39940144.00,
2020-11-16,345463673.00,189803.00,31634.00,63267735.00,
2020-11-17,418779493.00,163970.00,27328.00,54656803.00,
2020-11-18,982499785.00,220876.00,36813.00,73625401.00,
2020-11-19,1061652878.00,321228.00,53538.00,107075896.00,
2020-11-20,1047292811.00,248117.00,41353.00,82705736.00,
2020-11-21,1096715997.00,309736.00,51623.00,103245323.00,
2020-11-22,1105842594.00,417066.00,69511.00,139021888.00,
2020-11-23,1118689354.00,498738.00,83123.00,166246097.00,
2020-11-24,685929958.00,277904.00,46317.00,92634502.00,
2020-11-25,650128668.00,310349.00,51725.00,103449544.00,
2020-11-26,612730613.00,242945.00,40491.00,80981724.00,
2020-11-27,561502352.00,670797.00,111800.00,223599151.00,
2020-11-28,586165322.00,210253.00,35042.00,70084173.00,
2020-11-29,643947313.00,129915.00,21652.00,43304901.00,
2020-11-30,678889926.00,112914.00,18819.00,37638105.00,
2020-12-01,739298328.00,253814.00,42302.00,84604629.00,
2020-12-02,743283204.00,419136.00,69856.00,139711918.00,
2020-12-03,857393981.00,292751.00,48792.00,97583608.00,
2020-12-04,919780846.00,216313.00,36052.00,72104391.00,
2020-12-05,879184250.00,241771.00,40295.00,80590335.00,
2020-12-06,966821898.00,223950.00,37325.00,74649882.00,
2020-12-07,987093330.00,171331.00,28555.00,57110462.00,
2020-12-08,980978231.00,159463.00,26577.00,53154198.00,
2020-12-09,961447235.00,283878.00,47313.00,94625918.00,
2020-12-10,988984479.00,226017.00,37669.00,75338932.00,
2020-12-11,1002020977.00,200969.00,33495.00,66989681.00,
2020-12-12,979842226.00,209021.00,34837.00,69673794.00,
2020-12-13,1005015004.00,135518.00,22586.00,45172605.00,
2020-12-14,1039443016.00,131124.00,21854.00,43708003.00,
2020-12-15,1064475456.00,134481.00,22413.00,44826928.00,
2020-12-16,1090859742.00,189216.00,31536.00,63072020.00,
2020-12-17,1156461188.00,281091.00,46849.00,93697100.00,
2020-12-18,1163032448.00,437880.00,72980.00,145960096.00,
2020-12-19,1120280464.00,220101.00,36684.00,73367113.00,
2020-12-20,1174858356.00,223306.00,37218.00,74435438.00,
2020-12-21,1162713298.00,181335.00,30222.00,60444925.00,
2020-12-22,1129313591.00,271814.00,45302.00,90604545.00,
2020-12-23,1133955434.00,277480.00,46247.00,92493454.00,
2020-12-24,1045175401.00,588861.00,98143.00,196286938.00,
2020-12-25,1113363353.00,508779.00,84797.00,169593098.00,
2020-12-26,1182532718.00,259603.00,43267.00,86534414.00,
2020-12-27,1229651818.00,293514.00,48919.00,97838147.00,
2020-12-28,1235164980.00,556975.00,92829.00,185658384.00,
2020-12-29,1281434077.00,596080.00,99347.00,198693455.00,
