time,liq_long_usd,liq_short_usd
2026-03-29 15:00:00,0.00,2993.51
2026-03-29 16:00:00,0.00,55.95
2026-03-29 17:00:00,0.00,1008.69
2026-03-29 21:00:00,0.00,7770.59
2026-03-29 22:00:00,0.00,596.96
2026-03-29 23:00:00,0.00,325.21
2026-03-30 00:00:00,0.00,950.32
2026-03-30 01:00:00,0.00,22857.97
2026-03-30 02:00:00,0.00,1348.39
2026-03-30 03:00:00,0.00,22647.27
2026-03-30 05:00:00,0.00,215.28
2026-03-30 06:00:00,0.00,12534.27
2026-03-30 07:00:00,0.00,76.18
2026-03-30 08:00:00,0.00,3192.47
2026-03-30 09:00:00,0.00,1323.22
2026-03-30 11:00:00,0.00,30.82
2026-03-30 12:00:00,0.00,11213.41
2026-03-30 14:00:00,0.00,521.16
2026-03-30 15:00:00,0.00,1763.06
2026-03-30 16:00:00,0.00,133.95
2026-03-30 17:00:00,0.00,313.76
2026-03-30 22:00:00,0.00,21332.73
2026-03-31 01:00:00,0.00,403.04
2026-03-31 02:00:00,0.00,50633.31
2026-03-31 05:00:00,0.00,88.67
2026-03-31 06:00:00,0.00,96.42
2026-03-31 08:00:00,0.00,5.26
2026-03-31 11:00:00,0.00,7111.03
2026-03-31 12:00:00,0.00,3092.32
2026-03-31 13:00:00,0.00,606.79
2026-03-31 14:00:00,0.00,9998.21
2026-03-31 15:00:00,0.00,1340.37
2026-03-31 16:00:00,0.00,12995.67
2026-03-31 17:00:00,0.00,30493.66
2026-03-31 18:00:00,0.00,114874.59
2026-03-31 19:00:00,0.00,2348.46
2026-03-31 21:00:00,0.00,294.85
2026-03-31 22:00:00,0.00,155.73
2026-03-31 23:00:00,0.00,9334.32
2026-04-01 00:00:00,0.00,139183.99
2026-04-01 01:00:00,0.00,5557.78
2026-04-01 04:00:00,0.00,1451.05
2026-04-01 05:00:00,0.00,767.88
2026-04-01 06:00:00,0.00,94993.85
2026-04-01 07:00:00,0.00,137823.53
2026-04-01 08:00:00,0.00,1033.02
2026-04-01 09:00:00,0.00,127.82
2026-04-01 12:00:00,0.00,80.13
2026-04-01 13:00:00,0.00,199.67
2026-04-01 14:00:00,0.00,13257.46
2026-04-01 15:00:00,0.00,275.16
2026-04-01 16:00:00,0.00,1195.79
2026-04-01 17:00:00,0.00,7339.96
2026-04-01 18:00:00,0.00,37606.30
2026-04-01 22:00:00,0.00,3173.37
2026-04-02 01:00:00,0.00,1670.18
2026-04-02 05:00:00,0.00,818.07
2026-04-02 06:00:00,0.00,14320.49
2026-04-02 07:00:00,0.00,9334.68
2026-04-02 08:00:00,0.00,5.63
2026-04-02 09:00:00,0.00,25.02
2026-04-02 10:00:00,0.00,1655.27
2026-04-02 12:00:00,0.00,733.80
2026-04-02 15:00:00,0.00,10036.79
2026-04-02 17:00:00,0.00,1850.31
2026-04-02 18:00:00,0.00,1304.77
2026-04-02 19:00:00,0.00,20.01
2026-04-02 20:00:00,0.00,3740.05
2026-04-02 21:00:00,0.00,138.74
2026-04-03 00:00:00,0.00,7.16
2026-04-03 02:00:00,0.00,9.55
2026-04-03 03:00:00,0.00,715.08
2026-04-03 04:00:00,0.00,5815.06
2026-04-03 05:00:00,0.00,4265.18
2026-04-03 06:00:00,0.00,52251.44
2026-04-03 07:00:00,0.00,71402.59
2026-04-03 08:00:00,0.00,659.75
2026-04-03 09:00:00,0.00,1089.50
2026-04-03 10:00:00,0.00,301.70
2026-04-03 11:00:00,0.00,15.23
2026-04-03 13:00:00,0.00,1471.20
2026-04-03 14:00:00,0.00,3930.65
2026-04-03 19:00:00,0.00,848.67
2026-04-03 20:00:00,0.00,6.44
2026-04-03 21:00:00,0.00,84.62
2026-04-03 22:00:00,0.00,359.32
2026-04-04 01:00:00,3128.72,0.00
2026-04-04 02:00:00,0.00,27.89
2026-04-04 03:00:00,13113.71,0.00
2026-04-04 04:00:00,0.00,6.58
2026-04-04 05:00:00,0.00,516.86
2026-04-04 06:00:00,637.98,0.00
2026-04-04 07:00:00,0.00,3152.06
2026-04-04 08:00:00,0.00,358.91
2026-04-04 09:00:00,151.23,0.00
2026-04-04 13:00:00,719.92,0.00
2026-04-04 14:00:00,0.00,437.28
2026-04-04 15:00:00,0.00,1101.54
2026-04-04 16:00:00,0.00,750.98
2026-04-04 17:00:00,6182.55,0.00
2026-04-04 18:00:00,0.00,1495.68
2026-04-04 19:00:00,0.00,1260.66
2026-04-04 20:00:00,0.00,34191.52
2026-04-04 21:00:00,8585.45,0.00
2026-04-04 22:00:00,0.00,98.58
2026-04-05 00:00:00,0.00,18368.93
2026-04-05 01:00:00,0.00,199.80
2026-04-05 02:00:00,5312.74,0.00
2026-04-05 03:00:00,5021.07,0.00
2026-04-05 05:00:00,3493.85,0.00
2026-04-05 06:00:00,65134.85,0.00
2026-04-05 07:00:00,27836.59,0.00
2026-04-05 10:00:00,0.00,586.77
2026-04-05 12:00:00,122.65,0.00
2026-04-05 13:00:00,0.00,1335.12
2026-04-05 14:00:00,0.00,25.18
2026-04-05 15:00:00,0.00,222.96
2026-04-05 16:00:00,0.00,10364.48
2026-04-05 17:00:00,153.74,0.00
2026-04-05 18:00:00,4551.41,0.00
2026-04-05 19:00:00,0.00,12.28
2026-04-05 20:00:00,5.01,0.00
2026-04-05 21:00:00,207.37,0.00
2026-04-05 22:00:00,189.14,0.00
2026-04-05 23:00:00,0.00,22342.37
2026-04-06 00:00:00,0.00,35763.49
2026-04-06 01:00:00,0.00,158765.77
2026-04-06 02:00:00,0.00,5035.34
2026-04-06 03:00:00,0.00,44538.35
2026-04-06 04:00:00,2763.14,0.00
2026-04-06 05:00:00,0.00,933.99
2026-04-06 06:00:00,53283.80,0.00
2026-04-06 07:00:00,0.00,4435.34
2026-04-06 08:00:00,1244.54,0.00
2026-04-06 09:00:00,0.00,1798.02
2026-04-06 10:00:00,0.00,21481.67
2026-04-06 11:00:00,0.00,72007.24
2026-04-06 12:00:00,119.21,0.00
2026-04-06 13:00:00,0.00,725.75
2026-04-06 14:00:00,0.00,350.76
2026-04-06 15:00:00,0.00,5026.97
2026-04-06 16:00:00,0.00,62.14
2026-04-06 17:00:00,0.00,69.82
2026-04-06 18:00:00,10268.08,0.00
2026-04-06 20:00:00,527.61,0.00
2026-04-06 22:00:00,21035.59,0.00
2026-04-06 23:00:00,361884.25,0.00
2026-04-07 00:00:00,0.00,209.78
2026-04-07 01:00:00,0.00,126.23
2026-04-07 02:00:00,62.91,0.00
2026-04-07 03:00:00,345.51,0.00
2026-04-07 04:00:00,0.00,19.22
2026-04-07 05:00:00,0.00,109.20
2026-04-07 07:00:00,0.00,1695.46
2026-04-07 08:00:00,27011.42,0.00
2026-04-07 09:00:00,112.30,0.00
2026-04-07 10:00:00,0.00,5610.22
2026-04-07 11:00:00,3864.03,0.00
2026-04-07 12:00:00,2011.33,0.00
2026-04-07 13:00:00,20318.86,0.00
2026-04-07 15:00:00,0.00,2882.57
2026-04-07 16:00:00,0.00,101.87
2026-04-07 17:00:00,0.00,443.74
2026-04-07 18:00:00,0.00,13541.70
2026-04-07 19:00:00,3258.49,0.00
2026-04-07 20:00:00,0.00,61528.01
2026-04-07 21:00:00,0.00,11359.70
2026-04-07 22:00:00,0.00,102008.43
2026-04-07 23:00:00,0.00,400601.02
2026-04-08 00:00:00,0.00,25168.80
2026-04-08 01:00:00,0.00,14383.60
2026-04-08 02:00:00,0.00,21738.34
2026-04-08 03:00:00,0.00,13860.76
2026-04-08 04:00:00,0.00,3069.25
2026-04-08 05:00:00,0.00,945.75
2026-04-08 06:00:00,9113.89,0.00
2026-04-08 07:00:00,0.00,174.40
2026-04-08 08:00:00,0.00,4494.99
2026-04-08 09:00:00,0.00,2804.05
2026-04-08 10:00:00,0.00,1922.60
2026-04-08 11:00:00,0.00,2334.32
2026-04-08 12:00:00,0.00,264.59
2026-04-08 13:00:00,0.00,703.34
2026-04-08 14:00:00,0.00,24496.37
2026-04-08 15:00:00,61788.03,0.00
2026-04-08 16:00:00,0.00,1105.07
2026-04-08 18:00:00,0.00,27933.28
2026-04-08 19:00:00,0.00,83.04
2026-04-08 20:00:00,7359.79,0.00
2026-04-08 21:00:00,1063.61,0.00
2026-04-08 22:00:00,0.00,24781.58
2026-04-08 23:00:00,0.00,290.79
2026-04-09 00:00:00,11462.13,0.00
2026-04-09 01:00:00,195358.85,0.00
2026-04-09 02:00:00,3565.07,0.00
2026-04-09 04:00:00,0.00,110.88
2026-04-09 05:00:00,0.00,6.91
2026-04-09 06:00:00,1660.04,0.00
2026-04-09 08:00:00,14730.53,0.00
2026-04-09 09:00:00,0.00,13.90
2026-04-09 10:00:00,0.00,6108.62
2026-04-09 11:00:00,0.00,633.68
2026-04-09 12:00:00,0.00,3663.35
2026-04-09 13:00:00,0.00,459.82
2026-04-09 14:00:00,335.60,0.00
2026-04-09 15:00:00,20989.40,0.00
2026-04-09 16:00:00,0.00,57135.90
2026-04-09 17:00:00,0.00,233.00
2026-04-09 18:00:00,0.00,12434.65
2026-04-09 19:00:00,0.00,4920.00
2026-04-09 20:00:00,0.00,18871.77
2026-04-09 21:00:00,0.00,53127.17
2026-04-09 22:00:00,0.00,107986.58
2026-04-09 23:00:00,0.00,28953.54
2026-04-10 00:00:00,25003.86,0.00
2026-04-10 01:00:00,0.00,10.54
2026-04-10 02:00:00,0.00,1072.09
2026-04-10 05:00:00,0.00,14502.19
2026-04-10 06:00:00,0.00,62732.26
2026-04-10 07:00:00,22443.15,0.00
2026-04-10 08:00:00,5431.31,0.00
2026-04-10 09:00:00,80420.90,0.00
2026-04-10 10:00:00,0.00,7492.84
2026-04-10 11:00:00,0.00,951.20
2026-04-10 13:00:00,0.00,4420.16
2026-04-10 14:00:00,266.36,0.00
2026-04-10 15:00:00,0.00,14488.47
2026-04-10 16:00:00,0.00,24484.06
2026-04-10 17:00:00,0.00,10085.22
2026-04-10 18:00:00,0.00,5627.21
2026-04-10 19:00:00,0.00,12108.78
2026-04-10 20:00:00,0.00,78125.20
2026-04-10 21:00:00,2568.70,0.00
2026-04-10 22:00:00,19977.32,0.00
2026-04-10 23:00:00,566.34,0.00
2026-04-11 00:00:00,832.25,0.00
2026-04-11 01:00:00,31105.09,0.00
2026-04-11 02:00:00,0.00,2450.68
2026-04-11 03:00:00,0.00,3995.51
2026-04-11 04:00:00,0.00,99.66
2026-04-11 05:00:00,11709.90,0.00
2026-04-11 06:00:00,8771.45,0.00
2026-04-11 07:00:00,2228.18,0.00
2026-04-11 08:00:00,263.33,0.00
2026-04-11 09:00:00,0.00,926.29
2026-04-11 10:00:00,3381.37,0.00
2026-04-11 11:00:00,312.25,0.00
2026-04-11 12:00:00,9.46,0.00
2026-04-11 13:00:00,1287.41,0.00
2026-04-11 14:00:00,19646.33,0.00
2026-04-11 15:00:00,0.00,168.90
2026-04-11 16:00:00,0.00,4083.95
2026-04-11 17:00:00,0.00,34384.77
2026-04-11 18:00:00,386.44,0.00
2026-04-11 19:00:00,0.00,40850.80
2026-04-11 20:00:00,0.00,70644.67
2026-04-11 21:00:00,0.00,140630.43
2026-04-11 22:00:00,0.00,1271.84
2026-04-11 23:00:00,0.00,309.45
2026-04-12 00:00:00,16021.55,0.00
2026-04-12 01:00:00,1296.27,0.00
2026-04-12 02:00:00,305561.15,0.00
2026-04-12 03:00:00,11514.06,0.00
2026-04-12 04:00:00,10634.57,0.00
2026-04-12 05:00:00,0.00,451.53
2026-04-12 06:00:00,0.00,18443.33
2026-04-12 07:00:00,0.00,809.32
2026-04-12 08:00:00,1009.83,0.00
2026-04-12 09:00:00,999.71,0.00
2026-04-12 11:00:00,4199.59,0.00
2026-04-12 12:00:00,6.41,0.00
2026-04-12 13:00:00,0.00,161.92
