time,liq_long_usd,liq_short_usd
2026-04-05 14:00:00,47.61,0.00
2026-04-07 00:00:00,5974.58,0.00
2026-04-07 13:00:00,2851.89,0.00
2026-04-07 21:00:00,0.00,7.91
2026-04-07 23:00:00,0.00,135.16
2026-04-08 00:00:00,0.00,3.86
2026-04-08 12:00:00,598.44,0.00
2026-04-08 18:00:00,0.00,6.72
2026-04-09 12:00:00,44.67,0.00
2026-04-10 11:00:00,193.52,99.88
2026-04-11 23:00:00,0.00,45.93
2026-04-12 00:00:00,4262.21,0.00
2026-04-12 02:00:00,11.59,0.00
2026-04-12 21:00:00,0.00,1808.23
2026-04-12 22:00:00,0.00,98.09
2026-04-13 08:00:00,1248.13,0.00
2026-04-13 11:00:00,24444.01,0.00
2026-04-13 16:00:00,553.99,0.00
2026-04-13 20:00:00,163.84,0.00
2026-04-13 21:00:00,0.00,55.40
2026-04-13 23:00:00,0.00,248.92
2026-04-14 00:00:00,0.00,3569.30
2026-04-14 09:00:00,2.02,0.00
2026-04-14 14:00:00,0.00,251.04
2026-04-14 18:00:00,5.53,0.00
2026-04-15 02:00:00,0.00,20.30
2026-04-16 07:00:00,26482.88,6.89
2026-04-16 09:00:00,27.50,0.00
2026-04-16 13:00:00,0.00,19.23
2026-04-16 17:00:00,0.00,16745.87
2026-04-16 18:00:00,0.00,408.94
2026-04-16 19:00:00,0.00,552.11
2026-04-16 20:00:00,0.00,400.04
2026-04-16 23:00:00,0.00,45811.94
2026-04-17 09:00:00,0.00,338.98
2026-04-18 01:00:00,0.00,21.79
2026-04-18 02:00:00,5.58,0.00
2026-04-18 06:00:00,0.00,17953.25
2026-04-18 08:00:00,0.00,17897.59
2026-04-18 17:00:00,0.00,9.86
2026-04-18 20:00:00,3518.08,0.00
2026-04-19 01:00:00,88.74,0.00
2026-04-19 08:00:00,30.46,0.00
2026-04-20 14:00:00,0.00,6.89
2026-04-20 16:00:00,0.00,5.30
2026-04-20 19:00:00,0.00,138.54
2026-04-20 22:00:00,0.00,597.68
2026-04-21 15:00:00,0.00,3207.60
2026-04-23 01:00:00,5.95,0.00
2026-04-23 02:00:00,11126.75,0.00
2026-04-23 16:00:00,0.00,15.85
2026-04-24 15:00:00,388.15,0.00
2026-04-25 04:00:00,0.00,23355.62
2026-04-27 03:00:00,0.00,186.95
2026-04-27 06:00:00,175.06,0.00
2026-04-27 20:00:00,3580.67,0.00
2026-04-28 12:00:00,1705.12,0.00
2026-04-28 17:00:00,0.00,5.53
2026-04-29 16:00:00,127.95,0.00
2026-04-29 17:00:00,164.53,0.00
2026-04-29 19:00:00,668.72,0.00
2026-04-30 16:00:00,311.73,0.00
2026-04-30 17:00:00,205.67,0.00
2026-05-01 10:00:00,0.00,10042.15
2026-05-01 15:00:00,0.00,20.03
2026-05-02 06:00:00,34.48,0.00
2026-05-02 12:00:00,0.00,4461.93
2026-05-02 14:00:00,0.00,86.35
2026-05-02 15:00:00,0.00,154.45
2026-05-03 02:00:00,6.74,0.00
2026-05-03 09:00:00,0.00,35.02
2026-05-04 03:00:00,0.00,53.85
2026-05-04 11:00:00,304.49,0.00
2026-05-04 15:00:00,0.00,17.41
2026-05-04 20:00:00,125.00,0.00
2026-05-04 21:00:00,125.04,0.00
2026-05-04 23:00:00,124.63,0.00
2026-05-05 00:00:00,125.14,0.00
2026-05-05 08:00:00,0.00,107.53
2026-05-05 21:00:00,0.00,61.84
2026-05-05 22:00:00,0.00,5.88
2026-05-06 04:00:00,0.00,470.57
2026-05-06 08:00:00,1.19,14.28
2026-05-06 14:00:00,0.00,50.99
2026-05-07 01:00:00,20.77,0.00
2026-05-07 11:00:00,2901.03,0.00
2026-05-07 20:00:00,9.68,0.00
2026-05-07 22:00:00,84.81,0.00
2026-05-08 05:00:00,0.00,7.28
2026-05-08 19:00:00,0.00,290.10
2026-05-08 22:00:00,0.00,303.80
2026-05-09 01:00:00,0.00,242.99
2026-05-09 10:00:00,103.67,0.00
2026-05-09 11:00:00,0.00,6.95
2026-05-10 06:00:00,1.89,0.00
2026-05-10 08:00:00,0.00,864.17
2026-05-10 17:00:00,0.00,4999.38
2026-05-10 21:00:00,489.22,19.01
2026-05-11 16:00:00,0.00,1498.79
2026-05-11 19:00:00,0.00,44.80
2026-05-12 02:00:00,61.54,0.00
2026-05-12 15:00:00,4.40,0.00
2026-05-13 14:00:00,218.19,0.00
2026-05-13 16:00:00,85.85,0.00
2026-05-14 16:00:00,0.00,18.01
2026-05-14 17:00:00,25.51,0.00
2026-05-14 21:00:00,0.00,2647.27
2026-05-15 06:00:00,1526.03,0.00
2026-05-15 14:00:00,5.80,0.00
2026-05-16 01:00:00,0.00,547.77
2026-05-16 05:00:00,0.00,1087.36
2026-05-16 07:00:00,5.76,0.00
2026-05-16 08:00:00,1169.31,0.00
2026-05-16 10:00:00,14.06,0.00
2026-05-16 11:00:00,113.67,0.00
2026-05-17 02:00:00,2.82,0.00
2026-05-17 04:00:00,0.00,9.72
2026-05-18 00:00:00,4151.86,0.00
