time,liq_long_usd,liq_short_usd
2026-04-04 08:00:00,33.22,0.00
2026-04-04 09:00:00,435.98,0.00
2026-04-04 14:00:00,299.71,0.00
2026-04-04 15:00:00,0.00,115.49
2026-04-04 16:00:00,4.90,5.99
2026-04-04 17:00:00,0.00,6.14
2026-04-04 18:00:00,0.00,140.93
2026-04-04 20:00:00,6.60,0.00
2026-04-04 21:00:00,75.30,10.19
2026-04-04 22:00:00,57.49,8.80
2026-04-05 01:00:00,2650.71,0.00
2026-04-05 02:00:00,149.64,0.00
2026-04-05 03:00:00,2412.72,0.00
2026-04-05 07:00:00,233.05,0.00
2026-04-05 08:00:00,0.00,6.44
2026-04-05 11:00:00,192.52,0.00
2026-04-05 13:00:00,1073.27,18.92
2026-04-05 15:00:00,6.22,0.00
2026-04-06 00:00:00,100.67,541.75
2026-04-06 09:00:00,6.85,0.00
2026-04-06 11:00:00,4707.22,0.00
2026-04-06 13:00:00,0.00,290.57
2026-04-06 14:00:00,0.00,98.95
2026-04-06 16:00:00,0.00,121.59
2026-04-06 17:00:00,0.00,259.21
2026-04-06 18:00:00,0.00,5.89
2026-04-06 20:00:00,0.00,72.26
2026-04-06 21:00:00,0.00,5975.33
2026-04-06 23:00:00,25.27,0.00
2026-04-07 01:00:00,130.38,0.00
2026-04-07 02:00:00,9.61,0.00
2026-04-07 08:00:00,0.00,528.38
2026-04-07 10:00:00,16.84,0.00
2026-04-07 11:00:00,9.84,0.00
2026-04-07 12:00:00,185.25,0.00
2026-04-07 13:00:00,194.47,0.00
2026-04-07 15:00:00,0.00,172.69
2026-04-07 17:00:00,41.39,103.78
2026-04-07 19:00:00,0.00,236.99
2026-04-07 20:00:00,0.00,157.39
2026-04-07 22:00:00,0.00,186.15
2026-04-07 23:00:00,0.00,1234.24
2026-04-08 00:00:00,5.99,0.00
2026-04-08 01:00:00,0.00,631.49
2026-04-08 02:00:00,0.00,2073.93
2026-04-08 03:00:00,0.00,138.49
2026-04-08 04:00:00,0.00,9.59
2026-04-08 05:00:00,3386.28,765.39
2026-04-08 06:00:00,3118.15,0.00
2026-04-08 12:00:00,6996.67,0.00
2026-04-08 14:00:00,4.95,0.00
2026-04-08 15:00:00,1192.68,0.00
2026-04-08 16:00:00,5.08,10.41
2026-04-08 17:00:00,1907.49,0.00
2026-04-09 00:00:00,105.57,0.00
2026-04-09 02:00:00,299.48,0.00
2026-04-09 06:00:00,29.28,0.00
2026-04-09 09:00:00,0.44,140.66
2026-04-09 10:00:00,0.00,58.86
2026-04-09 11:00:00,383.45,77.37
2026-04-09 12:00:00,0.00,142.54
2026-04-09 13:00:00,74.93,3642.42
2026-04-09 14:00:00,26.06,10801.01
2026-04-09 15:00:00,2220.97,0.00
2026-04-09 16:00:00,0.00,704.17
2026-04-09 17:00:00,0.00,40.47
2026-04-09 18:00:00,0.00,74.96
2026-04-09 19:00:00,35.13,3589.30
2026-04-09 20:00:00,0.00,270.33
2026-04-09 21:00:00,4703.91,0.00
2026-04-09 22:00:00,10.25,1045.71
2026-04-09 23:00:00,2069.14,862.66
2026-04-10 00:00:00,0.00,451.74
2026-04-10 01:00:00,105.02,2956.47
2026-04-10 02:00:00,5.24,0.00
2026-04-10 03:00:00,27.93,0.00
2026-04-10 04:00:00,126.18,0.00
2026-04-10 05:00:00,0.00,119.12
2026-04-10 06:00:00,0.00,43.07
2026-04-10 10:00:00,0.00,1254.93
2026-04-10 11:00:00,168.98,1090.42
2026-04-10 13:00:00,0.00,555.56
2026-04-10 14:00:00,1958.00,1471.60
2026-04-10 15:00:00,434.69,1212.81
2026-04-10 16:00:00,0.00,534.32
2026-04-10 17:00:00,919.90,411.89
2026-04-10 19:00:00,96.54,0.00
2026-04-10 20:00:00,579.49,0.00
2026-04-10 21:00:00,213.32,0.00
2026-04-10 23:00:00,6.41,0.00
2026-04-11 02:00:00,148.32,5.11
2026-04-11 03:00:00,0.00,31.96
2026-04-11 04:00:00,0.00,8.32
2026-04-11 05:00:00,256.63,27.91
2026-04-11 06:00:00,124.68,0.00
2026-04-11 08:00:00,134.83,0.00
2026-04-11 09:00:00,1840.56,0.00
2026-04-11 10:00:00,1322.63,874.33
2026-04-11 11:00:00,10.85,5.42
2026-04-11 13:00:00,0.00,20.12
2026-04-11 14:00:00,5.22,0.00
2026-04-11 15:00:00,0.00,204.91
2026-04-11 16:00:00,0.00,2797.81
2026-04-11 17:00:00,0.00,760.88
2026-04-11 18:00:00,10.33,632.17
2026-04-11 19:00:00,0.00,7227.46
2026-04-11 20:00:00,0.00,3632.02
2026-04-11 21:00:00,59.21,1002.29
2026-04-11 23:00:00,185.19,437.20
2026-04-12 02:00:00,1027.93,0.00
2026-04-12 05:00:00,2340.30,1625.49
2026-04-12 06:00:00,0.00,114.00
2026-04-12 07:00:00,2586.64,4717.17
2026-04-12 08:00:00,98.56,0.00
2026-04-12 11:00:00,44.07,0.00
2026-04-12 12:00:00,0.00,35.82
2026-04-12 13:00:00,185.27,6.03
2026-04-12 14:00:00,412.69,0.00
2026-04-12 15:00:00,221.53,0.00
2026-04-12 16:00:00,33.86,33.48
2026-04-12 17:00:00,795.46,0.00
2026-04-12 18:00:00,1136.88,67.00
2026-04-12 19:00:00,0.00,1621.43
2026-04-12 20:00:00,464.76,0.00
2026-04-12 22:00:00,133.11,389.43
2026-04-12 23:00:00,0.00,9.51
2026-04-13 00:00:00,3746.50,0.00
2026-04-13 02:00:00,15.06,0.00
2026-04-13 03:00:00,0.00,23.22
2026-04-13 05:00:00,9.25,0.00
2026-04-13 07:00:00,1003.23,79.03
