time,liq_long_usd,liq_short_usd
2026-04-03 07:00:00,101.32,0.00
2026-04-03 08:00:00,199.16,0.00
2026-04-03 11:00:00,32.88,0.00
2026-04-03 14:00:00,0.00,1751.71
2026-04-03 16:00:00,122.68,0.00
2026-04-04 05:00:00,10.02,0.00
2026-04-05 08:00:00,0.00,98.01
2026-04-05 13:00:00,5151.52,0.00
2026-04-05 14:00:00,49.11,0.00
2026-04-05 16:00:00,0.00,197.80
2026-04-06 00:00:00,0.14,0.68
2026-04-06 14:00:00,510.82,0.00
2026-04-06 20:00:00,53.63,0.00
2026-04-06 23:00:00,25.44,0.00
2026-04-07 01:00:00,94.99,0.00
2026-04-07 02:00:00,9.47,0.00
2026-04-07 16:00:00,95.71,0.00
2026-04-07 20:00:00,45.90,0.00
2026-04-07 21:00:00,0.00,6.73
2026-04-07 23:00:00,0.00,223.71
2026-04-08 14:00:00,14.12,0.00
2026-04-08 16:00:00,0.00,100.60
2026-04-09 00:00:00,17.89,0.00
2026-04-09 01:00:00,161.00,0.00
2026-04-09 03:00:00,188.77,0.00
2026-04-09 07:00:00,0.00,19.41
2026-04-09 09:00:00,0.00,4107.44
2026-04-09 11:00:00,51.11,0.00
2026-04-09 23:00:00,21.97,0.00
2026-04-10 00:00:00,4.85,0.00
2026-04-10 01:00:00,25.17,0.00
2026-04-10 11:00:00,496.84,0.00
2026-04-11 03:00:00,994.80,0.01
2026-04-11 04:00:00,92.11,0.00
2026-04-11 17:00:00,0.08,0.00
2026-04-11 22:00:00,0.00,156.67
2026-04-12 02:00:00,2231.60,0.00
2026-04-12 07:00:00,611.53,0.00
2026-04-12 18:00:00,8.19,0.00
2026-04-12 19:00:00,97.37,0.00
2026-04-12 21:00:00,8.26,0.00
2026-04-12 22:00:00,363.97,0.00
2026-04-12 23:00:00,964.29,0.00
2026-04-13 01:00:00,58.10,0.00
2026-04-13 05:00:00,98.73,0.00
2026-04-13 08:00:00,320.12,0.94
2026-04-13 11:00:00,242.67,107.37
2026-04-13 13:00:00,5.69,0.00
2026-04-14 00:00:00,0.00,25.81
2026-04-14 01:00:00,14.80,0.00
2026-04-14 08:00:00,399.93,0.00
2026-04-14 16:00:00,38885.36,7.68
2026-04-14 17:00:00,28.54,0.00
2026-04-15 01:00:00,406.11,0.00
2026-04-15 02:00:00,0.00,15.20
2026-04-15 12:00:00,0.00,17.95
2026-04-15 18:00:00,0.00,6.99
2026-04-15 22:00:00,0.00,0.07
2026-04-16 02:00:00,0.00,5.57
2026-04-16 05:00:00,0.00,1915.82
2026-04-16 07:00:00,0.00,7.25
2026-04-16 12:00:00,62.12,0.00
2026-04-16 13:00:00,0.00,419.45
2026-04-16 14:00:00,0.00,504.77
2026-04-16 15:00:00,245.41,0.00
2026-04-16 20:00:00,0.00,40.31
2026-04-17 01:00:00,26.80,0.00
2026-04-17 02:00:00,5.32,0.00
2026-04-17 08:00:00,0.00,419.71
2026-04-17 09:00:00,8.72,0.00
2026-04-17 11:00:00,584.47,1080.50
2026-04-17 12:00:00,1503.66,0.00
2026-04-17 14:00:00,22.04,77.04
2026-04-17 15:00:00,0.00,25.67
2026-04-17 17:00:00,111.51,32.72
2026-04-18 01:00:00,176.37,99.51
2026-04-18 07:00:00,1554.38,205.28
2026-04-18 08:00:00,0.00,24.95
2026-04-18 09:00:00,822.20,7112.70
2026-04-18 10:00:00,6652.29,2138.81
2026-04-18 11:00:00,129.85,777.33
2026-04-18 12:00:00,3167.75,0.00
2026-04-18 13:00:00,6529.68,0.00
2026-04-18 14:00:00,76.26,0.00
2026-04-18 16:00:00,131.29,0.00
2026-04-18 17:00:00,96.74,0.00
2026-04-18 18:00:00,70.01,0.00
2026-04-18 19:00:00,5492.71,0.00
2026-04-18 21:00:00,2039.06,0.00
2026-04-19 01:00:00,45.93,0.00
2026-04-19 02:00:00,9.56,0.00
2026-04-19 03:00:00,36.63,0.00
2026-04-19 04:00:00,0.00,19.91
2026-04-19 09:00:00,0.00,44.52
2026-04-19 14:00:00,115.69,0.00
2026-04-19 16:00:00,97.01,22.13
2026-04-19 18:00:00,394.02,0.00
