time,liq_long_usd,liq_short_usd
2026-04-05 07:00:00,22.69,0.00
2026-04-05 08:00:00,0.00,143.09
2026-04-05 09:00:00,5.73,0.00
2026-04-05 10:00:00,106.08,0.00
2026-04-05 13:00:00,732.63,0.00
2026-04-05 14:00:00,2606.60,460.33
2026-04-05 15:00:00,255.33,0.00
2026-04-05 16:00:00,24.67,0.00
2026-04-05 17:00:00,10.62,6.10
2026-04-05 19:00:00,276.84,0.00
2026-04-05 20:00:00,214.93,76.86
2026-04-05 22:00:00,2.77,0.00
2026-04-06 00:00:00,0.28,0.14
2026-04-06 02:00:00,0.00,64.64
2026-04-06 03:00:00,2.75,0.00
2026-04-06 07:00:00,14.69,0.00
2026-04-06 08:00:00,22.51,0.00
2026-04-06 17:00:00,9373.71,18931.61
2026-04-06 18:00:00,45354.43,61989.20
2026-04-06 19:00:00,45035.16,25469.19
2026-04-06 20:00:00,34683.18,40865.04
2026-04-06 21:00:00,34069.79,7830.51
2026-04-06 22:00:00,9564.79,7024.91
2026-04-06 23:00:00,7461.45,2851.29
2026-04-07 00:00:00,4228.88,3595.87
2026-04-07 01:00:00,2045.68,5139.77
2026-04-07 02:00:00,4451.87,5299.78
2026-04-07 03:00:00,18514.20,17536.70
2026-04-07 04:00:00,2719.80,5109.94
2026-04-07 05:00:00,6251.63,6153.21
2026-04-07 06:00:00,12948.35,770.35
2026-04-07 07:00:00,12601.98,7720.05
2026-04-07 08:00:00,10588.61,10114.40
2026-04-07 09:00:00,3037.34,3610.95
2026-04-07 10:00:00,13283.96,3946.72
2026-04-07 11:00:00,456.47,522.65
2026-04-07 12:00:00,363.17,312.84
2026-04-07 13:00:00,7783.83,3938.20
2026-04-07 14:00:00,1000.35,114.37
2026-04-07 15:00:00,10280.33,4643.18
2026-04-07 16:00:00,6914.26,830.87
2026-04-07 17:00:00,2153.13,255.08
2026-04-07 18:00:00,5076.21,3138.32
2026-04-07 19:00:00,438.80,213.00
2026-04-07 20:00:00,52.68,3538.68
2026-04-07 21:00:00,0.00,1515.11
2026-04-07 22:00:00,11.25,4389.54
2026-04-07 23:00:00,66.04,7395.83
2026-04-08 00:00:00,1082.85,1770.03
2026-04-08 01:00:00,1706.72,109.43
2026-04-08 02:00:00,1537.49,1522.58
2026-04-08 03:00:00,1155.87,68.98
2026-04-08 04:00:00,11.43,0.00
2026-04-08 05:00:00,327.85,949.27
2026-04-08 06:00:00,0.00,1594.06
2026-04-08 07:00:00,495.79,3535.11
2026-04-08 08:00:00,1312.87,1413.46
2026-04-08 09:00:00,230.58,0.00
2026-04-08 10:00:00,3590.63,0.00
2026-04-08 11:00:00,37.58,22.15
2026-04-08 12:00:00,0.00,417.88
2026-04-08 13:00:00,45.77,0.00
2026-04-08 14:00:00,0.00,33.42
2026-04-08 15:00:00,1160.18,0.00
2026-04-08 16:00:00,4105.55,477.02
2026-04-08 17:00:00,131.05,0.03
2026-04-08 18:00:00,0.00,832.24
2026-04-08 19:00:00,0.00,2.14
2026-04-08 22:00:00,5.88,0.00
2026-04-08 23:00:00,719.40,0.00
2026-04-09 00:00:00,443.74,62.51
2026-04-09 01:00:00,2699.31,0.00
2026-04-09 02:00:00,6136.55,0.00
2026-04-09 03:00:00,13.78,0.00
2026-04-09 04:00:00,13.21,271.92
2026-04-09 05:00:00,0.00,20.40
2026-04-09 06:00:00,0.00,75.90
2026-04-09 07:00:00,1900.49,0.00
2026-04-09 09:00:00,9.65,7.67
2026-04-09 11:00:00,107.58,6501.94
2026-04-09 12:00:00,625.23,26.95
2026-04-09 13:00:00,2715.69,0.67
2026-04-09 14:00:00,103.85,49.05
2026-04-09 15:00:00,5.08,207.29
2026-04-09 16:00:00,0.00,67.70
2026-04-09 17:00:00,0.00,127.39
2026-04-09 18:00:00,19.85,0.00
2026-04-09 19:00:00,199.37,129.22
2026-04-09 21:00:00,6108.30,0.00
2026-04-09 23:00:00,18460.28,1.06
2026-04-10 00:00:00,20.07,309.64
2026-04-10 01:00:00,1365.84,0.00
2026-04-10 02:00:00,297.08,0.00
2026-04-10 03:00:00,1274.20,0.00
