time,liq_long_usd,liq_short_usd
2026-04-01 07:00:00,4011.24,10487.13
2026-04-01 08:00:00,2383.61,21495.89
2026-04-01 09:00:00,2402.88,24527.32
2026-04-01 10:00:00,3525.68,17102.52
2026-04-01 11:00:00,15818.30,41949.52
2026-04-01 12:00:00,453.21,11104.31
2026-04-01 13:00:00,3434.29,75008.81
2026-04-01 14:00:00,15916.79,56745.77
2026-04-01 15:00:00,13428.49,853.52
2026-04-01 16:00:00,7751.62,21664.69
2026-04-01 17:00:00,3040.04,4675.10
2026-04-01 18:00:00,3546.14,0.00
2026-04-01 19:00:00,114.39,2643.29
2026-04-01 20:00:00,2719.93,200.48
2026-04-01 21:00:00,13671.04,593.66
2026-04-01 22:00:00,4008.47,269.72
2026-04-01 23:00:00,2417.58,14299.40
2026-04-02 00:00:00,3054.82,10080.21
2026-04-02 01:00:00,13731.53,6014.61
2026-04-02 02:00:00,10618.55,983.58
2026-04-02 03:00:00,9093.29,2795.30
2026-04-02 04:00:00,130.10,244.22
2026-04-02 05:00:00,13323.41,959.19
2026-04-02 06:00:00,6820.78,2814.31
2026-04-02 07:00:00,499.51,841.56
2026-04-02 08:00:00,23.87,400.46
2026-04-02 09:00:00,717.13,483.21
2026-04-02 10:00:00,13572.27,4717.22
2026-04-02 11:00:00,6.86,1481.80
2026-04-02 12:00:00,3612.67,0.00
2026-04-02 13:00:00,406.82,254.24
2026-04-02 14:00:00,10118.66,14.71
2026-04-02 15:00:00,0.00,68.47
2026-04-02 16:00:00,14606.29,27.85
2026-04-02 17:00:00,486.01,0.00
2026-04-02 18:00:00,0.00,198.40
2026-04-02 19:00:00,224.59,0.00
2026-04-02 20:00:00,676.96,297.88
2026-04-02 21:00:00,0.00,133.78
2026-04-02 22:00:00,3055.43,0.00
2026-04-02 23:00:00,326.21,0.00
2026-04-03 01:00:00,12462.10,7419.32
2026-04-03 02:00:00,1.96,0.00
2026-04-03 03:00:00,232.14,6.07
2026-04-03 04:00:00,198.07,0.00
2026-04-03 05:00:00,154.13,172.83
2026-04-03 06:00:00,1466.18,766.03
2026-04-03 07:00:00,8.19,2114.34
2026-04-03 08:00:00,389.81,0.00
2026-04-03 09:00:00,0.00,108.06
2026-04-03 10:00:00,34.87,324.78
2026-04-03 13:00:00,572.94,0.00
2026-04-03 14:00:00,48.68,0.00
2026-04-03 17:00:00,1006.00,0.00
2026-04-03 22:00:00,351.13,0.00
2026-04-03 23:00:00,1148.44,0.00
2026-04-04 01:00:00,935.97,0.00
2026-04-04 08:00:00,362.05,0.00
2026-04-04 11:00:00,788.24,0.00
2026-04-04 12:00:00,21.14,0.00
2026-04-04 13:00:00,44.10,0.00
2026-04-04 14:00:00,84.13,0.00
2026-04-04 15:00:00,3409.27,0.00
2026-04-04 17:00:00,0.00,135.99
2026-04-04 18:00:00,833.84,0.00
2026-04-04 19:00:00,0.00,4.43
2026-04-04 20:00:00,4306.31,0.00
2026-04-04 22:00:00,1047.90,4.20
2026-04-05 01:00:00,359.42,0.00
2026-04-05 02:00:00,2356.69,0.00
2026-04-05 03:00:00,21.22,0.00
2026-04-05 05:00:00,137.14,0.00
2026-04-05 07:00:00,796.36,68.63
2026-04-05 08:00:00,536.81,34.47
2026-04-05 09:00:00,0.00,58.90
2026-04-05 13:00:00,791.94,0.00
2026-04-05 14:00:00,48.34,0.00
2026-04-06 00:00:00,0.02,0.00
2026-04-06 05:00:00,339.28,0.00
2026-04-06 07:00:00,13.29,0.00
2026-04-06 11:00:00,11.63,0.00
2026-04-06 14:00:00,3155.26,0.00
2026-04-06 16:00:00,0.00,98.48
2026-04-06 23:00:00,1753.28,0.00
2026-04-07 00:00:00,1303.62,0.00
2026-04-07 01:00:00,712.35,0.00
2026-04-07 03:00:00,430.76,0.00
2026-04-07 04:00:00,5.56,0.00
2026-04-07 08:00:00,192.96,0.00
2026-04-07 11:00:00,54.38,0.00
2026-04-07 12:00:00,1995.47,0.00
2026-04-07 13:00:00,4903.06,0.00
2026-04-07 22:00:00,360.86,0.00
2026-04-08 00:00:00,0.00,936.53
2026-04-08 03:00:00,0.09,0.00
2026-04-08 16:00:00,9.93,0.00
2026-04-08 22:00:00,7352.76,23824.42
2026-04-08 23:00:00,983.72,858.08
2026-04-09 00:00:00,797.43,793.38
2026-04-09 01:00:00,2296.14,0.00
2026-04-09 03:00:00,84.48,109.54
2026-04-09 04:00:00,5796.23,6178.00
2026-04-09 05:00:00,18338.41,21216.27
2026-04-09 06:00:00,20535.27,6829.13
2026-04-09 07:00:00,20450.65,23067.79
2026-04-09 08:00:00,2712.70,7541.20
2026-04-09 09:00:00,1173.77,22298.40
2026-04-09 10:00:00,5097.85,14592.20
2026-04-09 11:00:00,23940.37,19748.96
2026-04-09 12:00:00,5569.94,7325.88
2026-04-09 13:00:00,16323.54,12310.73
2026-04-09 14:00:00,4172.75,1670.56
2026-04-09 15:00:00,1207.02,762.63
2026-04-09 16:00:00,223.14,6585.93
2026-04-09 17:00:00,3337.40,204.16
2026-04-09 18:00:00,2924.79,1741.00
2026-04-09 19:00:00,789.18,9834.21
2026-04-09 20:00:00,46.86,1063.15
2026-04-09 21:00:00,366.50,8318.88
2026-04-09 22:00:00,0.00,807.49
2026-04-09 23:00:00,4308.82,13062.45
2026-04-10 00:00:00,17847.57,0.00
2026-04-10 01:00:00,30380.26,962.47
2026-04-10 02:00:00,0.00,336.92
2026-04-10 03:00:00,770.74,0.00
2026-04-10 04:00:00,1161.01,0.00
2026-04-10 05:00:00,489.10,0.00
2026-04-10 06:00:00,40.22,0.00
2026-04-10 07:00:00,0.00,336.20
