time,liq_long_usd,liq_short_usd
2026-03-29 14:00:00,6650.25,0.00
2026-03-29 15:00:00,595.69,0.00
2026-03-29 18:00:00,1106.76,0.00
2026-03-29 23:00:00,23536.21,0.00
2026-03-30 06:00:00,0.00,10.53
2026-03-30 11:00:00,130.96,0.00
2026-03-30 12:00:00,0.00,105.72
2026-03-30 17:00:00,261.36,0.00
2026-03-30 18:00:00,107.84,0.00
2026-03-30 19:00:00,209.39,0.00
2026-03-31 10:00:00,700.70,0.00
2026-03-31 15:00:00,0.00,12.98
2026-04-01 07:00:00,0.00,6.41
2026-04-01 09:00:00,0.00,47.69
2026-04-01 10:00:00,0.00,6.32
2026-04-01 14:00:00,14.72,0.00
2026-04-01 15:00:00,118.75,0.00
2026-04-01 18:00:00,4.98,0.00
2026-04-01 23:00:00,6178.78,0.00
2026-04-02 02:00:00,2350.55,0.00
2026-04-02 03:00:00,1271.20,0.00
2026-04-02 04:00:00,738.11,0.00
2026-04-02 06:00:00,33.11,0.00
2026-04-02 09:00:00,158.59,0.00
2026-04-02 14:00:00,720.78,0.00
2026-04-02 17:00:00,87.18,0.00
2026-04-02 19:00:00,47.04,0.00
2026-04-03 03:00:00,0.00,5.42
2026-04-03 13:00:00,0.00,13.86
2026-04-04 03:00:00,213.37,0.00
2026-04-04 06:00:00,49.87,0.00
2026-04-04 15:00:00,3789.37,0.00
2026-04-05 06:00:00,39.84,0.00
2026-04-05 07:00:00,210.02,0.00
2026-04-05 12:00:00,0.00,7.45
2026-04-05 13:00:00,599.85,0.00
2026-04-05 14:00:00,49.39,103.41
2026-04-05 17:00:00,5.44,0.00
2026-04-05 23:00:00,0.00,6659.09
2026-04-06 00:00:00,0.00,6.62
2026-04-06 01:00:00,0.00,3597.80
2026-04-06 03:00:00,20.02,263.38
2026-04-06 09:00:00,0.00,88.23
2026-04-06 10:00:00,0.00,8.03
2026-04-06 11:00:00,0.00,2135.42
2026-04-06 12:00:00,0.00,284.43
2026-04-06 17:00:00,1252.69,0.00
2026-04-06 18:00:00,5.15,0.00
2026-04-06 23:00:00,68.62,0.00
2026-04-07 00:00:00,1000.44,0.00
2026-04-07 01:00:00,284.04,0.00
2026-04-07 02:00:00,0.00,2464.28
2026-04-07 07:00:00,717.37,0.00
2026-04-07 10:00:00,2639.65,0.00
2026-04-07 16:00:00,0.00,1213.99
2026-04-07 21:00:00,0.00,646.09
2026-04-07 22:00:00,0.00,19.29
2026-04-07 23:00:00,0.00,1181.88
2026-04-08 00:00:00,0.00,678.28
2026-04-08 01:00:00,8.03,0.00
2026-04-08 05:00:00,174.07,45.27
2026-04-08 07:00:00,0.00,690.09
2026-04-08 10:00:00,120.33,0.00
2026-04-08 12:00:00,5.10,0.00
2026-04-08 20:00:00,147.46,0.00
2026-04-09 00:00:00,1811.64,0.00
2026-04-09 01:00:00,314.84,0.00
2026-04-09 09:00:00,7.06,0.00
2026-04-09 11:00:00,7.77,0.00
2026-04-09 23:00:00,13.87,21.97
2026-04-10 04:00:00,2.82,0.00
2026-04-10 11:00:00,6554.29,0.00
2026-04-10 16:00:00,9.83,0.00
2026-04-11 02:00:00,0.00,5.84
2026-04-11 03:00:00,0.01,0.00
2026-04-11 05:00:00,2597.43,0.00
2026-04-11 16:00:00,92.37,0.00
