time,liq_long_usd,liq_short_usd
2026-04-01 07:00:00,0.00,19.71
2026-04-01 09:00:00,0.00,87.37
2026-04-01 13:00:00,0.00,50.66
2026-04-01 14:00:00,425.81,402.00
2026-04-01 23:00:00,1.40,0.00
2026-04-02 02:00:00,1399.19,0.00
2026-04-02 03:00:00,1983.60,0.00
2026-04-02 04:00:00,930.66,0.00
2026-04-02 05:00:00,5459.12,0.00
2026-04-02 06:00:00,651.09,2.68
2026-04-02 09:00:00,1.33,0.00
2026-04-02 10:00:00,82.44,58.50
2026-04-02 11:00:00,3177.72,0.00
2026-04-02 12:00:00,1467.06,0.00
2026-04-02 14:00:00,5389.69,0.00
2026-04-02 15:00:00,0.00,82.27
2026-04-02 17:00:00,63.89,0.00
2026-04-03 11:00:00,0.00,3390.96
2026-04-04 01:00:00,35.04,0.00
2026-04-04 09:00:00,0.00,5299.18
2026-04-04 10:00:00,0.00,192.25
2026-04-04 11:00:00,0.00,1945.54
2026-04-04 13:00:00,0.00,58.05
2026-04-04 17:00:00,0.00,230.04
2026-04-04 19:00:00,0.00,453.12
2026-04-04 21:00:00,146.58,0.00
2026-04-05 01:00:00,0.00,7.08
2026-04-05 04:00:00,32.46,0.00
2026-04-05 07:00:00,5.61,0.00
2026-04-05 08:00:00,1491.35,0.00
2026-04-05 10:00:00,0.00,7.03
2026-04-05 14:00:00,48.85,0.00
2026-04-05 21:00:00,0.00,261.37
2026-04-06 00:00:00,59.75,1038.50
2026-04-06 01:00:00,0.00,2748.63
2026-04-06 03:00:00,0.00,57.32
2026-04-06 09:00:00,432.90,2054.83
2026-04-06 10:00:00,0.00,56.25
2026-04-06 17:00:00,111.56,0.00
2026-04-06 18:00:00,398.43,58.76
2026-04-06 22:00:00,2905.36,0.00
2026-04-06 23:00:00,8.48,0.00
2026-04-07 00:00:00,550.22,0.00
2026-04-07 01:00:00,148.02,0.00
2026-04-07 03:00:00,142.19,0.00
2026-04-07 04:00:00,5.70,0.00
2026-04-07 18:00:00,0.00,4844.36
2026-04-07 19:00:00,21.74,0.00
2026-04-07 21:00:00,0.00,40.81
2026-04-07 22:00:00,0.00,6895.26
2026-04-07 23:00:00,25.82,14026.12
2026-04-08 00:00:00,0.00,6537.85
2026-04-08 13:00:00,0.00,2673.51
2026-04-08 15:00:00,74.28,0.00
2026-04-08 16:00:00,147.97,505.17
2026-04-09 00:00:00,1659.02,0.00
2026-04-09 01:00:00,1934.60,0.00
2026-04-09 02:00:00,2978.87,0.00
2026-04-09 03:00:00,0.00,308.32
2026-04-09 07:00:00,3022.68,0.00
2026-04-09 09:00:00,523.59,0.00
2026-04-09 11:00:00,0.00,86.14
2026-04-09 16:00:00,0.00,5.99
2026-04-09 19:00:00,65.58,0.00
2026-04-09 21:00:00,44.78,0.00
2026-04-09 23:00:00,0.00,63.99
2026-04-10 01:00:00,0.00,375.18
2026-04-10 10:00:00,0.00,1571.79
2026-04-10 11:00:00,0.00,97.28
2026-04-10 15:00:00,0.00,8373.01
2026-04-10 16:00:00,0.00,754.96
2026-04-10 18:00:00,0.00,245.53
2026-04-10 23:00:00,21.10,0.00
2026-04-11 01:00:00,85.57,0.00
2026-04-11 02:00:00,0.00,404.63
2026-04-11 03:00:00,0.00,64.69
2026-04-11 09:00:00,4.46,0.00
2026-04-11 16:00:00,0.00,206.90
2026-04-11 19:00:00,0.00,1604.89
2026-04-11 20:00:00,16.55,0.00
2026-04-12 02:00:00,1684.46,0.00
2026-04-12 06:00:00,30.75,0.00
2026-04-12 07:00:00,267.53,0.00
2026-04-12 13:00:00,0.00,5.85
2026-04-12 15:00:00,180.69,0.00
2026-04-12 17:00:00,58.30,0.00
2026-04-12 18:00:00,0.00,256.43
2026-04-12 19:00:00,0.00,114.19
2026-04-12 22:00:00,180.33,0.00
2026-04-12 23:00:00,799.55,0.00
2026-04-13 00:00:00,0.00,139.99
2026-04-13 03:00:00,0.00,476.06
2026-04-13 05:00:00,2121.48,0.00
2026-04-13 06:00:00,633.70,0.00
2026-04-13 08:00:00,152.37,95.60
2026-04-13 09:00:00,0.00,748.70
2026-04-13 13:00:00,5.99,0.00
2026-04-13 16:00:00,0.00,253.34
2026-04-13 18:00:00,0.00,938.99
2026-04-13 19:00:00,9.53,4592.79
2026-04-13 20:00:00,0.00,26.89
2026-04-13 22:00:00,0.00,193.84
2026-04-13 23:00:00,36.62,23.88
2026-04-14 00:00:00,0.00,38.02
2026-04-14 01:00:00,0.00,9.47
2026-04-14 03:00:00,146.54,0.00
2026-04-14 06:00:00,177.46,0.00
2026-04-14 07:00:00,0.00,802.58
2026-04-14 10:00:00,43.98,56.54
2026-04-14 13:00:00,0.00,4310.20
2026-04-14 14:00:00,0.00,22039.87
2026-04-14 15:00:00,3344.38,3309.02
2026-04-14 16:00:00,611.02,0.00
2026-04-14 17:00:00,1217.60,0.00
2026-04-14 18:00:00,6.37,4082.35
2026-04-14 19:00:00,3960.66,0.00
2026-04-14 20:00:00,33.22,0.00
2026-04-14 21:00:00,9329.40,0.00
2026-04-14 23:00:00,0.00,87.62
2026-04-15 00:00:00,77.95,0.00
2026-04-15 02:00:00,0.00,30.05
2026-04-15 03:00:00,0.00,15.80
2026-04-15 06:00:00,632.59,49.65
2026-04-15 12:00:00,196.31,0.00
2026-04-15 13:00:00,697.35,0.00
2026-04-15 16:00:00,0.00,120.05
2026-04-15 17:00:00,5130.03,0.00
2026-04-15 19:00:00,471.20,0.00
2026-04-15 20:00:00,0.00,72.15
2026-04-15 22:00:00,4779.30,0.00
2026-04-16 00:00:00,137.57,0.00
2026-04-16 03:00:00,25.50,202.43
2026-04-16 05:00:00,0.00,62.47
2026-04-16 07:00:00,0.00,6.45
2026-04-16 08:00:00,0.00,194.52
2026-04-16 11:00:00,34.86,0.00
2026-04-16 13:00:00,0.00,14.38
2026-04-16 14:00:00,757.62,37.80
2026-04-16 16:00:00,0.00,588.44
2026-04-16 17:00:00,0.00,62.13
2026-04-16 19:00:00,0.00,8160.39
2026-04-16 21:00:00,453.40,0.00
2026-04-17 00:00:00,99.24,265.18
2026-04-17 01:00:00,0.00,6.46
2026-04-17 02:00:00,19.35,0.00
2026-04-17 06:00:00,22.37,0.00
2026-04-17 08:00:00,0.00,147.73
2026-04-17 09:00:00,4872.49,9.73
2026-04-17 14:00:00,0.00,316.44
2026-04-17 15:00:00,0.00,860.39
2026-04-17 16:00:00,0.00,4407.59
2026-04-17 17:00:00,9000.28,0.00
2026-04-17 18:00:00,544.74,0.00
2026-04-17 19:00:00,371.83,0.00
2026-04-18 00:00:00,600.87,0.00
2026-04-18 01:00:00,273.48,14.31
2026-04-18 02:00:00,586.01,0.00
2026-04-18 04:00:00,4154.67,0.00
