time,liq_long_usd,liq_short_usd
2026-04-01 07:00:00,0.00,2819.99
2026-04-01 09:00:00,0.00,135.25
2026-04-01 12:00:00,0.00,2320.06
2026-04-01 13:00:00,0.00,1496.74
2026-04-01 14:00:00,0.00,10578.03
2026-04-01 15:00:00,96.12,0.00
2026-04-01 16:00:00,0.00,71.36
2026-04-01 17:00:00,2482.10,0.00
2026-04-01 18:00:00,5.11,0.00
2026-04-01 19:00:00,0.00,353.54
2026-04-01 22:00:00,0.00,103.38
2026-04-01 23:00:00,0.00,45.94
2026-04-02 01:00:00,0.00,17.76
2026-04-02 02:00:00,0.00,440.23
2026-04-02 03:00:00,99.48,5880.92
2026-04-02 06:00:00,0.00,9538.38
2026-04-02 07:00:00,0.00,87.80
2026-04-02 09:00:00,0.00,2896.89
2026-04-02 10:00:00,4.81,7837.55
2026-04-02 11:00:00,0.00,112.03
2026-04-02 21:00:00,0.00,264.71
2026-04-02 23:00:00,95.47,0.00
2026-04-03 01:00:00,135.90,11.74
2026-04-03 02:00:00,126.02,53.75
2026-04-03 03:00:00,0.00,5.03
2026-04-03 06:00:00,0.00,20.01
2026-04-03 08:00:00,0.00,1201.72
2026-04-03 10:00:00,0.00,105.02
2026-04-03 11:00:00,0.00,571.21
2026-04-03 12:00:00,0.00,22.42
2026-04-03 13:00:00,0.00,126.77
2026-04-03 16:00:00,0.00,211.28
2026-04-03 19:00:00,6.29,0.00
2026-04-03 22:00:00,0.00,313.19
2026-04-04 03:00:00,0.00,1144.03
2026-04-04 05:00:00,0.00,10.36
2026-04-04 08:00:00,0.00,420.59
2026-04-04 11:00:00,25.79,13190.22
2026-04-04 12:00:00,49.08,4125.86
2026-04-04 13:00:00,376.73,10277.58
2026-04-04 14:00:00,4947.52,1541.10
2026-04-04 15:00:00,746.21,1724.45
2026-04-04 16:00:00,0.00,259.22
2026-04-04 17:00:00,13.18,5016.16
2026-04-04 18:00:00,11.23,852.71
2026-04-04 19:00:00,8.38,762.50
2026-04-04 20:00:00,0.00,842.56
2026-04-04 21:00:00,464.45,4264.84
2026-04-04 22:00:00,399.30,3746.24
2026-04-04 23:00:00,25.72,49.67
2026-04-05 00:00:00,27.52,0.00
2026-04-05 01:00:00,0.00,73.04
2026-04-05 02:00:00,11.08,0.00
2026-04-05 04:00:00,0.00,734.49
2026-04-05 06:00:00,0.00,391.40
2026-04-05 07:00:00,0.00,25.19
2026-04-05 10:00:00,133.57,1006.20
2026-04-05 11:00:00,402.47,49.81
2026-04-05 12:00:00,59.65,0.00
2026-04-05 14:00:00,48.83,0.00
2026-04-05 15:00:00,0.00,63.88
2026-04-05 16:00:00,80.41,444.52
2026-04-05 17:00:00,0.00,344.15
2026-04-05 18:00:00,0.00,6.70
2026-04-05 20:00:00,0.00,7.13
2026-04-05 21:00:00,0.00,44.75
2026-04-05 22:00:00,0.00,998.05
2026-04-06 00:00:00,0.00,1883.46
2026-04-06 01:00:00,0.00,44.38
2026-04-06 02:00:00,0.00,118.71
2026-04-06 03:00:00,0.00,8.02
2026-04-06 10:00:00,0.00,29.68
2026-04-06 11:00:00,0.00,88.86
2026-04-06 13:00:00,15.35,1152.53
2026-04-06 14:00:00,0.00,2060.04
2026-04-06 15:00:00,0.00,69.16
2026-04-06 16:00:00,207.49,4980.26
2026-04-07 00:00:00,0.00,13.31
2026-04-07 02:00:00,301.54,0.00
2026-04-07 03:00:00,0.00,5.68
2026-04-07 04:00:00,0.00,192.19
2026-04-07 06:00:00,6.97,0.00
2026-04-07 08:00:00,0.00,103.60
2026-04-07 14:00:00,0.00,420.88
2026-04-07 17:00:00,0.00,762.14
2026-04-07 19:00:00,0.00,395.79
2026-04-07 20:00:00,47.11,0.43
2026-04-07 21:00:00,587.70,500.19
2026-04-07 23:00:00,0.00,11.61
2026-04-08 00:00:00,399.85,32.96
2026-04-08 01:00:00,7.20,5.08
2026-04-08 04:00:00,0.00,474.45
2026-04-08 05:00:00,0.00,138.89
2026-04-08 07:00:00,0.00,8.74
2026-04-08 08:00:00,23.04,0.00
2026-04-08 10:00:00,0.00,16.11
2026-04-08 11:00:00,0.00,536.56
2026-04-08 14:00:00,58.98,21.68
2026-04-08 16:00:00,0.00,153.35
2026-04-08 22:00:00,0.00,10.28
2026-04-09 12:00:00,0.00,581.42
2026-04-09 13:00:00,71.37,0.00
2026-04-09 14:00:00,0.00,93.62
2026-04-09 15:00:00,1011.10,0.00
2026-04-09 17:00:00,2058.40,0.00
2026-04-09 19:00:00,0.00,130.39
2026-04-09 22:00:00,0.00,1321.72
2026-04-09 23:00:00,0.00,6840.00
2026-04-10 01:00:00,0.00,5.24
2026-04-10 06:00:00,0.00,1409.52
2026-04-10 08:00:00,0.00,25.91
2026-04-10 11:00:00,0.00,2435.53
2026-04-10 12:00:00,0.00,41.77
2026-04-10 13:00:00,0.00,11.96
2026-04-10 15:00:00,0.00,9.74
2026-04-10 18:00:00,14.78,1721.63
2026-04-11 01:00:00,0.00,104.11
2026-04-11 02:00:00,0.00,1208.83
2026-04-11 03:00:00,0.00,2150.15
2026-04-11 05:00:00,265.95,0.00
2026-04-11 06:00:00,150.99,0.00
2026-04-11 09:00:00,0.00,22.20
2026-04-11 14:00:00,1591.66,0.00
2026-04-11 15:00:00,1696.40,0.00
2026-04-11 16:00:00,0.00,62.93
2026-04-11 18:00:00,0.00,217.53
2026-04-11 20:00:00,0.00,1711.15
2026-04-11 23:00:00,0.00,512.43
2026-04-12 02:00:00,5.26,5.26
2026-04-12 04:00:00,98.34,0.00
2026-04-12 07:00:00,0.00,3283.96
2026-04-12 09:00:00,0.00,433.96
2026-04-12 11:00:00,0.00,5.42
2026-04-12 12:00:00,0.00,129.14
2026-04-12 13:00:00,1852.96,2125.30
2026-04-12 14:00:00,493.33,156.40
2026-04-12 16:00:00,0.00,85.30
2026-04-12 17:00:00,0.00,1079.80
2026-04-12 18:00:00,0.00,2431.73
2026-04-12 19:00:00,0.00,2415.76
2026-04-12 20:00:00,0.00,51.88
2026-04-12 21:00:00,80.85,2256.76
2026-04-12 22:00:00,1098.87,3213.08
2026-04-12 23:00:00,0.00,804.96
2026-04-13 00:00:00,0.92,64.63
2026-04-13 06:00:00,0.00,43.25
2026-04-13 07:00:00,18.92,671.16
2026-04-13 08:00:00,0.00,2752.44
2026-04-13 09:00:00,331.50,0.00
2026-04-13 11:00:00,0.00,195.44
2026-04-13 13:00:00,0.00,664.15
2026-04-13 14:00:00,362.14,0.00
2026-04-13 15:00:00,0.00,27.47
2026-04-13 20:00:00,0.00,1723.36
2026-04-13 22:00:00,6.37,0.00
2026-04-13 23:00:00,1524.58,5298.79
2026-04-14 00:00:00,358.48,469.01
2026-04-14 03:00:00,0.00,345.98
2026-04-14 08:00:00,2051.55,0.00
2026-04-14 09:00:00,12155.93,122.29
2026-04-14 10:00:00,126.49,3115.53
2026-04-14 12:00:00,0.00,1056.02
2026-04-14 13:00:00,0.00,99.12
2026-04-14 14:00:00,512.84,774.36
2026-04-14 15:00:00,104.18,70.72
2026-04-14 16:00:00,0.00,25.59
2026-04-14 17:00:00,15.03,0.00
2026-04-14 18:00:00,295.92,2452.00
2026-04-14 19:00:00,522.76,0.00
2026-04-14 21:00:00,1178.30,0.00
2026-04-14 22:00:00,20.01,0.00
2026-04-15 00:00:00,0.00,8.00
2026-04-15 01:00:00,0.00,28.80
2026-04-15 02:00:00,0.00,60.03
2026-04-15 06:00:00,499.64,0.00
2026-04-15 07:00:00,7.24,0.00
2026-04-15 09:00:00,35.73,399.90
2026-04-15 16:00:00,2486.55,0.00
2026-04-15 19:00:00,0.00,27.66
2026-04-15 20:00:00,0.00,451.49
2026-04-16 03:00:00,8.88,0.00
2026-04-16 05:00:00,0.00,5041.21
2026-04-16 07:00:00,0.00,6.80
2026-04-16 13:00:00,0.00,14.83
2026-04-16 14:00:00,14.85,0.00
2026-04-16 16:00:00,0.00,59.63
2026-04-16 17:00:00,0.00,395.37
2026-04-16 20:00:00,0.00,40.41
2026-04-16 22:00:00,33.20,0.00
2026-04-17 00:00:00,0.00,316.20
2026-04-17 01:00:00,0.00,78.80
2026-04-17 05:00:00,0.00,19.70
2026-04-17 06:00:00,0.00,1664.24
2026-04-17 07:00:00,0.00,47.95
2026-04-17 08:00:00,164.75,0.00
2026-04-17 09:00:00,5.24,0.00
2026-04-17 12:00:00,0.00,5.26
2026-04-17 17:00:00,0.00,24.44
2026-04-18 01:00:00,0.00,50.62
2026-04-18 02:00:00,0.00,4.40
2026-04-18 03:00:00,0.00,2576.03
2026-04-18 07:00:00,0.00,10.01
2026-04-18 08:00:00,37.21,0.00
2026-04-18 13:00:00,5612.17,33.77
2026-04-18 14:00:00,298.04,1766.00
2026-04-18 18:00:00,9703.70,4454.95
2026-04-18 19:00:00,3844.53,2138.11
2026-04-18 20:00:00,29.59,0.00
2026-04-18 21:00:00,60.11,0.00
2026-04-18 22:00:00,5.03,0.00
2026-04-18 23:00:00,0.00,318.65
2026-04-19 00:00:00,1442.68,0.00
2026-04-19 01:00:00,387.15,0.00
2026-04-19 03:00:00,59.34,9.75
2026-04-19 04:00:00,497.14,0.00
2026-04-19 05:00:00,0.00,4998.79
2026-04-19 09:00:00,0.00,2694.24
2026-04-19 16:00:00,0.00,396.80
2026-04-19 17:00:00,0.00,1051.42
2026-04-19 18:00:00,0.00,22.61
