time,liq_long_usd,liq_short_usd
2026-04-02 08:00:00,9.96,0.00
2026-04-02 09:00:00,0.05,0.00
2026-04-02 10:00:00,677.13,0.00
2026-04-02 12:00:00,19.11,0.00
2026-04-02 15:00:00,0.00,27.26
2026-04-02 21:00:00,20.79,0.00
2026-04-03 00:00:00,0.00,5.10
2026-04-03 11:00:00,8.66,0.00
2026-04-03 13:00:00,241.61,0.00
2026-04-03 14:00:00,9.16,0.00
2026-04-03 16:00:00,4.80,0.00
2026-04-04 17:00:00,703.69,0.00
2026-04-04 22:00:00,6.11,0.00
2026-04-05 11:00:00,0.00,78.64
2026-04-05 16:00:00,57.00,0.00
2026-04-07 01:00:00,332.71,0.00
2026-04-07 03:00:00,359.40,0.00
2026-04-07 11:00:00,33.26,0.00
2026-04-07 13:00:00,419.21,0.00
2026-04-07 14:00:00,362.96,0.00
2026-04-07 23:00:00,359.24,96.01
2026-04-08 16:00:00,53.39,0.00
2026-04-08 22:00:00,0.00,166.83
2026-04-09 03:00:00,0.00,94.34
2026-04-09 04:00:00,0.00,142.76
2026-04-09 05:00:00,0.00,108.28
2026-04-09 07:00:00,1019.20,0.00
2026-04-09 10:00:00,11.10,1645.11
2026-04-09 11:00:00,545.59,0.00
2026-04-09 14:00:00,0.00,487.96
2026-04-09 15:00:00,0.00,309.95
2026-04-09 16:00:00,0.00,101.64
2026-04-09 17:00:00,237.10,0.00
2026-04-09 18:00:00,0.00,21.21
2026-04-09 19:00:00,6.31,6.59
2026-04-09 20:00:00,5.15,143.44
2026-04-09 21:00:00,240.03,249.38
2026-04-09 22:00:00,0.00,20.29
2026-04-09 23:00:00,187.71,362.63
2026-04-10 01:00:00,11.28,56.36
2026-04-10 07:00:00,13.94,0.00
2026-04-10 11:00:00,0.00,72.00
2026-04-10 13:00:00,0.00,3697.04
2026-04-10 14:00:00,0.00,157.16
2026-04-10 15:00:00,359.59,0.00
2026-04-10 16:00:00,0.00,52.96
2026-04-10 17:00:00,0.00,304.87
2026-04-10 19:00:00,91.09,0.00
2026-04-10 20:00:00,6.26,0.00
2026-04-10 21:00:00,6.93,0.00
2026-04-11 00:00:00,0.00,20.82
2026-04-11 02:00:00,425.60,7430.87
2026-04-11 03:00:00,0.00,14578.80
2026-04-11 04:00:00,0.00,273.61
2026-04-11 05:00:00,7000.81,3653.84
2026-04-11 06:00:00,985.12,0.00
2026-04-11 07:00:00,0.00,5.88
2026-04-11 09:00:00,246.39,0.00
2026-04-11 10:00:00,8037.64,0.00
2026-04-11 11:00:00,188.07,0.00
2026-04-11 12:00:00,30.79,0.00
2026-04-11 13:00:00,0.00,284.34
2026-04-11 14:00:00,223.32,0.00
2026-04-11 15:00:00,0.00,184.53
2026-04-11 16:00:00,0.00,90.19
2026-04-11 17:00:00,32.83,0.00
2026-04-11 18:00:00,0.00,8739.02
2026-04-11 19:00:00,222.65,25.52
2026-04-11 21:00:00,71.83,0.00
2026-04-12 01:00:00,4355.78,0.00
2026-04-12 02:00:00,5.51,0.00
2026-04-12 03:00:00,41.65,0.00
2026-04-12 04:00:00,465.81,0.00
2026-04-12 05:00:00,33.98,0.00
2026-04-12 07:00:00,271.47,50.29
2026-04-12 09:00:00,0.00,12.80
2026-04-12 11:00:00,0.00,472.03
2026-04-12 13:00:00,0.00,84.08
2026-04-12 14:00:00,10.17,0.00
2026-04-12 17:00:00,0.00,14.50
2026-04-12 18:00:00,0.00,104.17
2026-04-12 19:00:00,3643.25,48.70
2026-04-12 21:00:00,135.03,24.41
2026-04-12 22:00:00,909.63,2.76
2026-04-12 23:00:00,2137.06,0.00
2026-04-13 00:00:00,757.02,0.00
2026-04-13 01:00:00,44.77,26.26
2026-04-13 05:00:00,0.00,1091.96
2026-04-13 07:00:00,75.07,107.41
2026-04-13 08:00:00,153.25,828.65
2026-04-13 09:00:00,235.32,541.18
2026-04-13 10:00:00,0.00,618.86
2026-04-13 11:00:00,472.12,65.26
2026-04-13 12:00:00,0.00,538.45
2026-04-13 13:00:00,822.16,0.00
2026-04-13 14:00:00,1260.18,0.00
2026-04-13 16:00:00,0.00,82.77
2026-04-13 17:00:00,21.50,27.45
2026-04-13 19:00:00,1461.86,0.00
2026-04-13 20:00:00,0.00,787.50
2026-04-13 21:00:00,985.55,3803.19
2026-04-13 22:00:00,69.84,87.74
2026-04-13 23:00:00,0.00,1872.18
2026-04-14 00:00:00,1701.86,6081.15
2026-04-14 01:00:00,28495.76,12068.47
2026-04-14 02:00:00,27749.37,237.78
2026-04-14 03:00:00,583.78,287.40
2026-04-14 04:00:00,3471.34,927.33
2026-04-14 05:00:00,3241.52,30.14
2026-04-14 06:00:00,23.75,557.95
2026-04-14 07:00:00,6505.83,0.00
2026-04-14 08:00:00,1607.44,9.80
2026-04-14 10:00:00,463.96,51.01
2026-04-14 11:00:00,0.00,34.22
2026-04-14 12:00:00,0.00,6.18
2026-04-14 13:00:00,0.00,37.77
2026-04-14 14:00:00,5177.10,39.08
2026-04-14 16:00:00,0.00,14.36
2026-04-14 17:00:00,5544.88,0.00
2026-04-14 18:00:00,1458.97,17.21
2026-04-14 19:00:00,40.32,0.00
2026-04-14 22:00:00,16.52,0.00
2026-04-15 00:00:00,33.96,25.73
2026-04-15 01:00:00,610.17,0.00
2026-04-15 02:00:00,21.48,70.63
2026-04-15 03:00:00,0.00,127.88
2026-04-15 04:00:00,25.26,20.88
2026-04-15 06:00:00,10.17,0.00
2026-04-15 07:00:00,69.15,0.00
2026-04-15 08:00:00,2472.29,0.00
2026-04-15 09:00:00,1020.98,0.00
2026-04-15 11:00:00,48.05,0.00
2026-04-15 13:00:00,0.00,12.52
2026-04-15 14:00:00,542.50,0.00
2026-04-15 16:00:00,47.39,0.00
2026-04-15 17:00:00,372.65,0.00
2026-04-15 18:00:00,0.00,4.89
2026-04-15 19:00:00,14147.04,0.00
2026-04-15 20:00:00,682.27,0.00
2026-04-15 21:00:00,6.50,0.00
2026-04-16 00:00:00,37.75,0.00
2026-04-16 02:00:00,25.45,0.00
2026-04-16 03:00:00,0.00,33.56
2026-04-16 05:00:00,1.44,0.00
2026-04-16 06:00:00,0.00,51.43
2026-04-16 07:00:00,0.00,6.26
2026-04-16 09:00:00,833.93,0.00
2026-04-16 10:00:00,27.98,0.00
2026-04-16 11:00:00,9.41,0.00
2026-04-16 12:00:00,0.00,53.36
2026-04-16 13:00:00,9.31,41.52
2026-04-16 14:00:00,0.00,285.28
2026-04-16 16:00:00,21.94,0.00
2026-04-16 17:00:00,49.49,11.44
2026-04-16 19:00:00,0.00,30.05
2026-04-16 21:00:00,0.08,0.00
2026-04-17 01:00:00,0.00,6.42
2026-04-17 06:00:00,0.73,0.00
2026-04-17 08:00:00,59.06,0.00
2026-04-17 09:00:00,183.59,0.00
2026-04-17 12:00:00,0.00,213.51
2026-04-17 13:00:00,861.17,0.00
2026-04-17 14:00:00,22.93,41.92
2026-04-17 15:00:00,6581.48,0.00
2026-04-17 16:00:00,0.00,5.23
2026-04-17 17:00:00,27.14,202.95
2026-04-17 19:00:00,23671.26,0.00
2026-04-17 20:00:00,3007.50,3507.54
2026-04-17 22:00:00,0.00,116.11
2026-04-18 01:00:00,289.50,2541.54
2026-04-18 02:00:00,675.49,614.47
2026-04-18 07:00:00,4.11,0.00
2026-04-18 08:00:00,14.74,889.59
2026-04-18 09:00:00,120.47,0.00
2026-04-18 13:00:00,356.58,0.00
2026-04-18 15:00:00,14.22,0.00
2026-04-18 17:00:00,116.43,0.00
2026-04-18 18:00:00,155.64,0.00
2026-04-18 19:00:00,6610.46,0.00
2026-04-18 21:00:00,0.00,6.22
2026-04-18 22:00:00,19.16,0.00
2026-04-19 00:00:00,343.09,0.00
2026-04-19 01:00:00,119.84,0.00
2026-04-19 03:00:00,889.83,0.00
2026-04-19 04:00:00,244.93,19.79
2026-04-19 05:00:00,33.41,0.00
2026-04-19 06:00:00,304.86,0.00
2026-04-19 13:00:00,244.54,0.00
2026-04-19 19:00:00,14.60,0.00
2026-04-19 21:00:00,0.40,0.00
2026-04-19 22:00:00,3423.00,0.00
2026-04-19 23:00:00,168.65,0.00
2026-04-20 01:00:00,0.00,106.00
2026-04-20 03:00:00,478.06,0.00
2026-04-20 06:00:00,3861.44,105.11
2026-04-20 07:00:00,314.13,0.00
2026-04-20 08:00:00,219.23,0.00
2026-04-20 09:00:00,19.31,0.00
2026-04-20 11:00:00,0.00,1699.80
2026-04-20 12:00:00,5.40,65.72
2026-04-20 13:00:00,0.00,71.47
2026-04-20 14:00:00,1153.81,399.25
2026-04-20 15:00:00,4183.23,1596.09
2026-04-20 16:00:00,1144.15,0.00
2026-04-20 19:00:00,526.92,0.00
2026-04-20 21:00:00,60.63,183.28
2026-04-20 22:00:00,98.01,0.00
2026-04-20 23:00:00,0.00,11.64
2026-04-21 00:00:00,0.00,0.16
2026-04-21 01:00:00,0.00,23.96
2026-04-21 02:00:00,5.83,81.42
2026-04-21 04:00:00,231.94,108.39
2026-04-21 05:00:00,2007.42,0.00
2026-04-21 06:00:00,475.62,0.00
2026-04-21 08:00:00,243.48,0.00
2026-04-21 09:00:00,1968.09,2419.94
2026-04-21 11:00:00,14258.25,0.00
2026-04-21 13:00:00,221.94,0.00
2026-04-21 14:00:00,18951.74,0.00
2026-04-21 15:00:00,684.65,0.00
2026-04-21 16:00:00,0.00,48.89
2026-04-21 18:00:00,14150.03,0.00
2026-04-21 20:00:00,95.19,0.00
