time,liq_long_usd,liq_short_usd
2026-04-05 07:00:00,1298.10,0.00
2026-04-06 04:00:00,5.11,0.00
2026-04-06 10:00:00,26.69,0.00
2026-04-06 11:00:00,0.00,13.03
2026-04-06 12:00:00,1965.77,12.91
2026-04-06 13:00:00,17.73,9.67
2026-04-06 14:00:00,0.00,35.02
2026-04-06 15:00:00,750.67,0.00
2026-04-06 16:00:00,49.30,33.49
2026-04-06 18:00:00,0.00,50.32
2026-04-06 19:00:00,12.96,0.00
2026-04-06 22:00:00,215.36,0.00
2026-04-06 23:00:00,496.88,0.00
2026-04-07 00:00:00,50.69,0.00
2026-04-07 01:00:00,517.58,0.00
2026-04-07 02:00:00,0.00,393.18
2026-04-07 07:00:00,0.00,268.73
2026-04-07 08:00:00,0.00,508.97
2026-04-07 10:00:00,0.00,858.02
2026-04-07 12:00:00,136.59,7.85
2026-04-07 13:00:00,778.98,0.00
2026-04-07 22:00:00,0.00,86.03
2026-04-07 23:00:00,0.00,225.22
2026-04-08 00:00:00,0.00,13.54
2026-04-08 05:00:00,0.00,0.17
2026-04-08 10:00:00,0.00,19.93
2026-04-08 14:00:00,1.82,0.00
2026-04-08 16:00:00,0.00,10.19
2026-04-09 01:00:00,1001.84,0.00
2026-04-09 23:00:00,2030.23,0.16
2026-04-10 11:00:00,298.52,0.00
2026-04-10 13:00:00,301.09,0.00
2026-04-10 15:00:00,10.19,30.58
2026-04-11 04:00:00,5.10,7.90
2026-04-11 05:00:00,197.03,77.69
2026-04-11 10:00:00,2205.04,0.00
2026-04-11 14:00:00,11.51,0.00
2026-04-11 15:00:00,0.00,5.85
2026-04-11 22:00:00,39.29,0.00
2026-04-12 02:00:00,959.34,0.00
2026-04-12 07:00:00,72.14,258.07
2026-04-12 18:00:00,0.00,26.65
2026-04-12 19:00:00,96.79,0.00
2026-04-12 20:00:00,3643.91,0.00
2026-04-12 22:00:00,220.13,0.00
2026-04-13 03:00:00,98.91,0.00
2026-04-13 06:00:00,629.60,0.00
2026-04-13 07:00:00,0.00,66.49
2026-04-13 08:00:00,208.84,4.25
2026-04-13 13:00:00,0.00,32.73
2026-04-13 16:00:00,355.14,0.00
2026-04-13 17:00:00,80.12,0.00
2026-04-13 20:00:00,8.07,0.00
2026-04-13 23:00:00,0.00,184.70
2026-04-14 00:00:00,0.00,39.79
2026-04-14 08:00:00,0.00,378.81
2026-04-14 15:00:00,104.39,0.00
2026-04-14 16:00:00,424.28,0.00
2026-04-14 18:00:00,757.15,0.00
2026-04-15 00:00:00,0.00,6.71
2026-04-15 02:00:00,0.00,15.06
2026-04-15 14:00:00,1063.77,0.00
2026-04-15 15:00:00,0.00,5.32
2026-04-15 19:00:00,0.00,0.82
2026-04-15 20:00:00,0.00,6.75
2026-04-16 03:00:00,0.00,13.36
2026-04-16 04:00:00,6.70,0.00
2026-04-16 05:00:00,0.00,2579.11
2026-04-16 07:00:00,0.00,7.27
2026-04-16 13:00:00,0.00,15.77
2026-04-16 21:00:00,0.00,329.09
2026-04-17 03:00:00,59.63,0.00
2026-04-17 08:00:00,0.00,1633.44
2026-04-17 09:00:00,23.18,0.00
2026-04-17 14:00:00,0.00,6.59
2026-04-17 17:00:00,1.26,0.00
2026-04-18 01:00:00,234.86,10.79
2026-04-18 02:00:00,8.69,0.00
2026-04-18 03:00:00,0.00,10.74
2026-04-18 09:00:00,42.95,0.00
2026-04-18 10:00:00,50.67,0.00
2026-04-18 14:00:00,378.22,0.00
2026-04-18 19:00:00,144.30,0.00
2026-04-18 21:00:00,19.56,0.00
2026-04-19 01:00:00,5070.06,0.00
2026-04-19 04:00:00,5.92,0.00
2026-04-19 08:00:00,38.99,0.00
2026-04-19 23:00:00,1583.51,0.00
2026-04-20 05:00:00,5.52,0.00
2026-04-20 08:00:00,0.00,261.50
2026-04-20 14:00:00,6946.56,3350.84
2026-04-20 19:00:00,0.00,30.47
2026-04-21 00:00:00,11.72,0.00
2026-04-21 04:00:00,0.00,3.33
2026-04-21 18:00:00,9782.96,0.00
2026-04-21 19:00:00,0.00,0.33
2026-04-22 06:00:00,0.00,257.08
2026-04-22 08:00:00,414.81,668.03
2026-04-22 10:00:00,0.00,3.00
2026-04-22 13:00:00,0.00,27.10
2026-04-22 14:00:00,3305.06,2361.83
2026-04-22 15:00:00,630.57,88.56
2026-04-22 16:00:00,0.00,244.66
2026-04-22 17:00:00,175.96,217.28
2026-04-22 18:00:00,603.00,2717.76
2026-04-22 19:00:00,27.39,2166.83
2026-04-22 20:00:00,80.38,0.00
2026-04-22 21:00:00,2183.90,0.00
2026-04-22 22:00:00,368.73,4631.86
2026-04-22 23:00:00,575.77,0.00
2026-04-23 00:00:00,12952.30,0.00
2026-04-23 01:00:00,9558.91,10518.61
2026-04-23 02:00:00,9285.31,0.00
2026-04-23 03:00:00,1451.05,0.00
2026-04-23 04:00:00,4617.90,0.00
2026-04-23 05:00:00,0.00,178.04
2026-04-23 06:00:00,0.00,291.54
2026-04-23 08:00:00,199.37,149.66
2026-04-23 10:00:00,3151.10,0.00
2026-04-23 11:00:00,428.17,0.00
2026-04-24 14:00:00,198.37,0.00
2026-04-24 18:00:00,53.49,0.00
2026-04-24 19:00:00,130.63,0.00
2026-04-24 21:00:00,0.00,6.01
2026-04-25 01:00:00,33.81,0.00
2026-04-25 05:00:00,854.69,0.00
2026-04-25 13:00:00,100.68,0.00
2026-04-25 16:00:00,117.58,0.00
2026-04-25 17:00:00,23.86,0.00
2026-04-25 22:00:00,18.48,0.00
2026-04-26 01:00:00,136.11,214.86
2026-04-26 02:00:00,831.26,88.33
2026-04-26 03:00:00,1449.23,0.00
2026-04-26 04:00:00,35.63,0.00
2026-04-26 07:00:00,87.98,0.00
2026-04-27 05:00:00,0.00,8.31
2026-04-27 06:00:00,12.77,0.00
2026-04-27 07:00:00,154.52,0.00
2026-04-27 09:00:00,183.76,0.00
2026-04-27 11:00:00,3666.16,482.09
2026-04-27 16:00:00,87.97,0.00
2026-04-27 17:00:00,947.23,0.00
2026-04-28 05:00:00,2857.63,0.00
2026-04-28 12:00:00,11.11,0.00
2026-04-28 15:00:00,206.37,0.00
2026-04-28 16:00:00,74.73,0.00
2026-04-28 17:00:00,3626.28,5.91
2026-04-28 18:00:00,6.17,0.00
2026-04-29 03:00:00,131.08,0.00
2026-04-29 12:00:00,0.00,0.99
2026-04-29 14:00:00,1208.56,0.00
2026-04-29 16:00:00,1360.87,0.00
2026-04-29 17:00:00,196.31,6.13
2026-04-29 19:00:00,800.23,0.00
2026-04-30 01:00:00,3985.04,0.00
2026-04-30 03:00:00,256.30,0.00
2026-04-30 05:00:00,53.44,0.00
2026-04-30 06:00:00,0.00,7.64
2026-04-30 08:00:00,8.77,0.00
2026-04-30 11:00:00,6.21,0.00
2026-04-30 13:00:00,373.40,0.00
2026-04-30 16:00:00,68.84,0.00
2026-04-30 17:00:00,44.52,0.00
2026-04-30 19:00:00,24949.01,0.00
2026-04-30 21:00:00,4.56,0.00
2026-05-01 01:00:00,0.00,27.52
2026-05-01 02:00:00,77.65,47.85
2026-05-01 04:00:00,0.00,5.14
2026-05-01 05:00:00,0.00,1513.06
2026-05-01 07:00:00,6437.42,4300.69
2026-05-01 08:00:00,5406.31,27816.88
2026-05-01 09:00:00,1151.34,239.12
2026-05-01 10:00:00,3077.70,103.70
2026-05-01 11:00:00,4318.07,0.00
2026-05-01 13:00:00,1351.28,5.89
2026-05-01 14:00:00,41.16,0.00
2026-05-01 17:00:00,88.56,0.00
2026-05-01 21:00:00,1676.00,0.00
2026-05-01 22:00:00,10255.49,0.00
2026-05-01 23:00:00,4.67,0.00
2026-05-02 01:00:00,2592.23,0.00
2026-05-02 02:00:00,759.90,0.00
2026-05-02 04:00:00,403.25,0.00
2026-05-02 05:00:00,14.44,0.00
2026-05-02 06:00:00,4.82,3.05
2026-05-02 09:00:00,151.07,0.00
2026-05-02 11:00:00,403.24,0.00
2026-05-02 13:00:00,0.00,175.50
2026-05-02 15:00:00,0.00,0.16
2026-05-02 16:00:00,597.23,0.00
2026-05-02 17:00:00,0.00,25.01
2026-05-02 21:00:00,24.60,0.00
2026-05-02 22:00:00,9044.52,6.06
2026-05-03 04:00:00,1457.90,0.00
2026-05-04 01:00:00,2106.43,0.00
2026-05-04 03:00:00,0.00,103.97
2026-05-04 18:00:00,0.00,4.30
2026-05-04 21:00:00,5.84,0.00
2026-05-05 16:00:00,0.00,51.41
2026-05-06 08:00:00,1.19,0.00
2026-05-06 14:00:00,11.24,0.00
2026-05-07 02:00:00,0.00,53.62
2026-05-07 03:00:00,303.44,0.00
2026-05-08 18:00:00,0.00,1106.81
2026-05-09 01:00:00,0.00,21.81
2026-05-09 02:00:00,2416.96,5704.97
2026-05-10 01:00:00,19.59,0.00
2026-05-11 19:00:00,275.63,172.97
2026-05-12 03:00:00,502.15,0.00
2026-05-12 15:00:00,1561.79,0.00
2026-05-12 21:00:00,0.00,20.28
2026-05-13 01:00:00,10.07,0.00
2026-05-13 10:00:00,0.00,6.20
2026-05-13 14:00:00,214.45,0.00
2026-05-13 15:00:00,245.22,0.00
2026-05-13 16:00:00,1728.14,0.00
2026-05-14 04:00:00,2054.47,0.00
2026-05-14 14:00:00,5.08,0.00
2026-05-14 15:00:00,18.30,0.00
2026-05-14 16:00:00,0.00,37.28
2026-05-14 17:00:00,18.47,0.00
2026-05-15 01:00:00,0.00,35.01
2026-05-15 08:00:00,1910.23,179.26
2026-05-15 14:00:00,65.48,0.00
2026-05-15 15:00:00,145.13,0.00
2026-05-16 07:00:00,335.96,0.00
2026-05-16 08:00:00,4459.08,0.00
2026-05-16 11:00:00,141.11,0.00
2026-05-17 06:00:00,87.58,0.00
2026-05-17 07:00:00,73.14,0.00
2026-05-17 23:00:00,90.50,0.00
2026-05-18 00:00:00,5429.53,0.00
2026-05-18 15:00:00,8.33,0.00
2026-05-18 19:00:00,16.95,0.00
2026-05-18 23:00:00,46.44,0.00
2026-05-19 15:00:00,130.11,0.00
2026-05-19 22:00:00,0.00,79.60
2026-05-20 06:00:00,0.00,24.02
2026-05-20 09:00:00,0.00,194.65
2026-05-20 10:00:00,44.73,0.00
2026-05-20 18:00:00,0.00,190.44
2026-05-21 11:00:00,0.65,0.00
2026-05-21 13:00:00,0.00,937.74
2026-05-22 19:00:00,3950.74,0.00
2026-05-23 08:00:00,71.67,13.45
2026-05-23 09:00:00,1451.65,0.00
2026-05-23 22:00:00,0.00,552.19
2026-05-24 02:00:00,0.00,10.20
2026-05-24 13:00:00,142.71,0.00
