time,liq_long_usd,liq_short_usd
2026-04-03 10:00:00,40.96,0.00
2026-04-03 14:00:00,98.76,0.00
2026-04-03 20:00:00,0.00,5.78
2026-04-03 21:00:00,0.00,5030.42
2026-04-04 01:00:00,194.84,0.00
2026-04-04 04:00:00,48.47,0.00
2026-04-04 11:00:00,451.13,0.00
2026-04-04 15:00:00,11.23,0.00
2026-04-05 06:00:00,298.53,0.00
2026-04-05 07:00:00,8.05,0.00
2026-04-05 13:00:00,28.60,0.00
2026-04-05 14:00:00,5.41,0.00
2026-04-06 00:00:00,0.00,0.37
2026-04-06 15:00:00,79.31,0.00
2026-04-07 00:00:00,725.60,0.00
2026-04-07 02:00:00,5.04,0.00
2026-04-07 03:00:00,3366.90,0.00
2026-04-07 13:00:00,4489.21,0.00
2026-04-07 18:00:00,0.00,5.39
2026-04-07 23:00:00,0.00,121.96
2026-04-08 00:00:00,0.00,152.00
2026-04-08 15:00:00,473.00,0.00
2026-04-08 16:00:00,0.00,10.60
2026-04-08 18:00:00,515.61,0.00
2026-04-08 19:00:00,126.56,0.00
2026-04-08 22:00:00,0.00,57.02
2026-04-09 02:00:00,1639.36,0.00
2026-04-09 04:00:00,37.65,0.00
2026-04-10 00:00:00,41.43,0.00
2026-04-10 01:00:00,192.70,0.00
2026-04-10 10:00:00,0.00,664.00
2026-04-10 11:00:00,237.48,1636.38
2026-04-10 12:00:00,0.00,6807.48
2026-04-10 13:00:00,14123.37,34260.60
2026-04-10 14:00:00,20999.28,78974.16
2026-04-10 15:00:00,40448.32,24643.69
2026-04-10 16:00:00,14731.58,13296.36
2026-04-10 17:00:00,14136.35,5388.15
2026-04-10 18:00:00,22377.45,3327.35
2026-04-10 19:00:00,21043.89,1909.96
2026-04-10 20:00:00,6404.09,93.32
2026-04-10 21:00:00,1530.97,379.31
2026-04-10 22:00:00,310.20,5.09
2026-04-10 23:00:00,0.00,296.10
2026-04-11 00:00:00,669.04,0.00
2026-04-11 01:00:00,15511.61,25.41
2026-04-11 02:00:00,4920.81,2471.53
2026-04-11 03:00:00,246.14,501.18
2026-04-11 04:00:00,1495.84,54.19
2026-04-11 05:00:00,1174.62,1128.65
2026-04-11 06:00:00,2788.83,900.52
2026-04-11 07:00:00,1802.79,5.18
2026-04-11 08:00:00,2198.45,126.14
2026-04-11 09:00:00,0.00,64.61
2026-04-11 10:00:00,54.62,7868.02
2026-04-11 11:00:00,1285.64,84.72
2026-04-11 14:00:00,0.00,2532.26
2026-04-11 15:00:00,329.96,0.00
2026-04-11 16:00:00,1006.57,450.60
2026-04-11 17:00:00,2733.72,104.00
2026-04-11 18:00:00,244.48,0.00
2026-04-11 19:00:00,0.00,2781.01
2026-04-11 20:00:00,32.26,0.00
2026-04-11 23:00:00,304.91,0.00
2026-04-12 00:00:00,2364.34,0.00
2026-04-12 01:00:00,0.00,116.33
2026-04-12 02:00:00,2765.61,26.42
2026-04-12 04:00:00,290.74,0.00
2026-04-12 05:00:00,7.16,0.00
2026-04-12 07:00:00,1696.40,51.93
2026-04-12 08:00:00,739.20,0.00
2026-04-12 10:00:00,24.09,0.00
2026-04-12 11:00:00,2305.60,0.00
2026-04-12 13:00:00,400.37,136.82
2026-04-12 14:00:00,19.31,130.48
2026-04-12 15:00:00,0.00,318.22
2026-04-12 16:00:00,3495.26,198.40
2026-04-12 17:00:00,4135.45,2010.41
2026-04-12 18:00:00,458.38,12.04
2026-04-12 19:00:00,125.46,20.84
2026-04-12 21:00:00,0.00,35.96
2026-04-12 22:00:00,466.69,0.00
2026-04-13 00:00:00,24.66,0.00
