time,liq_long_usd,liq_short_usd
2026-04-05 10:00:00,0.00,14.31
2026-04-05 13:00:00,1629.78,0.00
2026-04-05 14:00:00,3293.72,0.00
2026-04-05 16:00:00,90.40,0.00
2026-04-05 18:00:00,38.00,0.00
2026-04-06 06:00:00,0.00,6.55
2026-04-06 17:00:00,1132.07,0.00
2026-04-06 18:00:00,1252.52,6347.34
2026-04-06 19:00:00,15000.41,1197.46
2026-04-06 21:00:00,94.73,0.00
2026-04-06 22:00:00,1054.37,1405.13
2026-04-06 23:00:00,6533.73,1967.72
2026-04-07 00:00:00,5088.55,0.00
2026-04-07 01:00:00,830.17,1481.86
2026-04-07 02:00:00,373.30,0.00
2026-04-07 03:00:00,282.26,84.67
2026-04-07 04:00:00,342.44,5.31
2026-04-07 05:00:00,7722.03,679.34
2026-04-07 06:00:00,10725.06,70.45
2026-04-07 07:00:00,53741.88,142.97
2026-04-07 08:00:00,242.95,0.00
2026-04-07 09:00:00,347.20,0.00
2026-04-07 12:00:00,24.44,0.00
2026-04-07 13:00:00,610.85,0.00
2026-04-07 14:00:00,10.52,0.00
2026-04-07 16:00:00,22.18,0.00
2026-04-07 19:00:00,356.25,0.00
2026-04-07 22:00:00,0.00,2704.81
2026-04-07 23:00:00,0.00,4398.81
2026-04-08 00:00:00,0.00,22.36
2026-04-08 05:00:00,101.38,0.00
2026-04-08 06:00:00,0.00,6.52
2026-04-08 07:00:00,250.90,0.00
2026-04-08 09:00:00,2276.40,23.01
2026-04-08 15:00:00,30.07,0.00
2026-04-08 16:00:00,2674.15,0.00
2026-04-08 17:00:00,0.00,55.73
2026-04-08 18:00:00,24.44,0.00
2026-04-08 19:00:00,155.12,0.00
2026-04-08 23:00:00,3823.37,0.00
2026-04-09 00:00:00,129.65,0.00
2026-04-09 01:00:00,14.63,0.00
2026-04-09 02:00:00,1253.94,9.94
2026-04-09 03:00:00,0.00,102.27
2026-04-09 05:00:00,91.01,0.00
2026-04-09 11:00:00,30.56,0.00
2026-04-09 13:00:00,17.91,0.00
2026-04-09 14:00:00,447.83,0.00
2026-04-09 21:00:00,11.32,5.37
2026-04-09 23:00:00,111.31,0.00
2026-04-10 01:00:00,120.65,0.00
2026-04-10 08:00:00,88.75,0.00
2026-04-10 11:00:00,890.01,0.00
2026-04-10 15:00:00,39.43,0.00
2026-04-10 22:00:00,81.97,0.00
2026-04-11 02:00:00,119.85,0.00
2026-04-11 03:00:00,0.00,0.00
2026-04-11 04:00:00,303.65,0.00
2026-04-11 18:00:00,146.66,0.00
2026-04-12 01:00:00,0.00,1970.67
2026-04-12 02:00:00,5138.87,0.00
2026-04-12 03:00:00,4285.23,0.00
2026-04-12 07:00:00,2751.79,0.00
2026-04-12 13:00:00,1590.50,0.00
2026-04-12 18:00:00,150.46,0.00
2026-04-12 19:00:00,1128.95,7.16
2026-04-12 21:00:00,97.60,0.00
2026-04-12 22:00:00,27.54,0.00
2026-04-12 23:00:00,2090.16,0.00
2026-04-13 00:00:00,555.43,0.00
2026-04-13 01:00:00,3753.50,0.00
2026-04-13 06:00:00,96.85,0.00
2026-04-13 07:00:00,1913.70,0.00
2026-04-13 08:00:00,4468.49,0.00
2026-04-13 19:00:00,2.09,0.00
2026-04-13 20:00:00,24.50,0.00
2026-04-13 21:00:00,7.46,0.00
2026-04-14 00:00:00,0.00,25.50
2026-04-14 01:00:00,0.03,0.00
2026-04-14 05:00:00,0.00,14.14
2026-04-14 07:00:00,273.16,424.73
2026-04-14 08:00:00,2359.64,0.00
2026-04-14 09:00:00,0.00,1164.19
2026-04-14 10:00:00,0.00,6.21
2026-04-14 11:00:00,48.77,0.00
2026-04-14 14:00:00,5010.31,0.00
2026-04-14 16:00:00,148.18,2813.94
2026-04-14 17:00:00,101.54,6.15
2026-04-14 18:00:00,176.10,63.43
2026-04-14 19:00:00,98.09,0.00
2026-04-15 01:00:00,9.24,0.00
2026-04-15 02:00:00,851.08,16.04
2026-04-15 03:00:00,0.00,70.13
2026-04-15 05:00:00,0.00,0.00
2026-04-15 14:00:00,179.15,0.00
2026-04-15 15:00:00,1225.55,0.00
2026-04-15 16:00:00,1779.45,0.00
2026-04-16 01:00:00,0.00,20.80
2026-04-16 03:00:00,170.32,0.00
2026-04-16 05:00:00,0.00,5276.91
2026-04-16 07:00:00,0.00,47.85
2026-04-16 08:00:00,41.04,0.00
2026-04-16 13:00:00,0.00,15.99
2026-04-16 15:00:00,378.18,51.77
2026-04-16 16:00:00,1132.00,662.44
2026-04-16 17:00:00,352.97,6.63
2026-04-16 18:00:00,458.87,0.00
2026-04-16 19:00:00,113.35,0.00
2026-04-16 23:00:00,0.00,8.92
2026-04-17 00:00:00,125.42,0.00
2026-04-17 01:00:00,484.61,101.73
2026-04-17 02:00:00,117.09,248.34
2026-04-17 06:00:00,2351.94,0.00
2026-04-17 09:00:00,25.62,0.00
2026-04-17 12:00:00,0.00,32.59
2026-04-17 17:00:00,12554.77,10685.88
2026-04-17 18:00:00,5601.15,25.19
2026-04-17 19:00:00,2117.92,0.00
2026-04-17 20:00:00,4.94,0.00
2026-04-18 01:00:00,14.11,0.00
2026-04-18 05:00:00,1016.92,0.00
2026-04-18 06:00:00,0.00,266.11
2026-04-18 08:00:00,0.00,5.16
2026-04-18 09:00:00,118.61,0.00
2026-04-18 10:00:00,346.79,0.00
2026-04-18 11:00:00,12.12,0.00
2026-04-18 12:00:00,231.04,0.00
2026-04-18 14:00:00,0.00,0.06
2026-04-18 17:00:00,157.80,0.00
2026-04-18 19:00:00,1602.75,0.00
2026-04-18 20:00:00,2150.53,0.00
2026-04-18 21:00:00,0.00,155.87
2026-04-19 01:00:00,10223.66,0.00
2026-04-19 03:00:00,378.75,0.00
2026-04-19 04:00:00,0.00,37.66
2026-04-19 12:00:00,250.71,1349.98
2026-04-19 13:00:00,330.19,6.76
2026-04-19 15:00:00,105.93,0.00
2026-04-19 16:00:00,30.62,0.00
2026-04-19 17:00:00,156.52,0.00
2026-04-19 18:00:00,216.64,19.67
2026-04-19 19:00:00,79.72,0.00
2026-04-19 21:00:00,515.30,76.99
2026-04-19 23:00:00,9531.53,0.00
2026-04-20 00:00:00,2855.21,0.00
2026-04-20 02:00:00,56.21,8.00
2026-04-20 06:00:00,0.00,956.89
2026-04-20 08:00:00,148.53,0.00
2026-04-20 16:00:00,43.59,0.00
2026-04-20 23:00:00,9.82,0.00
2026-04-21 01:00:00,0.00,6.62
2026-04-21 02:00:00,0.00,32.57
2026-04-21 06:00:00,0.00,121.33
2026-04-21 07:00:00,6.81,0.00
2026-04-21 11:00:00,719.77,98.89
2026-04-21 12:00:00,67.86,0.00
2026-04-21 13:00:00,2753.67,0.00
2026-04-21 14:00:00,50.57,0.00
2026-04-21 15:00:00,0.00,0.12
2026-04-21 17:00:00,180.46,0.00
2026-04-21 18:00:00,128.94,0.00
2026-04-21 20:00:00,29.29,0.00
2026-04-22 01:00:00,0.00,6.51
2026-04-22 20:00:00,0.00,6.28
2026-04-22 21:00:00,2389.13,23.73
2026-04-22 23:00:00,55.36,0.00
2026-04-23 00:00:00,363.61,0.00
2026-04-23 01:00:00,2076.12,23.68
2026-04-23 02:00:00,7.49,0.00
2026-04-23 08:00:00,0.30,0.00
2026-04-23 10:00:00,130.67,0.00
2026-04-23 16:00:00,0.00,6.58
2026-04-24 19:00:00,2158.44,0.00
2026-04-24 22:00:00,0.00,4382.69
2026-04-25 03:00:00,0.00,38.88
2026-04-25 04:00:00,23.04,25.41
2026-04-25 08:00:00,1939.60,0.00
2026-04-25 12:00:00,2033.66,0.00
2026-04-25 13:00:00,43.27,0.00
2026-04-25 16:00:00,33.29,0.00
2026-04-25 17:00:00,212.18,0.00
2026-04-25 18:00:00,567.05,0.00
2026-04-25 19:00:00,0.00,0.07
2026-04-25 21:00:00,111.21,0.00
2026-04-26 10:00:00,10.31,670.60
2026-04-26 13:00:00,1213.83,0.00
2026-04-26 14:00:00,19.86,0.00
2026-04-26 15:00:00,0.00,191.97
2026-04-26 16:00:00,0.00,4.62
2026-04-26 17:00:00,289.31,0.00
2026-04-26 20:00:00,115.47,0.00
2026-04-26 21:00:00,0.00,324.52
2026-04-26 22:00:00,9.98,0.00
2026-04-27 02:00:00,4953.17,0.00
2026-04-27 05:00:00,1055.74,0.00
2026-04-27 06:00:00,1363.74,0.00
2026-04-27 07:00:00,7903.22,0.00
2026-04-27 08:00:00,23.20,0.00
2026-04-27 09:00:00,97.70,0.00
2026-04-27 12:00:00,11.37,0.00
2026-04-27 14:00:00,2460.86,0.00
2026-04-27 16:00:00,3650.50,0.00
2026-04-27 17:00:00,6.12,0.00
2026-04-27 18:00:00,0.00,0.07
2026-04-27 22:00:00,24.89,0.00
2026-04-28 05:00:00,7.39,0.00
2026-04-28 07:00:00,78.99,0.00
2026-04-28 08:00:00,3542.45,0.00
2026-04-28 12:00:00,886.16,0.00
2026-04-28 17:00:00,0.00,6.05
2026-04-29 00:00:00,1598.99,0.00
2026-04-29 10:00:00,336.91,0.00
2026-04-29 12:00:00,1143.69,0.00
2026-04-29 16:00:00,5841.78,2188.04
2026-04-29 17:00:00,410.26,0.00
2026-04-29 19:00:00,6345.95,7.86
2026-04-30 08:00:00,0.00,672.83
2026-04-30 19:00:00,524.93,0.00
2026-04-30 21:00:00,23.88,0.00
2026-05-01 14:00:00,0.00,5240.07
2026-05-01 15:00:00,260.53,960.27
2026-05-01 20:00:00,28.20,0.00
2026-05-01 21:00:00,736.66,0.00
2026-05-02 01:00:00,0.00,767.92
2026-05-02 03:00:00,34.00,0.00
2026-05-02 05:00:00,246.28,0.00
2026-05-02 06:00:00,10.58,0.00
2026-05-02 08:00:00,281.83,556.72
2026-05-02 11:00:00,6.15,0.00
2026-05-02 12:00:00,4933.50,0.00
2026-05-02 15:00:00,0.00,6.47
2026-05-02 16:00:00,0.00,6.65
