time,liq_long_usd,liq_short_usd
2026-04-05 10:00:00,0.00,6.55
2026-04-06 00:00:00,0.26,0.53
2026-04-06 10:00:00,185.05,0.00
2026-04-06 11:00:00,0.00,1187.03
2026-04-06 23:00:00,1279.00,0.00
2026-04-07 03:00:00,527.79,0.00
2026-04-07 04:00:00,5.88,0.00
2026-04-07 15:00:00,1265.28,0.00
2026-04-07 23:00:00,778.93,55.77
2026-04-08 00:00:00,2616.00,0.00
2026-04-09 00:00:00,816.38,0.00
2026-04-09 11:00:00,843.81,0.00
2026-04-09 20:00:00,295.96,0.00
2026-04-10 14:00:00,0.00,49.90
2026-04-11 03:00:00,0.26,0.00
2026-04-11 07:00:00,394.70,0.00
2026-04-12 02:00:00,216.48,0.00
2026-04-12 07:00:00,491.50,0.00
2026-04-12 13:00:00,66.87,0.00
2026-04-12 18:00:00,140.96,0.00
2026-04-12 19:00:00,957.14,0.00
2026-04-12 20:00:00,0.00,180.33
2026-04-12 21:00:00,107.16,297.81
2026-04-12 23:00:00,2962.17,0.00
2026-04-13 00:00:00,130.15,0.00
2026-04-13 07:00:00,112.59,0.00
2026-04-13 08:00:00,529.68,1.58
2026-04-13 09:00:00,6.57,0.00
2026-04-13 11:00:00,0.00,290.53
2026-04-13 13:00:00,44.20,0.00
2026-04-13 17:00:00,112.29,0.00
2026-04-13 19:00:00,2228.05,0.00
2026-04-13 21:00:00,35.27,0.00
2026-04-13 23:00:00,153.75,30.59
2026-04-14 00:00:00,729.48,0.00
2026-04-14 04:00:00,130.98,0.00
2026-04-14 06:00:00,0.00,10.00
2026-04-14 07:00:00,0.00,0.27
2026-04-14 09:00:00,757.13,1347.36
2026-04-14 10:00:00,7631.68,0.00
2026-04-14 11:00:00,49.38,0.00
2026-04-14 12:00:00,1.07,0.00
2026-04-14 15:00:00,29.39,10020.69
2026-04-14 16:00:00,12.71,1096.16
2026-04-14 17:00:00,2887.73,14513.18
2026-04-14 18:00:00,14160.17,345.27
2026-04-14 19:00:00,7242.79,3574.80
2026-04-14 20:00:00,16457.56,18028.54
2026-04-14 21:00:00,12016.41,26.29
2026-04-14 22:00:00,23665.05,9700.29
2026-04-15 00:00:00,204.48,257.04
2026-04-15 01:00:00,14474.19,1211.66
2026-04-15 02:00:00,3018.37,29.04
2026-04-15 03:00:00,2948.46,0.00
2026-04-15 04:00:00,446.18,0.00
2026-04-15 05:00:00,507.62,3925.95
