time,liq_long_usd,liq_short_usd
2026-03-29 14:00:00,275.31,0.00
2026-03-29 23:00:00,4114.59,0.00
2026-03-30 12:00:00,0.00,617.86
2026-03-31 00:00:00,48.16,0.00
2026-03-31 09:00:00,3621.99,0.00
2026-03-31 10:00:00,7.86,0.00
2026-03-31 18:00:00,0.00,1564.22
2026-03-31 21:00:00,0.00,120.34
2026-04-01 00:00:00,1401.96,0.00
2026-04-01 05:00:00,173.15,0.00
2026-04-01 07:00:00,0.00,1071.81
2026-04-01 13:00:00,51.57,203.87
2026-04-01 14:00:00,36049.22,0.00
2026-04-01 20:00:00,0.00,252.73
2026-04-01 23:00:00,1.34,0.00
2026-04-02 02:00:00,1439.50,2.47
2026-04-02 04:00:00,454.38,0.53
2026-04-02 06:00:00,1014.64,0.00
2026-04-02 07:00:00,0.00,6.79
2026-04-02 09:00:00,0.04,0.00
2026-04-02 10:00:00,2432.09,309.32
2026-04-02 12:00:00,120.16,0.00
2026-04-02 13:00:00,6.62,0.00
2026-04-02 14:00:00,15.22,5553.51
2026-04-02 15:00:00,54.84,186.32
2026-04-02 18:00:00,147.66,31.20
2026-04-02 21:00:00,11.02,0.00
2026-04-02 22:00:00,0.00,1133.24
2026-04-03 01:00:00,0.00,6040.50
2026-04-03 03:00:00,8.07,8020.56
2026-04-03 05:00:00,0.00,6.57
2026-04-03 07:00:00,0.00,1971.92
2026-04-03 09:00:00,0.00,138.00
2026-04-03 10:00:00,2573.16,1267.36
2026-04-03 11:00:00,5.22,0.00
2026-04-03 14:00:00,87.56,6514.21
2026-04-03 17:00:00,0.00,9.87
2026-04-04 00:00:00,73.61,0.00
2026-04-04 03:00:00,0.00,2336.19
2026-04-04 04:00:00,0.00,1075.62
2026-04-04 05:00:00,0.00,5861.88
2026-04-04 07:00:00,0.00,48.65
2026-04-04 17:00:00,34.84,0.00
2026-04-04 18:00:00,191.59,0.00
2026-04-05 05:00:00,691.16,0.00
2026-04-05 06:00:00,63.70,0.00
2026-04-05 07:00:00,84.64,0.00
2026-04-05 09:00:00,0.00,420.43
2026-04-05 12:00:00,0.16,0.00
2026-04-05 13:00:00,37.22,0.00
2026-04-05 14:00:00,720.40,0.00
2026-04-05 20:00:00,7131.26,0.00
2026-04-06 05:00:00,0.37,0.00
2026-04-06 17:00:00,467.06,0.00
2026-04-06 18:00:00,0.00,6.38
2026-04-06 23:00:00,2960.85,0.00
2026-04-07 00:00:00,1976.90,0.00
2026-04-07 04:00:00,5.96,0.00
2026-04-07 11:00:00,157.82,0.00
2026-04-07 12:00:00,2434.89,0.00
2026-04-07 13:00:00,392.93,0.00
2026-04-07 19:00:00,0.00,5036.29
2026-04-07 23:00:00,0.00,2904.35
2026-04-08 00:00:00,0.00,89.18
2026-04-08 03:00:00,0.00,42.85
2026-04-08 06:00:00,0.00,19.55
2026-04-08 07:00:00,0.00,26.16
2026-04-08 08:00:00,13.00,6.66
2026-04-08 09:00:00,1636.18,10.55
2026-04-08 10:00:00,5001.33,0.00
2026-04-08 11:00:00,310.37,0.00
2026-04-08 12:00:00,69.67,0.00
2026-04-08 13:00:00,192.54,0.00
2026-04-08 15:00:00,609.61,0.00
2026-04-08 16:00:00,0.00,10.75
2026-04-08 17:00:00,0.00,118.23
2026-04-08 19:00:00,0.00,32.61
2026-04-09 00:00:00,2950.15,0.00
2026-04-09 01:00:00,3270.51,0.00
2026-04-09 02:00:00,23.36,0.00
2026-04-09 11:00:00,9.72,1066.76
2026-04-09 15:00:00,30.41,0.00
2026-04-09 16:00:00,4.23,8239.93
2026-04-09 17:00:00,0.00,1373.58
2026-04-09 18:00:00,34.67,0.00
2026-04-09 19:00:00,93.88,0.00
2026-04-09 20:00:00,0.00,92.17
2026-04-09 21:00:00,7553.94,224.34
2026-04-09 22:00:00,0.00,346.92
2026-04-09 23:00:00,755.39,6058.28
2026-04-10 00:00:00,8090.16,48.74
2026-04-10 01:00:00,1208.86,4.89
2026-04-10 02:00:00,116.55,0.00
2026-04-10 04:00:00,0.00,84.62
2026-04-10 05:00:00,0.00,37.96
2026-04-10 07:00:00,731.95,7.19
2026-04-10 09:00:00,2134.92,0.00
2026-04-10 10:00:00,136.97,0.00
2026-04-10 11:00:00,5.69,37.29
2026-04-10 12:00:00,58.75,0.00
2026-04-10 15:00:00,0.00,41.42
2026-04-10 16:00:00,70.81,0.00
2026-04-10 18:00:00,37.73,0.00
2026-04-10 21:00:00,143.17,0.00
2026-04-11 01:00:00,7683.89,0.00
2026-04-11 03:00:00,0.05,0.00
2026-04-11 07:00:00,360.81,0.00
2026-04-11 11:00:00,180.02,0.00
2026-04-11 13:00:00,35.23,0.00
2026-04-11 14:00:00,195.47,0.00
2026-04-11 23:00:00,0.00,64.98
2026-04-12 02:00:00,1979.96,0.00
2026-04-12 03:00:00,101.31,0.00
2026-04-12 05:00:00,0.04,0.00
2026-04-12 07:00:00,5.32,0.00
2026-04-12 09:00:00,508.66,0.00
2026-04-12 11:00:00,3040.58,0.00
2026-04-12 13:00:00,21.52,0.00
2026-04-12 18:00:00,8.03,0.00
2026-04-12 19:00:00,5.25,0.00
2026-04-12 21:00:00,0.00,47.77
2026-04-12 22:00:00,1914.98,0.00
2026-04-13 00:00:00,38.07,0.00
2026-04-13 05:00:00,575.51,0.00
2026-04-13 06:00:00,668.80,0.00
2026-04-13 07:00:00,0.00,847.04
2026-04-13 08:00:00,101.93,0.00
2026-04-13 09:00:00,6.38,0.00
2026-04-13 11:00:00,0.00,79.20
2026-04-13 16:00:00,5577.80,0.00
2026-04-13 17:00:00,59.29,0.00
2026-04-14 02:00:00,0.00,8.52
2026-04-14 07:00:00,0.00,723.79
2026-04-14 08:00:00,6.59,0.00
2026-04-14 09:00:00,1.79,231.73
2026-04-14 10:00:00,374.12,16.82
2026-04-14 11:00:00,47.52,0.00
2026-04-14 14:00:00,0.00,21.55
2026-04-14 15:00:00,0.00,149.00
2026-04-14 16:00:00,488.60,433.15
2026-04-14 18:00:00,978.99,0.00
2026-04-14 19:00:00,237.01,0.00
2026-04-14 23:00:00,261.74,0.00
2026-04-15 02:00:00,0.00,15.13
2026-04-15 14:00:00,28.70,0.00
2026-04-15 15:00:00,207.23,0.00
2026-04-15 16:00:00,1771.16,125.47
2026-04-15 17:00:00,72.53,0.00
2026-04-15 18:00:00,0.00,51.93
2026-04-15 20:00:00,241.42,0.00
2026-04-16 03:00:00,10.09,0.00
2026-04-16 04:00:00,0.00,99.32
2026-04-16 05:00:00,0.00,201.26
2026-04-16 07:00:00,0.00,7.32
2026-04-16 08:00:00,68.69,0.00
2026-04-16 11:00:00,88.17,0.00
2026-04-16 13:00:00,712.44,46.54
2026-04-16 14:00:00,4619.82,0.00
2026-04-16 15:00:00,1395.96,0.00
2026-04-16 16:00:00,3327.70,716.37
2026-04-16 18:00:00,0.00,543.32
2026-04-16 19:00:00,0.00,20.21
2026-04-16 20:00:00,1552.62,162.38
2026-04-16 21:00:00,0.00,287.34
2026-04-16 23:00:00,0.00,6807.95
2026-04-17 02:00:00,197.09,10.64
2026-04-17 04:00:00,800.88,0.00
2026-04-17 06:00:00,95.20,0.00
2026-04-17 09:00:00,8.40,0.00
2026-04-17 10:00:00,9.02,0.00
2026-04-17 12:00:00,0.00,60.20
