time,liq_long_usd,liq_short_usd
2026-04-05 07:00:00,50.73,0.00
2026-04-05 13:00:00,0.00,2294.96
2026-04-05 14:00:00,50.65,0.00
2026-04-06 12:00:00,0.00,39.60
2026-04-06 13:00:00,922.50,0.00
2026-04-06 14:00:00,553.16,0.00
2026-04-06 18:00:00,62.06,0.00
2026-04-06 23:00:00,46.26,0.00
2026-04-07 00:00:00,989.18,0.00
2026-04-07 01:00:00,125.96,0.00
2026-04-07 02:00:00,35.97,78.43
2026-04-07 03:00:00,19.69,0.00
2026-04-07 04:00:00,0.00,79.44
2026-04-07 13:00:00,5.34,0.00
2026-04-07 14:00:00,38.06,0.00
2026-04-07 23:00:00,0.00,49.02
2026-04-08 03:00:00,12.43,0.00
2026-04-08 11:00:00,1173.11,0.00
2026-04-08 13:00:00,4724.58,0.00
2026-04-08 14:00:00,800.49,0.00
2026-04-08 15:00:00,1582.19,0.00
2026-04-08 16:00:00,0.00,38.67
2026-04-08 17:00:00,271.17,0.00
2026-04-08 20:00:00,170.91,0.00
2026-04-08 23:00:00,75.59,0.00
2026-04-09 01:00:00,672.01,1909.08
2026-04-09 02:00:00,31.15,0.00
2026-04-09 04:00:00,0.00,15.07
2026-04-09 06:00:00,55.11,0.00
2026-04-09 11:00:00,2503.57,0.00
2026-04-09 14:00:00,6214.80,265.12
2026-04-09 22:00:00,22.32,0.00
2026-04-10 05:00:00,0.00,2466.53
2026-04-10 13:00:00,1740.42,0.00
2026-04-10 15:00:00,10.07,0.00
2026-04-11 01:00:00,0.00,12.99
2026-04-11 03:00:00,0.04,0.00
2026-04-11 07:00:00,984.36,490.03
2026-04-11 09:00:00,721.35,954.27
2026-04-11 10:00:00,982.37,0.00
2026-04-11 14:00:00,95.53,0.00
2026-04-11 18:00:00,179.98,0.00
2026-04-11 20:00:00,0.00,700.78
2026-04-11 22:00:00,43.63,0.00
2026-04-12 02:00:00,2618.83,0.00
2026-04-12 06:00:00,2.23,0.00
2026-04-12 07:00:00,41.95,0.04
2026-04-12 08:00:00,219.52,0.00
2026-04-12 10:00:00,861.64,12.27
2026-04-12 12:00:00,0.00,6.62
2026-04-12 13:00:00,55.09,12.27
2026-04-12 14:00:00,57.74,0.00
2026-04-12 15:00:00,4757.23,0.00
2026-04-12 18:00:00,0.00,23.14
2026-04-12 19:00:00,110.18,3.02
2026-04-12 21:00:00,0.14,0.00
2026-04-12 22:00:00,9.91,0.00
2026-04-13 00:00:00,3579.62,0.00
2026-04-13 01:00:00,0.00,56.85
2026-04-13 04:00:00,26.61,0.00
2026-04-13 05:00:00,1003.45,0.00
2026-04-13 07:00:00,180.44,0.00
2026-04-13 08:00:00,205.85,24.98
2026-04-13 09:00:00,4865.57,0.00
2026-04-13 10:00:00,81.74,0.00
2026-04-13 11:00:00,0.00,35.53
2026-04-13 13:00:00,13.61,0.00
2026-04-13 14:00:00,23.57,0.00
2026-04-13 15:00:00,0.00,366.87
2026-04-13 16:00:00,725.08,29.46
2026-04-13 17:00:00,241.02,103.96
2026-04-13 19:00:00,183.10,0.00
2026-04-13 20:00:00,0.00,49.63
2026-04-13 21:00:00,18.99,0.00
2026-04-14 06:00:00,0.00,311.07
2026-04-14 07:00:00,350.93,0.00
2026-04-14 08:00:00,426.01,0.00
2026-04-14 10:00:00,23.71,0.00
2026-04-14 11:00:00,0.97,0.00
2026-04-14 12:00:00,5731.16,0.00
2026-04-14 14:00:00,0.00,82.29
2026-04-14 17:00:00,3247.50,0.00
2026-04-14 18:00:00,1598.43,0.00
2026-04-14 19:00:00,7.87,0.00
2026-04-14 20:00:00,9.51,0.00
2026-04-15 02:00:00,0.00,12.06
2026-04-15 03:00:00,233.84,0.00
2026-04-15 17:00:00,344.98,0.00
2026-04-15 20:00:00,0.00,331.87
2026-04-16 00:00:00,0.18,0.00
2026-04-16 03:00:00,223.25,0.00
2026-04-16 05:00:00,0.00,4719.38
2026-04-16 06:00:00,878.22,0.00
2026-04-16 07:00:00,0.00,7.15
2026-04-16 13:00:00,0.00,12.05
2026-04-16 14:00:00,707.90,0.00
2026-04-16 19:00:00,0.00,150.49
2026-04-16 20:00:00,2.95,0.00
2026-04-16 21:00:00,0.00,1889.15
2026-04-16 22:00:00,0.00,16.16
2026-04-16 23:00:00,0.00,22.96
2026-04-17 01:00:00,0.00,41.59
2026-04-17 02:00:00,748.59,0.00
2026-04-17 04:00:00,320.98,0.00
2026-04-17 07:00:00,19.79,0.00
2026-04-17 08:00:00,0.00,40.36
2026-04-17 09:00:00,1078.36,0.00
2026-04-17 10:00:00,96.79,0.00
2026-04-17 12:00:00,0.00,9.27
2026-04-17 14:00:00,0.00,57.21
2026-04-17 15:00:00,0.00,37.70
2026-04-17 17:00:00,296.14,848.19
2026-04-17 18:00:00,2580.18,0.00
2026-04-17 19:00:00,26.41,0.00
2026-04-17 21:00:00,43.67,0.00
2026-04-17 22:00:00,708.89,0.00
2026-04-18 01:00:00,40.37,24.87
2026-04-18 02:00:00,2.07,365.06
2026-04-18 08:00:00,0.00,14.99
2026-04-18 09:00:00,91.69,0.00
2026-04-18 11:00:00,0.00,19.48
2026-04-18 12:00:00,217.62,0.00
2026-04-18 13:00:00,757.13,0.00
2026-04-18 14:00:00,5935.21,0.00
2026-04-18 15:00:00,9.36,1562.67
2026-04-18 17:00:00,119.35,31.02
2026-04-18 19:00:00,259.32,0.00
2026-04-18 20:00:00,525.63,0.00
2026-04-18 21:00:00,106.95,0.00
2026-04-18 22:00:00,19.11,0.00
2026-04-19 01:00:00,1110.86,0.00
2026-04-19 03:00:00,401.46,34.15
2026-04-19 04:00:00,492.27,0.00
2026-04-19 07:00:00,65.64,0.00
2026-04-19 09:00:00,259.56,0.00
2026-04-19 16:00:00,219.68,0.00
2026-04-19 18:00:00,755.58,0.00
2026-04-19 21:00:00,465.27,0.00
2026-04-19 23:00:00,239.95,0.00
2026-04-20 00:00:00,30.57,0.00
2026-04-20 02:00:00,0.00,19.08
2026-04-20 06:00:00,10.26,0.00
2026-04-20 07:00:00,1148.88,0.00
2026-04-20 08:00:00,292.98,0.00
2026-04-20 09:00:00,1173.14,0.00
2026-04-20 10:00:00,0.00,11.31
2026-04-20 15:00:00,31.30,0.00
2026-04-20 17:00:00,183.20,0.00
2026-04-20 18:00:00,44.63,0.00
2026-04-20 19:00:00,2304.08,0.00
2026-04-21 06:00:00,0.00,26.02
2026-04-21 11:00:00,19.79,0.00
2026-04-21 20:00:00,195.96,0.00
2026-04-22 13:00:00,1625.51,0.00
2026-04-22 20:00:00,0.73,0.00
2026-04-23 01:00:00,1026.17,0.00
2026-04-23 03:00:00,12.67,0.00
2026-04-23 10:00:00,212.61,0.00
2026-04-23 11:00:00,6.33,135.05
2026-04-23 13:00:00,235.83,0.00
2026-04-24 14:00:00,0.00,19.46
2026-04-24 15:00:00,0.00,12.63
2026-04-24 16:00:00,0.00,6.08
2026-04-24 19:00:00,100.86,0.00
2026-04-24 21:00:00,7.41,0.00
2026-04-24 22:00:00,349.11,0.00
2026-04-25 01:00:00,0.00,15.36
2026-04-25 02:00:00,0.00,6.51
2026-04-25 05:00:00,117.61,0.00
2026-04-25 06:00:00,106.43,0.00
2026-04-25 07:00:00,42.53,0.00
2026-04-25 10:00:00,0.00,1260.57
2026-04-25 11:00:00,298.54,0.00
2026-04-25 12:00:00,4920.15,0.00
2026-04-25 15:00:00,24.42,0.00
2026-04-25 17:00:00,367.11,0.00
2026-04-25 18:00:00,471.48,0.00
2026-04-25 20:00:00,7.47,0.00
2026-04-26 03:00:00,5.02,0.00
2026-04-26 13:00:00,0.05,0.00
2026-04-26 18:00:00,93.33,0.00
2026-04-26 23:00:00,1008.41,0.00
2026-04-27 01:00:00,360.21,0.00
2026-04-27 02:00:00,18.44,0.00
2026-04-27 05:00:00,0.00,19.52
2026-04-27 06:00:00,223.95,0.00
2026-04-27 09:00:00,398.82,0.00
2026-04-27 12:00:00,251.63,0.00
2026-04-27 16:00:00,1214.77,0.00
2026-04-28 02:00:00,116.31,0.00
2026-04-28 06:00:00,0.00,19.45
2026-04-28 07:00:00,0.00,11.61
2026-04-28 08:00:00,150.33,176.11
2026-04-28 10:00:00,0.00,9.23
2026-04-28 12:00:00,0.00,13.08
2026-04-28 14:00:00,0.00,20.64
2026-04-28 17:00:00,14.98,0.00
2026-04-29 03:00:00,59.62,0.00
2026-04-29 06:00:00,0.00,19.68
2026-04-29 08:00:00,894.75,0.00
2026-04-29 10:00:00,40.14,0.00
2026-04-29 12:00:00,0.00,93.70
2026-04-29 13:00:00,257.01,0.00
2026-04-29 16:00:00,852.14,0.00
2026-04-29 17:00:00,1536.31,0.00
2026-04-29 18:00:00,18.54,0.00
2026-04-29 19:00:00,807.72,0.00
2026-04-29 23:00:00,0.00,20.46
2026-04-30 01:00:00,467.47,0.00
2026-04-30 05:00:00,12.35,0.00
2026-04-30 09:00:00,83.25,0.00
2026-04-30 10:00:00,44.89,0.00
2026-04-30 11:00:00,733.57,0.00
2026-04-30 12:00:00,53.54,0.00
2026-04-30 15:00:00,126.32,0.00
2026-04-30 16:00:00,205.91,57.80
2026-04-30 19:00:00,128.47,0.00
2026-05-01 00:00:00,760.86,0.00
2026-05-01 01:00:00,6242.58,0.00
2026-05-01 02:00:00,0.00,13.08
2026-05-01 03:00:00,0.00,3.44
2026-05-01 08:00:00,12.32,0.00
2026-05-01 09:00:00,19.21,0.00
2026-05-01 16:00:00,0.00,197.68
2026-05-01 17:00:00,37.41,0.00
2026-05-01 18:00:00,18.30,0.00
2026-05-01 19:00:00,6639.10,0.00
2026-05-02 00:00:00,3354.98,0.00
2026-05-02 01:00:00,11.77,0.00
2026-05-02 04:00:00,2736.95,0.00
2026-05-02 06:00:00,0.50,34.72
2026-05-02 09:00:00,0.00,25.30
2026-05-02 15:00:00,0.00,61.98
2026-05-02 19:00:00,0.00,13.23
2026-05-02 20:00:00,0.00,6.47
2026-05-02 22:00:00,57.99,1655.70
2026-05-03 01:00:00,0.00,19.43
2026-05-03 03:00:00,90.17,0.00
2026-05-03 04:00:00,11.42,6.63
2026-05-03 05:00:00,0.00,19.39
2026-05-03 06:00:00,0.00,21.70
2026-05-03 09:00:00,18.53,0.00
2026-05-03 13:00:00,197.02,0.00
2026-05-03 20:00:00,0.00,12.82
2026-05-03 22:00:00,51.42,0.00
2026-05-03 23:00:00,5.37,0.00
2026-05-04 01:00:00,273.16,0.00
2026-05-04 03:00:00,0.00,24.78
2026-05-04 05:00:00,0.00,19.73
2026-05-04 10:00:00,0.00,5.96
