time,liq_long_usd,liq_short_usd
2026-03-29 23:00:00,359.28,0.00
2026-03-30 06:00:00,0.00,6.49
2026-03-30 09:00:00,0.00,0.82
2026-03-30 17:00:00,0.00,9.69
2026-03-31 09:00:00,393.92,0.00
2026-03-31 14:00:00,0.00,1970.15
2026-03-31 16:00:00,5.24,0.00
2026-03-31 17:00:00,0.00,322.81
2026-03-31 18:00:00,0.00,199.31
2026-04-01 02:00:00,1.24,0.00
2026-04-01 07:00:00,9.99,76.62
2026-04-01 13:00:00,0.00,39.72
2026-04-01 14:00:00,32.22,0.00
2026-04-01 17:00:00,137.05,0.00
2026-04-01 19:00:00,122.64,0.00
2026-04-02 02:00:00,524.18,0.00
2026-04-02 03:00:00,22.11,0.00
2026-04-02 04:00:00,288.80,0.00
2026-04-02 06:00:00,0.00,58.10
2026-04-02 09:00:00,0.00,0.40
2026-04-02 10:00:00,377.87,0.00
2026-04-02 11:00:00,455.51,0.00
2026-04-02 14:00:00,4028.89,0.00
2026-04-02 23:00:00,0.00,372.77
2026-04-03 00:00:00,99.51,0.00
2026-04-03 03:00:00,0.00,2983.97
2026-04-03 12:00:00,0.00,2258.17
2026-04-03 22:00:00,0.00,550.68
2026-04-03 23:00:00,792.60,0.00
2026-04-04 09:00:00,293.98,0.00
2026-04-04 10:00:00,1923.33,0.00
2026-04-04 11:00:00,912.87,0.00
2026-04-04 14:00:00,66.88,0.00
2026-04-04 15:00:00,5168.22,0.00
2026-04-04 18:00:00,110.17,0.00
2026-04-04 20:00:00,75.35,0.00
2026-04-04 22:00:00,766.21,0.00
2026-04-05 02:00:00,3197.03,0.00
2026-04-05 03:00:00,0.00,49.73
2026-04-05 06:00:00,410.78,0.00
2026-04-05 13:00:00,6583.62,0.00
2026-04-05 14:00:00,2158.22,0.00
2026-04-05 23:00:00,53.90,0.00
2026-04-06 00:00:00,0.00,10.04
2026-04-06 03:00:00,0.00,31.83
2026-04-06 10:00:00,0.00,255.17
2026-04-06 23:00:00,24.30,0.00
2026-04-07 04:00:00,11.55,0.00
2026-04-07 11:00:00,16.74,0.00
2026-04-07 12:00:00,380.80,14.47
2026-04-07 13:00:00,16.84,0.00
2026-04-07 16:00:00,122.11,0.00
2026-04-07 23:00:00,0.00,502.33
2026-04-08 00:00:00,0.00,312.08
2026-04-08 15:00:00,3389.43,0.00
2026-04-09 10:00:00,468.11,0.00
2026-04-09 15:00:00,5.16,0.00
2026-04-09 23:00:00,0.00,103.29
2026-04-10 11:00:00,5393.92,0.00
2026-04-10 15:00:00,30.20,1414.28
2026-04-10 19:00:00,0.00,438.47
2026-04-10 20:00:00,0.00,2060.06
2026-04-10 23:00:00,100.10,0.00
2026-04-11 02:00:00,549.77,0.00
2026-04-11 06:00:00,1347.48,0.00
2026-04-11 14:00:00,2165.27,0.00
2026-04-11 17:00:00,0.00,3570.18
2026-04-11 20:00:00,456.16,0.00
2026-04-12 02:00:00,5320.75,0.00
2026-04-12 03:00:00,197.61,0.00
2026-04-12 07:00:00,19.50,5.46
2026-04-12 11:00:00,172.41,0.00
2026-04-12 14:00:00,187.26,0.00
2026-04-12 15:00:00,297.99,0.00
2026-04-12 17:00:00,9.64,0.00
2026-04-12 18:00:00,32.95,19.77
2026-04-12 19:00:00,18.95,0.00
2026-04-12 21:00:00,60.19,0.00
2026-04-12 22:00:00,419.82,0.00
2026-04-12 23:00:00,1045.90,0.00
2026-04-13 00:00:00,26.84,0.00
2026-04-13 03:00:00,0.00,5933.21
2026-04-13 05:00:00,1.16,0.00
2026-04-13 07:00:00,5.03,2829.91
2026-04-13 08:00:00,331.82,28.84
2026-04-13 09:00:00,9.63,0.00
2026-04-13 11:00:00,0.00,196.24
2026-04-13 13:00:00,0.00,134.52
2026-04-13 17:00:00,987.96,0.00
2026-04-13 20:00:00,0.00,2908.85
2026-04-13 23:00:00,0.00,2507.03
