time,liq_long_usd,liq_short_usd
2026-04-02 08:00:00,545.96,57.45
2026-04-02 09:00:00,128.05,18.86
2026-04-02 10:00:00,4150.90,995.15
2026-04-02 11:00:00,45.92,0.00
2026-04-02 13:00:00,3.99,0.00
2026-04-02 14:00:00,5.02,0.00
2026-04-02 16:00:00,189.82,0.00
2026-04-02 20:00:00,0.00,29.49
2026-04-03 01:00:00,99.77,0.00
2026-04-03 02:00:00,238.84,0.00
2026-04-03 03:00:00,158.25,146.81
2026-04-03 05:00:00,13.74,0.00
2026-04-03 13:00:00,0.00,17.43
2026-04-03 15:00:00,4981.55,0.00
2026-04-03 16:00:00,251.43,0.00
2026-04-03 22:00:00,0.00,25.59
2026-04-03 23:00:00,393.25,0.00
2026-04-04 00:00:00,22.29,0.17
2026-04-04 03:00:00,2424.94,631.22
2026-04-04 04:00:00,0.00,5.19
2026-04-04 06:00:00,9282.36,8602.45
2026-04-04 08:00:00,13.78,131.37
2026-04-04 09:00:00,0.00,672.44
2026-04-04 10:00:00,49.63,0.00
2026-04-04 11:00:00,0.00,12.77
2026-04-04 12:00:00,2489.08,0.00
2026-04-04 13:00:00,0.00,64.41
2026-04-04 14:00:00,3208.53,10917.36
2026-04-04 15:00:00,1459.53,3344.97
2026-04-04 16:00:00,2095.22,430.40
2026-04-04 17:00:00,2171.42,4320.75
2026-04-04 18:00:00,0.00,848.78
2026-04-04 19:00:00,471.46,16.31
2026-04-04 21:00:00,7.20,54.19
2026-04-04 22:00:00,1361.88,418.30
2026-04-04 23:00:00,26.83,0.00
2026-04-05 00:00:00,24.92,80.49
2026-04-05 01:00:00,0.00,2188.29
2026-04-05 02:00:00,2922.25,1879.27
2026-04-05 03:00:00,676.77,0.00
2026-04-05 04:00:00,29.91,0.00
2026-04-05 05:00:00,0.00,103.35
2026-04-05 07:00:00,1041.23,0.00
2026-04-05 08:00:00,5452.36,61.36
2026-04-05 10:00:00,64.13,0.00
2026-04-05 11:00:00,483.53,389.01
2026-04-05 13:00:00,6710.19,0.00
2026-04-05 14:00:00,762.39,0.00
2026-04-05 18:00:00,21.07,0.00
2026-04-05 19:00:00,0.00,98.17
2026-04-05 21:00:00,55.50,46.52
2026-04-05 22:00:00,168.83,0.00
2026-04-05 23:00:00,33.44,0.00
2026-04-06 01:00:00,0.00,1889.46
2026-04-06 03:00:00,0.00,336.20
2026-04-06 04:00:00,218.01,0.00
2026-04-06 06:00:00,398.32,0.00
2026-04-06 07:00:00,6.89,0.00
2026-04-06 08:00:00,19.71,0.00
2026-04-06 12:00:00,31.17,0.00
2026-04-06 13:00:00,34.53,0.00
2026-04-06 15:00:00,0.00,1460.80
2026-04-06 17:00:00,0.00,5.03
2026-04-06 23:00:00,760.47,0.00
2026-04-07 00:00:00,5.01,0.00
2026-04-07 02:00:00,64.86,0.00
2026-04-07 03:00:00,52.37,117.91
2026-04-07 04:00:00,0.00,26.80
2026-04-07 06:00:00,338.10,0.00
2026-04-07 08:00:00,129.16,59.89
2026-04-07 09:00:00,60.73,0.00
2026-04-07 11:00:00,328.84,0.00
2026-04-07 13:00:00,1844.85,0.00
2026-04-07 14:00:00,4655.41,0.00
2026-04-07 16:00:00,521.52,0.00
2026-04-07 21:00:00,0.00,132.67
2026-04-07 22:00:00,23.78,0.00
2026-04-07 23:00:00,0.00,1730.79
2026-04-08 00:00:00,0.00,351.25
2026-04-08 02:00:00,505.66,0.00
2026-04-08 04:00:00,0.00,64.18
2026-04-08 05:00:00,1592.47,0.00
2026-04-08 06:00:00,15.51,0.00
2026-04-08 10:00:00,32.60,0.00
2026-04-08 15:00:00,0.00,352.10
2026-04-08 17:00:00,0.00,493.45
2026-04-08 19:00:00,149.61,0.00
2026-04-08 20:00:00,6.79,0.00
2026-04-08 22:00:00,189.40,0.00
2026-04-08 23:00:00,767.48,0.00
2026-04-09 00:00:00,1383.17,20.34
2026-04-09 03:00:00,0.00,203.12
2026-04-09 04:00:00,0.00,24.23
2026-04-09 07:00:00,2216.99,9.99
2026-04-09 09:00:00,0.00,10.20
2026-04-09 11:00:00,1586.40,0.00
2026-04-09 15:00:00,5.02,0.00
2026-04-09 19:00:00,3927.13,0.00
2026-04-09 21:00:00,0.00,224.90
2026-04-09 22:00:00,2224.31,0.00
2026-04-09 23:00:00,41.81,0.02
2026-04-10 01:00:00,23.66,37.35
2026-04-10 04:00:00,0.00,19.32
2026-04-10 05:00:00,0.00,5.97
2026-04-10 09:00:00,0.00,1808.07
2026-04-10 11:00:00,217.74,0.00
2026-04-10 14:00:00,119.13,0.00
2026-04-10 15:00:00,30.13,0.00
2026-04-10 19:00:00,6.12,0.00
2026-04-11 00:00:00,0.00,88.28
2026-04-11 02:00:00,276.02,0.00
2026-04-11 03:00:00,4.68,0.00
2026-04-11 06:00:00,87.59,0.00
2026-04-11 10:00:00,329.94,0.00
2026-04-11 17:00:00,29.26,0.00
2026-04-11 20:00:00,397.91,0.00
2026-04-11 23:00:00,0.00,1371.24
2026-04-12 02:00:00,7846.49,0.00
2026-04-12 03:00:00,23.95,0.00
2026-04-12 05:00:00,1237.15,0.00
2026-04-12 07:00:00,1536.99,0.00
2026-04-12 11:00:00,0.00,18.76
2026-04-12 13:00:00,10.85,0.00
2026-04-12 14:00:00,2425.17,0.00
2026-04-12 16:00:00,4.08,0.00
2026-04-12 18:00:00,0.00,41.44
2026-04-12 21:00:00,1088.00,0.00
2026-04-12 22:00:00,190.57,0.00
2026-04-13 00:00:00,500.00,0.00
2026-04-13 01:00:00,379.49,0.00
2026-04-13 06:00:00,0.00,2089.01
2026-04-13 07:00:00,58.70,0.00
2026-04-13 08:00:00,623.88,101.74
2026-04-13 11:00:00,73.91,0.00
2026-04-13 12:00:00,8.21,673.35
2026-04-13 14:00:00,0.00,100.40
2026-04-13 16:00:00,0.00,7.18
2026-04-13 17:00:00,340.08,0.00
2026-04-13 18:00:00,160.26,0.00
2026-04-13 19:00:00,392.50,4.75
2026-04-13 20:00:00,710.98,22.79
2026-04-13 23:00:00,58.88,0.00
2026-04-14 01:00:00,2.07,300.31
2026-04-14 02:00:00,629.49,0.00
2026-04-14 05:00:00,2.97,0.00
2026-04-14 06:00:00,5.58,0.00
2026-04-14 07:00:00,0.00,0.02
2026-04-14 08:00:00,0.00,29.21
2026-04-14 09:00:00,89.16,0.00
2026-04-14 12:00:00,3844.48,7.81
2026-04-14 14:00:00,0.00,602.94
2026-04-14 15:00:00,21.14,0.00
2026-04-14 16:00:00,116.59,26982.22
2026-04-14 17:00:00,209.52,0.00
2026-04-14 18:00:00,24.33,9.51
2026-04-15 00:00:00,74.82,0.00
2026-04-15 01:00:00,581.19,0.00
2026-04-15 02:00:00,0.00,65.60
2026-04-15 07:00:00,171.72,0.00
2026-04-15 21:00:00,0.00,59.79
2026-04-15 22:00:00,0.00,20.12
2026-04-16 03:00:00,25.23,0.00
2026-04-16 05:00:00,0.00,1742.46
2026-04-16 07:00:00,228.19,7.17
2026-04-16 08:00:00,715.10,0.00
2026-04-16 10:00:00,121.26,0.00
2026-04-16 13:00:00,0.00,1122.32
2026-04-16 14:00:00,2.51,526.94
2026-04-16 17:00:00,326.66,24.40
2026-04-16 18:00:00,0.00,150.84
2026-04-16 19:00:00,0.00,20.87
2026-04-16 20:00:00,0.00,539.67
2026-04-17 04:00:00,0.00,42.73
2026-04-17 05:00:00,0.00,225.62
2026-04-17 06:00:00,9505.27,0.00
2026-04-17 08:00:00,96.14,0.00
2026-04-17 09:00:00,898.98,0.00
2026-04-17 14:00:00,523.87,634.82
2026-04-17 16:00:00,81.63,0.00
2026-04-17 17:00:00,5.22,0.00
2026-04-18 01:00:00,112.87,408.98
2026-04-18 02:00:00,250.95,0.00
2026-04-18 03:00:00,0.00,10.74
2026-04-18 05:00:00,204.91,0.00
2026-04-18 07:00:00,0.00,48.49
2026-04-18 09:00:00,976.18,79.55
2026-04-18 11:00:00,737.96,0.00
2026-04-18 12:00:00,15.84,0.00
2026-04-18 14:00:00,318.86,0.00
2026-04-18 17:00:00,14962.91,0.00
2026-04-18 19:00:00,1683.39,1455.15
2026-04-19 00:00:00,266.82,0.00
2026-04-19 01:00:00,2275.94,0.00
2026-04-19 03:00:00,2813.59,0.00
2026-04-19 04:00:00,0.00,19.36
2026-04-19 05:00:00,306.07,0.00
2026-04-19 08:00:00,970.89,0.00
2026-04-19 10:00:00,1142.32,0.00
2026-04-19 16:00:00,167.77,0.00
2026-04-19 23:00:00,14424.41,0.00
2026-04-20 00:00:00,49.52,0.00
2026-04-20 05:00:00,5.54,0.00
2026-04-20 10:00:00,1663.00,0.00
2026-04-21 03:00:00,0.00,783.97
2026-04-21 04:00:00,435.63,0.00
2026-04-21 12:00:00,0.00,188.03
2026-04-21 13:00:00,0.00,37.92
2026-04-21 14:00:00,105.50,0.00
2026-04-22 03:00:00,71.01,0.00
2026-04-22 10:00:00,0.00,8.12
2026-04-22 11:00:00,22.95,0.00
2026-04-22 13:00:00,36.88,0.00
2026-04-22 14:00:00,67.28,232.32
2026-04-22 16:00:00,91.27,1220.68
2026-04-22 17:00:00,181.40,0.00
2026-04-22 20:00:00,682.56,0.00
2026-04-22 21:00:00,1156.92,0.00
2026-04-22 22:00:00,37.63,0.00
2026-04-23 00:00:00,164.36,0.00
2026-04-23 01:00:00,4987.12,0.00
2026-04-23 03:00:00,197.27,0.00
2026-04-23 04:00:00,5030.83,0.00
2026-04-23 11:00:00,2007.30,0.00
2026-04-23 15:00:00,86.84,0.00
2026-04-24 21:00:00,0.59,0.00
2026-04-25 07:00:00,0.00,480.79
2026-04-25 09:00:00,0.00,39.06
2026-04-25 12:00:00,227.61,4875.24
2026-04-25 13:00:00,35316.43,55070.13
2026-04-25 14:00:00,15448.44,5833.61
2026-04-25 15:00:00,3886.76,0.00
2026-04-25 16:00:00,1801.99,0.00
2026-04-25 17:00:00,5993.37,0.00
2026-04-25 19:00:00,0.00,93.89
2026-04-25 20:00:00,9.27,0.00
2026-04-25 22:00:00,0.00,349.60
2026-04-25 23:00:00,51.48,0.00
2026-04-26 00:00:00,359.22,0.00
2026-04-26 01:00:00,28034.15,0.00
2026-04-26 02:00:00,1181.67,0.00
2026-04-26 04:00:00,941.47,0.00
2026-04-26 05:00:00,809.11,0.00
2026-04-26 06:00:00,1022.23,0.00
2026-04-26 07:00:00,410.83,0.00
2026-04-26 08:00:00,340.92,87.03
2026-04-26 09:00:00,91.26,267.48
2026-04-26 10:00:00,15022.55,11085.13
2026-04-26 11:00:00,204.52,701.94
2026-04-26 12:00:00,14129.19,0.00
2026-04-26 13:00:00,5869.46,9.38
2026-04-26 15:00:00,0.00,6.42
2026-04-26 16:00:00,138.24,300.50
2026-04-26 17:00:00,0.07,0.00
2026-04-26 18:00:00,12.11,0.00
2026-04-26 22:00:00,550.86,0.00
2026-04-26 23:00:00,0.00,23.33
2026-04-27 00:00:00,457.64,0.00
2026-04-27 01:00:00,3394.52,595.43
2026-04-27 02:00:00,3439.28,1780.14
2026-04-27 03:00:00,25.86,0.00
2026-04-27 04:00:00,0.00,77.59
2026-04-27 05:00:00,0.00,257.95
2026-04-27 06:00:00,11765.38,0.00
2026-04-27 07:00:00,5182.94,0.00
2026-04-27 08:00:00,629.80,0.00
2026-04-27 09:00:00,0.00,176.37
2026-04-27 14:00:00,160.35,0.00
2026-04-27 15:00:00,120.80,0.00
2026-04-27 16:00:00,554.10,0.00
2026-04-28 02:00:00,1940.00,0.00
2026-04-28 07:00:00,9.72,0.00
2026-04-28 08:00:00,0.00,4994.68
2026-04-28 09:00:00,22.66,0.00
2026-04-28 12:00:00,44.81,0.00
2026-04-28 15:00:00,45.75,0.00
2026-04-28 17:00:00,0.00,5.99
2026-04-28 20:00:00,69.61,0.00
2026-04-29 02:00:00,0.00,20.15
2026-04-29 07:00:00,3027.54,0.00
2026-04-29 08:00:00,363.16,0.00
2026-04-29 12:00:00,40.69,0.00
2026-04-29 13:00:00,22.99,0.00
2026-04-29 14:00:00,84.79,0.00
2026-04-29 16:00:00,17434.17,0.00
2026-04-29 17:00:00,0.00,50.15
2026-04-29 19:00:00,6611.73,0.00
2026-04-30 13:00:00,51.50,0.00
2026-04-30 16:00:00,994.15,0.00
2026-04-30 19:00:00,54.21,0.00
2026-04-30 20:00:00,19.93,0.00
2026-05-01 01:00:00,4966.71,0.00
2026-05-01 02:00:00,7.95,0.00
2026-05-01 04:00:00,187.46,0.00
2026-05-01 11:00:00,511.24,0.00
2026-05-01 13:00:00,87.02,0.00
2026-05-01 14:00:00,16.58,0.00
2026-05-01 17:00:00,0.00,5057.55
2026-05-01 18:00:00,50.00,0.00
2026-05-01 21:00:00,47.54,0.00
2026-05-02 00:00:00,182.59,0.00
2026-05-02 01:00:00,0.00,83.12
2026-05-02 03:00:00,9.95,0.00
2026-05-02 05:00:00,163.53,0.00
2026-05-02 06:00:00,366.24,0.00
2026-05-02 07:00:00,8.33,0.00
2026-05-02 11:00:00,0.00,88.42
2026-05-02 12:00:00,986.32,0.00
2026-05-02 14:00:00,202.45,0.00
2026-05-02 15:00:00,819.35,18.03
2026-05-02 16:00:00,211.75,84.09
2026-05-02 17:00:00,156.59,2592.47
2026-05-02 22:00:00,715.20,0.00
2026-05-02 23:00:00,891.20,0.00
2026-05-03 01:00:00,0.00,343.25
2026-05-03 02:00:00,476.28,711.33
2026-05-03 03:00:00,1491.39,26.01
2026-05-03 04:00:00,219.33,0.00
2026-05-03 07:00:00,0.00,841.83
2026-05-03 09:00:00,738.12,5.02
2026-05-03 10:00:00,14.53,0.00
2026-05-03 12:00:00,249.89,0.00
2026-05-03 13:00:00,0.00,52.68
2026-05-03 16:00:00,21.97,0.00
2026-05-03 18:00:00,46.96,0.00
2026-05-03 21:00:00,42.11,0.00
2026-05-04 01:00:00,1129.80,28.30
2026-05-04 02:00:00,35.61,1052.48
2026-05-04 03:00:00,0.00,35.01
2026-05-04 04:00:00,1026.09,5.19
2026-05-04 05:00:00,99.29,77.66
2026-05-04 06:00:00,30.11,0.00
2026-05-04 07:00:00,70.19,0.00
2026-05-04 11:00:00,54.82,0.00
2026-05-04 15:00:00,360.03,0.00
2026-05-04 18:00:00,24.98,0.00
2026-05-04 21:00:00,6019.44,29.07
2026-05-04 23:00:00,1105.21,0.00
2026-05-05 00:00:00,3.00,0.00
2026-05-05 02:00:00,0.00,0.24
2026-05-05 04:00:00,668.24,0.00
2026-05-05 07:00:00,19.88,0.00
2026-05-05 10:00:00,0.17,237.97
2026-05-05 14:00:00,0.00,1995.08
2026-05-05 15:00:00,34.38,0.00
2026-05-05 17:00:00,0.00,38.25
2026-05-05 21:00:00,103.48,62.13
2026-05-05 22:00:00,0.00,4658.41
2026-05-06 01:00:00,108.61,0.00
2026-05-06 03:00:00,0.00,523.74
2026-05-06 07:00:00,2.69,0.00
2026-05-06 08:00:00,0.61,24.54
2026-05-06 10:00:00,648.49,0.00
2026-05-06 13:00:00,7.00,117.99
2026-05-06 14:00:00,10748.40,0.00
2026-05-06 15:00:00,1329.85,0.00
2026-05-06 17:00:00,0.00,51.90
2026-05-06 18:00:00,50.89,737.88
2026-05-06 19:00:00,0.00,672.86
2026-05-06 20:00:00,61.62,0.00
2026-05-06 22:00:00,0.00,77.80
2026-05-06 23:00:00,0.00,228.25
2026-05-07 01:00:00,784.55,0.00
2026-05-07 02:00:00,1355.85,0.00
2026-05-07 03:00:00,4806.70,0.00
2026-05-07 04:00:00,1913.79,0.00
2026-05-07 13:00:00,7.68,0.00
2026-05-07 14:00:00,5.14,0.00
2026-05-07 15:00:00,686.73,24.59
2026-05-07 19:00:00,10.01,0.00
2026-05-08 00:00:00,51.15,0.00
2026-05-08 01:00:00,0.00,26.25
2026-05-08 03:00:00,0.00,214.39
2026-05-08 05:00:00,0.00,22178.19
2026-05-08 06:00:00,0.00,48.21
2026-05-08 08:00:00,728.33,11265.69
2026-05-08 09:00:00,10.24,0.00
2026-05-08 10:00:00,10.05,179.11
2026-05-08 11:00:00,546.36,411.62
2026-05-08 12:00:00,0.00,2426.48
2026-05-08 13:00:00,4498.26,0.00
2026-05-08 15:00:00,0.00,4192.70
2026-05-08 16:00:00,9207.62,5790.35
2026-05-08 17:00:00,94.56,12.02
2026-05-08 18:00:00,32430.20,60.80
2026-05-08 19:00:00,2866.27,5126.30
2026-05-08 20:00:00,6801.85,30190.24
2026-05-08 21:00:00,19.93,29.51
2026-05-08 23:00:00,0.00,4763.15
2026-05-09 00:00:00,172.24,27.51
2026-05-09 01:00:00,17668.97,83825.57
2026-05-09 02:00:00,489.30,3120.48
2026-05-09 03:00:00,107.83,2694.81
2026-05-09 04:00:00,342.64,0.00
2026-05-09 06:00:00,0.00,5342.56
2026-05-09 07:00:00,0.00,15913.04
2026-05-09 08:00:00,9.22,13598.44
2026-05-09 09:00:00,13985.73,30273.04
2026-05-09 10:00:00,6903.52,31101.22
2026-05-09 11:00:00,25883.65,78547.56
2026-05-09 12:00:00,25192.72,2418.81
2026-05-09 13:00:00,16994.82,18998.03
2026-05-09 14:00:00,31953.25,33787.92
2026-05-09 15:00:00,6639.84,65216.27
2026-05-09 16:00:00,46597.05,89452.09
2026-05-09 17:00:00,6733.18,52987.33
2026-05-09 18:00:00,29239.92,216625.21
2026-05-09 19:00:00,56108.85,19345.83
2026-05-09 20:00:00,77628.20,11653.34
2026-05-09 21:00:00,5338.16,8452.55
2026-05-09 22:00:00,11636.02,8993.35
2026-05-09 23:00:00,2964.71,2014.11
2026-05-10 00:00:00,7753.43,7278.56
2026-05-10 01:00:00,43068.32,14285.00
2026-05-10 02:00:00,11435.73,10980.64
2026-05-10 03:00:00,6412.97,8622.63
2026-05-10 04:00:00,365.65,312.70
2026-05-10 05:00:00,45538.44,8457.62
2026-05-10 06:00:00,25719.86,6028.08
2026-05-10 07:00:00,12918.18,5968.80
2026-05-10 08:00:00,0.00,412.81
2026-05-10 09:00:00,40.42,714.76
2026-05-10 10:00:00,3078.04,290.25
2026-05-10 11:00:00,3951.95,9870.35
2026-05-10 12:00:00,9781.82,9528.16
2026-05-10 13:00:00,15135.92,240.29
2026-05-10 14:00:00,855.50,11990.56
2026-05-10 15:00:00,64.36,62.59
2026-05-10 16:00:00,116.43,9709.76
2026-05-10 17:00:00,0.00,10122.19
2026-05-10 18:00:00,62396.83,10857.67
