time,liq_long_usd,liq_short_usd
2026-03-29 14:00:00,1691.91,0.00
2026-03-29 18:00:00,619.59,0.00
2026-03-29 19:00:00,0.00,4986.26
2026-03-29 23:00:00,10089.73,454.57
2026-03-30 01:00:00,1.02,0.00
2026-03-30 03:00:00,0.00,24.67
2026-03-30 06:00:00,540.85,0.00
2026-03-30 09:00:00,0.00,0.53
2026-03-30 15:00:00,82.00,936.50
2026-03-30 19:00:00,97.45,0.00
2026-03-30 22:00:00,0.00,165.58
2026-03-31 04:00:00,0.22,0.00
2026-03-31 09:00:00,344.18,0.00
2026-03-31 10:00:00,2820.55,0.00
2026-03-31 14:00:00,0.00,8465.84
2026-03-31 16:00:00,242.40,0.00
2026-03-31 17:00:00,0.00,162.91
2026-03-31 18:00:00,0.00,21.20
2026-03-31 21:00:00,0.00,115.31
2026-04-01 02:00:00,1.15,112.11
2026-04-01 04:00:00,51.48,0.00
2026-04-01 05:00:00,0.00,22.40
2026-04-01 06:00:00,0.00,1176.66
2026-04-01 07:00:00,142.83,2773.33
2026-04-01 09:00:00,0.00,146.62
2026-04-01 13:00:00,0.00,553.27
2026-04-01 14:00:00,328.70,0.00
2026-04-01 16:00:00,0.00,761.96
2026-04-01 20:00:00,76.29,0.00
2026-04-01 23:00:00,0.00,28.93
2026-04-02 02:00:00,5022.68,847.23
2026-04-02 03:00:00,1229.20,0.00
2026-04-02 04:00:00,770.39,0.00
2026-04-02 06:00:00,1169.78,27.98
2026-04-02 07:00:00,0.00,466.12
2026-04-02 09:00:00,0.00,0.07
2026-04-02 10:00:00,4780.16,2504.00
2026-04-02 11:00:00,5124.93,0.00
2026-04-02 12:00:00,871.54,0.00
2026-04-02 13:00:00,1509.01,0.00
2026-04-02 14:00:00,475.44,0.00
2026-04-02 18:00:00,36.46,0.00
2026-04-02 20:00:00,131.47,0.00
2026-04-02 22:00:00,146.52,0.00
2026-04-03 01:00:00,0.00,220.56
2026-04-03 02:00:00,21.93,0.00
2026-04-03 05:00:00,0.00,421.20
2026-04-03 06:00:00,0.00,144.78
2026-04-03 07:00:00,0.00,846.22
2026-04-03 09:00:00,0.00,526.61
2026-04-03 13:00:00,0.00,13.96
2026-04-03 22:00:00,22.04,0.00
2026-04-04 03:00:00,0.00,2526.54
2026-04-04 05:00:00,6.00,0.00
2026-04-04 07:00:00,882.67,621.75
2026-04-04 09:00:00,5.91,196.58
2026-04-04 10:00:00,15.79,0.00
2026-04-04 12:00:00,0.00,257.45
2026-04-04 14:00:00,8.04,0.00
2026-04-04 15:00:00,4612.89,0.00
2026-04-04 17:00:00,5.53,0.00
2026-04-04 18:00:00,0.00,219.26
2026-04-04 20:00:00,6.71,0.00
2026-04-04 23:00:00,99.15,0.00
2026-04-05 03:00:00,7327.20,0.00
2026-04-05 04:00:00,11.27,0.00
2026-04-05 06:00:00,4931.78,0.00
2026-04-05 07:00:00,1516.04,0.00
2026-04-05 08:00:00,9.24,0.00
2026-04-05 09:00:00,47.22,0.00
2026-04-05 13:00:00,2547.53,0.00
2026-04-05 14:00:00,49.05,0.00
2026-04-05 16:00:00,0.00,815.99
2026-04-06 03:00:00,0.00,595.18
2026-04-06 05:00:00,0.00,351.85
2026-04-06 07:00:00,259.55,0.00
2026-04-06 09:00:00,23.74,0.00
2026-04-06 11:00:00,0.00,219.56
2026-04-06 12:00:00,0.00,34.33
2026-04-06 13:00:00,0.00,80.38
2026-04-06 17:00:00,691.32,0.00
2026-04-06 18:00:00,194.18,0.00
2026-04-06 23:00:00,388.04,0.00
2026-04-07 00:00:00,2068.48,0.00
2026-04-07 02:00:00,452.00,0.00
2026-04-07 03:00:00,3138.34,0.00
2026-04-07 04:00:00,5.83,0.00
2026-04-07 08:00:00,0.00,2418.75
2026-04-07 11:00:00,542.38,0.00
2026-04-07 12:00:00,7.10,0.00
2026-04-07 13:00:00,3834.00,0.00
2026-04-07 15:00:00,93.35,0.00
2026-04-07 16:00:00,96.04,0.00
2026-04-07 22:00:00,0.00,10909.29
2026-04-07 23:00:00,0.16,2620.82
2026-04-08 00:00:00,0.00,1493.75
2026-04-08 03:00:00,67.83,0.00
2026-04-08 11:00:00,0.00,16.95
2026-04-08 15:00:00,11615.97,0.00
2026-04-08 16:00:00,0.00,10.23
2026-04-08 23:00:00,76.92,0.00
2026-04-09 00:00:00,2418.48,0.00
2026-04-09 01:00:00,1857.81,0.00
2026-04-09 02:00:00,1358.02,0.00
2026-04-09 06:00:00,220.47,0.00
2026-04-09 07:00:00,153.87,0.00
2026-04-09 09:00:00,3792.79,2780.32
2026-04-09 10:00:00,0.00,3435.69
2026-04-09 15:00:00,5.08,0.00
2026-04-09 16:00:00,0.00,3795.85
2026-04-09 17:00:00,0.00,128.22
2026-04-09 19:00:00,0.00,216.68
2026-04-09 22:00:00,0.00,26.02
2026-04-09 23:00:00,0.00,6353.87
2026-04-10 01:00:00,114.42,0.00
2026-04-10 02:00:00,3237.34,0.00
2026-04-10 08:00:00,0.00,58.78
2026-04-10 11:00:00,1047.16,13.71
2026-04-10 13:00:00,8.20,147.00
2026-04-10 16:00:00,0.00,4483.71
2026-04-10 18:00:00,24.65,0.00
2026-04-10 19:00:00,0.00,404.64
2026-04-10 20:00:00,0.00,1595.92
2026-04-11 02:00:00,1102.02,0.00
2026-04-11 03:00:00,23.46,21.45
2026-04-11 04:00:00,1262.42,0.00
2026-04-11 10:00:00,0.00,990.76
2026-04-11 14:00:00,89.70,0.00
2026-04-11 19:00:00,118.38,3762.43
2026-04-11 20:00:00,0.00,1976.71
2026-04-11 23:00:00,221.76,30.12
2026-04-12 02:00:00,20964.03,825.28
2026-04-12 03:00:00,6244.69,0.00
2026-04-12 07:00:00,1195.26,0.00
2026-04-12 11:00:00,4.81,0.00
2026-04-12 13:00:00,0.00,2315.56
2026-04-12 14:00:00,4309.35,0.00
2026-04-12 15:00:00,45.30,0.00
2026-04-12 18:00:00,37.54,0.00
2026-04-12 21:00:00,62.92,0.00
2026-04-12 22:00:00,25.90,0.00
2026-04-12 23:00:00,9294.90,0.00
2026-04-13 05:00:00,513.69,0.00
2026-04-13 08:00:00,734.08,137.54
2026-04-13 09:00:00,3547.42,0.00
2026-04-13 11:00:00,0.00,89.48
2026-04-13 13:00:00,1.51,0.00
2026-04-13 14:00:00,0.00,98.40
2026-04-13 15:00:00,0.00,72.01
2026-04-13 17:00:00,4385.74,0.00
2026-04-13 18:00:00,0.00,128.53
2026-04-13 20:00:00,7113.33,0.00
2026-04-13 22:00:00,0.00,3780.08
2026-04-13 23:00:00,0.00,2379.17
2026-04-14 00:00:00,147.64,103.77
2026-04-14 01:00:00,219.90,0.00
2026-04-14 07:00:00,0.00,729.31
2026-04-14 09:00:00,5.85,0.00
2026-04-14 10:00:00,156.34,0.00
2026-04-14 13:00:00,379.72,0.00
2026-04-14 16:00:00,1045.72,5.97
2026-04-14 18:00:00,4022.61,0.00
2026-04-14 19:00:00,704.41,0.00
2026-04-15 01:00:00,948.50,0.00
2026-04-15 02:00:00,0.00,15.37
2026-04-15 10:00:00,57.68,0.00
2026-04-15 14:00:00,30.17,0.00
2026-04-15 15:00:00,0.00,30.25
2026-04-15 16:00:00,908.42,0.00
2026-04-15 17:00:00,0.00,67.16
2026-04-15 18:00:00,0.00,3605.23
2026-04-15 19:00:00,0.00,133.40
2026-04-15 20:00:00,0.00,2049.73
2026-04-16 03:00:00,0.00,4954.31
2026-04-16 05:00:00,0.00,6191.60
2026-04-16 07:00:00,0.00,359.01
2026-04-16 10:00:00,3992.00,0.00
2026-04-16 11:00:00,100.07,0.00
2026-04-16 13:00:00,0.00,387.60
2026-04-16 14:00:00,3897.81,817.70
2026-04-16 15:00:00,1081.15,0.00
2026-04-16 16:00:00,0.00,40.94
2026-04-16 19:00:00,0.00,1243.71
2026-04-16 21:00:00,0.00,6946.22
2026-04-17 00:00:00,0.00,158.11
2026-04-17 01:00:00,0.00,14.76
2026-04-17 02:00:00,5551.60,0.00
2026-04-17 03:00:00,74.94,0.00
2026-04-17 06:00:00,9698.19,138.25
2026-04-17 07:00:00,0.00,9.73
2026-04-17 08:00:00,16.66,0.00
2026-04-17 09:00:00,30.36,324.60
2026-04-17 10:00:00,1244.70,0.00
2026-04-17 11:00:00,3215.80,0.00
