time,liq_long_usd,liq_short_usd
2026-04-04 07:00:00,0.00,23.65
2026-04-04 08:00:00,0.00,6.77
2026-04-04 11:00:00,0.00,10.56
2026-04-04 15:00:00,1240.12,0.00
2026-04-05 13:00:00,329.32,0.00
2026-04-05 14:00:00,52.91,0.00
2026-04-05 20:00:00,59.86,0.00
2026-04-06 01:00:00,0.00,213.66
2026-04-06 02:00:00,23.87,0.00
2026-04-06 13:00:00,0.00,505.19
2026-04-06 14:00:00,821.93,0.00
2026-04-06 17:00:00,683.68,0.00
2026-04-06 18:00:00,198.06,0.00
2026-04-06 21:00:00,404.84,0.00
2026-04-06 22:00:00,288.99,0.00
2026-04-06 23:00:00,8.18,0.00
2026-04-07 00:00:00,126.67,0.00
2026-04-07 01:00:00,958.27,80.15
2026-04-07 03:00:00,50.00,0.00
2026-04-07 13:00:00,488.02,0.00
2026-04-07 14:00:00,60.91,0.00
2026-04-07 23:00:00,46.52,3368.06
2026-04-08 01:00:00,0.00,148.73
2026-04-08 13:00:00,7.77,0.00
2026-04-08 14:00:00,91.21,0.00
2026-04-08 15:00:00,719.49,0.00
2026-04-08 16:00:00,48.96,0.00
2026-04-09 02:00:00,392.67,0.00
2026-04-09 03:00:00,4962.40,0.00
2026-04-09 04:00:00,0.00,12.08
2026-04-09 09:00:00,44.86,0.00
2026-04-09 15:00:00,5.15,0.00
2026-04-09 16:00:00,0.00,22.17
2026-04-09 19:00:00,0.00,162.70
2026-04-09 22:00:00,0.00,128.39
2026-04-09 23:00:00,0.00,10.04
2026-04-10 01:00:00,0.00,100.62
2026-04-10 15:00:00,0.00,30.42
2026-04-11 03:00:00,122.99,0.00
2026-04-11 04:00:00,2741.57,0.00
2026-04-11 11:00:00,366.37,0.00
2026-04-11 12:00:00,0.00,5.20
2026-04-12 02:00:00,2584.58,0.00
2026-04-12 03:00:00,1457.23,0.00
2026-04-12 07:00:00,162.17,0.00
2026-04-12 11:00:00,118.77,0.00
2026-04-12 21:00:00,92.03,0.00
2026-04-12 22:00:00,19.57,0.00
2026-04-12 23:00:00,105.02,0.00
2026-04-13 01:00:00,51.93,0.00
2026-04-13 04:00:00,5138.25,0.00
2026-04-13 05:00:00,1.27,0.00
2026-04-13 08:00:00,120.69,27.63
2026-04-13 10:00:00,0.00,93.46
2026-04-13 14:00:00,0.00,113.03
2026-04-13 15:00:00,0.00,188.62
2026-04-13 17:00:00,4.94,0.00
2026-04-13 22:00:00,0.00,264.98
2026-04-13 23:00:00,0.00,10.28
2026-04-14 08:00:00,0.00,801.23
2026-04-14 09:00:00,248.64,0.00
2026-04-14 10:00:00,28.56,20.21
2026-04-14 16:00:00,31860.26,0.00
2026-04-14 18:00:00,20.42,0.00
2026-04-14 19:00:00,2025.45,0.00
2026-04-15 02:00:00,0.00,20.57
2026-04-15 05:00:00,0.00,20.67
2026-04-15 07:00:00,0.00,6338.82
2026-04-15 10:00:00,0.00,100.60
2026-04-15 17:00:00,0.00,5.32
2026-04-15 22:00:00,0.00,0.17
2026-04-16 01:00:00,0.00,1148.30
2026-04-16 05:00:00,0.00,6627.48
2026-04-16 07:00:00,0.00,7.37
2026-04-16 09:00:00,5.55,0.00
2026-04-16 13:00:00,0.00,15.46
2026-04-16 14:00:00,2.60,9.72
2026-04-16 16:00:00,289.49,0.00
2026-04-16 17:00:00,0.00,40.99
2026-04-16 19:00:00,0.00,65.70
2026-04-16 20:00:00,0.00,225.69
2026-04-16 21:00:00,113.97,0.00
2026-04-17 01:00:00,0.00,5.72
2026-04-17 06:00:00,158.94,0.00
2026-04-17 07:00:00,0.00,10.68
2026-04-17 09:00:00,0.00,7512.50
2026-04-17 14:00:00,0.00,216.20
2026-04-17 15:00:00,1093.95,0.00
2026-04-17 17:00:00,0.00,125.62
2026-04-17 19:00:00,408.05,0.00
2026-04-18 01:00:00,0.00,50.92
2026-04-18 02:00:00,8.64,0.00
2026-04-18 05:00:00,9719.58,0.00
2026-04-18 09:00:00,5.30,0.00
2026-04-18 11:00:00,82.62,0.00
2026-04-18 13:00:00,1921.02,0.00
2026-04-18 19:00:00,1396.90,0.00
2026-04-18 20:00:00,48.95,0.00
2026-04-19 00:00:00,0.00,160.70
2026-04-19 01:00:00,7941.74,0.00
2026-04-19 02:00:00,5709.98,0.00
2026-04-19 03:00:00,5235.55,0.00
2026-04-19 04:00:00,231.67,0.00
2026-04-19 05:00:00,340.91,0.00
2026-04-19 11:00:00,6.22,0.00
2026-04-19 15:00:00,915.44,0.00
2026-04-19 16:00:00,327.32,0.00
2026-04-19 18:00:00,101.02,97.19
2026-04-19 19:00:00,41.34,0.00
2026-04-19 23:00:00,12495.39,0.00
2026-04-20 00:00:00,17662.58,0.00
2026-04-20 01:00:00,6.38,0.00
2026-04-20 17:00:00,29.97,0.00
2026-04-20 19:00:00,87.22,0.00
