time,liq_long_usd,liq_short_usd
2026-03-29 23:00:00,936.45,0.00
2026-03-30 01:00:00,5.59,0.00
2026-03-30 02:00:00,48.57,0.00
2026-03-30 06:00:00,60.87,0.00
2026-03-30 18:00:00,100.71,0.00
2026-04-01 02:00:00,1.09,0.00
2026-04-01 07:00:00,0.00,172.60
2026-04-01 11:00:00,0.00,6.09
2026-04-01 14:00:00,0.00,3.23
2026-04-01 18:00:00,6.06,0.00
2026-04-01 22:00:00,17.97,0.00
2026-04-02 00:00:00,5.04,0.00
2026-04-02 01:00:00,0.00,1526.62
2026-04-02 02:00:00,0.00,5.42
2026-04-02 03:00:00,693.96,0.00
2026-04-02 04:00:00,37.18,0.00
2026-04-02 06:00:00,405.57,121.75
2026-04-02 07:00:00,0.00,6.98
2026-04-02 09:00:00,342.25,0.09
2026-04-02 10:00:00,14.09,95.25
2026-04-02 14:00:00,12.75,20.32
2026-04-02 17:00:00,0.00,30.00
2026-04-03 12:00:00,0.00,450.77
2026-04-03 13:00:00,24.52,0.00
2026-04-03 17:00:00,5.04,0.00
2026-04-04 00:00:00,4949.57,0.00
2026-04-04 05:00:00,293.78,0.00
2026-04-04 15:00:00,94.22,0.00
2026-04-04 16:00:00,72.35,0.00
2026-04-04 20:00:00,0.00,20.25
2026-04-05 01:00:00,112.07,0.00
2026-04-05 14:00:00,49.29,0.00
2026-04-05 18:00:00,2024.98,0.00
2026-04-06 00:00:00,125.09,100.63
2026-04-06 09:00:00,0.00,20.52
2026-04-06 10:00:00,0.00,402.76
2026-04-06 18:00:00,0.00,6.62
2026-04-06 23:00:00,25.98,0.00
2026-04-07 02:00:00,420.08,0.00
2026-04-07 04:00:00,5.99,0.00
2026-04-07 16:00:00,239.92,6.17
2026-04-07 23:00:00,0.00,2708.50
2026-04-08 00:00:00,0.00,2234.24
2026-04-08 15:00:00,4862.06,0.00
2026-04-08 16:00:00,0.00,10.76
2026-04-09 09:00:00,0.00,6044.82
2026-04-09 15:00:00,5.07,0.00
2026-04-09 20:00:00,48.05,0.00
2026-04-09 22:00:00,17.91,0.00
2026-04-09 23:00:00,0.00,9.91
2026-04-10 01:00:00,43.03,0.00
2026-04-11 00:00:00,0.00,5.82
2026-04-11 02:00:00,101.91,0.00
2026-04-11 03:00:00,0.00,0.10
2026-04-11 14:00:00,72.89,0.00
2026-04-11 17:00:00,0.00,57.16
2026-04-11 23:00:00,0.00,769.54
2026-04-12 02:00:00,219.40,0.00
2026-04-12 03:00:00,5.97,0.00
2026-04-12 07:00:00,0.00,5.28
2026-04-12 09:00:00,2050.14,0.00
2026-04-12 11:00:00,25.68,0.00
2026-04-12 14:00:00,1934.00,293.19
2026-04-12 17:00:00,19.30,0.00
2026-04-12 18:00:00,3.22,0.00
2026-04-12 19:00:00,34.12,109.06
2026-04-12 23:00:00,944.97,0.00
2026-04-13 00:00:00,155.62,0.00
2026-04-13 05:00:00,1.25,0.00
2026-04-13 08:00:00,1357.89,0.00
2026-04-13 19:00:00,44.73,0.00
2026-04-13 20:00:00,0.00,39.46
2026-04-13 23:00:00,0.00,536.88
2026-04-14 00:00:00,0.00,210.55
2026-04-14 07:00:00,0.00,0.10
2026-04-14 08:00:00,561.23,0.00
2026-04-14 09:00:00,518.73,0.00
2026-04-14 15:00:00,0.40,0.00
2026-04-14 18:00:00,5.90,0.00
2026-04-14 19:00:00,574.54,0.00
2026-04-15 02:00:00,0.00,15.02
2026-04-15 13:00:00,0.00,40.66
2026-04-15 14:00:00,125.76,0.00
2026-04-16 04:00:00,0.00,666.62
2026-04-16 05:00:00,0.00,4819.96
2026-04-16 07:00:00,0.00,7.27
2026-04-16 09:00:00,0.00,104.83
2026-04-16 13:00:00,0.00,120.82
2026-04-16 14:00:00,768.64,0.00
2026-04-16 17:00:00,0.00,82.41
2026-04-16 21:00:00,0.00,379.96
2026-04-17 01:00:00,0.00,97.37
2026-04-17 02:00:00,0.00,23.64
2026-04-17 08:00:00,0.00,929.78
2026-04-17 09:00:00,550.99,55.65
2026-04-17 12:00:00,0.00,9.76
2026-04-17 15:00:00,0.00,65.97
2026-04-17 16:00:00,0.00,1530.07
2026-04-17 17:00:00,0.00,354.55
2026-04-17 20:00:00,0.00,10.80
2026-04-18 01:00:00,50.57,0.00
2026-04-18 02:00:00,0.00,219.85
2026-04-18 07:00:00,0.00,32.23
2026-04-18 09:00:00,4.98,0.00
2026-04-18 11:00:00,1913.50,0.00
2026-04-18 14:00:00,47.67,0.00
2026-04-18 19:00:00,153.09,0.00
2026-04-18 20:00:00,961.86,0.00
2026-04-19 01:00:00,1417.55,0.00
2026-04-19 02:00:00,1374.01,0.00
2026-04-19 03:00:00,4521.28,0.00
2026-04-19 18:00:00,34.54,0.00
2026-04-19 22:00:00,72.48,0.00
2026-04-19 23:00:00,1205.46,0.00
2026-04-20 02:00:00,0.00,19.96
2026-04-20 05:00:00,5.71,0.00
2026-04-20 15:00:00,0.00,39.50
2026-04-21 05:00:00,23.94,0.00
2026-04-22 03:00:00,16.49,0.00
2026-04-22 11:00:00,67.39,0.00
2026-04-22 15:00:00,7.42,0.00
2026-04-23 01:00:00,1650.65,0.00
2026-04-23 04:00:00,2581.60,0.00
2026-04-23 06:00:00,0.00,9.93
2026-04-24 21:00:00,434.30,0.00
2026-04-25 02:00:00,0.00,658.57
2026-04-25 04:00:00,0.00,6.01
2026-04-25 13:00:00,0.00,304.71
2026-04-25 16:00:00,0.00,280.85
2026-04-25 22:00:00,0.00,279.48
2026-04-27 01:00:00,0.00,8.99
2026-04-27 06:00:00,500.49,0.00
2026-04-27 07:00:00,143.27,0.00
2026-04-27 09:00:00,124.17,0.00
2026-04-27 16:00:00,4328.26,0.00
2026-04-28 14:00:00,490.38,0.00
2026-04-28 17:00:00,103.01,5.89
2026-04-29 04:00:00,6.94,0.00
2026-04-29 09:00:00,0.00,6.11
2026-04-29 12:00:00,32.80,0.00
2026-04-29 16:00:00,385.11,0.00
2026-04-29 17:00:00,0.00,6.88
2026-04-29 19:00:00,12606.54,0.00
2026-04-30 05:00:00,7.29,0.00
2026-05-02 06:00:00,547.21,0.00
2026-05-02 09:00:00,0.00,6.00
2026-05-02 22:00:00,243.66,15.04
2026-05-03 22:00:00,33.51,0.00
2026-05-04 01:00:00,0.00,7.15
2026-05-04 03:00:00,0.00,30.71
2026-05-04 07:00:00,25.31,0.00
2026-05-04 13:00:00,24.73,0.00
2026-05-05 06:00:00,0.00,2692.19
2026-05-05 14:00:00,5.42,0.00
2026-05-05 16:00:00,0.00,496.56
2026-05-05 19:00:00,0.00,7.45
2026-05-05 20:00:00,298.62,0.00
2026-05-05 21:00:00,1.56,539.34
