time,liq_long_usd,liq_short_usd
2026-04-05 08:00:00,0.00,33.65
2026-04-05 12:00:00,617.44,0.00
2026-04-06 03:00:00,5.06,0.00
2026-04-06 06:00:00,197.29,0.00
2026-04-06 09:00:00,0.00,8.35
2026-04-06 12:00:00,0.00,26.53
2026-04-06 16:00:00,971.02,133.32
2026-04-06 17:00:00,0.00,30.38
2026-04-06 19:00:00,82.70,0.00
2026-04-06 21:00:00,0.00,10.76
2026-04-06 22:00:00,0.00,2478.52
2026-04-06 23:00:00,26.83,0.00
2026-04-07 00:00:00,201.38,0.00
2026-04-07 01:00:00,15.67,0.00
2026-04-07 02:00:00,91.38,0.00
2026-04-07 03:00:00,7137.12,0.00
2026-04-07 06:00:00,0.00,85.35
2026-04-07 11:00:00,93.19,0.00
2026-04-07 12:00:00,50.43,0.00
2026-04-07 14:00:00,446.22,0.00
2026-04-07 15:00:00,1701.46,0.00
2026-04-07 16:00:00,0.00,87.68
2026-04-07 18:00:00,394.20,19.52
2026-04-07 21:00:00,0.00,71.68
2026-04-07 23:00:00,836.04,0.00
2026-04-08 01:00:00,0.00,48.07
2026-04-08 05:00:00,120.50,401.12
2026-04-08 06:00:00,1202.50,100.29
2026-04-08 07:00:00,0.00,149.40
2026-04-08 08:00:00,2020.96,0.00
2026-04-08 09:00:00,0.00,70.53
2026-04-08 10:00:00,25.09,1683.12
2026-04-08 11:00:00,209.05,6092.83
2026-04-08 12:00:00,3969.23,10787.51
2026-04-08 13:00:00,2382.66,4120.91
2026-04-08 14:00:00,11872.77,211.57
2026-04-08 15:00:00,593.48,180.12
2026-04-08 16:00:00,156.74,559.70
2026-04-08 17:00:00,76.77,385.59
2026-04-08 18:00:00,0.00,61.00
2026-04-08 19:00:00,1003.58,0.57
2026-04-08 20:00:00,177.20,2531.96
2026-04-08 22:00:00,18.01,0.00
2026-04-08 23:00:00,254.09,596.73
2026-04-09 00:00:00,1310.50,0.00
2026-04-09 01:00:00,2639.54,0.00
