time,liq_long_usd,liq_short_usd
2026-04-01 07:00:00,0.00,3.27
2026-04-01 14:00:00,51.36,0.00
2026-04-01 23:00:00,0.00,1.27
2026-04-02 02:00:00,0.00,1.33
2026-04-02 03:00:00,58.87,0.00
2026-04-02 04:00:00,0.00,3.50
2026-04-02 05:00:00,295.19,0.00
2026-04-02 06:00:00,13.84,0.00
2026-04-02 09:00:00,0.00,0.01
2026-04-02 10:00:00,47.13,0.00
2026-04-02 11:00:00,4.39,0.00
2026-04-02 14:00:00,42.98,0.00
2026-04-02 15:00:00,0.00,1062.32
2026-04-02 18:00:00,46.85,6.90
2026-04-03 00:00:00,0.00,4.98
2026-04-03 05:00:00,20.12,0.00
2026-04-03 15:00:00,42.26,0.00
2026-04-04 18:00:00,367.83,0.00
2026-04-05 03:00:00,39.25,0.00
2026-04-05 04:00:00,44.71,0.00
2026-04-05 05:00:00,110.20,0.00
2026-04-05 07:00:00,5.02,0.00
2026-04-05 09:00:00,0.00,88.66
2026-04-06 02:00:00,39.81,0.00
2026-04-06 03:00:00,139.77,0.00
2026-04-06 07:00:00,353.77,35.48
2026-04-06 23:00:00,411.84,0.00
2026-04-07 00:00:00,249.93,0.00
2026-04-07 01:00:00,1026.12,0.00
2026-04-07 14:00:00,10.00,0.00
2026-04-07 16:00:00,79.46,0.00
2026-04-07 23:00:00,19.25,230.38
2026-04-08 15:00:00,352.48,0.00
2026-04-08 16:00:00,51.31,10.65
2026-04-08 23:00:00,470.82,0.00
2026-04-09 01:00:00,31.31,0.00
2026-04-09 13:00:00,1579.68,0.00
2026-04-09 14:00:00,4.85,0.00
2026-04-09 17:00:00,22.20,0.00
2026-04-09 23:00:00,618.18,0.00
2026-04-10 00:00:00,5.47,0.00
2026-04-10 15:00:00,9.96,0.00
2026-04-11 02:00:00,97.09,0.00
2026-04-11 03:00:00,0.00,0.01
2026-04-11 09:00:00,41.98,0.00
2026-04-12 02:00:00,61.44,0.00
2026-04-12 08:00:00,249.72,0.00
2026-04-12 16:00:00,81.59,0.00
2026-04-12 17:00:00,243.11,0.00
2026-04-12 18:00:00,219.27,0.00
2026-04-12 19:00:00,14.22,0.00
2026-04-12 23:00:00,121.02,0.00
2026-04-13 00:00:00,19.65,0.00
2026-04-13 01:00:00,102.85,0.00
2026-04-13 05:00:00,1.15,0.00
2026-04-13 08:00:00,950.49,15.12
2026-04-13 09:00:00,2440.12,169.01
2026-04-13 10:00:00,34.51,1778.68
2026-04-13 11:00:00,202.84,0.00
2026-04-13 14:00:00,5.48,0.00
2026-04-13 16:00:00,45.30,10.50
2026-04-13 17:00:00,7861.89,6762.03
2026-04-13 18:00:00,14148.76,23110.19
2026-04-13 19:00:00,12561.54,2519.75
2026-04-13 20:00:00,4723.05,758.45
2026-04-13 21:00:00,692.65,3813.45
2026-04-13 22:00:00,5536.01,2482.43
2026-04-13 23:00:00,0.00,2216.80
2026-04-14 00:00:00,4331.19,602.07
2026-04-14 01:00:00,2429.80,15.07
2026-04-14 02:00:00,524.83,0.00
2026-04-14 03:00:00,11289.34,7.30
2026-04-14 04:00:00,250.97,0.00
2026-04-14 05:00:00,5035.45,0.00
2026-04-14 06:00:00,0.00,537.01
2026-04-14 07:00:00,1123.14,89.07
2026-04-14 08:00:00,278.19,0.00
2026-04-14 09:00:00,12.19,591.52
2026-04-14 10:00:00,4691.58,2075.76
2026-04-14 11:00:00,4845.34,6059.85
2026-04-14 12:00:00,882.19,1766.23
2026-04-14 13:00:00,382.77,0.00
2026-04-14 14:00:00,850.55,328.69
2026-04-14 15:00:00,5832.41,947.52
2026-04-14 16:00:00,6380.23,139.37
2026-04-14 17:00:00,1026.83,0.00
2026-04-14 18:00:00,9448.05,4.72
2026-04-14 20:00:00,10.24,0.00
2026-04-14 22:00:00,69.17,151.73
2026-04-15 00:00:00,0.00,102.80
2026-04-15 01:00:00,4951.00,216.07
2026-04-15 02:00:00,0.00,2066.65
2026-04-15 03:00:00,857.15,0.00
2026-04-15 04:00:00,1347.26,0.00
2026-04-15 05:00:00,10.64,0.00
2026-04-15 08:00:00,1418.71,0.00
2026-04-15 09:00:00,6104.77,0.00
2026-04-15 10:00:00,245.00,0.00
2026-04-15 16:00:00,2723.66,0.00
2026-04-15 17:00:00,0.00,85.94
2026-04-15 19:00:00,1098.43,0.00
2026-04-15 20:00:00,0.00,30.85
2026-04-15 22:00:00,0.00,101.18
2026-04-16 00:00:00,578.87,0.00
2026-04-16 03:00:00,0.00,33.34
2026-04-16 04:00:00,0.00,13.73
2026-04-16 05:00:00,3.59,26.65
2026-04-16 06:00:00,40.69,0.00
2026-04-16 07:00:00,0.00,7.54
2026-04-16 12:00:00,84.44,0.00
2026-04-16 13:00:00,265.73,164.95
2026-04-16 14:00:00,4.99,0.00
2026-04-16 16:00:00,257.33,0.00
2026-04-16 18:00:00,0.00,613.22
2026-04-16 19:00:00,0.00,2243.20
2026-04-16 20:00:00,4310.37,1077.58
2026-04-16 21:00:00,28514.62,405628.40
2026-04-16 22:00:00,10520.56,4212.76
2026-04-16 23:00:00,153.88,1104.69
2026-04-17 00:00:00,4679.44,2771.25
2026-04-17 01:00:00,1432.90,6967.53
2026-04-17 02:00:00,21750.85,123830.24
2026-04-17 03:00:00,69111.86,23569.96
2026-04-17 04:00:00,28442.26,2365.00
2026-04-17 05:00:00,39091.37,0.00
2026-04-17 06:00:00,5093.99,224.78
2026-04-17 07:00:00,7606.10,0.00
2026-04-17 08:00:00,2041.51,2199.80
2026-04-17 09:00:00,3308.53,729.47
2026-04-17 10:00:00,8233.55,3854.26
2026-04-17 11:00:00,13742.92,8288.53
2026-04-17 12:00:00,5903.10,1521.08
2026-04-17 13:00:00,26119.70,23254.15
2026-04-17 14:00:00,35627.03,1108.39
2026-04-17 15:00:00,9793.81,805.15
2026-04-17 16:00:00,546.59,158.70
2026-04-17 17:00:00,2890.24,1263.66
2026-04-17 18:00:00,6473.90,61.34
2026-04-17 19:00:00,6100.14,0.00
2026-04-17 20:00:00,0.00,1287.80
2026-04-17 21:00:00,1534.83,1523.12
2026-04-17 22:00:00,1262.84,0.00
2026-04-17 23:00:00,141.56,81.63
2026-04-18 00:00:00,0.00,8.95
2026-04-18 01:00:00,4595.82,1317.94
2026-04-18 02:00:00,1974.69,665.01
2026-04-18 03:00:00,1004.76,3215.02
2026-04-18 04:00:00,160.75,435.10
2026-04-18 05:00:00,312.61,814.07
2026-04-18 06:00:00,4332.61,50.85
2026-04-18 07:00:00,27310.27,22.51
2026-04-18 08:00:00,13631.49,2534.46
2026-04-18 09:00:00,463.58,125.54
2026-04-18 10:00:00,320.60,297.50
2026-04-18 11:00:00,286.81,0.00
2026-04-18 12:00:00,1534.57,0.00
2026-04-18 13:00:00,1604.80,0.00
2026-04-18 14:00:00,0.00,1142.36
2026-04-18 15:00:00,542.81,150.72
2026-04-18 17:00:00,198.73,0.00
2026-04-18 18:00:00,1097.23,127.37
2026-04-18 19:00:00,10497.50,815.82
2026-04-18 20:00:00,2058.04,0.00
2026-04-18 21:00:00,2646.11,0.00
2026-04-19 00:00:00,0.00,5.17
2026-04-19 01:00:00,5713.45,0.00
2026-04-19 02:00:00,23.34,0.00
2026-04-19 03:00:00,7216.49,0.00
2026-04-19 04:00:00,2358.18,19.29
2026-04-19 05:00:00,3902.29,0.00
2026-04-19 06:00:00,439.81,0.00
2026-04-19 07:00:00,36.43,2449.07
2026-04-19 08:00:00,3402.27,64.72
2026-04-19 10:00:00,5959.30,0.00
2026-04-19 15:00:00,0.00,41.57
2026-04-19 16:00:00,6574.54,0.00
2026-04-19 17:00:00,0.00,220.09
2026-04-19 18:00:00,3399.85,0.00
2026-04-19 19:00:00,183.12,0.00
2026-04-19 20:00:00,0.00,7.14
2026-04-19 23:00:00,2055.03,0.00
2026-04-20 00:00:00,3587.28,0.00
2026-04-20 03:00:00,7149.71,0.00
2026-04-20 04:00:00,608.33,0.00
2026-04-20 05:00:00,24.58,64.63
2026-04-20 06:00:00,126.03,4.18
2026-04-20 07:00:00,76.70,0.00
2026-04-20 13:00:00,0.00,204.94
2026-04-20 14:00:00,0.00,171.34
2026-04-20 19:00:00,346.45,0.00
2026-04-20 20:00:00,100.99,0.00
2026-04-20 23:00:00,24.67,37.64
2026-04-21 03:00:00,145.71,0.00
2026-04-21 04:00:00,327.91,0.00
2026-04-21 05:00:00,1559.33,0.00
2026-04-21 09:00:00,322.57,0.00
2026-04-21 10:00:00,0.00,1670.17
2026-04-21 13:00:00,150.09,0.00
2026-04-21 15:00:00,398.85,0.00
2026-04-21 16:00:00,515.82,0.00
2026-04-21 18:00:00,0.00,268.72
2026-04-21 19:00:00,0.00,85.66
2026-04-21 20:00:00,334.42,67.35
2026-04-21 21:00:00,0.00,8.81
2026-04-21 22:00:00,5.43,10.02
2026-04-22 01:00:00,0.00,932.92
2026-04-23 00:00:00,774.19,0.00
2026-04-23 01:00:00,2003.09,0.00
2026-04-23 02:00:00,29.03,0.00
2026-04-23 15:00:00,688.56,0.00
2026-04-24 14:00:00,1367.78,0.00
2026-04-24 15:00:00,872.18,59.64
2026-04-24 17:00:00,0.00,619.74
2026-04-24 19:00:00,10.24,0.00
2026-04-25 00:00:00,903.19,0.00
2026-04-25 03:00:00,0.00,5.88
2026-04-25 08:00:00,0.00,5.10
2026-04-25 20:00:00,1037.84,0.00
2026-04-26 04:00:00,0.00,48.65
2026-04-26 06:00:00,5.75,0.00
2026-04-26 09:00:00,122.75,0.00
2026-04-26 17:00:00,0.00,249.53
2026-04-27 00:00:00,0.00,71.86
2026-04-27 06:00:00,14.64,0.00
2026-04-27 08:00:00,735.33,0.00
2026-04-27 09:00:00,3190.46,0.00
2026-04-27 10:00:00,537.37,0.00
2026-04-27 12:00:00,258.22,5.06
2026-04-27 16:00:00,71.14,0.00
2026-04-27 17:00:00,22.40,0.00
2026-04-28 15:00:00,88.79,0.00
2026-04-28 17:00:00,0.00,9063.60
2026-04-28 18:00:00,720.68,0.00
2026-04-28 21:00:00,653.85,0.00
2026-04-29 01:00:00,19.58,0.00
2026-04-29 03:00:00,1551.67,0.00
2026-04-29 13:00:00,975.09,0.00
2026-04-29 15:00:00,277.29,0.00
2026-04-29 16:00:00,72.51,0.00
2026-04-29 17:00:00,647.31,0.00
2026-04-29 19:00:00,1277.47,0.00
2026-04-30 01:00:00,0.00,136.20
2026-04-30 16:00:00,60.58,0.00
2026-04-30 20:00:00,545.77,0.00
2026-04-30 23:00:00,451.40,0.00
2026-05-01 00:00:00,5.54,0.00
2026-05-01 11:00:00,16.16,0.00
2026-05-01 14:00:00,0.00,46.69
2026-05-02 06:00:00,12.93,0.00
2026-05-02 10:00:00,0.00,70.88
2026-05-02 11:00:00,0.00,10.13
2026-05-02 14:00:00,141.91,0.00
2026-05-02 16:00:00,211.98,301.16
2026-05-02 17:00:00,24.94,1.22
2026-05-02 20:00:00,788.37,0.00
2026-05-02 22:00:00,4990.50,0.00
2026-05-02 23:00:00,30.66,0.00
2026-05-03 01:00:00,2564.13,80.37
2026-05-03 02:00:00,5193.41,0.00
2026-05-03 03:00:00,1484.08,0.00
2026-05-03 04:00:00,8537.81,0.00
2026-05-03 05:00:00,12.37,0.00
2026-05-03 09:00:00,14285.31,11876.86
2026-05-03 10:00:00,58174.04,99616.12
2026-05-03 11:00:00,33235.73,44037.96
2026-05-03 12:00:00,33306.20,43829.81
2026-05-03 13:00:00,13626.26,26184.84
2026-05-03 14:00:00,37800.09,29217.51
2026-05-03 15:00:00,2678.91,15035.17
2026-05-03 16:00:00,66468.72,8825.15
2026-05-03 17:00:00,4233.24,25538.80
2026-05-03 18:00:00,221.11,39785.48
2026-05-03 19:00:00,3010.66,178.27
2026-05-03 20:00:00,11373.30,1911.91
2026-05-03 21:00:00,3988.69,13632.52
2026-05-03 22:00:00,6705.10,1604.28
2026-05-03 23:00:00,3456.38,1612.51
2026-05-04 00:00:00,7431.37,747.00
2026-05-04 01:00:00,10112.81,19842.36
2026-05-04 02:00:00,6509.55,31270.69
2026-05-04 03:00:00,7784.56,49240.06
2026-05-04 04:00:00,9098.15,67061.20
2026-05-04 05:00:00,23748.35,138759.50
2026-05-04 06:00:00,19223.39,45402.64
2026-05-04 07:00:00,11519.23,18573.77
2026-05-04 08:00:00,2486.34,6322.89
2026-05-04 09:00:00,33480.79,130985.69
2026-05-04 10:00:00,11258.31,163414.73
2026-05-04 11:00:00,19981.28,308486.50
2026-05-04 12:00:00,40553.51,48684.15
2026-05-04 13:00:00,82318.99,58327.77
2026-05-04 14:00:00,75973.43,432593.51
2026-05-04 15:00:00,123087.34,76536.59
2026-05-04 16:00:00,114412.91,56398.84
2026-05-04 17:00:00,31102.73,183014.31
2026-05-04 18:00:00,34815.34,55502.02
2026-05-04 19:00:00,72535.08,32204.59
2026-05-04 20:00:00,27879.17,39306.03
2026-05-04 21:00:00,15574.20,43290.91
2026-05-04 22:00:00,11500.59,79869.75
2026-05-04 23:00:00,5897.77,4242.80
2026-05-05 00:00:00,83199.84,16930.52
2026-05-05 01:00:00,18726.89,31645.43
2026-05-05 02:00:00,29002.74,19035.87
2026-05-05 03:00:00,9545.88,31764.59
2026-05-05 04:00:00,66456.00,7956.53
2026-05-05 05:00:00,59994.91,20697.08
2026-05-05 06:00:00,2444.11,4582.24
2026-05-05 07:00:00,1084.91,7748.21
