time,liq_long_usd,liq_short_usd
2026-04-01 07:00:00,53.30,199.47
2026-04-01 10:00:00,0.00,33.69
2026-04-01 11:00:00,54.46,0.00
2026-04-01 13:00:00,0.00,8.01
2026-04-01 14:00:00,362.14,0.00
2026-04-01 15:00:00,0.00,4440.05
2026-04-01 17:00:00,253.00,615.42
2026-04-01 18:00:00,6.51,460.69
2026-04-01 19:00:00,943.60,0.00
2026-04-01 22:00:00,717.31,0.00
2026-04-02 01:00:00,0.00,992.59
2026-04-02 02:00:00,793.09,0.00
2026-04-02 03:00:00,1565.16,28.83
2026-04-02 04:00:00,19.39,0.00
2026-04-02 05:00:00,19.34,74.60
2026-04-02 06:00:00,818.29,266.27
2026-04-02 07:00:00,0.00,7.01
2026-04-02 08:00:00,0.00,1278.73
2026-04-02 09:00:00,22.03,26.11
2026-04-02 10:00:00,15099.29,42.72
2026-04-02 11:00:00,343.06,0.00
2026-04-02 12:00:00,1016.56,0.00
2026-04-02 13:00:00,5763.40,0.00
2026-04-02 14:00:00,6.05,185.28
2026-04-02 16:00:00,120.09,0.00
2026-04-02 18:00:00,99.41,0.00
2026-04-02 19:00:00,1321.87,0.00
2026-04-02 20:00:00,5125.26,5.05
2026-04-02 21:00:00,0.00,138.90
2026-04-02 22:00:00,319.84,0.00
2026-04-03 01:00:00,1123.60,49.06
2026-04-03 02:00:00,64.33,0.00
2026-04-03 05:00:00,0.00,420.47
2026-04-03 08:00:00,0.00,922.27
2026-04-03 09:00:00,418.31,0.00
2026-04-03 11:00:00,0.00,126.17
2026-04-03 12:00:00,0.00,147.68
2026-04-03 14:00:00,0.01,0.00
2026-04-03 16:00:00,13.54,0.00
2026-04-03 20:00:00,223.11,0.00
2026-04-03 21:00:00,222.20,0.00
2026-04-03 22:00:00,19.11,0.00
2026-04-03 23:00:00,153.91,0.00
2026-04-04 01:00:00,1137.46,0.00
2026-04-04 03:00:00,5.76,0.00
2026-04-04 04:00:00,1871.10,0.00
2026-04-04 06:00:00,1369.08,0.00
2026-04-04 14:00:00,689.09,0.00
2026-04-04 15:00:00,5000.48,0.00
2026-04-04 17:00:00,35.85,0.00
2026-04-04 19:00:00,344.63,0.00
2026-04-05 07:00:00,212.43,0.00
2026-04-05 10:00:00,0.00,180.08
2026-04-05 13:00:00,1436.50,0.00
2026-04-05 14:00:00,1431.14,0.00
2026-04-05 15:00:00,30.01,0.00
2026-04-05 18:00:00,32.62,0.00
2026-04-05 20:00:00,49.77,0.00
2026-04-05 22:00:00,119.29,0.00
2026-04-06 01:00:00,115.31,0.00
2026-04-06 06:00:00,0.00,6220.45
2026-04-06 16:00:00,0.00,60.40
2026-04-06 18:00:00,0.00,50.75
2026-04-06 19:00:00,10.11,0.00
2026-04-06 21:00:00,0.00,495.85
2026-04-06 23:00:00,25.08,0.00
2026-04-07 01:00:00,5.80,0.00
2026-04-07 04:00:00,11.98,0.00
2026-04-07 07:00:00,1387.06,0.00
2026-04-07 22:00:00,131.35,0.00
2026-04-07 23:00:00,0.00,394.35
2026-04-08 00:00:00,14.57,0.00
2026-04-08 05:00:00,0.00,137.00
2026-04-08 15:00:00,69.27,0.00
2026-04-08 20:00:00,38.86,0.00
2026-04-08 23:00:00,11.72,0.00
2026-04-09 00:00:00,46.56,0.00
2026-04-09 01:00:00,183.95,0.00
2026-04-09 03:00:00,51.10,0.00
2026-04-09 08:00:00,0.00,483.47
2026-04-09 11:00:00,11.51,0.00
2026-04-09 12:00:00,24.98,0.00
2026-04-09 13:00:00,56.88,0.00
2026-04-09 19:00:00,97.23,0.00
2026-04-09 22:00:00,126.70,0.00
2026-04-09 23:00:00,1562.62,0.00
2026-04-10 00:00:00,6.65,0.00
2026-04-10 01:00:00,438.99,0.00
2026-04-10 11:00:00,0.00,104.59
2026-04-10 14:00:00,0.00,317.15
2026-04-10 19:00:00,0.00,53.57
2026-04-11 02:00:00,99.68,0.00
2026-04-11 03:00:00,0.00,0.01
2026-04-11 09:00:00,13.85,0.00
2026-04-11 10:00:00,624.57,0.00
2026-04-11 13:00:00,1130.19,0.00
2026-04-11 18:00:00,20.27,0.00
2026-04-11 20:00:00,218.14,0.00
2026-04-12 02:00:00,1801.93,0.00
2026-04-12 03:00:00,5.97,0.00
2026-04-12 07:00:00,10.00,105.16
2026-04-12 08:00:00,310.15,0.00
2026-04-12 11:00:00,79.11,0.00
2026-04-12 12:00:00,170.00,0.00
2026-04-12 17:00:00,850.90,0.00
2026-04-12 18:00:00,364.69,20.35
2026-04-12 19:00:00,1550.67,0.00
2026-04-12 21:00:00,2498.58,0.00
2026-04-12 22:00:00,53.77,0.00
2026-04-13 00:00:00,5.24,0.00
2026-04-13 05:00:00,30.61,0.00
2026-04-13 08:00:00,1447.76,0.00
2026-04-13 11:00:00,110.51,0.00
2026-04-13 17:00:00,74.54,0.00
2026-04-13 19:00:00,70.37,0.00
2026-04-13 20:00:00,102.11,24.21
2026-04-14 04:00:00,763.02,0.00
2026-04-14 08:00:00,0.00,4972.70
2026-04-14 10:00:00,47.32,0.00
2026-04-14 15:00:00,0.00,916.27
2026-04-14 18:00:00,1187.55,0.00
2026-04-14 19:00:00,197.54,0.00
2026-04-14 20:00:00,80.58,0.00
2026-04-15 00:00:00,194.13,0.00
2026-04-15 02:00:00,0.00,15.34
2026-04-15 19:00:00,3458.84,0.00
2026-04-15 22:00:00,0.00,6.42
2026-04-16 01:00:00,0.00,187.49
2026-04-16 03:00:00,304.72,0.00
2026-04-16 04:00:00,0.00,10.37
2026-04-16 05:00:00,0.00,2736.68
2026-04-16 06:00:00,971.85,0.00
2026-04-16 07:00:00,0.00,7.84
2026-04-16 08:00:00,496.45,92.85
2026-04-16 11:00:00,67.64,0.00
2026-04-16 12:00:00,68.25,0.00
2026-04-16 13:00:00,0.00,163.53
2026-04-16 14:00:00,4957.59,0.00
2026-04-16 15:00:00,1934.63,0.00
2026-04-16 16:00:00,5.58,0.00
2026-04-16 17:00:00,41.43,0.00
2026-04-16 20:00:00,0.00,262.77
2026-04-16 22:00:00,419.37,0.00
2026-04-17 02:00:00,1662.90,0.00
2026-04-17 03:00:00,948.68,0.00
2026-04-17 04:00:00,1427.90,0.00
2026-04-17 06:00:00,989.37,0.00
2026-04-17 07:00:00,5032.08,0.00
2026-04-17 08:00:00,383.98,0.00
2026-04-17 11:00:00,4921.39,0.00
2026-04-18 01:00:00,2965.88,93.56
2026-04-18 02:00:00,2487.44,0.00
2026-04-18 07:00:00,0.00,314.30
2026-04-18 09:00:00,558.02,0.00
2026-04-18 10:00:00,347.17,366.15
2026-04-18 12:00:00,218.36,0.00
2026-04-18 13:00:00,621.45,0.00
2026-04-18 15:00:00,774.06,0.00
2026-04-18 19:00:00,3086.08,0.00
2026-04-18 20:00:00,1907.15,0.00
2026-04-18 22:00:00,13.81,0.00
2026-04-19 00:00:00,12.29,0.00
2026-04-19 01:00:00,1823.52,0.00
2026-04-19 03:00:00,280.57,0.00
2026-04-19 05:00:00,22.44,0.00
2026-04-19 07:00:00,2378.52,0.00
2026-04-19 11:00:00,99.54,0.00
2026-04-19 17:00:00,66.91,1993.59
2026-04-19 18:00:00,67.10,0.00
2026-04-19 21:00:00,4.99,77.68
2026-04-19 23:00:00,76.46,0.00
2026-04-20 00:00:00,1602.73,0.00
2026-04-20 01:00:00,0.86,0.00
2026-04-20 02:00:00,0.00,19.24
2026-04-20 05:00:00,0.15,0.00
2026-04-20 06:00:00,2800.43,0.00
2026-04-20 07:00:00,0.00,6.49
2026-04-20 08:00:00,436.67,0.00
2026-04-20 14:00:00,0.00,981.53
2026-04-20 15:00:00,2687.09,0.00
2026-04-20 16:00:00,4210.25,0.00
2026-04-20 23:00:00,50.16,0.00
2026-04-21 00:00:00,4865.80,0.00
2026-04-21 01:00:00,709.32,0.00
2026-04-21 15:00:00,0.00,14.64
2026-04-21 18:00:00,1118.06,0.00
2026-04-22 02:00:00,0.00,2060.11
2026-04-22 03:00:00,0.00,3706.10
2026-04-22 04:00:00,150.05,1273.84
2026-04-22 07:00:00,76.68,0.00
2026-04-22 08:00:00,7.52,0.00
2026-04-22 20:00:00,6.13,0.00
2026-04-23 00:00:00,63.52,0.00
2026-04-23 01:00:00,656.98,0.00
2026-04-23 03:00:00,184.38,0.00
2026-04-23 11:00:00,0.00,1746.26
2026-04-23 12:00:00,0.00,161.17
2026-04-24 14:00:00,861.53,0.00
2026-04-24 15:00:00,0.00,5.50
2026-04-24 19:00:00,106.77,0.00
2026-04-24 20:00:00,5059.06,0.00
