time,liq_long_usd,liq_short_usd
2026-04-01 07:00:00,35.07,0.00
2026-04-01 09:00:00,0.00,71.09
2026-04-01 12:00:00,0.00,467.83
2026-04-01 14:00:00,30.88,3099.86
2026-04-01 19:00:00,95.62,0.00
2026-04-01 20:00:00,2009.37,0.00
2026-04-01 21:00:00,91.90,0.00
2026-04-01 22:00:00,0.00,374.70
2026-04-02 02:00:00,0.00,20.87
2026-04-02 03:00:00,102.92,325.15
2026-04-02 05:00:00,64.67,0.00
2026-04-02 06:00:00,0.00,429.14
2026-04-02 09:00:00,36.30,16.03
2026-04-02 10:00:00,42.46,277.96
2026-04-02 22:00:00,10.67,0.00
2026-04-03 14:00:00,4.41,0.00
2026-04-03 16:00:00,0.00,286.95
2026-04-04 07:00:00,8.01,0.00
2026-04-04 20:00:00,5.01,0.00
2026-04-05 14:00:00,49.06,0.00
2026-04-05 16:00:00,12.23,0.00
2026-04-05 17:00:00,0.00,10.04
2026-04-05 22:00:00,0.58,0.00
2026-04-06 02:00:00,13.34,0.00
2026-04-06 19:00:00,2178.80,0.00
2026-04-06 23:00:00,21.57,0.00
2026-04-07 13:00:00,0.26,0.00
2026-04-07 20:00:00,8.32,0.00
2026-04-07 23:00:00,0.00,463.31
2026-04-08 01:00:00,208.50,0.00
2026-04-08 09:00:00,12.10,0.00
2026-04-08 20:00:00,0.00,1.79
2026-04-09 00:00:00,1516.75,0.00
2026-04-09 06:00:00,827.17,0.00
2026-04-09 08:00:00,35.66,0.00
2026-04-09 11:00:00,4.83,0.00
2026-04-09 20:00:00,5.07,0.00
2026-04-09 23:00:00,0.00,9.99
2026-04-10 01:00:00,12.73,0.00
2026-04-10 04:00:00,64.26,0.00
2026-04-10 11:00:00,92.57,0.00
2026-04-10 21:00:00,4480.90,0.00
2026-04-11 01:00:00,0.19,0.00
2026-04-11 02:00:00,218.93,46.22
2026-04-11 03:00:00,5.03,22.46
2026-04-11 04:00:00,292.92,0.00
2026-04-11 06:00:00,0.00,77.03
2026-04-11 07:00:00,0.00,59.06
2026-04-11 08:00:00,4716.87,300.17
2026-04-11 09:00:00,9210.65,695.24
2026-04-11 10:00:00,3912.28,2856.06
2026-04-11 11:00:00,2999.59,767.56
2026-04-11 12:00:00,219.42,825.67
2026-04-11 13:00:00,0.00,234.16
2026-04-11 15:00:00,0.35,0.00
2026-04-11 16:00:00,2222.22,0.00
2026-04-11 17:00:00,1135.34,2221.57
2026-04-11 19:00:00,287.13,0.00
2026-04-11 22:00:00,80.04,0.00
2026-04-11 23:00:00,0.00,11.25
2026-04-12 00:00:00,0.00,1005.01
2026-04-12 01:00:00,5.29,0.00
2026-04-12 02:00:00,11.02,0.00
2026-04-12 04:00:00,33.46,0.00
2026-04-12 07:00:00,312.44,47.85
2026-04-12 08:00:00,0.00,1700.94
2026-04-12 09:00:00,2038.60,203.78
2026-04-12 10:00:00,0.00,73.30
2026-04-12 11:00:00,870.18,274.08
2026-04-12 12:00:00,4553.82,7941.86
2026-04-12 13:00:00,418.07,1933.93
2026-04-12 14:00:00,41.79,0.00
2026-04-12 15:00:00,7.52,94.74
2026-04-12 16:00:00,681.85,0.00
2026-04-12 17:00:00,51.30,234.64
2026-04-12 18:00:00,307.14,829.18
2026-04-12 19:00:00,1980.72,4106.98
2026-04-12 20:00:00,98.93,2040.69
2026-04-12 21:00:00,0.00,17.37
2026-04-12 22:00:00,1835.37,14.53
2026-04-12 23:00:00,100.10,99.46
2026-04-13 00:00:00,316.91,7.81
2026-04-13 01:00:00,681.65,4826.24
2026-04-13 02:00:00,643.54,0.00
2026-04-13 03:00:00,33.17,0.00
2026-04-13 04:00:00,64.87,1411.31
2026-04-13 05:00:00,5455.21,7987.58
2026-04-13 06:00:00,1708.44,3399.86
2026-04-13 07:00:00,13932.30,14203.06
2026-04-13 08:00:00,1518.73,1321.58
2026-04-13 09:00:00,269.90,101.11
2026-04-13 10:00:00,126.05,50.48
2026-04-13 11:00:00,134.23,308.98
2026-04-13 13:00:00,63.81,2525.23
2026-04-13 14:00:00,0.98,343.93
2026-04-13 15:00:00,152.48,8135.02
2026-04-13 16:00:00,5160.47,141.94
2026-04-13 17:00:00,2276.65,18.19
2026-04-13 18:00:00,735.43,5.70
2026-04-13 19:00:00,257.63,537.69
2026-04-13 20:00:00,329.61,3698.07
2026-04-13 21:00:00,113.29,157.33
2026-04-13 22:00:00,0.00,2379.17
2026-04-13 23:00:00,143.95,262.81
2026-04-14 00:00:00,574.81,1922.31
2026-04-14 01:00:00,21.49,48.63
2026-04-14 02:00:00,0.00,78.49
2026-04-14 03:00:00,0.00,14.69
2026-04-14 05:00:00,4963.80,0.00
2026-04-14 06:00:00,1104.95,19.53
2026-04-14 07:00:00,142.84,40.52
2026-04-14 08:00:00,0.00,48.01
2026-04-14 09:00:00,1.84,0.00
2026-04-14 10:00:00,0.00,23.07
2026-04-14 12:00:00,0.00,6.64
2026-04-14 13:00:00,92.79,544.51
2026-04-14 14:00:00,1181.93,0.00
2026-04-14 15:00:00,241.11,0.00
2026-04-14 16:00:00,408.12,0.00
2026-04-14 17:00:00,9.86,6.64
2026-04-14 18:00:00,2163.63,1966.26
2026-04-14 19:00:00,257.06,0.00
2026-04-14 22:00:00,0.00,19.71
2026-04-14 23:00:00,0.00,232.68
2026-04-15 01:00:00,0.00,1004.12
2026-04-15 02:00:00,0.00,44.34
2026-04-15 03:00:00,0.00,9.11
2026-04-15 06:00:00,68.08,0.00
2026-04-15 07:00:00,0.00,60.13
2026-04-15 08:00:00,337.69,0.00
2026-04-15 12:00:00,66.55,0.00
2026-04-15 13:00:00,979.88,419.65
2026-04-15 14:00:00,0.00,189.11
2026-04-15 15:00:00,0.00,56.37
2026-04-15 16:00:00,10.42,471.59
2026-04-15 17:00:00,0.00,21.71
2026-04-15 18:00:00,0.00,5.06
2026-04-15 19:00:00,4543.11,0.00
2026-04-15 20:00:00,20.21,0.00
2026-04-15 21:00:00,0.00,0.08
2026-04-15 22:00:00,0.00,15.50
2026-04-16 00:00:00,651.50,0.00
2026-04-16 02:00:00,0.00,542.87
2026-04-16 03:00:00,7.28,108.72
2026-04-16 05:00:00,23.31,4951.33
2026-04-16 07:00:00,0.00,121.67
2026-04-16 09:00:00,5005.44,49.91
2026-04-16 10:00:00,0.00,26.36
2026-04-16 13:00:00,0.00,208.51
2026-04-16 14:00:00,1248.52,18.22
2026-04-16 15:00:00,116.50,0.00
2026-04-16 16:00:00,608.78,0.00
2026-04-16 17:00:00,24.85,0.00
2026-04-17 00:00:00,14.39,0.00
2026-04-17 01:00:00,7.47,4.93
2026-04-17 03:00:00,178.15,0.00
2026-04-17 04:00:00,439.30,0.00
2026-04-17 05:00:00,4184.54,0.00
2026-04-17 06:00:00,160.39,0.00
2026-04-17 07:00:00,6.53,0.00
2026-04-17 09:00:00,217.20,54.76
2026-04-17 10:00:00,94.25,0.00
2026-04-17 12:00:00,8.88,0.00
2026-04-17 14:00:00,193.14,0.00
2026-04-17 17:00:00,2315.88,0.00
2026-04-17 21:00:00,0.00,12.93
2026-04-17 22:00:00,0.00,6.49
2026-04-18 00:00:00,0.00,13.17
2026-04-18 01:00:00,7.85,68.96
2026-04-18 02:00:00,0.00,113.59
2026-04-18 03:00:00,0.00,225.87
2026-04-18 05:00:00,193.95,0.00
2026-04-18 06:00:00,9.54,0.00
2026-04-18 07:00:00,51.78,10.12
2026-04-18 08:00:00,1795.55,0.00
2026-04-18 09:00:00,153.29,0.00
2026-04-18 10:00:00,0.00,13.37
2026-04-18 11:00:00,926.68,38.30
2026-04-18 12:00:00,3475.40,0.00
2026-04-18 15:00:00,2343.99,0.00
2026-04-18 16:00:00,33.81,0.00
2026-04-18 18:00:00,28.34,0.00
2026-04-18 19:00:00,650.15,0.00
2026-04-18 20:00:00,1900.33,0.00
2026-04-18 21:00:00,127.79,0.00
2026-04-19 03:00:00,1384.79,0.00
2026-04-19 04:00:00,6.10,0.00
2026-04-19 09:00:00,2469.43,0.00
2026-04-19 11:00:00,0.14,0.00
2026-04-19 13:00:00,7.35,0.00
2026-04-19 23:00:00,0.00,928.82
2026-04-20 00:00:00,5.71,576.83
2026-04-20 01:00:00,459.32,1708.97
2026-04-20 02:00:00,279.43,1247.42
2026-04-20 03:00:00,2639.76,128.56
2026-04-20 04:00:00,22.51,64.70
2026-04-20 05:00:00,5272.65,4.93
2026-04-20 06:00:00,22.08,0.00
2026-04-20 07:00:00,1551.54,0.00
2026-04-20 08:00:00,1258.94,36.03
2026-04-20 10:00:00,3465.62,0.00
2026-04-20 12:00:00,6061.62,54.42
2026-04-20 13:00:00,0.00,6.48
2026-04-20 14:00:00,1029.15,0.00
2026-04-20 22:00:00,4.91,0.00
2026-04-21 02:00:00,111.99,0.00
2026-04-21 05:00:00,8.85,13.16
2026-04-21 10:00:00,0.00,99.65
2026-04-21 11:00:00,49.60,134.02
2026-04-21 13:00:00,683.06,0.00
2026-04-21 14:00:00,1259.91,99.77
2026-04-21 15:00:00,37.46,1555.56
2026-04-21 16:00:00,132.86,2796.02
2026-04-21 17:00:00,139.82,78.93
2026-04-21 18:00:00,11.42,0.00
2026-04-21 19:00:00,40.25,307.15
2026-04-21 20:00:00,451.44,0.00
2026-04-21 21:00:00,183.40,0.00
